pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
4.38,-1.8281,-2.4165,-0.0163,0.8400,1bhf
6.84,-2.4444,-3.1202,-0.0098,0.4200,1bhx
9.34,-1.4856,-2.0109,0.0000,0.2100,1bn1
9.89,-1.5927,-2.1365,0.0000,0.1680,1bn3
9.31,-1.4854,-2.0098,0.0000,0.2940,1bn4
10.00,-1.5800,-2.1531,0.0000,0.1680,1bnn
9.49,-1.9381,-2.3014,-0.0002,0.2940,1bnq
9.80,-1.6123,-2.2660,0.0000,0.1680,1bnt
9.70,-1.6728,-2.3693,0.0000,0.1260,1bnu
8.77,-1.9330,-2.2104,0.0000,0.2100,1bnv
9.08,-1.6458,-2.1572,0.0000,0.2100,1bnw
5.40,-1.3435,-1.7957,-0.0324,0.2520,1bp0
5.22,-0.2582,-1.0827,-0.0312,0.0000,1bq4
3.22,-1.4895,-2.3067,-0.0009,0.1260,1br6
9.30,-3.8009,-5.4613,0.0000,0.4200,1bv7
8.96,-3.9180,-5.3494,0.0000,0.4200,1bv9
7.60,-3.5854,-5.3050,0.0000,0.4200,1bwa
8.42,-3.9827,-5.3640,-0.0075,0.4200,1bwb
7.38,-2.3559,-3.6473,0.0000,0.9240,1bxq
3.40,-2.7820,-2.8190,-0.0474,0.5040,1bxr
5.00,-2.1774,-2.0318,-0.0040,0.4200,1byk
4.92,-1.9538,-2.6579,-0.0115,0.3360,1bzc
6.77,-1.4886,-2.2246,-0.0064,0.7560,1bzh
4.66,-1.5137,-1.6307,-0.0121,0.0840,1bzj
8.34,-1.8654,-2.3963,-0.0108,0.2520,1bzy
7.63,-1.1760,-2.0830,-0.0102,0.0840,1c1r
8.25,-1.2858,-2.0622,-0.0129,0.0840,1c1u
7.64,-1.5639,-2.0170,-0.0187,0.0840,1c1v
3.68,-1.1672,-1.3269,-0.0067,0.0000,1c3x
10.37,-2.5832,-3.1983,-0.0114,0.3360,1c4u
10.80,-2.6932,-3.2447,-0.0082,0.3360,1c4v
6.96,-1.7162,-2.0704,-0.0165,0.1260,1c5c
4.70,-1.2081,-1.6672,-0.0047,0.0420,1c5n
3.49,-1.0551,-1.1253,-0.0085,0.0000,1c5o
4.68,-0.6920,-1.2495,-0.0100,0.0000,1c5p
6.36,-0.8449,-1.8990,-0.0077,0.0420,1c5q
6.00,-1.0712,-1.7685,-0.0070,0.0420,1c5s
4.10,-0.9344,-1.7019,-0.0117,0.0420,1c5t
6.68,-1.2947,-1.9832,-0.0049,0.0420,1c5x
4.20,-1.3089,-1.7524,-0.0052,0.0420,1c5y
4.01,-0.7163,-1.1447,-0.0106,0.0000,1c5z
10.30,-3.9262,-4.5113,0.0000,0.5040,1c70
4.85,-1.2557,-1.8356,-0.0123,0.0420,1c83
5.00,-1.6619,-1.9442,-0.0062,0.0420,1c84
4.70,-1.3632,-1.8023,-0.0143,0.0000,1c86
4.20,-1.6357,-1.7295,-0.0150,0.0000,1c87
5.29,-1.6523,-1.8596,-0.0202,0.0000,1c88
7.72,-2.7533,-3.9867,0.0000,0.3360,1caq
6.35,-1.7347,-1.4281,-0.0362,0.2100,1cbx
4.74,-0.9755,-1.3643,-0.0103,0.0000,1ce5
4.96,-0.9441,-0.6764,-0.0077,0.2100,1cea
6.00,-0.9878,-0.8622,-0.0066,0.0840,1ceb
2.89,-1.3664,-1.3423,-0.0026,0.3360,1cet
6.87,-2.1041,-3.1330,-0.0002,0.8820,1cgl
7.00,-1.6491,-3.1219,-0.0278,0.4200,1ch8
9.43,-1.5555,-2.1727,-0.0003,0.1260,1cil
8.82,-1.4563,-2.0292,-0.0002,0.0420,1cim
8.73,-1.7542,-2.0805,0.0000,0.0840,1cin
7.44,-2.4452,-3.9207,0.0000,0.3360,1ciz
7.72,-1.3838,-1.8563,0.0000,0.6720,1cnw
7.37,-1.8486,-2.0552,-0.0003,0.5880,1cnx
7.85,-1.3786,-2.0488,0.0000,0.7560,1cny
6.66,-2.1560,-1.6463,-0.0106,0.2520,1cps
6.52,-1.6915,-2.9301,-0.0012,0.5460,1ct8
4.52,-1.9922,-2.3221,0.0000,0.0840,1ctt
11.92,-2.0611,-2.2756,0.0000,0.0840,1ctu
6.00,-1.5197,-2.7760,-0.0140,0.4200,1d2e
9.09,-2.7807,-3.5075,0.0000,0.4620,1d3d
7.39,-2.5651,-3.5428,0.0000,0.6300,1d3p
9.22,-3.9548,-4.0772,-0.0070,0.4620,1d4k
8.77,-2.9135,-3.6245,-0.0006,0.3780,1d4l
6.30,-2.0840,-2.7091,-0.0117,0.0840,1d4p
11.10,-3.3319,-3.7107,0.0000,0.5040,1d4y
1.82,-0.9759,-0.9696,-0.0084,0.1260,1d5r
6.17,-2.3386,-2.5940,0.0000,0.2940,1d6v
5.96,-2.7948,-2.8364,-0.0015,0.2940,1d6w
3.60,-0.8718,-1.0170,0.0000,0.1260,1d7i
9.11,-2.0133,-2.3595,-0.0015,0.2940,1d9i
9.26,-4.2975,-2.9128,0.0000,0.2100,1db1
6.70,-1.6474,-2.7847,-0.0058,0.3780,1dfo
6.55,-2.0613,-1.8846,-0.0264,0.3780,1dhj
10.66,-4.4649,-4.8696,0.0000,0.7980,1dif
6.49,-1.2680,-1.8098,0.0000,0.4200,1dl7
9.55,-3.2918,-3.7544,-0.0100,0.3360,1dmp
8.00,-1.2135,-1.9834,-0.0134,0.2520,1dqn
11.05,-2.7793,-2.1630,-0.0006,0.2520,1dqx
7.40,-1.3641,-1.3561,0.0000,0.0000,1drj
6.82,-1.4642,-1.3232,0.0000,0.0000,1drk
4.82,-1.3415,-2.0666,-0.0044,0.4200,1dud
11.80,-1.9546,-2.2896,-0.0247,0.3360,1duv
4.36,-1.8102,-2.3838,-0.0167,0.3360,1dy4
6.10,-2.1623,-0.6610,0.0000,0.1680,1dzk
5.89,-1.2444,-1.1494,-0.0010,0.2100,1e1x
4.94,-2.0005,-2.1757,0.0000,0.0840,1e2k
4.29,-2.1976,-2.0504,0.0000,0.0840,1e2l
4.34,-1.3439,-1.4243,0.0000,0.1680,1e3v
8.41,-1.9329,-1.0753,0.0000,0.0000,1e4h
3.15,-1.1247,-1.6230,-0.0001,0.0420,1e6q
3.22,-1.2955,-1.3889,0.0000,0.0420,1e6s
3.10,-1.7028,-0.9173,-0.0040,0.1680,1ec9
3.00,-2.0049,-0.6036,-0.0086,0.2100,1ecq
4.85,-1.6991,-1.6950,-0.0156,0.0420,1ecv
8.22,-1.2329,-2.2252,-0.0009,0.1260,1efy
5.70,-1.3423,-1.1097,-0.0149,0.2100,1egh
11.06,-2.3539,-2.1041,-0.0153,0.2520,1eix
5.62,-1.8766,-2.7429,-0.0049,0.2100,1ejn
6.66,-2.4513,-3.3113,-0.0021,0.5460,1elc
6.70,-2.2777,-1.7853,0.0000,0.3780,1eld
6.85,-2.0128,-2.8181,0.0000,0.3360,1ele
4.96,-1.6849,-2.3636,-0.0191,0.9660,1elr
6.96,-2.3828,-3.3768,0.0000,0.8820,1ent
7.96,-2.1302,-3.6690,0.0000,0.6300,1epo
8.10,-2.8389,-2.5925,0.0000,0.0420,1erb
2.26,-0.4211,-0.2135,-0.0179,0.0840,1ew8
3.22,-0.4868,-0.2149,-0.0010,0.0420,1ew9
6.33,-2.1962,-4.1003,-0.0538,0.9660,1ex8
5.10,-1.5088,-2.8042,0.0000,0.8400,1ez9
9.05,-2.1934,-3.5555,-0.0065,0.4200,1ezq
7.66,-1.7383,-2.9891,-0.0054,0.2100,1f0r
7.74,-1.8707,-2.9819,-0.0006,0.2100,1f0s
6.00,-1.4814,-2.6617,-0.0054,0.2100,1f0t
7.16,-1.7194,-3.1479,-0.0072,0.4200,1f0u
1.91,-0.8766,-0.7549,-0.0074,0.1260,1f2o
1.90,-1.0678,-1.1772,-0.0068,0.1260,1f2p
6.70,-0.7392,-1.5477,-0.0013,0.0000,1f3e
5.59,-1.2698,-1.7862,0.0000,0.3360,1f4x
5.64,-0.2530,-0.7748,-0.0358,0.0840,1f57
5.28,-1.1258,-1.6160,-0.0036,0.0840,1f5l
5.00,-1.2234,-2.8510,-0.0084,1.0500,1f8a
1.28,-0.2204,-0.8506,0.0000,0.0840,1f9g
7.37,-1.5555,-1.8147,-0.0525,0.6720,1fao
7.15,-2.1706,-2.9943,-0.0040,0.8820,1fch
8.52,-3.6553,-3.2625,-0.0063,0.0840,1fcy
7.27,-2.6399,-0.9303,-0.0089,0.5880,1fdq
6.82,-1.3275,-2.0359,0.0000,0.1680,1fhd
6.59,-4.4827,-4.6928,-0.0013,0.9240,1fiv
4.59,-1.3696,-1.9768,0.0000,0.0420,1fj4
9.96,-1.8890,-3.1418,-0.0098,0.4620,1fjs
9.40,-2.6428,-3.2452,0.0000,0.3780,1fkf
8.00,-1.5596,-2.3031,0.0000,0.4620,1fkg
8.15,-1.7326,-2.3706,0.0000,0.4620,1fkh
5.05,-2.1833,-2.1944,0.0000,0.0840,1fkw
6.80,-2.2783,-2.5708,0.0000,0.2940,1fl3
9.00,-4.0438,-4.0891,-0.0001,0.5880,1fm9
5.59,-5.1639,-5.9570,-0.0077,1.2600,1fo0
7.00,-2.1242,-2.7362,-0.0021,0.4620,1fpc
8.40,-2.9364,-4.5325,0.0000,0.4200,1fq5
5.93,-1.9333,-2.3103,0.0000,0.0840,1fv0
3.70,-0.8096,-1.3646,-0.0002,0.6300,1fwu
3.72,-0.7885,-1.0445,-0.0001,0.6300,1fwv
7.70,-3.8735,-4.7548,-0.0085,1.2600,1fzm
7.89,-2.9090,-4.3176,-0.0083,0.9660,1fzo
7.62,-1.4797,-2.5865,-0.0174,0.4200,1fzq
9.44,-1.4579,-1.8199,0.0000,0.1680,1g1d
7.96,-3.7510,-4.2399,0.0000,0.6300,1g2k
7.24,-2.0604,-3.5084,-0.0083,0.6300,1g2l
10.55,-1.8109,-2.3346,0.0000,0.0840,1g2o
6.85,-2.4200,-3.1409,-0.0131,0.6300,1g30
6.11,-2.4496,-2.9798,-0.0145,0.2100,1g32
8.14,-3.5881,-4.1620,0.0000,0.7560,1g35
7.17,-1.3821,-2.6536,-0.0110,0.2100,1g36
5.74,-0.4357,-1.7182,-0.0091,0.1260,1g3b
5.80,-1.1302,-1.6871,-0.0176,0.1260,1g3c
5.55,-0.7154,-1.6262,-0.0110,0.1260,1g3d
5.38,-0.8947,-1.6549,-0.0125,0.1260,1g3e
8.64,-1.1744,-1.6988,0.0000,0.1680,1g45
8.80,-1.2203,-1.7259,0.0000,0.1680,1g46
8.41,-1.2429,-1.7065,0.0000,0.1680,1g48
8.70,-1.1884,-1.7019,0.0000,0.1680,1g4j
8.25,-1.1748,-1.6415,0.0000,0.1680,1g4o
9.54,-1.5106,-1.9023,0.0000,0.1680,1g52
9.04,-1.5562,-1.8387,0.0000,0.1680,1g53
8.82,-1.5397,-1.9986,0.0000,0.1680,1g54
6.60,-1.8885,-2.5998,-0.0124,0.8400,1g7g
6.40,-1.0640,-1.3325,-0.0014,0.5460,1g7v
5.48,-1.2863,-0.9615,0.0000,0.2100,1g85
5.70,-1.0910,-1.3430,-0.0029,0.3360,1g98
5.70,-2.9652,-4.2997,-0.0052,0.6300,1g9r
1.80,-0.9803,-1.4126,0.0000,0.2520,1ga8
8.00,-2.4381,-2.2619,-0.0094,0.3780,1gaf
12.00,-2.4127,-3.2382,-0.0048,0.5460,1gah
8.00,-2.2109,-3.2193,-0.0042,0.5460,1gai
10.00,-2.6761,-3.7278,-0.0104,1.0500,1gar
5.13,-1.5048,-2.0140,0.0000,0.1680,1gcz
4.35,-1.2438,-1.7207,-0.0093,0.0000,1ghv
4.20,-1.7239,-1.1529,-0.0091,0.0000,1ghw
8.10,-1.8307,-2.0880,-0.0126,0.0000,1ghy
4.80,-0.8509,-1.8299,-0.0095,0.0000,1ghz
5.47,-1.0388,-1.4480,-0.0078,0.0000,1gi1
7.19,-0.7489,-2.0002,-0.0101,0.0000,1gi4
6.22,-1.1250,-1.4290,-0.0071,0.0420,1gi6
4.51,-0.8469,-1.8640,-0.0068,0.0000,1gi7
5.05,-1.1420,-1.3997,-0.0040,0.0000,1gi8
5.22,-1.3074,-1.3232,-0.0036,0.0840,1gi9
4.07,-2.0758,-1.6458,-0.0053,0.0840,1gj4
7.00,-1.6932,-2.6375,-0.0080,0.0840,1gj6
7.89,-1.7256,-2.2103,-0.0065,0.0840,1gj7
6.96,-1.0378,-1.7798,-0.0035,0.2100,1gj8
5.42,-1.2895,-2.1830,-0.0059,0.0840,1gja
6.35,-1.3640,-2.1296,-0.0062,0.0420,1gjb
6.35,-1.3141,-2.1263,-0.0054,0.0420,1gjc
5.22,-1.7059,-2.4644,-0.0046,0.0840,1gjd
6.25,-2.5855,-2.7957,-0.0007,0.8400,1gnm
5.68,-3.0853,-2.5022,-0.0005,0.8400,1gnn
7.70,-2.5945,-2.2678,-0.0013,0.8400,1gno
4.14,-0.7252,-1.9933,0.0000,0.6720,1gny
6.48,-1.6568,-2.2527,-0.0001,0.0000,1gpn
3.72,-0.5925,-0.7751,-0.0591,0.2100,1grp
6.00,-1.9178,-1.6619,0.0000,0.0000,1gt1
4.52,-1.1651,-1.3810,-0.0003,0.0420,1gu1
6.96,-2.2668,-3.4910,-0.0000,0.8820,1gvw
7.22,-2.8513,-4.2684,-0.0115,1.2600,1gvx
2.57,-1.0276,-1.6921,0.0000,0.2520,1gwv
2.48,-0.7945,-1.0276,-0.0083,0.0000,1gyx
3.64,-0.9734,-1.1527,-0.0107,0.0420,1gyy
3.70,-2.2137,-2.6730,-0.0046,0.5880,1gz3
3.70,-1.7403,-2.8303,-0.0028,0.5880,1gz4
3.51,-1.3872,-1.8230,0.0000,0.4200,1gz9
3.49,-0.8563,-1.3942,0.0000,0.2520,1gzc
5.44,-0.2803,-1.3745,-0.0680,0.5040,1h0a
8.22,-1.1163,-1.7466,0.0000,0.2520,1h1d
5.22,-0.0903,-0.7342,-0.0144,0.4200,1h1h
4.92,-1.1265,-1.4477,-0.0013,0.2100,1h1p
8.22,-1.6378,-2.5376,-0.0007,0.3360,1h1s
9.10,-2.5362,-3.4793,-0.0003,0.5460,1h22
7.89,-2.5684,-3.8582,-0.0189,0.7980,1h2t
3.57,-1.3370,-2.0801,0.0000,0.2940,1h46
4.66,-0.8835,-1.3893,-0.0104,0.0000,1h4w
5.30,-0.9043,-1.8481,-0.0281,1.0920,1h6h
5.42,-1.7481,-1.9797,0.0000,0.1680,1h9z
6.37,-3.2849,-3.3524,-0.0011,0.6300,1hbv
7.74,-2.2371,-2.3344,-0.0038,0.7560,1heg
4.19,0.3045,-1.1446,-0.0056,0.4200,1hi3
4.04,-0.4998,-1.2881,-0.0087,0.4200,1hi5
8.05,-3.4491,-3.5687,0.0000,0.6300,1hih
7.28,-3.6599,-3.7237,0.0000,0.6300,1hii
5.00,-0.5445,-1.6015,-0.0013,0.0840,1hlk
6.55,-2.2462,-1.7473,-0.0046,0.6720,1hmr
6.37,-2.5300,-1.7116,-0.0046,0.6300,1hms
5.79,-2.3828,-1.7633,-0.0053,0.6720,1hmt
6.00,-1.8920,-1.6682,0.0000,0.0000,1hn2
6.24,-1.6567,-1.9612,0.0000,0.0420,1hnn
8.55,-2.8870,-3.8879,0.0000,1.0080,1hos
6.70,-2.0781,-2.1756,-0.0000,0.0840,1hp0
9.22,-2.6122,-3.0113,0.0000,0.2940,1hpo
9.22,-2.0883,-3.8533,-0.0003,0.7560,1hps
9.22,-2.5560,-3.2498,-0.0005,0.5880,1hpv
11.26,-2.8234,-3.8572,0.0000,0.7140,1hpx
3.00,0.1917,-0.5510,-0.0105,0.1680,1hqg
9.42,-3.4514,-4.0570,0.0000,0.5040,1hsh
7.96,-3.0584,-2.7991,-0.0000,0.5040,1hvh
10.92,-4.0892,-4.4900,0.0000,0.7980,1hvi
11.40,-3.9861,-4.3743,0.0000,0.7980,1hvj
10.96,-4.5272,-4.7560,0.0000,0.7980,1hvk
9.95,-4.3286,-4.4671,0.0000,0.7980,1hvl
9.51,-3.1441,-4.3596,0.0000,0.3360,1hvr
10.30,-3.4426,-4.3756,0.0000,0.7980,1hvs
8.33,-2.0143,-2.7468,0.0000,0.3360,1hwr
9.92,-3.8999,-4.1478,0.0000,0.5460,1hxb
10.82,-3.7466,-4.4768,0.0000,0.8400,1hxw
4.07,-1.1660,-1.2521,-0.0184,0.1680,1hyo
6.34,-0.2072,-1.4150,-0.0017,0.3780,1i00
8.52,-3.5140,-4.8205,-0.0050,0.6300,1i5r
6.40,-1.8536,-2.5637,0.0000,0.3360,1i7z
6.41,-1.1528,-1.5159,0.0000,0.0000,1i80
8.48,-1.2399,-1.6180,0.0000,0.1680,1i9l
8.48,-1.2552,-0.7921,0.0000,0.1680,1i9m
8.66,-1.2894,-1.6305,0.0000,0.1680,1i9n
8.42,-1.3119,-1.8181,0.0000,0.1680,1i9o
8.41,-1.2196,-1.7152,0.0000,0.1680,1i9p
8.41,-1.2806,-1.7348,0.0000,0.1680,1i9q
2.22,-1.7671,-2.3442,0.0000,1.7220,1icj
9.64,-1.5568,-1.7471,0.0000,0.2520,1if8
6.40,-1.9284,-1.6640,-0.0001,0.1260,1igb
10.00,-1.9449,-2.3605,0.0000,0.2100,1igj
6.62,-1.4623,-0.8581,-0.0202,0.1680,1ii5
2.89,-0.8618,-1.1521,-0.0032,0.2520,1iih
7.48,-3.5904,-4.3748,0.0000,0.9660,1iiq
7.41,-1.2109,-1.2407,-0.0123,0.2100,1ik4
3.40,-2.9890,-2.4802,0.0000,0.8400,1ikt
3.52,-0.6746,-1.3567,0.0000,0.9240,1imx
6.19,-1.8542,-1.8815,-0.0223,0.2100,1iy7
7.70,-4.1131,-4.5328,0.0000,0.9240,1izh
6.59,-3.5996,-4.3456,0.0000,0.9240,1izi
6.47,-1.4078,-1.9283,0.0000,0.1680,1j01
4.49,-0.8384,-1.3704,-0.0085,0.0000,1j14
7.72,-2.2888,-2.9507,0.0000,0.8820,1j4r
5.57,-1.4463,-1.9342,0.0000,0.0840,1jak
5.92,-1.4598,-2.7184,0.0000,0.3360,1jao
5.15,-1.3919,-2.1106,-0.0259,0.5460,1jcx
6.62,-2.3047,-3.5036,-0.0049,1.0080,1jd5
7.25,-2.0616,-2.6972,-0.0151,0.5460,1jet
6.82,-1.3900,-2.8816,-0.0186,0.6720,1jeu
6.89,-2.7918,-3.7212,-0.0184,0.6300,1jev
2.05,-1.1604,-1.7416,0.0000,0.4200,1jfh
8.70,-1.8384,-2.3137,0.0000,0.0000,1jgl
3.33,-1.3881,-2.0284,-0.0365,0.5880,1jlr
5.77,-1.4856,-1.7832,-0.0280,0.2520,1jmf
6.07,-1.6566,-1.6839,-0.0340,0.2520,1jmg
6.06,-1.4719,-2.0125,-0.0212,0.2520,1jmi
4.09,0.0497,-0.8618,-0.0037,0.1680,1jn2
4.95,-1.3453,-3.1925,-0.0036,0.6720,1jn4
4.62,-0.7205,-1.1917,-0.0212,0.3360,1joc
6.00,-2.7000,-2.1003,-0.0002,0.6720,1jq8
6.44,-1.9850,-2.8158,0.0000,0.4200,1jqe
4.92,-1.3544,-2.2907,0.0000,0.4200,1jqy
3.40,-0.9841,0.6376,-0.0000,0.1260,1jt1
7.85,-2.0568,-2.7524,-0.0010,0.3360,1jwt
8.70,-2.4567,-3.2277,-0.0401,1.0500,1jyq
6.60,-1.7415,-2.8166,-0.0019,0.7560,1jzs
6.58,-1.5768,-2.5021,-0.0040,0.2940,1k1i
7.55,-1.8158,-2.9386,-0.0062,0.3780,1k1j
6.90,-1.7128,-2.6690,-0.0041,0.2520,1k1l
7.40,-1.8685,-2.8722,-0.0043,0.2520,1k1m
6.82,-1.8669,-2.6320,-0.0074,0.5040,1k1n
3.22,-1.2827,-3.0877,0.0000,0.5460,1k1y
8.38,-2.4546,-2.6509,-0.0025,0.5040,1k21
8.40,-2.3696,-3.0992,-0.0084,0.3360,1k22
5.11,-1.1457,-2.0244,-0.0083,0.2520,1k4h
5.82,-1.5694,-2.0915,-0.0111,0.2520,1kav
5.52,-0.7065,-0.8137,-0.0114,0.0840,1kc7
9.05,-2.4196,-2.3501,0.0000,0.0000,1kdk
7.28,-1.9834,-2.3534,-0.0092,0.3780,1kel
6.06,-1.4803,-2.2984,0.0000,0.4620,1kjr
5.20,-0.7218,-1.0769,-0.0051,0.2100,1kll
5.10,-2.2667,-1.6920,0.0000,0.0420,1kmy
6.70,-1.2957,-1.7345,-0.0016,0.3360,1koj
5.80,-2.7753,-2.4333,0.0000,0.4200,1kpm
9.40,-2.3517,-3.8447,-0.0053,0.3780,1ksn
5.92,-1.4227,-3.0384,0.0000,0.2100,1kyv
10.39,-3.5553,-4.2939,0.0000,0.3780,1kzk
8.92,-2.8867,-3.1110,-0.0094,0.5460,1kzn
8.10,0.1968,-0.5423,-0.0002,0.0000,1l6m
3.40,-1.1680,-0.8644,0.0000,0.0000,1l83
7.85,-2.1062,-1.3108,-0.0334,0.2520,1laf
6.30,-1.3718,-1.2655,-0.0186,0.1260,1lag
7.52,-1.5388,-1.0093,-0.0366,0.1680,1lah
7.85,-1.4584,-2.0404,-0.0157,0.4200,1lbf
7.74,-2.8843,-3.3556,0.0000,0.6300,1lee
7.52,-3.2659,-3.2380,0.0000,0.6300,1lf2
12.00,-1.6613,-2.9345,0.0000,0.5460,1lf9
6.10,-1.9167,-1.8519,0.0000,0.0420,1lgt
4.00,-1.2242,-0.8974,0.0000,0.0000,1lgw
4.04,-1.0953,-0.9423,0.0000,0.0000,1li2
4.25,-1.1474,-0.9989,0.0000,0.0000,1li3
3.80,-1.2022,-0.6416,0.0000,0.0000,1li6
7.52,-2.1926,-2.7809,0.0000,0.0420,1lke
6.85,-1.4218,-2.8421,-0.0271,0.9240,1lkk
5.81,-1.3209,-2.5316,-0.0274,0.8400,1lkl
8.70,-2.1773,-2.7883,0.0000,0.0420,1lnm
11.06,-1.4430,-2.1377,-0.0083,0.2520,1lor
5.52,-3.2359,-2.3249,0.0000,0.2940,1lox
7.09,-2.4311,-3.7073,-0.0088,0.4200,1lpg
7.55,-1.8635,-3.3910,-0.0056,0.2940,1lpk
7.60,-2.3273,-3.4584,-0.0055,0.1680,1lpz
6.82,-1.9726,-1.4126,0.0000,0.0840,1lrh
5.64,-0.3340,-2.2078,-0.0014,0.6300,1lrt
11.42,-2.6126,-3.4833,-0.0002,0.9240,1lyb
4.54,-1.3998,-0.6620,-0.0063,0.2100,1lyx
8.39,-2.8511,-3.8910,-0.0002,0.9660,1lzq
2.31,-2.1140,-2.6802,-0.0205,0.3780,1m0o
7.57,-2.9741,-2.4139,0.0000,0.4620,1m13
4.66,-0.7735,-0.9698,-0.0106,0.0840,1m1b
6.11,-1.2423,-2.0159,0.0000,0.0000,1m2p
6.46,-1.6259,-2.0697,-0.0024,0.0000,1m2r
4.15,-0.9723,-1.4406,-0.0038,0.1260,1m2x
5.09,-1.5421,-2.2945,-0.0125,0.4620,1m48
9.52,-2.2620,-4.6704,-0.0070,1.3020,1m4h
4.27,-1.2425,-0.8946,-0.0161,0.2940,1m5w
5.10,-1.4027,-1.1515,-0.0037,0.2100,1m6p
6.23,-1.5942,-2.6796,0.0000,0.5040,1m7d
