pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
6.27,-0.9928,-1.4963,-0.0139,0.0000,1pbq
5.80,-2.0083,-3.5243,0.0000,0.9240,1ppm
3.92,-1.4590,-1.8288,-0.0078,0.0840,1pr5
8.70,-2.2487,-1.9114,-0.0009,0.1260,1pxo
5.40,-1.9409,-3.8498,-0.0025,1.3020,1pz5
7.19,-1.0695,-1.7404,0.0000,0.2100,1q7a
4.76,-1.1502,-1.5596,-0.0002,0.1260,1q8t
9.52,-2.8625,-3.7576,0.0000,0.3780,1re8
5.19,-1.3954,-1.6573,-0.0154,0.2520,1rnt
7.70,-1.7944,-1.6879,-0.0119,0.0000,1s39
11.85,-2.9251,-3.9948,0.0000,0.3780,1sl3
3.90,-2.1349,-3.2281,0.0000,0.9660,1slg
9.21,-1.6611,-2.7777,-0.0131,0.2100,1sqa
4.74,-0.9102,-1.1763,0.0000,0.1260,1sv3
6.31,-1.8833,-1.9700,-0.0209,0.1260,1syh
7.30,-2.2880,-2.3602,-0.0085,0.5460,1tmn
4.05,-1.3723,-0.9689,-0.0083,0.1260,1toi
3.39,-1.0999,-1.0067,-0.0085,0.1260,1toj
2.47,-0.6881,-0.5951,-0.0315,0.0000,1tok
5.40,-0.9757,-0.9847,-0.0044,0.2100,1trd
4.96,-1.3919,-2.0136,-0.0170,0.2520,1tsy
7.35,-1.9326,-1.5530,0.0000,0.1680,1ttm
7.00,-1.1355,-0.7758,-0.0001,0.3360,1tyr
7.80,-0.8229,-3.1679,-0.0093,1.0080,1u1b
1.74,-0.0327,-0.9208,0.0000,0.0840,1u2y
4.60,-1.8117,-2.7298,0.0000,0.5880,1u33
1.44,-0.8784,-1.0674,-0.0003,0.1680,1utp
5.97,-1.3923,-1.6567,0.0000,0.0840,1uwt
3.87,-1.5155,-2.7623,-0.0183,0.5040,1v16
4.73,-1.1634,-2.0641,-0.0078,0.4200,1v2o
7.80,-1.9026,-2.5712,-0.0106,0.2520,1v48
5.60,-0.7990,-1.1575,-0.0007,0.0000,1vfn
7.44,-1.8929,-3.1153,-0.0125,0.1260,1vzq
11.06,-2.0628,-2.1800,-0.0090,0.2520,1x1z
7.92,-2.3093,-4.0960,0.0000,0.9660,1xd1
6.00,-0.7599,-1.5410,-0.0046,0.1260,1xgj
1.82,-1.3388,-0.9042,-0.0201,0.0420,1y1m
11.70,-2.5699,-2.6803,-0.0184,0.2100,1y6q
7.32,-1.9811,-2.7762,-0.0034,0.3360,1ydt
3.22,-0.9318,-0.9149,-0.0001,0.2520,1zc9
7.40,-1.7692,-1.5151,0.0000,0.0000,1zoe
6.15,-1.7354,-3.1356,0.0000,0.3360,1zs0
9.22,-1.9217,-3.2002,0.0000,0.3360,1zvx
7.73,-1.9865,-2.5717,0.0000,0.2520,2aou
7.04,-0.9826,-1.5470,-0.0055,0.0420,2aov
9.29,-4.2722,-3.7816,0.0000,0.5040,2ayr
3.64,-1.6378,-1.9381,0.0000,0.2100,2azr
5.74,-2.6350,-1.7950,0.0000,0.0840,2b1v
8.70,-1.8490,-3.1218,-0.0092,0.2940,2b7d
8.40,-3.2674,-3.1295,0.0000,0.1260,2baj
7.43,-3.1608,-3.6041,0.0000,0.5460,2bak
6.55,-1.5766,-2.7933,-0.0174,0.2100,2bok
4.86,-1.6595,-2.0393,-0.0006,0.2100,2brb
5.89,-1.7328,-1.8683,-0.0003,0.2100,2brm
7.09,-2.0890,-2.8722,-0.0135,0.5040,2bz6
6.43,-0.5558,-3.2626,-0.0009,1.1760,2bzz
4.04,-0.6752,-1.8139,-0.0013,0.4200,2c02
7.28,-1.3400,-1.5547,0.0000,0.0420,2ceq
9.22,-1.0531,-2.2503,0.0000,0.1680,2cer
8.02,-1.7343,-2.1891,0.0000,0.1680,2cet
7.28,-1.8096,-2.7856,-0.0106,0.4200,2cgr
3.89,-1.4925,-1.1711,-0.0232,0.1260,2ctc
5.02,-1.9866,-1.9850,-0.0276,0.3780,2d0k
7.70,-1.9756,-2.7752,-0.0015,0.7980,2d1o
6.92,-1.9950,-2.3961,0.0000,0.1680,2d3u
6.64,-2.0051,-2.2586,0.0000,0.1260,2d3z
9.89,-2.4591,-1.9680,-0.0274,0.3780,2drc
7.40,-1.5724,-4.4365,-0.0071,1.1340,2er9
13.00,-1.9218,-2.5008,0.0000,0.2100,2f01
8.18,-2.6120,-3.5413,-0.0001,0.5880,2f80
6.24,-2.2969,-1.9111,0.0000,0.0840,2fai
7.59,-2.5813,-4.0144,-0.0029,0.5880,2fdp
5.74,-1.8699,-1.8395,-0.0055,0.0420,2flb
2.70,-0.4906,-1.4219,0.0000,0.2940,2fzc
8.49,-2.7141,-1.6542,0.0000,0.0420,2g5u
3.99,-0.7265,-1.4891,0.0000,0.1680,2g8r
9.52,-2.9637,-4.4517,0.0000,0.8820,2g94
4.94,-0.7906,-1.1670,-0.0015,0.2940,2gss
5.70,-0.9001,-2.3520,0.0000,0.2520,2h3e
1.40,-0.3048,-0.9806,0.0000,0.0000,2hdq
12.10,-2.3610,-3.6103,0.0000,0.6300,2i0d
4.89,-1.4051,-1.4519,0.0000,0.0420,2j77
6.42,-1.4541,-1.4491,0.0000,0.0420,2j78
2.74,-0.3431,-1.3970,-0.0286,0.2100,2qwb
4.85,-0.5581,-1.2088,-0.0481,0.1680,2qwd
7.48,-1.1766,-1.5112,-0.0364,0.2520,2qwe
3.90,-1.0163,-1.9995,-0.0104,0.4620,2rkm
9.85,-2.4285,-2.0214,0.0000,0.1680,2std
6.51,-1.6270,-2.5419,0.0000,0.3780,2usn
5.82,-1.5947,-2.6242,-0.0063,0.9240,3gss
2.00,-1.2902,-1.0245,-0.0006,0.0840,3pce
5.40,-1.1676,-0.6572,-0.0029,0.0000,3pch
7.22,-1.1212,-1.1197,-0.0004,0.0000,3pcj
11.11,-3.3595,-3.0737,-0.0002,0.2940,3std
9.30,-1.9868,-3.4150,0.0000,0.9240,4er2
2.16,-1.1941,-0.7695,-0.0029,0.2520,4tim
3.72,-0.9194,-0.7356,-0.0012,0.1260,4tln
10.17,-2.4356,-3.2422,-0.0017,0.6720,4tmn
6.02,-1.7408,-2.4776,-0.0071,0.7560,5er1
2.37,-1.0720,-1.5504,-0.0042,0.2520,6rnt
8.64,-3.0257,-2.3851,0.0000,0.1680,6std
13.96,-2.6611,-3.2442,-0.0286,0.7980,7cpa
9.15,-2.2417,-2.3884,-0.0259,0.6300,8cpa
