pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,nacttors,ninacttors,PDB
8.3400,138.6899,2566.0215,3.8460,98.1983,5.1304,37.8592,321.8538,0.9620,7.6690,0.2865,146.7532,2530.5073,3.0246,94.3064,1.9897,47.2484,309.1736,1.3671,8.0553,0.3079,142.6643,2297.6306,4.2254,106.1251,3.0639,51.0442,376.3761,2.3415,12.5901,1.6497,130.2608,2252.3296,2.4308,74.3413,2.2580,43.9845,365.4830,2.1068,16.7454,2.2650,144.1981,2514.8613,5.2282,84.3840,3.4639,50.2690,340.6649,1.2278,13.5557,0.0000,113.1214,2106.8069,3.0910,67.8598,4.1181,51.0490,420.5774,1.5214,22.8040,0.6631,101.7394,2113.8835,1.8972,68.4245,2.9155,56.7780,423.3334,2.3030,31.4499,0.9766,134.3385,2489.8706,5.3786,105.9396,4.9569,44.0299,328.6154,3.1212,13.1697,0.2175,123.7389,2162.7910,3.5343,78.9581,4.6554,35.3673,320.8571,1.0775,20.7613,0.1383,18.0000,1.0000,2xye
8.4400,129.3550,2546.5444,2.8825,82.8011,4.3490,40.1804,320.0344,1.0342,4.6847,0.3295,139.4530,2354.7588,3.6513,61.2829,2.8574,58.4006,350.1141,1.4067,15.1946,0.3946,131.4638,2124.5981,4.5815,74.4658,6.1653,41.3289,333.0000,0.7843,20.6206,0.0000,127.5796,2254.8647,2.7089,74.3776,2.5047,49.2371,352.8303,2.9332,11.7566,2.7391,134.5191,2305.0115,4.0494,90.0914,3.3008,55.9079,365.9558,2.8487,10.1747,1.5049,133.2330,2565.4507,4.1750,100.2447,2.9735,37.0871,322.9824,2.4278,9.0185,0.0000,121.8925,2097.1226,2.0551,81.1947,2.4941,50.0221,350.2710,1.4211,21.7712,0.0000,125.1706,2481.8755,3.3961,88.8968,3.3246,52.4997,300.7293,2.6951,6.9593,0.0000,135.3461,2264.4397,2.2856,73.6791,1.4555,42.2264,319.8128,0.9358,9.6504,0.0000,18.0000,1.0000,2xyf
6.4000,104.7761,1566.8486,1.9346,61.1486,3.2707,36.0698,252.6760,1.5594,41.3735,0.0000,106.1446,1518.3392,1.6685,62.0397,2.7624,37.6712,247.3805,1.7368,42.0520,0.0000,103.4160,1489.4546,1.9800,62.9138,1.8547,52.2807,263.6274,2.1391,45.1005,0.3705,90.5200,1402.4978,1.4810,68.8701,2.9804,44.9927,267.5964,2.2623,39.2871,0.5174,116.0266,1447.3488,1.9688,64.8792,2.3354,29.9098,275.4412,1.5144,37.8620,0.0000,89.7879,1400.4252,1.1807,72.0354,2.2029,35.3442,227.2649,1.7976,36.6275,1.0421,95.5981,1493.2595,1.3833,63.1903,2.3608,37.6774,250.9152,2.0492,42.3667,0.0000,98.5879,1438.2109,1.5728,66.7379,3.0077,31.3215,215.9434,1.7103,36.2938,0.0000,88.9638,1474.2699,1.1840,66.3689,1.3126,40.7716,280.9630,2.5930,42.0770,1.2007,12.0000,1.0000,2y8c
6.6300,77.9184,1303.8729,0.5198,52.8301,0.6334,17.1598,89.7594,0.2327,10.0520,0.4699,89.0616,1294.5098,1.5095,59.5197,1.3728,16.8238,98.4523,1.0712,12.2882,0.9148,80.4830,1341.9939,1.2988,60.9184,0.9159,10.4555,101.2914,0.9695,10.1934,0.9469,76.4204,1329.7588,1.8563,63.2415,1.3773,13.5582,97.6876,0.6303,10.0818,0.8253,73.1222,1335.1365,1.1421,53.6428,0.8841,15.6455,92.5056,0.5934,9.5287,0.7935,92.2407,1282.4487,1.4378,59.4122,0.9900,14.3356,94.3278,1.2219,9.3865,0.6244,69.3220,1343.2234,0.6436,62.9264,0.0000,8.6373,93.6176,0.4599,7.1193,0.2837,76.3458,1249.3009,1.5049,56.5352,0.7440,15.9061,99.9336,0.2764,10.8918,0.4811,80.4320,1280.8732,0.5582,58.3666,0.0000,12.9728,97.6733,0.9315,9.6002,0.3636,7.0000,1.0000,2yfe
8.1200,91.6975,1359.8379,2.0808,24.0201,2.2614,8.9026,81.4321,0.2112,7.2231,0.4406,81.0378,1305.9613,1.5692,21.1271,1.2250,9.6630,75.0503,0.7774,6.0048,0.0000,62.4557,1121.2568,0.5272,15.9316,0.9883,10.2630,81.0978,0.2130,7.2083,0.2022,87.0532,1200.8403,3.2593,15.2475,2.7627,10.2836,77.0149,0.3996,6.7084,0.0000,76.0751,1183.4534,1.2548,13.3646,0.6056,9.6571,79.7425,0.5600,7.3392,0.3447,63.0753,1104.8395,1.6566,5.3045,2.3048,8.9881,79.9662,0.1481,6.2327,0.3395,50.1508,1126.0337,0.2467,15.4946,0.4107,10.6964,76.4269,0.0600,6.2704,0.0000,57.5602,1142.7729,1.4934,15.1695,1.3793,9.8955,76.7420,0.0083,6.1576,0.0816,62.1654,1027.6742,0.6214,29.2087,0.0000,10.6105,79.8955,0.0888,5.7888,0.0000,3.0000,2.0000,2yi0
8.3200,86.6615,1362.7855,1.4286,23.3729,1.6001,8.9210,86.4274,0.3930,8.6909,0.6755,70.5182,1180.2855,0.8562,18.5923,0.9467,10.2194,91.5124,0.4445,9.5612,0.7250,67.0691,1214.8599,0.6970,14.6617,0.5547,8.6678,79.2250,0.1167,8.0129,0.3515,60.2310,1131.9369,0.5786,19.1698,1.0886,10.8733,78.1775,0.0595,7.8865,0.0460,56.7658,1097.8870,0.7617,23.7198,1.0403,11.9019,92.6261,0.0691,9.2131,0.2726,54.0593,1188.1147,0.3093,24.7942,0.0000,9.4620,78.8921,0.3021,8.9857,0.5201,62.8960,1078.4911,0.4048,27.7737,0.7393,10.9838,84.0416,0.2657,8.6096,0.0000,58.0559,1174.4263,0.5179,17.3279,0.0000,12.7569,93.5238,0.0580,9.6656,0.1348,38.9025,1164.1021,0.6355,15.6043,1.3771,10.3714,78.1519,0.2353,9.1135,0.4920,4.0000,2.0000,2yi7
3.9200,155.2341,2542.7964,3.3664,18.2920,6.5404,37.7507,280.0467,2.4850,0.3691,3.4778,145.2072,2526.7383,2.7588,21.0345,4.9044,47.8903,313.9768,1.2398,0.0780,1.8967,141.7454,2371.5898,4.6629,16.9465,9.3610,47.9464,382.5870,1.4644,0.0000,1.6714,165.6564,2529.2026,4.2231,17.4055,8.1276,24.3862,261.2552,0.5911,1.2838,0.5596,148.6452,2306.5947,4.5800,18.8339,8.5963,37.9429,337.7798,1.9608,0.0000,3.0045,133.7402,2170.7874,3.6792,15.1708,9.0540,49.2585,308.4358,1.5676,1.2752,2.4284,139.5980,2466.3145,2.3865,13.8636,5.2349,23.5899,241.5901,0.8149,0.0000,1.7647,103.7814,1795.7009,4.5773,19.8930,10.1090,75.5785,524.7253,1.6647,1.3429,2.7669,135.8333,2357.6140,5.1502,14.3527,9.0648,52.5477,365.5179,1.9545,1.3379,1.2802,22.0000,3.0000,2yim
2.7800,41.8426,422.7526,0.1735,39.6660,0.0000,0.0033,1.8946,0.0000,0.0000,0.0000,38.7875,414.7237,0.2054,41.3262,0.0000,0.7640,1.1688,0.0000,0.0000,0.0000,33.8524,396.5760,0.1209,39.9531,0.0000,1.7418,0.5586,0.0000,0.0000,0.0000,38.0654,411.0066,0.2213,29.3057,0.0000,0.0393,1.6830,0.0000,0.0000,0.0000,34.6619,385.4135,0.0755,28.6330,0.0000,2.5313,0.3928,0.0070,0.0000,0.0000,33.3446,398.8753,0.4346,37.8350,0.0000,0.9685,0.6254,0.0785,0.0000,0.0000,37.8060,398.3778,1.0586,28.4761,0.0000,2.9829,0.3088,0.0036,0.0000,0.0000,34.7383,399.4434,1.0211,28.0438,0.0000,2.9077,0.3210,0.0072,0.0000,0.0000,38.6250,403.0214,1.1306,24.4710,0.0000,1.0679,0.8218,0.0130,0.0000,0.0000,3.0000,0.0000,2yiv
3.1600,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,81.6630,895.4404,3.2161,36.0004,2.7335,1.2597,9.8329,0.0071,0.0000,0.0000,81.7786,897.1785,4.4426,25.1739,4.6736,1.6930,9.4621,0.1472,0.0000,0.0000,67.2125,907.4979,3.4361,27.0906,0.8811,1.1351,10.4654,0.0000,0.0000,0.0000,2.0000,2.0000,2ymd
7.6600,92.7505,1291.2660,3.1179,70.1422,0.1761,8.1667,62.4935,0.8001,0.8027,0.7884,54.9517,1179.7278,0.7345,35.0783,0.9968,2.5897,70.2201,0.0177,0.8857,0.0000,53.9903,1172.2959,0.7746,41.0104,0.2652,2.5842,58.1055,0.0054,0.0000,0.0000,59.2483,1129.1672,0.6863,43.2654,0.0000,2.3041,57.6075,0.0859,0.0000,0.0000,60.3083,1194.4221,1.6485,28.5757,1.5335,1.9170,58.7066,0.0901,0.0000,0.0000,53.0451,1151.2529,0.7832,38.2883,0.6135,2.0085,55.6398,0.1614,0.0000,0.0000,52.3461,1122.5426,1.0024,33.5608,1.1858,2.4747,61.3795,0.0237,0.0000,0.0000,59.1663,1186.6381,0.9067,29.7609,0.3460,2.2844,65.5342,0.0782,0.0589,0.0000,75.3820,1195.2255,1.8129,47.6832,0.0000,7.3690,61.1206,1.0760,0.1750,0.6006,2.0000,0.0000,2yme
2.9200,61.5140,825.9174,4.3494,0.0000,9.9796,10.9926,74.7816,0.6434,0.0000,1.4085,71.0149,851.8904,3.5156,0.0000,8.0987,18.3709,72.4878,0.6971,0.0000,0.8115,61.3844,826.6815,3.8073,0.0000,8.7357,9.6708,76.3282,0.7295,0.0000,1.1117,54.6494,812.7875,3.6908,0.0000,7.7447,13.4389,79.5859,0.3214,0.0000,1.2712,60.6943,832.7682,3.1518,0.0000,6.6593,10.8409,71.9221,0.4487,0.0000,1.3819,52.8296,793.0118,3.5720,0.0000,8.8914,12.9909,71.1016,1.5453,0.0000,1.8700,56.0607,764.4232,2.4315,0.0000,6.0978,9.6704,73.3770,0.3812,0.0000,1.0620,51.7861,730.9742,2.3052,0.0000,6.1608,6.1064,64.7001,0.5198,0.0000,1.7294,47.0061,773.0822,2.3222,0.0000,5.7356,10.5473,75.7548,0.7000,0.0000,1.8649,4.0000,8.0000,3alt
2.9600,96.6686,1250.1442,3.7930,0.0000,5.8561,10.8973,80.1875,0.3124,0.0000,0.6332,96.5764,1242.9344,1.7301,0.0000,2.9547,9.6933,65.9409,0.7240,0.0000,1.2730,92.8248,1249.9193,3.8847,0.0000,6.0725,6.6912,71.0263,0.1553,0.0000,0.5214,101.0501,1284.4579,3.7375,0.0000,5.1173,9.3401,68.0573,0.6916,0.0000,0.9941,74.0392,1207.1606,2.1819,0.0000,5.0496,8.8758,68.9023,0.3302,0.0000,0.6387,78.3060,1232.0394,1.8817,0.0000,3.4079,10.5153,65.7723,0.8716,0.0000,1.5806,64.6032,1186.1466,1.9870,0.0000,4.5138,16.0955,84.6242,0.2199,0.0000,0.3686,74.3872,1230.8997,2.0999,0.0000,4.2618,5.7327,69.3535,0.3371,0.0000,0.7016,64.2212,1158.4086,2.0865,0.0000,5.2946,8.9476,77.6642,0.6665,0.0000,1.0000,4.0000,3.0000,3dhv
4.7200,109.9818,1026.4755,1.8929,80.6612,1.3129,2.0194,31.3111,0.0000,2.6853,0.0000,109.0219,1013.9482,1.3084,66.9720,0.0000,2.0112,31.3118,0.0000,2.6825,0.0000,108.9437,994.4856,2.7685,81.3931,1.0029,2.0373,31.3224,0.0000,2.6749,0.0000,98.8670,967.2568,0.9207,67.5520,0.0000,2.0031,31.3288,0.0000,2.6666,0.0000,100.3335,942.7995,1.0116,59.8648,0.0699,2.0031,31.3281,0.0000,2.6678,0.0000,96.2029,921.9040,1.0380,58.9171,0.3207,2.0349,31.3091,0.0000,2.6883,0.0000,94.5818,862.3386,1.7798,75.9974,0.9089,2.0545,31.3187,0.0000,2.6762,0.0000,96.7935,1013.3745,4.0584,63.6475,2.6495,2.0833,31.2956,0.0000,2.7119,0.0000,91.6832,854.9842,1.1943,47.5634,0.3395,1.0539,32.0341,0.0000,2.2958,0.0000,1.0000,2.0000,3ebo
5.9100,117.7664,1298.0713,1.8868,74.0113,0.0000,8.9905,116.5056,1.3893,6.9782,0.7830,108.1564,1240.4677,2.2623,74.4702,1.3949,9.3723,114.6986,1.5416,7.1033,0.8837,104.4503,1107.0452,1.4066,51.4907,0.9505,7.0702,118.3826,1.1101,5.8348,0.9829,99.0827,1141.0703,1.8167,75.1280,0.8956,12.2425,120.2801,2.5900,8.2324,0.8548,103.5238,1055.7062,1.3576,55.7483,0.2423,10.9371,125.1692,1.6636,7.1880,0.9925,87.3216,1030.2198,0.9941,41.8750,1.1735,6.7785,119.6178,1.0154,4.5253,1.0000,81.8331,922.7362,1.6628,75.6173,1.0651,6.4238,116.8562,0.9949,4.7219,0.8191,102.6318,1287.0210,2.1611,50.4339,0.6308,10.9716,119.1613,2.5106,7.9938,0.3947,73.7769,865.2784,1.0713,69.3475,0.6745,7.4246,121.2271,0.7877,5.1077,0.7057,2.0000,3.0000,3ebp
8.8900,112.9032,1943.2660,3.7813,72.3201,3.9024,33.8370,208.6378,1.7684,4.2438,1.1070,106.9787,1878.4985,1.4103,49.5881,1.9200,29.1714,182.1915,0.9923,10.8989,0.9382,121.1253,1976.3284,3.1931,45.4408,2.7790,42.5581,217.5011,1.3435,19.1084,0.0000,123.3984,1949.8363,4.0894,53.5488,4.5891,27.8095,204.2474,0.6387,1.6038,0.0000,100.6416,1860.0427,1.2827,47.4352,1.9394,27.4122,183.1395,0.9229,9.0135,1.1330,91.1280,1913.0266,1.7973,41.9721,2.9750,33.0445,187.8519,0.2584,7.0374,0.0000,99.1818,1848.9884,0.9959,41.4014,1.8173,28.4460,173.5519,0.4892,8.5341,0.4626,112.5084,1918.4230,2.1225,68.4440,1.6729,33.0947,207.0502,1.9199,2.1068,1.0248,93.8213,1879.0984,2.1041,43.6616,3.0175,36.3459,190.9239,0.4087,3.4173,0.0000,12.0000,2.0000,3ekp
