pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,nacttors,ninacttors,PDB
2.2200,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,124.0973,1692.3303,5.0705,21.8672,5.8334,14.4431,110.4183,3.0395,1.0348,1.0000,99.9575,1406.2312,5.6945,23.3435,6.8074,11.1176,102.3220,0.7649,2.0236,0.9614,109.9750,1677.7988,8.5848,31.2878,7.6386,9.9632,111.3240,1.3781,1.5052,0.0000,6.0000,2.0000,1m0n
2.2200,105.0288,1365.6914,1.7788,0.0000,4.5133,40.8109,114.5151,1.1321,0.0000,2.9002,122.9247,1378.7279,3.1750,0.0000,7.0047,21.8220,142.4500,0.1270,0.0000,0.0000,116.3460,1350.0059,2.1140,0.0000,5.8104,24.9511,146.6310,0.0726,0.0000,0.0000,116.6884,1410.1504,3.0562,0.0000,6.8802,27.3786,121.3345,0.2443,0.0000,0.0000,107.6335,1391.3890,1.1591,0.0000,2.6108,39.9340,126.2914,1.1185,0.0000,2.4541,120.5602,1264.4943,2.8550,0.0000,6.8684,25.4992,161.9809,0.0728,0.0000,0.0000,122.2421,1347.0840,2.6083,0.0000,6.0520,24.1788,128.9759,0.1779,0.0000,0.0000,114.0983,1298.4347,2.6507,0.0000,6.9514,20.1633,122.9017,0.0643,0.0000,0.0000,109.0031,1412.9821,2.4226,0.0000,5.5530,26.8005,126.5219,0.1048,0.0000,0.0000,25.0000,2.0000,1icj
2.2300,47.9425,614.9164,1.9588,16.6814,4.5852,7.1213,14.2849,0.3487,0.0000,0.6566,44.3667,661.2344,1.7342,21.9769,2.5589,7.3943,13.4745,0.5838,0.0000,0.8203,34.0661,722.9495,0.8322,5.3793,1.7622,7.7925,15.2405,0.5821,0.0000,1.3237,41.3909,599.1807,1.4050,10.4750,2.8987,8.4787,14.6449,0.2789,0.0000,0.4682,45.1003,580.1847,1.7425,0.3208,3.6414,7.6216,15.4859,0.5461,0.0000,1.1404,40.1690,616.2808,0.6386,6.2614,1.7954,8.5840,13.5519,0.4944,0.0000,0.7905,25.2093,531.1000,1.4893,6.8618,3.8654,8.2229,15.4348,0.4315,0.0000,1.1092,41.5477,646.6307,0.5079,0.4317,1.0400,8.2008,15.6646,0.2697,0.0000,0.5964,46.5952,597.4989,0.6605,1.6957,1.1616,8.3192,13.7119,0.8312,0.0000,1.4758,3.0000,2.0000,2igv
2.2300,81.8695,1024.0077,1.1657,18.2470,0.7204,1.4585,32.1910,0.4352,0.0000,0.0000,82.5963,1047.8999,1.7641,17.5608,0.9905,1.4491,32.2058,0.4156,0.0000,0.0000,76.5509,1037.2450,1.5697,24.5702,0.6852,1.5230,31.7412,0.5853,0.0000,0.0000,71.2038,975.1225,1.0165,10.8808,1.4292,1.5205,31.7432,0.5816,0.0000,0.0000,70.2940,1016.1359,1.6111,17.3520,1.1789,1.4462,31.8219,0.4528,0.0000,0.0000,74.2411,1010.1229,1.2095,12.0329,0.8106,1.5202,31.7419,0.5820,0.0000,0.0000,73.8937,935.1994,1.0626,11.3076,0.5239,1.9429,31.8626,0.0497,0.0000,0.0000,63.0770,876.1962,1.1027,12.0749,1.2105,2.3918,31.5097,0.0000,0.0000,0.0000,69.6321,931.5404,1.6093,19.4387,0.7044,1.7031,31.3813,0.1094,0.0000,0.0000,1.0000,1.0000,3ao5
2.2300,60.5952,802.6265,2.0463,28.2956,1.9371,3.7548,8.9576,0.0339,0.0000,0.0000,53.7463,761.5898,1.3420,23.0397,1.6631,3.6421,9.2366,0.1253,0.0000,0.3333,55.2809,765.5658,0.8101,26.8486,1.0330,1.9963,9.2861,0.2228,0.0000,0.0000,53.1954,759.4473,1.6344,23.6812,2.0609,3.8415,9.3440,0.0033,0.0000,0.0000,54.8771,754.7632,1.3353,31.0084,0.9977,3.3212,9.3808,0.1780,0.0000,0.4093,47.5821,696.2064,1.7561,26.9079,2.6320,3.2106,9.2775,0.2119,0.0000,0.4434,46.2763,692.2099,1.3191,25.4209,2.2830,3.5045,9.3145,0.0134,0.0000,0.0000,49.7113,628.8582,0.9833,36.7515,1.5889,3.2472,8.9606,0.0991,0.0000,0.0000,35.5622,635.3054,1.0340,16.3669,3.3396,4.3103,9.5083,0.0000,0.0000,0.0000,2.0000,2.0000,1ajp
2.2300,67.0882,886.9973,4.1283,0.0000,5.8698,0.6391,3.8398,0.1935,0.0000,0.6285,54.3841,820.5083,2.0388,0.0000,3.9188,0.6613,3.8535,0.1790,0.0000,0.6045,62.1487,881.1953,3.2385,0.0000,4.5823,1.7205,2.8233,0.1557,0.0000,0.5632,51.0594,869.9306,2.5820,0.0000,3.6232,0.5731,3.7902,0.2457,0.0000,0.7081,53.4032,818.8524,2.4955,0.0000,3.7275,1.5985,2.7797,0.2326,0.0000,0.6889,63.0199,861.8181,3.6621,0.0000,4.7529,0.5415,3.9918,0.0000,0.0000,0.0000,51.8310,833.5499,3.3976,0.0000,4.7947,0.5765,3.7940,0.2424,0.0000,0.7034,49.0413,774.3595,1.6502,0.0000,2.9362,0.7275,3.8952,0.1399,0.0000,0.5342,47.4163,758.5394,2.1390,0.0000,3.8793,0.4889,3.7131,0.3408,0.0000,0.8340,1.0000,4.0000,3i3b
2.2600,58.8410,704.8243,0.5692,4.5559,0.9693,0.0000,0.0000,0.0000,0.0000,0.0000,56.7468,665.5723,0.6969,5.8783,1.3132,0.0000,0.0000,0.0000,0.0000,0.0000,50.4101,681.9172,0.6903,16.6745,0.8282,0.0000,0.0000,0.0000,0.0000,0.0000,55.7991,717.7891,0.4981,12.5203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.2239,661.3808,0.3618,7.7697,0.3641,0.0000,0.0000,0.0000,0.0000,0.0000,55.0100,673.4184,0.6527,9.9123,0.6318,0.0000,0.0000,0.0000,0.0000,0.0000,49.5957,671.5900,0.4615,10.5008,0.5063,0.0000,0.0000,0.0000,0.0000,0.0000,57.9406,663.4189,0.2327,6.0224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.9897,675.0307,0.3292,11.3058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,3ao1
2.2600,61.4158,530.0480,2.9958,0.0000,4.9675,1.8124,1.6245,0.1580,0.0000,0.0000,45.1543,472.9425,2.7191,0.0000,5.2382,1.8991,1.5500,0.2159,0.0000,0.0000,44.1233,503.3483,1.4229,0.0000,2.9385,2.2468,1.5478,0.1001,0.0000,0.0000,34.4092,438.1021,1.2017,0.0000,3.3481,2.7424,1.5298,0.0589,0.0000,0.0000,28.1160,417.1406,1.3053,0.0000,3.8695,2.2082,1.3231,0.2911,0.0000,0.0000,29.4474,398.5839,0.9214,0.0000,2.2195,2.9545,1.5783,0.0082,0.0000,0.0000,38.0874,383.2258,0.7994,0.0000,1.7355,2.2855,1.6115,0.0450,0.0000,0.0000,25.6112,405.6725,0.9050,0.0000,2.3111,3.0000,1.6185,0.0022,0.0000,0.0000,23.8045,383.2682,0.8152,0.0000,2.5258,2.8818,1.6214,0.0214,0.0000,0.0000,2.0000,0.0000,1ew8
2.2800,70.0802,767.4028,2.2321,21.5181,4.6984,0.9886,10.3982,0.6191,0.0000,0.0000,67.5040,765.1844,2.9299,22.6362,5.5083,1.2750,10.4262,0.4592,0.0000,0.0000,55.4160,718.7596,0.6869,19.1989,0.0000,0.9869,10.2777,0.4665,0.0000,0.0000,51.3018,743.4038,1.9198,17.5019,1.2531,1.4562,10.0814,0.2309,0.0000,0.0000,51.7033,638.5097,0.9945,21.6866,0.0000,2.1013,9.9321,0.1331,0.0000,0.0000,45.0875,658.6998,0.9893,21.7426,0.0000,2.0743,10.0466,0.0388,0.0000,0.0000,55.8508,768.1355,2.4637,24.7922,0.2547,2.2951,9.4134,0.0168,0.0000,0.0000,61.2776,717.5865,1.7801,17.8997,0.0000,1.6801,10.3096,0.3641,0.0000,0.0000,55.9413,767.0663,2.9053,24.7372,0.2909,2.4405,9.5335,0.0116,0.0000,0.0000,2.0000,0.0000,3ip8
2.3000,59.3469,905.0945,2.4124,13.0936,5.4694,1.8687,22.9560,0.1565,0.0000,0.5324,67.1311,958.0180,4.0225,7.8653,6.0019,3.2027,22.6238,0.1850,0.0000,0.5955,72.4286,964.4843,4.8941,4.5944,6.8331,3.3389,21.6191,0.5031,0.0000,1.0000,55.8442,935.5992,2.5058,5.0889,4.4946,4.2595,23.9233,0.0379,0.0000,0.0000,56.1764,935.8827,3.7387,3.2017,5.4986,3.3790,20.3656,0.0048,0.0000,0.0000,47.4355,767.7241,1.7732,12.7046,3.7126,6.4122,15.9504,0.2693,0.0000,0.6368,49.6463,821.5623,1.0067,10.9337,1.8067,5.2432,22.1492,0.1115,0.0000,0.3984,41.5275,758.5198,1.4809,5.1058,3.2389,5.2485,19.1522,0.0873,0.0000,0.4104,54.2107,750.4351,1.7115,4.7294,3.1745,2.6870,23.5446,0.0000,0.0000,0.0000,3.0000,6.0000,3dyo
2.3000,59.1594,777.3741,0.8433,41.2479,1.8740,2.5922,8.8032,0.0000,0.0000,0.0000,61.3131,752.9839,1.8910,40.2400,3.4315,1.6832,8.7928,0.3529,0.0000,0.0000,52.2740,752.3692,1.5074,42.7142,1.9445,1.9204,8.8824,0.0204,0.0000,0.0000,48.0077,719.4065,1.2235,41.6396,1.9841,2.1625,8.6532,0.1311,0.0000,0.0000,49.9611,710.3098,0.8415,39.9621,1.3394,2.4149,8.8646,0.0371,0.0000,0.0000,48.7919,713.7317,1.2644,37.0952,1.9880,2.2954,8.6031,0.0497,0.0000,0.0000,51.9475,722.0449,1.5550,36.5188,2.7092,2.3433,8.2648,0.4259,0.0000,0.0000,46.1039,665.5267,1.2314,33.0011,2.2247,2.1448,8.6841,0.1882,0.0000,0.0000,39.2503,652.0718,0.8301,25.2076,2.1217,2.6000,8.6978,0.0415,0.0000,0.0000,2.0000,1.0000,3pcg
2.3100,109.1987,1596.1136,5.2252,26.1624,9.4958,6.4610,100.1867,0.7776,1.2818,1.0000,108.0148,1610.8340,5.8966,24.1244,7.7969,8.3085,106.6783,0.7379,1.3722,0.9668,110.2014,1587.4686,4.2985,16.5487,4.9679,8.4462,106.7257,0.8069,1.9397,1.2665,102.3917,1586.8082,5.9713,22.2606,6.6760,8.9629,102.8889,1.0678,1.2213,0.3600,113.3016,1548.2084,4.7619,9.1510,3.3107,11.1686,106.6988,0.5108,1.6261,1.1053,113.7028,1548.9698,6.3696,15.8406,5.7285,11.1312,102.4379,0.9488,2.8518,0.9126,108.3193,1561.9719,7.3362,21.7014,7.0922,15.2978,103.2597,1.3872,1.3252,1.0000,119.3649,1585.4491,6.5490,12.1879,5.3069,9.6995,106.4545,1.4458,1.2650,1.0000,108.5136,1605.5315,10.6701,15.2997,10.2990,12.5439,105.3538,0.8284,1.5222,0.7084,7.0000,4.0000,1m0o
2.3500,40.4672,707.0984,1.3441,24.1304,2.9158,9.4214,18.5758,0.3127,0.0000,0.0000,34.4957,753.5766,1.2298,15.8671,2.9452,9.5162,19.0252,0.3014,0.0000,0.0000,34.0215,655.4327,0.9378,30.1584,1.5974,9.6812,18.8340,0.2631,0.0000,0.0000,35.7389,697.9210,0.6123,12.2867,1.6698,8.7726,19.2428,0.2061,0.0000,0.0000,38.4784,666.4584,0.5255,24.9832,0.7650,9.6096,18.7713,0.2578,0.0000,0.0000,38.3151,718.7775,0.2780,13.9671,0.5906,9.7004,18.7274,0.2674,0.0000,0.0000,44.0609,648.4812,0.6122,18.2364,1.0476,8.7020,19.2947,0.2065,0.0000,0.0000,31.7289,680.5887,0.9927,15.1555,2.1821,9.6969,19.0630,0.3019,0.0000,0.0000,29.1712,696.4803,0.8611,16.5691,2.0774,9.3925,19.1441,0.3922,0.0000,0.0000,2.0000,1.0000,3gtc
2.3600,49.7897,756.0789,2.3992,10.6161,6.1972,2.9923,17.4838,0.0958,0.0000,0.0000,53.5923,743.4639,3.4922,13.8872,7.3814,2.5496,18.5010,0.0608,0.0000,0.0000,48.5938,746.9236,1.9858,1.1210,5.5174,2.7526,19.1466,0.0055,0.0000,0.0000,48.9811,742.7261,2.2173,3.7127,5.4389,3.1279,18.7352,0.0046,0.0000,0.0000,44.2821,680.4596,1.6781,13.1514,4.3429,2.5337,19.0999,0.0427,0.0000,0.0000,52.0072,715.1561,1.3675,3.4662,3.5407,2.9104,18.6878,0.0000,0.0000,0.0000,44.1002,659.2837,2.4101,10.5043,5.4446,2.7408,18.8409,0.0000,0.0000,0.0000,40.0155,692.3482,1.2515,4.5118,3.9913,2.5970,19.2637,0.0239,0.0000,0.0000,43.6202,649.0249,1.7563,14.3265,4.0905,2.7755,18.7714,0.0423,0.0000,0.0000,2.0000,0.0000,3g2z
2.3700,65.0234,834.5656,1.5723,0.0000,3.8680,9.4134,82.7170,0.0690,0.0000,0.0000,54.0179,806.8583,2.4732,0.0000,6.1346,7.2743,86.1054,0.0583,0.0000,0.0000,56.7316,946.1109,1.2261,0.0000,2.1881,8.6807,79.9658,0.3497,0.0000,0.3646,49.1561,911.4852,1.4072,0.0000,2.8653,11.1216,84.2377,0.0113,0.0000,0.0000,53.5359,856.0925,2.1561,0.0000,4.0929,15.8355,79.8837,0.2514,0.0000,0.0000,59.0816,874.7482,1.4831,0.0000,2.4551,11.6641,84.2537,0.0066,0.0000,0.0000,56.4439,739.5416,1.4338,0.0000,3.3516,14.8723,78.4035,0.0118,0.0000,0.0000,42.3273,757.7266,1.4671,0.0000,3.7844,8.5088,84.0481,0.2927,0.0000,0.4500,45.3801,799.4912,1.5013,0.0000,3.6009,16.6852,80.5441,0.6133,0.0000,0.0000,4.0000,3.0000,6rnt
