pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,nacttors,ninacttors,PDB
7.9600,152.0756,2640.7793,2.5963,88.6713,5.6738,58.3167,370.5381,1.9678,3.7460,0.0000,144.0658,2576.9319,2.6471,90.9447,4.3546,51.8689,364.9671,1.2008,6.9468,1.1113,18.0000,1.0000,3ekw
9.4100,130.9438,2159.9102,2.3504,66.7487,2.9839,28.3099,257.7468,0.7211,9.6354,0.0000,131.9267,2154.2903,2.5218,60.8695,2.6863,30.7981,255.7898,0.7811,11.9371,0.0000,10.0000,1.0000,3ekx
9.6400,123.5983,2472.9138,3.1502,81.2108,5.6065,62.2337,375.4417,1.4331,4.2116,0.0000,124.0687,2450.7708,3.1011,95.3818,3.3686,42.4507,344.5993,2.0184,3.9175,0.8673,18.0000,1.0000,3el1
7.1700,143.0586,2372.9365,2.6859,74.0872,5.8876,40.3732,349.5977,0.6727,11.9284,0.0000,142.3516,2343.3491,2.5985,70.8129,3.6071,26.3492,375.5717,0.9357,4.9145,1.3461,13.0000,1.0000,3el4
7.7200,130.7544,2169.0483,2.6090,56.2951,3.5150,27.6083,249.3158,0.5176,11.7921,0.0000,130.9488,2156.5493,3.1035,52.8950,3.5229,28.5001,247.1591,0.4664,11.8932,0.0000,10.0000,2.0000,3el5
8.4000,140.1402,2556.1326,3.1534,87.4414,5.6641,64.0408,381.4906,1.1142,5.2904,0.0000,138.6792,2557.7742,2.8896,80.3784,5.6834,60.8014,378.5196,1.1168,4.9224,0.0000,18.0000,1.0000,3el9
5.4300,46.5998,663.6685,2.1008,0.0000,5.3133,2.1552,4.2934,0.5731,0.0000,1.6831,40.8360,654.0396,1.6987,0.0000,4.9913,1.9984,4.2836,0.5917,0.0000,1.7645,3.0000,2.0000,3ng4
6.4900,114.1567,1966.2272,4.0071,10.7737,6.9970,33.1767,250.3878,1.7015,1.6008,2.8719,106.3967,1904.0167,3.1866,12.7345,5.3589,36.3322,228.8565,2.3801,0.6901,4.2825,12.0000,3.0000,3nw3
3.4800,80.5211,871.5558,2.6303,24.7602,1.7605,0.3019,7.7971,0.0000,0.0000,0.0000,77.6220,877.0522,2.4814,22.3251,1.3554,0.3356,7.7837,0.0000,0.0000,0.0000,1.0000,0.0000,3nyd
7.6200,192.3330,3014.5427,4.7287,52.1823,6.6598,46.1413,366.2539,1.0395,22.0136,1.2883,211.7162,3091.5955,7.3768,57.1147,8.8595,31.2108,288.3847,0.3568,15.3904,0.0601,30.0000,5.0000,3o4k
6.6800,82.1751,1113.9072,5.5792,0.0000,11.2045,9.2295,27.4829,0.3374,0.0000,1.1113,89.6510,1111.8949,6.9003,0.0000,12.2919,6.0744,29.6313,0.5511,0.0000,1.3055,4.0000,4.0000,3o75
5.6800,57.2941,1189.3673,1.5882,27.1536,3.3443,6.5375,32.7151,0.0702,1.5330,0.0000,77.1366,1255.6584,2.9453,62.3926,1.3758,6.2243,34.8756,0.0666,1.4595,0.0000,3.0000,2.0000,3oil
6.7400,67.4328,1149.8284,1.7683,62.7953,2.5232,8.0661,31.4123,0.4410,1.9828,0.0000,54.4223,1150.7646,1.3979,24.7209,3.0503,7.1359,33.9452,0.0655,2.7809,0.0000,3.0000,2.0000,3oim
6.3600,72.2324,1220.2719,3.2820,69.5499,3.5406,6.6071,30.7566,0.5523,1.8967,0.0000,67.8172,1243.9341,1.6742,27.6628,1.4860,6.3452,35.1857,0.0394,3.0156,0.0000,3.0000,1.0000,3oku
6.2300,83.3651,1406.4987,1.5072,31.6126,1.0923,6.1227,34.4478,0.2472,2.0059,0.0000,64.4751,1223.2236,1.3590,24.6190,2.6497,9.0415,38.3039,0.3615,1.6404,0.0000,3.0000,1.0000,3okv
9.1900,101.2631,1433.5854,2.8823,6.7067,6.9209,6.8985,63.3232,0.1728,0.3121,0.4518,92.8560,1404.2347,4.1449,6.0477,8.4200,13.8356,57.5704,0.3612,1.0000,1.0888,7.0000,1.0000,3ozg
4.4800,99.9402,1391.1168,1.1168,54.7993,1.4403,17.6083,108.7252,0.4348,2.9473,0.7523,85.7629,1269.6340,1.1511,37.9004,1.6378,11.2299,102.4914,0.4330,0.0000,0.8879,6.0000,1.0000,3p17
7.2500,78.4684,1199.1476,3.0405,41.9775,2.6342,7.7998,55.9684,0.2845,6.4563,0.3296,78.3916,1200.5018,3.1067,42.0170,2.7200,7.8957,55.9654,0.2640,6.4706,0.3017,3.0000,2.0000,3p3r
7.5900,64.4186,1074.5851,3.1478,28.0366,3.5981,3.6998,41.6078,0.4266,0.0000,0.0000,64.2932,1075.0009,3.0371,27.7992,3.5683,3.6018,41.4746,0.5055,0.0000,0.0000,2.0000,2.0000,3p3s
7.2400,74.0678,1071.0258,1.4928,45.9557,1.1457,13.1469,45.6647,0.1453,6.8772,0.0000,69.0772,1040.7003,0.9721,41.4670,1.3527,5.5214,39.1722,0.0239,3.4657,0.0000,5.0000,0.0000,3p3t
9.2800,161.9355,1982.3572,3.9003,47.6385,5.4106,36.1267,378.7741,1.4694,7.9788,0.1089,150.2186,1886.6003,3.3900,41.9048,4.9646,36.8623,347.7863,1.5095,4.6249,0.1123,14.0000,0.0000,3p8n
8.7200,138.2632,1933.9987,3.2220,44.2984,5.3723,33.6831,367.4836,0.9294,7.3027,0.0826,113.0218,1848.8829,2.3259,48.2562,4.0137,31.4924,367.8830,0.6917,6.1678,0.0000,14.0000,0.0000,3p8o
5.7400,84.3812,1012.6544,0.6187,22.5596,0.8299,10.2607,68.0923,0.2708,0.0931,0.0000,78.8544,999.2989,0.4789,21.3496,1.0187,8.6410,64.9584,0.1473,0.0000,0.0000,8.0000,0.0000,3pb7
5.2400,46.2496,694.7411,0.7714,6.3016,1.8262,3.9314,12.4815,0.0356,0.5430,0.2695,48.3813,708.3680,0.6404,2.6393,1.7893,0.8245,15.0704,0.0000,0.3936,0.0000,3.0000,0.0000,3pb8
6.5800,54.0563,734.4138,0.5818,35.0507,1.2604,3.5478,13.2222,0.0015,0.0000,0.0000,73.2770,731.7387,0.6676,40.0017,0.3381,2.8067,13.4231,0.3909,0.0000,0.0000,2.0000,0.0000,3pb9
7.0200,83.0117,1094.0248,1.0448,18.7150,1.2836,13.1479,87.0873,0.1016,1.1677,0.0000,93.0318,963.1199,0.8817,25.5592,1.1771,10.6846,63.7033,0.1173,0.0727,0.0000,8.0000,1.0000,3pbb
6.4400,99.6756,1147.6616,5.2552,2.7144,12.7147,14.0073,45.5004,0.0908,0.0000,0.0000,95.5622,1214.8015,3.7158,3.5651,9.0399,8.8270,60.9879,0.0509,0.0000,0.0000,10.0000,0.0000,3pfp
4.0200,106.0933,1132.0883,1.1459,16.6818,2.0553,13.8932,48.1576,1.0434,0.0000,0.7658,59.4529,1049.4622,1.0448,14.0107,2.3246,10.5643,51.8611,0.5507,0.0000,0.5454,5.0000,1.0000,3po1
3.3500,46.6657,695.4542,1.6108,4.4830,4.2269,1.2879,11.9930,0.0000,0.0000,0.0000,45.3068,691.9836,1.5072,4.6613,3.9569,1.1963,12.0416,0.0000,0.0000,0.0000,2.0000,0.0000,3pwk
5.3300,40.4821,545.0898,1.4367,0.0000,3.0936,1.2518,0.1258,0.2692,0.0000,0.9698,45.2499,532.3764,2.3321,0.0000,4.4024,0.3801,0.3637,0.2779,0.0000,0.7531,2.0000,2.0000,3q1x
4.3100,143.6867,2142.5398,4.9744,27.6230,12.1027,82.6370,612.8198,1.7896,4.8110,3.4096,160.0854,2048.3276,3.0806,49.4064,6.2310,100.8745,624.5139,2.1713,13.5522,3.7758,32.0000,3.0000,3q5u
7.5700,155.7753,2015.5248,3.4545,52.7043,2.1502,12.3498,211.6029,0.0427,12.8632,0.0000,133.8517,2038.5642,2.7526,46.5934,1.1799,15.8962,222.1718,0.0921,15.8904,0.0000,7.0000,0.0000,3q6w
4.9700,81.1482,665.5109,2.2890,0.0000,2.4819,0.0000,0.0000,0.0000,0.0000,0.0000,49.6878,641.6927,0.7379,0.0000,1.2876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,3qbc
8.7700,94.1583,1228.7338,1.3154,35.6339,0.7225,8.6554,63.8374,0.4219,0.0000,0.0000,79.4000,1165.0228,1.0900,44.0518,0.7163,8.5424,63.4452,0.4360,0.0000,0.0000,3.0000,1.0000,3qdd
4.1700,173.5145,2242.9849,4.6854,93.8799,5.4883,62.7986,405.7104,1.9876,0.7140,0.9056,167.3030,2154.8418,4.1241,93.8879,4.9718,61.6309,399.6423,2.4322,1.0490,1.2664,25.0000,2.0000,3qfd
6.3700,72.2065,1016.4509,0.7894,56.6740,1.2919,22.7502,50.1907,0.0377,24.0744,0.0000,67.8922,1045.4423,1.2133,58.9532,1.7171,17.2313,51.7750,0.0604,24.1948,0.0000,14.0000,0.0000,3qlm
5.8200,77.9513,1153.9595,2.0188,42.4358,3.5963,11.8164,51.6231,0.7574,5.5014,1.0076,78.2507,1149.9390,1.7518,42.3623,3.1036,11.3843,51.6068,0.8853,5.6470,1.1670,4.0000,0.0000,3qqs
4.8200,60.9580,926.7620,2.8296,12.2011,6.4769,1.9722,22.9751,0.1247,0.0000,0.4632,69.9682,991.9473,4.9245,7.3716,7.4342,2.6721,24.0072,0.0533,0.0000,0.0000,3.0000,4.0000,3vd4
4.0000,57.6940,923.2380,2.9048,12.2081,6.7294,1.8635,22.4184,0.2134,0.0000,0.5399,65.3032,956.0248,2.0963,3.7215,4.1162,3.4870,24.8644,0.0007,0.0000,0.0000,3.0000,4.0000,3vd9
2.5200,57.9690,881.4374,3.0915,0.0000,5.1157,1.4784,2.9973,0.2080,0.0000,0.6516,52.8239,836.3919,2.9426,0.0000,5.3085,0.4910,3.7917,0.3190,0.0000,0.8068,1.0000,4.0000,3vdb
8.2700,99.7287,1315.5426,2.4376,52.4959,3.0260,9.9555,108.3046,0.1562,8.0946,0.0000,79.2153,1219.2123,2.1535,63.1496,3.0345,9.9861,97.5336,0.1403,8.2398,0.0000,4.0000,1.0000,4djy
6.5200,79.3805,1385.4031,1.3907,30.2485,0.6618,4.2023,67.6489,0.4885,0.0000,0.0000,69.5875,1340.2856,1.0035,26.9879,0.9043,3.6657,66.2710,0.8118,0.0000,0.0000,3.0000,0.0000,4dko
5.7200,80.8965,1339.4404,0.6751,44.0730,0.5413,4.3905,57.2912,0.6415,0.0000,0.0000,88.3235,1324.6633,0.6178,36.1074,0.5616,3.1227,59.4365,0.5619,0.0000,0.0000,3.0000,1.0000,4dkp
6.6000,107.3760,1497.6063,1.4231,33.5681,1.9512,8.3343,87.7979,0.7361,0.0000,0.7198,94.5641,1452.2667,1.3046,41.9656,1.6046,6.2546,86.3345,0.4534,0.0000,0.0000,4.0000,0.0000,4dkq
6.5200,96.5007,1436.0563,1.9564,30.1016,1.5672,7.6518,89.7754,0.2941,0.0000,0.0000,83.4168,1420.6450,1.9620,35.8186,1.1818,6.3856,89.7430,0.8325,0.0000,0.5286,4.0000,0.0000,4dkr
4.9400,63.6422,1380.0963,2.6231,0.5069,6.8376,14.1396,79.4566,0.5705,0.0000,0.9158,68.0671,1354.1344,3.2095,1.5605,7.2654,16.6216,87.0669,0.6693,0.0000,1.0501,6.0000,2.0000,4dmw
7.2900,84.2374,867.3460,4.2123,4.4661,8.0952,3.8410,15.2946,0.4692,0.0000,1.0597,66.6865,784.8091,3.2218,2.5625,4.8926,2.7046,16.8792,0.5885,0.0000,0.2959,2.0000,3.0000,4do4
5.8300,64.0228,671.6044,3.6122,0.0000,8.2718,1.1656,2.7051,0.1294,0.0000,0.5139,58.5745,660.4061,2.9673,0.0000,4.9938,1.0107,3.0378,0.0362,0.0000,0.2718,1.0000,4.0000,4do5
5.3700,78.2897,1193.1982,3.8070,10.5736,9.1920,8.4031,53.8116,0.3113,0.0000,0.0000,85.6865,1211.8978,5.9162,4.4478,11.2417,14.5034,54.8890,0.3151,0.0000,0.0000,6.0000,0.0000,3qt6
4.1300,112.8874,1460.9951,1.8089,53.2301,2.0236,19.9095,113.3619,0.3654,2.2443,0.6007,98.8851,1354.1285,1.2729,38.5005,0.7393,12.7943,109.1450,0.2919,0.0000,0.6116,6.0000,1.0000,3qto
4.6500,112.9588,1481.4705,1.7907,54.7246,1.3290,18.0530,112.7488,0.3194,1.8814,0.5358,102.0004,1377.4502,1.6254,40.2749,0.5160,11.1696,105.1765,0.2903,0.0000,0.6099,6.0000,1.0000,3qtv
6.4500,123.3982,1927.3676,5.6869,43.3642,9.3942,47.8714,266.4050,1.3061,8.3025,1.4239,127.6283,1924.8962,4.0822,35.9818,8.9342,28.7311,222.2619,0.1419,2.4689,0.0000,17.0000,1.0000,3qw5
4.2600,105.7298,1446.5216,1.5316,50.4454,1.4857,22.9131,121.3381,0.4136,2.6398,0.6731,100.4463,1381.2850,1.8476,53.3237,1.2778,22.4147,121.3597,0.3792,2.2742,0.6165,6.0000,1.0000,3qwc
4.2000,119.4015,1505.1241,1.7058,56.9232,1.9229,19.6558,119.4586,0.4996,2.6079,0.6392,90.7494,1445.5903,1.1543,42.7461,0.5653,18.5464,129.1987,0.4994,0.7701,0.2961,6.0000,1.0000,3qx5
4.8400,82.7650,1796.2467,1.8601,57.7821,3.4382,45.8981,311.5049,0.6036,41.6124,0.3073,71.0944,1723.7345,1.1118,44.6168,2.1087,55.6765,343.5104,0.8445,53.2947,0.9786,15.0000,1.0000,3r0y
4.7200,92.0041,1441.7169,3.7960,45.8286,3.0611,10.6446,48.7441,0.5918,0.0000,0.0000,81.1211,1411.2052,2.2516,44.2644,0.6948,10.2534,49.1316,0.7475,0.0000,0.0000,3.0000,0.0000,3r6c
8.3600,142.4518,2029.4915,2.6303,44.2310,2.6035,8.6029,162.6077,0.5933,1.9878,0.0000,137.4144,2067.2068,2.5532,42.7258,2.4131,8.4796,174.8764,0.5953,2.0000,0.0000,7.0000,0.0000,3r7o
4.8200,63.1184,756.4327,1.2653,15.0068,2.1814,3.1776,15.2058,0.3010,0.0000,0.7838,50.3129,873.9325,1.1808,4.3367,2.2633,3.7207,15.2058,0.4605,0.0000,0.9670,3.0000,1.0000,3r88
9.4300,73.0897,1040.5409,4.5172,7.4836,8.2631,5.5628,25.6641,0.0647,0.0000,0.0000,67.4598,924.9244,3.1405,4.2829,7.5286,10.3358,22.9305,0.0548,0.0000,0.0000,6.0000,0.0000,3rbu
7.4000,66.6136,1209.4011,0.9953,8.8076,1.5263,6.6707,55.7397,0.2058,0.0000,0.2434,57.5039,1159.6230,0.5203,11.3503,0.6074,7.1543,56.1242,0.2084,0.0000,0.1613,2.0000,3.0000,3re4
4.5500,106.5195,1020.1057,2.4392,15.7589,3.4473,1.0738,10.6543,0.0000,0.0000,0.0000,100.9010,1029.3597,2.7115,17.4681,2.4316,1.1234,11.3499,0.0000,0.0000,0.0000,2.0000,0.0000,3rr4
8.8000,194.6646,3060.3953,8.8664,54.0831,6.9631,45.7231,260.5352,1.6186,33.4096,2.5435,174.8081,2739.2231,7.1921,52.0224,8.6321,51.3391,277.3167,1.0792,28.6423,1.2605,30.0000,4.0000,3rt4
4.9200,82.5202,1037.4159,1.8904,32.8265,2.7335,13.5453,49.8212,0.3453,2.6806,0.0000,67.6975,1094.4551,2.1307,11.6717,3.5155,17.1793,48.1278,0.9339,5.0915,0.0000,5.0000,0.0000,3rv8
8.6000,125.0636,2011.9496,3.4008,60.6924,5.2040,23.0718,210.4924,0.5366,0.1141,0.0000,120.0201,1857.3867,3.8401,64.3853,5.1118,29.7984,192.6557,0.9824,7.2931,0.4775,12.0000,2.0000,3s43
8.4900,119.1306,1916.5710,3.8980,54.2553,5.3771,28.8703,194.2160,0.5365,2.7101,0.0000,109.3660,1909.7505,3.6481,45.7205,4.0292,32.3877,193.9178,0.3743,4.2470,0.4975,12.0000,2.0000,3s45
9.6400,115.5663,2159.5613,3.8442,73.8126,3.8411,33.8209,268.8648,0.5893,0.0000,0.0000,126.5433,2126.9639,4.5506,57.1067,5.4625,31.0441,255.9031,0.7940,3.9318,0.0000,12.0000,2.0000,3s54
9.6200,173.4691,2446.8660,4.6347,98.7005,5.9104,41.3248,349.7657,1.3989,11.6265,0.1384,152.0472,2415.1763,3.6417,82.8837,6.6212,41.6402,356.3589,1.2627,12.6141,0.1247,13.0000,1.0000,3s56
7.4100,74.4645,674.9527,3.8454,0.0000,7.9907,1.2734,2.5014,0.1834,0.0000,0.6118,63.6845,625.9956,2.9447,0.0000,4.2843,0.3937,2.7956,0.4733,0.0000,0.9828,1.0000,4.0000,3s5y
7.3500,98.4027,1286.1302,2.5621,28.4711,5.7380,18.1043,97.6161,1.2741,0.0000,1.3555,88.4598,1176.5237,2.7962,28.5014,6.1897,13.0666,78.6262,0.7225,0.0000,0.5751,5.0000,3.0000,3s6t
7.3000,77.0917,1190.3925,1.6311,26.6879,3.1098,15.8939,73.4274,0.3303,3.5247,0.1617,77.6938,1179.8708,1.6938,27.2173,2.2962,15.4688,74.0964,0.1344,3.0036,0.0000,5.0000,1.0000,3s8x
6.8200,74.3388,1216.0372,2.7092,35.0489,4.9599,9.3383,85.5665,0.7394,0.2848,0.0000,74.7699,1199.7244,2.3198,33.3355,4.2017,5.6642,69.8148,0.2780,1.4075,0.0000,5.0000,1.0000,3s9t
7.5900,100.2703,1410.4742,3.6858,45.0660,2.4642,10.6313,107.6515,0.0319,1.4034,0.0000,81.6038,1341.8639,1.1382,30.9633,1.1923,17.2094,105.3009,0.4831,3.8512,0.0000,8.0000,1.0000,3sap
6.5700,91.1173,1336.1644,3.5769,43.6754,5.5228,14.0201,92.5607,0.6499,0.7493,0.0000,75.7812,1148.8877,2.2954,39.8166,4.5342,5.3656,72.1108,0.3328,0.2005,0.0000,6.0000,1.0000,3sax
7.2800,80.0287,1215.1890,1.6342,28.2277,2.1594,14.3001,72.2884,0.1482,4.2345,0.0000,68.8326,1177.9419,1.6631,26.3418,2.4117,7.3689,64.7834,0.0650,2.7091,0.0000,5.0000,1.0000,3sbh
7.9200,77.7587,1150.4955,1.7278,25.8321,3.2516,9.4643,63.8857,0.0245,1.3680,0.0000,57.4399,1040.4663,1.4580,20.5955,2.9180,9.5171,51.4263,0.1004,0.0000,0.0000,5.0000,1.0000,3sbi
6.0600,52.6687,845.7116,1.3995,2.1481,3.8242,6.4034,32.8255,0.0260,0.0000,0.0000,52.9011,903.5963,1.9068,0.0000,3.1218,8.1018,32.3741,0.0000,0.0000,0.0000,2.0000,3.0000,3sfg
5.5900,104.0835,1414.8630,1.2216,50.5751,1.5560,17.7765,114.2315,0.4353,2.8466,0.7192,80.3733,1271.2993,1.3232,51.7629,1.4918,24.7142,112.5215,0.8415,2.7331,0.6324,6.0000,1.0000,3sha
5.7200,102.3894,1419.1704,1.9854,47.7127,1.5955,17.8920,111.2157,0.4721,0.7805,0.6863,87.4233,1319.5852,1.0795,43.2952,0.7595,12.7532,106.4497,0.5103,0.0091,0.5928,6.0000,1.0000,3shc
4.1600,94.5616,1364.5557,1.1843,53.6127,1.6286,17.7111,106.0758,0.4653,2.8040,0.7168,89.4230,1271.4088,1.4009,51.5181,1.6417,23.6060,107.2591,0.8241,2.6773,0.8791,6.0000,1.0000,3si3
3.8800,101.0122,1417.0479,1.2557,53.8293,1.5237,19.1529,113.5308,0.5941,2.8193,0.8467,84.5628,1295.2384,1.2156,40.8299,1.5558,12.4280,111.9070,0.4646,0.0000,0.8847,6.0000,1.0000,3si4
3.8600,87.8381,1399.3364,1.6773,61.3277,3.0643,30.5870,195.7281,0.5865,19.9000,0.3786,81.2038,1329.4814,1.1955,63.5848,1.9239,40.2985,230.6539,0.7300,20.2823,0.7001,11.0000,2.0000,3spf
6.7900,139.3824,1861.8837,2.9703,62.9973,5.4776,15.7872,298.9944,1.6897,0.7125,0.5223,108.8552,1633.9510,2.8136,51.3487,5.4587,23.1323,313.7931,1.9203,11.8521,0.5292,8.0000,0.0000,3su0
6.6800,136.3780,1858.7249,3.1802,58.5735,5.6405,16.4026,300.7822,1.4545,1.3858,0.4290,120.3798,1731.0841,2.9237,57.7527,5.4291,18.2706,319.6186,2.1639,1.2198,0.4059,8.0000,0.0000,3su1
4.3500,146.1772,1909.5547,2.9601,58.7303,5.4621,14.2416,275.9272,1.5388,0.0000,0.5156,114.4894,1771.0947,2.7578,46.1746,4.7068,13.7599,253.7845,2.1923,0.0000,0.5443,8.0000,0.0000,3su2
