pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,nacttors,ninacttors,PDB
2.2200,105.0288,1365.6914,1.7788,0.0000,4.5133,40.8109,114.5151,1.1321,0.0000,2.9002,122.9247,1378.7279,3.1750,0.0000,7.0047,21.8220,142.4500,0.1270,0.0000,0.0000,25.0000,2.0000,1icj
2.2300,47.9425,614.9164,1.9588,16.6814,4.5852,7.1213,14.2849,0.3487,0.0000,0.6566,44.3667,661.2344,1.7342,21.9769,2.5589,7.3943,13.4745,0.5838,0.0000,0.8203,3.0000,2.0000,2igv
2.2300,81.8695,1024.0077,1.1657,18.2470,0.7204,1.4585,32.1910,0.4352,0.0000,0.0000,82.5963,1047.8999,1.7641,17.5608,0.9905,1.4491,32.2058,0.4156,0.0000,0.0000,1.0000,1.0000,3ao5
2.2300,60.5952,802.6265,2.0463,28.2956,1.9371,3.7548,8.9576,0.0339,0.0000,0.0000,53.7463,761.5898,1.3420,23.0397,1.6631,3.6421,9.2366,0.1253,0.0000,0.3333,2.0000,2.0000,1ajp
2.2300,67.0882,886.9973,4.1283,0.0000,5.8698,0.6391,3.8398,0.1935,0.0000,0.6285,54.3841,820.5083,2.0388,0.0000,3.9188,0.6613,3.8535,0.1790,0.0000,0.6045,1.0000,4.0000,3i3b
2.2600,58.8410,704.8243,0.5692,4.5559,0.9693,0.0000,0.0000,0.0000,0.0000,0.0000,56.7468,665.5723,0.6969,5.8783,1.3132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,3ao1
2.2600,61.4158,530.0480,2.9958,0.0000,4.9675,1.8124,1.6245,0.1580,0.0000,0.0000,45.1543,472.9425,2.7191,0.0000,5.2382,1.8991,1.5500,0.2159,0.0000,0.0000,2.0000,0.0000,1ew8
2.2800,70.0802,767.4028,2.2321,21.5181,4.6984,0.9886,10.3982,0.6191,0.0000,0.0000,67.5040,765.1844,2.9299,22.6362,5.5083,1.2750,10.4262,0.4592,0.0000,0.0000,2.0000,0.0000,3ip8
2.3000,59.3469,905.0945,2.4124,13.0936,5.4694,1.8687,22.9560,0.1565,0.0000,0.5324,67.1311,958.0180,4.0225,7.8653,6.0019,3.2027,22.6238,0.1850,0.0000,0.5955,3.0000,6.0000,3dyo
2.3000,59.1594,777.3741,0.8433,41.2479,1.8740,2.5922,8.8032,0.0000,0.0000,0.0000,61.3131,752.9839,1.8910,40.2400,3.4315,1.6832,8.7928,0.3529,0.0000,0.0000,2.0000,1.0000,3pcg
2.3100,109.1987,1596.1136,5.2252,26.1624,9.4958,6.4610,100.1867,0.7776,1.2818,1.0000,108.0148,1610.8340,5.8966,24.1244,7.7969,8.3085,106.6783,0.7379,1.3722,0.9668,7.0000,4.0000,1m0o
2.3500,40.4672,707.0984,1.3441,24.1304,2.9158,9.4214,18.5758,0.3127,0.0000,0.0000,34.4957,753.5766,1.2298,15.8671,2.9452,9.5162,19.0252,0.3014,0.0000,0.0000,2.0000,1.0000,3gtc
2.3600,49.7897,756.0789,2.3992,10.6161,6.1972,2.9923,17.4838,0.0958,0.0000,0.0000,53.5923,743.4639,3.4922,13.8872,7.3814,2.5496,18.5010,0.0608,0.0000,0.0000,2.0000,0.0000,3g2z
2.3700,65.0234,834.5656,1.5723,0.0000,3.8680,9.4134,82.7170,0.0690,0.0000,0.0000,54.0179,806.8583,2.4732,0.0000,6.1346,7.2743,86.1054,0.0583,0.0000,0.0000,4.0000,3.0000,6rnt
2.3800,186.2108,2306.7312,7.0280,47.0769,12.1775,15.9301,156.4337,0.9507,1.4802,0.0000,186.2108,2306.7312,7.0280,47.0769,12.1775,15.9301,156.4337,0.9507,1.4802,0.0000,11.0000,4.0000,3f6e
2.3900,72.4359,1131.7881,4.5483,1.6885,11.3782,19.5887,65.6464,0.6756,0.7496,2.0490,77.2753,1125.5808,4.5326,1.6400,11.6104,14.2407,68.1041,0.9041,1.0000,1.4267,9.0000,7.0000,1f73
2.4000,88.3135,1182.6587,2.7785,6.3673,6.8665,5.6438,43.7648,0.1141,0.0000,0.4825,77.6782,1169.2849,2.4809,5.3074,4.4619,4.3838,44.6389,0.7574,0.0000,0.9594,2.0000,4.0000,3l7b
2.4400,36.9231,309.8931,0.7988,0.0000,1.8829,1.9391,0.6527,0.0000,0.0000,0.0000,36.6528,308.3334,0.8083,0.0000,1.9014,1.9507,0.6789,0.0000,0.0000,0.0000,2.0000,4.0000,1oba
2.4400,97.1231,1251.8733,2.5125,4.7030,6.1405,5.0198,50.4862,0.1865,0.0000,0.5875,81.3148,1247.8103,2.9756,5.6270,4.3778,4.7514,49.4743,0.7707,0.0000,1.5018,2.0000,3.0000,3l7c
2.4400,63.9258,889.6859,1.4858,0.0000,3.8988,3.6723,30.5740,0.0000,0.0000,0.0000,65.1733,879.9539,2.0324,0.0000,4.4003,5.8210,29.3619,0.2444,0.0000,0.0000,1.0000,3.0000,2i2b
2.4600,90.3692,1191.3179,2.3747,6.7958,6.0397,5.2629,43.6794,0.1587,0.0000,0.5053,71.2702,1182.0654,2.7153,5.9243,4.5714,5.0982,42.1165,0.5348,0.0000,1.1790,2.0000,3.0000,3l79
2.4700,49.7578,623.5916,1.2587,7.3601,2.3543,2.8598,6.6953,0.0176,1.2584,0.0000,48.1061,615.4625,1.1183,5.2625,2.3586,2.1436,7.5267,0.0000,1.3790,0.0000,3.0000,1.0000,1utl
2.4700,41.2149,535.2682,2.6855,3.8377,7.2569,4.4086,1.6912,0.0056,0.0000,0.0000,41.0734,533.5041,2.6512,3.9046,7.1850,4.0827,1.7976,0.0030,0.0000,0.0000,2.0000,0.0000,1tok
2.4800,62.0624,456.8728,0.9680,43.5404,1.9639,0.4452,2.4385,0.0000,0.0000,0.0000,62.0409,459.8788,0.9943,43.7735,1.9597,0.4635,2.4422,0.0000,0.0000,0.0000,1.0000,0.0000,1gyx
2.5000,58.3761,766.0904,1.0621,30.8915,1.9080,2.1910,11.5050,0.0005,0.0000,0.0000,45.7408,694.9094,1.2251,31.6654,2.6520,2.3025,11.7686,0.0000,0.0000,0.0000,2.0000,2.0000,1ai4
2.5100,56.9543,860.9286,1.2751,12.5603,2.4338,11.6829,39.9570,0.0144,2.5834,0.0000,66.1084,883.2436,1.8550,14.3220,3.5775,5.2199,40.3945,0.5849,0.9668,0.0000,3.0000,0.0000,3g30
2.5200,97.4046,1739.9290,4.3740,0.0000,8.6417,12.4692,91.4235,0.1908,0.0000,0.2123,104.2244,1609.6007,3.9479,0.0000,8.0245,21.6217,121.1577,0.4807,0.0000,0.3809,6.0000,2.0000,3bf1
2.5200,45.0792,705.3740,1.5107,14.4506,3.6213,4.9586,18.2185,0.0459,1.0000,0.3060,37.2359,732.2087,1.1770,15.0316,3.4483,3.9127,18.2323,0.6759,1.0000,1.0000,2.0000,2.0000,3gr2
2.5500,105.3057,1545.3600,3.2543,0.0000,6.9917,10.3122,116.9603,0.0473,0.0000,0.0000,92.8830,1512.6082,2.6355,0.0000,6.4995,14.6231,116.8411,0.1814,0.0000,0.0000,8.0000,3.0000,1kf0
2.5500,56.8717,734.0104,0.5023,14.4345,0.6934,0.6979,12.8790,0.0000,0.8710,0.0000,55.7085,744.9832,0.4370,12.7465,0.4640,0.7054,12.8763,0.0000,0.4932,0.0000,1.0000,2.0000,3ovn
2.5700,52.9184,1275.9828,3.7705,0.0000,9.2966,9.7155,78.7969,0.7687,0.0000,1.5031,79.2293,1283.8318,3.0869,0.0000,5.9975,11.4417,72.2165,0.5065,0.0000,1.5925,4.0000,8.0000,1gwv
2.5700,58.7120,719.4236,1.8020,3.1487,3.8116,0.5435,8.3088,0.0000,0.0000,0.0000,48.9781,727.6891,0.9981,3.9132,1.9769,0.7989,8.3202,0.0000,0.0000,0.0000,2.0000,1.0000,3kgp
2.5900,76.4584,982.0821,2.4952,23.1089,4.2784,7.7828,27.0805,0.1203,1.6006,0.0000,70.2350,917.5464,2.6358,26.3678,3.8228,8.3811,25.9813,0.3520,1.5926,0.1336,2.0000,1.0000,3gvb
2.6000,70.7902,577.0881,1.7658,16.3831,1.4711,2.8367,14.0120,0.0000,0.0000,0.0000,57.3128,514.2863,1.0527,24.6760,1.0854,2.7129,14.0140,0.0000,0.0000,0.0000,6.0000,2.0000,2r5a
2.6200,29.2023,646.4728,0.3434,39.5180,0.5078,0.0000,0.0000,0.0000,0.0000,0.0000,29.7229,645.6321,0.3473,39.4333,0.4909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3f37
2.6200,33.2596,655.9136,0.8134,36.4002,0.9284,0.0000,0.0000,0.0000,0.0000,0.0000,33.4516,656.9346,0.8067,36.3126,0.8771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3f38
2.6300,57.3693,809.1803,0.5262,41.0024,0.0000,4.3844,17.1911,0.0054,0.0000,0.0000,55.2132,824.2408,0.4270,36.4560,0.0000,4.5040,17.2962,0.0343,0.0000,0.0000,3.0000,0.0000,1ajn
2.6600,113.9619,1722.5992,2.4785,0.0000,5.6021,19.3585,153.0488,0.7387,0.0000,0.0000,108.3318,1718.4717,3.5860,0.0000,7.2745,13.8139,122.5906,0.8169,0.0000,0.6635,8.0000,2.0000,3a1e
2.6700,71.7351,1189.1410,2.7394,0.5108,6.4517,12.1205,65.9276,0.2624,0.0000,0.4809,54.8267,991.8367,2.0128,0.0000,6.8976,20.9556,66.7485,0.5623,0.0000,1.3367,9.0000,2.0000,3lvw
2.6800,79.3874,840.6176,3.8218,0.0000,10.0912,4.5748,20.3744,0.0000,0.0000,0.0000,82.8618,838.1179,4.1098,0.0000,9.8839,3.2396,22.8532,0.0000,0.0000,0.0000,3.0000,3.0000,1o8b
2.6900,65.1251,869.8998,2.1831,4.7161,4.3040,6.3164,41.0769,0.1781,0.0000,0.5410,65.5327,853.2764,2.6200,3.6923,4.7296,4.3222,41.5353,0.2485,0.0000,0.5503,2.0000,3.0000,3elc
2.7000,52.4142,507.7244,0.8167,13.5575,1.6544,0.6217,0.5815,0.0000,0.0000,0.0000,50.6674,514.3890,0.4989,14.8740,0.6666,0.9820,0.4640,0.0088,0.0000,0.0000,2.0000,1.0000,2uyn
2.7000,51.9377,880.2633,1.9070,11.7165,3.8315,6.7955,23.8447,0.0057,2.0000,0.0000,43.6316,864.4750,0.8460,24.3967,2.0056,6.8857,23.0564,0.0028,2.0000,0.0000,2.0000,1.0000,3gsg
2.7200,47.7228,544.5323,0.8967,5.6510,1.9583,0.6523,8.9997,0.0000,0.0000,0.0000,39.1012,561.9897,0.4589,3.4714,1.1053,3.8654,7.0235,0.0000,0.0000,0.0000,4.0000,2.0000,1pfu
2.7200,56.3639,510.4188,2.5436,4.6640,5.2218,3.0643,4.1946,0.0402,0.0000,0.0000,43.8009,528.3249,1.5581,4.0696,3.8877,0.2687,6.4938,0.0000,0.0000,0.0000,3.0000,0.0000,2rkd
2.7400,61.2025,542.5557,0.9298,16.3916,1.0106,1.2415,13.3951,0.0000,0.0000,0.0000,58.2838,511.1520,1.0429,15.7557,1.5725,0.5023,15.3124,0.0000,0.0000,0.0000,6.0000,2.0000,2vyt
2.7500,47.5738,460.0015,1.7140,6.9047,4.1020,0.0000,0.0000,0.0000,0.0000,0.0000,46.8969,462.9675,1.5519,6.8767,3.8147,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1rql
2.7700,56.0257,840.2693,3.0596,0.0000,8.8626,6.9289,19.2810,0.3238,0.0000,1.4494,60.0265,829.3971,2.9633,0.0000,8.9334,3.1937,21.3863,0.2003,0.0000,1.0007,5.0000,2.0000,2bet
2.8000,50.2388,544.3048,1.0393,5.6148,2.3843,0.5192,1.0291,0.0000,0.0000,0.0000,50.2123,543.4833,1.0352,5.5601,2.3665,0.5323,1.0407,0.0000,0.0000,0.0000,1.0000,1.0000,2bza
2.8100,60.3662,888.3502,2.5539,3.0000,6.0369,9.8020,72.4645,0.1873,0.0000,0.0000,68.9300,980.7546,2.8143,1.0825,4.9809,11.5996,59.8913,0.3388,0.0000,0.4106,4.0000,3.0000,3djx
2.8200,59.8231,701.3020,0.7185,20.4322,1.1832,0.9131,3.5457,0.0000,0.0000,0.0000,43.1425,693.8133,0.7497,12.6477,2.0562,0.7549,3.5095,0.0000,0.0000,0.0000,1.0000,1.0000,3ppr
2.8400,49.5445,544.7245,2.7143,0.0000,8.2000,4.1231,3.8856,0.0001,0.0000,0.0000,50.2062,545.5694,2.7061,0.0000,8.1428,4.0963,3.8955,0.0019,0.0000,0.0000,3.0000,0.0000,3moh
2.8600,100.8011,1464.3906,2.5640,0.0000,5.4737,64.7183,440.7769,2.0115,0.0000,4.0803,84.2266,1655.4139,2.2744,0.0000,6.7017,40.4789,287.1501,2.2643,0.0000,4.8430,12.0000,7.0000,3qx8
2.8900,41.1391,704.2944,0.3712,53.0084,0.2565,2.0342,2.3526,0.0000,3.6750,0.0000,41.4562,704.3102,0.3881,53.3261,0.2419,2.0413,2.3517,0.0000,3.6732,0.0000,1.0000,3.0000,3f36
2.8900,69.1578,896.9639,0.5516,56.0753,0.0000,16.0297,57.2351,0.0789,11.5083,0.0000,77.0748,890.9678,0.9483,53.6845,0.5307,10.5467,56.3888,0.1219,7.9908,0.0000,8.0000,3.0000,1cet
2.8900,67.8272,699.6947,1.8318,0.0000,5.4984,2.3061,11.2800,0.0000,0.0000,0.0000,66.3597,702.9234,1.9359,0.0000,5.5132,4.5614,10.0743,0.0038,0.0000,0.0000,4.0000,1.0000,1iih
2.8900,38.4285,435.9706,1.2459,24.8791,3.1053,0.4429,0.4968,0.0000,0.0000,0.0000,31.4227,433.8413,1.2351,24.8296,2.8956,0.9760,0.4216,0.0000,0.0000,0.0000,2.0000,1.0000,1ugp
2.8900,61.6486,875.9191,2.3032,28.6991,5.0009,8.0631,28.2178,0.3599,1.5136,0.6776,53.3546,859.3384,2.6646,25.0584,6.1428,11.1988,25.5671,0.5950,2.2782,1.0000,7.0000,5.0000,2wpb
2.8900,55.7853,1243.5284,4.3062,0.9313,11.1204,15.9417,118.0424,0.6300,1.0992,1.7732,70.7140,1361.0482,4.3476,1.7438,9.9198,8.3619,105.6368,0.8640,0.8229,1.8663,6.0000,7.0000,2wtx
2.8900,40.0882,601.5047,0.4696,30.3324,0.3227,8.0469,19.3984,0.4957,1.4992,0.0000,32.8495,590.3242,0.8181,23.1467,1.3272,7.5353,22.1804,0.2920,2.8842,0.0000,2.0000,1.0000,3g31
2.9000,80.3687,1213.5293,2.4311,8.1566,6.6250,11.7677,51.8157,0.7901,0.0000,2.4314,79.7698,1198.0939,2.9315,9.4136,7.3893,12.5227,56.9975,0.8282,0.0000,2.3877,12.0000,6.0000,3c2u
2.9200,67.1637,918.0487,3.2112,2.9821,7.8695,11.4485,12.5679,0.6560,0.0000,1.4567,73.6252,907.6703,3.1563,3.8459,6.7590,10.0157,11.0792,0.8277,0.0000,1.9341,5.0000,1.0000,2fw6
2.9200,65.4593,916.3947,3.2837,3.0936,8.0119,11.4730,12.5819,0.6317,0.0000,1.3869,75.4805,912.2498,3.8456,4.4014,7.7577,8.4202,11.9219,0.5109,0.0000,1.3787,5.0000,1.0000,2fwp
2.9200,65.7098,948.3748,4.0379,0.0000,7.9912,11.1647,17.6791,0.7980,0.0000,2.1459,75.9681,973.2466,3.4309,0.0000,7.3668,5.2773,24.4068,0.0190,0.0000,0.0000,5.0000,3.0000,3k8c
2.9300,47.3839,547.5069,0.9757,4.2568,2.1859,0.4687,0.9391,0.0000,0.0000,0.0000,38.9773,533.0251,1.0001,4.4602,2.4889,0.0579,1.3965,0.0000,0.0000,0.0000,1.0000,1.0000,1tng
2.9400,49.9808,541.5236,2.0565,0.4613,5.0524,4.3517,18.0426,0.1589,0.0000,0.4542,43.4516,500.0027,2.3556,0.0000,5.7554,3.6705,17.9375,0.5059,0.0000,0.9963,2.0000,5.0000,2vmc
2.9600,115.6654,1485.4028,6.2534,2.8561,9.8449,9.5872,87.9764,0.7164,0.0000,1.9843,98.2580,1545.0110,5.2044,4.3432,9.2176,16.3918,80.1667,1.0849,0.0000,1.0486,7.0000,3.0000,2w8j
2.9600,40.8658,469.2056,0.7367,7.3934,1.4741,0.0000,0.0000,0.0000,0.0000,0.0000,35.4440,437.3040,1.0618,8.4904,2.2391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2br6
2.9600,43.4342,887.3197,0.7404,40.9275,1.9117,8.1588,40.3727,0.1076,2.6404,0.0000,57.4893,841.7427,0.7272,43.2077,1.2486,9.3667,40.8284,0.0180,0.0000,0.0000,3.0000,1.0000,1f4e
2.9600,62.0692,957.6143,2.0452,0.3120,4.9404,5.8247,33.4833,0.6409,0.0000,0.0000,62.6814,1000.0610,2.5839,7.1633,4.5580,4.6690,26.3255,0.3195,0.0000,0.0000,2.0000,0.0000,3g34
2.9700,118.5814,2250.5735,0.8756,82.4133,0.2777,20.6641,193.1096,0.9051,1.6415,1.2396,118.5814,2250.5735,0.8756,82.4133,0.2777,20.6641,193.1096,0.9051,1.6415,1.2396,5.0000,15.0000,2hw2
2.9800,109.8294,1494.2075,5.6821,0.0000,10.7575,26.7983,176.7310,2.9480,0.0000,3.7167,83.6601,1363.1736,3.2824,0.0000,5.9824,28.6661,159.0779,2.6762,0.0000,4.4332,7.0000,11.0000,3ckb
2.9800,81.5106,1164.4496,3.9115,0.5155,7.2535,16.0183,84.9078,0.7124,0.0000,1.1896,65.7842,1061.3120,2.2022,0.0000,5.9244,14.8303,84.4824,0.2699,0.0000,0.4604,6.0000,2.0000,3djq
3.0000,55.5415,581.6860,1.9494,0.0000,4.9068,2.6446,7.7667,0.0457,0.0000,0.3053,56.3779,565.8121,2.1909,0.0000,3.5541,2.6147,7.8901,0.0369,0.0000,0.2717,2.0000,5.0000,1ws4
3.0000,49.6230,733.4446,1.8034,6.6123,4.6679,0.5804,8.3107,0.0000,0.0000,0.0000,47.9823,744.5661,1.6053,8.7831,3.9448,0.5305,8.3248,0.0000,0.0000,0.0000,1.0000,0.0000,3ime
3.0000,29.1922,467.5513,0.5635,14.4604,1.4412,0.0000,0.0000,0.0000,0.0000,0.0000,25.9593,468.4970,0.4289,11.6458,1.5280,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2q8h
3.0000,66.9352,521.3308,4.6471,0.0000,8.8332,0.2733,0.3092,0.4672,0.0000,0.9765,69.0704,521.7467,4.1022,0.0000,6.9691,0.3218,0.5457,0.0000,0.0000,0.0000,2.0000,2.0000,2v3u
3.0000,84.4497,1013.7602,7.5496,2.2134,10.4502,8.2513,14.3644,2.0476,0.0000,2.2717,90.1943,1036.4263,8.3509,0.7970,10.4605,8.9603,15.4894,1.3549,0.0000,1.7529,5.0000,3.0000,1ecq
3.0000,50.2734,640.8201,1.3213,1.3341,3.4975,5.2241,3.0023,0.2070,0.0000,0.6260,51.6992,634.5331,1.2841,2.6936,2.5122,5.8777,2.9581,0.2451,0.0000,0.7060,4.0000,2.0000,1hqg
3.0000,54.1626,506.7547,2.7873,0.0000,6.5825,1.6044,4.8006,0.0000,0.0000,0.0000,47.2679,499.4717,2.6055,0.0000,6.5896,3.3766,4.3878,0.0044,0.0000,0.0000,3.0000,0.0000,2rka
3.0100,48.0524,524.2463,0.9429,6.9519,2.2760,1.0294,4.2132,0.0000,0.0000,0.0000,48.0322,525.6061,0.9820,6.9580,2.3092,1.1546,4.1520,0.0000,0.0000,0.0000,2.0000,1.0000,1utm
3.0200,51.1087,485.5468,2.3923,0.0000,5.5721,2.5751,6.6641,0.0820,0.0000,0.4090,40.0560,454.3078,3.1423,0.0000,7.0414,1.8521,6.4610,0.4541,0.0000,0.9627,2.0000,5.0000,2vmd
3.0300,60.2796,577.2171,2.2769,0.0000,5.3667,1.8349,7.7858,0.0000,0.0000,0.0000,46.4623,525.9376,1.6733,0.0000,3.5741,1.3379,8.5494,0.2532,0.0000,0.7188,2.0000,5.0000,1ws5
3.0300,57.1421,713.7816,2.7392,0.0000,4.9924,0.0000,0.0000,0.0000,0.0000,0.0000,57.4417,697.9897,3.4476,0.0000,5.9236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1ogd
3.0300,36.4860,491.3749,0.4645,0.0000,1.4845,0.7201,0.8923,0.0000,0.0000,0.0000,37.0931,489.7563,0.4934,0.0000,1.4906,0.7960,0.8713,0.0000,0.0000,0.0000,2.0000,4.0000,2ha3
3.0400,107.7198,1132.5261,2.3712,23.8487,4.5197,19.7052,179.6198,0.5171,5.9721,0.7530,88.3057,1088.8696,2.3688,18.5468,4.7010,15.6880,159.9835,1.0416,0.0000,1.6114,7.0000,5.0000,3t1m
3.0500,101.4203,880.5350,3.9249,0.0000,8.8182,5.1636,23.7519,1.4407,0.0000,1.9738,79.8066,840.8845,4.2720,0.0000,9.7528,3.6568,24.4964,0.4983,0.0000,1.2043,6.0000,2.0000,1uj5
3.0500,79.3816,860.9531,4.9488,0.0000,11.5521,3.6594,25.5792,0.3374,0.0000,0.7444,63.1832,817.8297,3.0875,0.0000,8.6621,10.7587,23.6325,0.5278,0.0000,1.7478,6.0000,3.0000,1uj6
3.0500,77.6284,1069.5035,4.9741,3.4754,11.5636,15.0596,58.7049,1.0255,1.0957,1.9832,56.6956,1037.9170,2.2144,3.4817,5.9197,29.6189,58.3757,1.1153,0.5871,3.6104,9.0000,5.0000,1f74
3.0600,83.4215,1516.7168,3.1151,26.6015,5.6038,15.9464,100.2072,0.1648,2.9495,0.1560,79.1565,1378.0212,3.4243,30.5316,6.7697,13.6048,88.9173,0.0738,3.6081,0.0000,11.0000,1.0000,2jfh
3.0700,37.4009,416.0462,1.7437,0.0000,5.8950,0.0000,0.0000,0.0000,0.0000,0.0000,37.4057,417.2226,1.7660,0.0000,5.9114,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,3mof
3.0900,63.0835,555.8304,2.5663,0.0000,5.8765,0.5450,3.2642,0.3848,0.0000,0.8862,56.3429,538.2463,2.0716,0.0000,3.4867,0.0915,4.4594,0.0000,0.0000,0.0000,1.0000,5.0000,1ugw
3.1000,39.6743,498.6231,0.9879,35.2138,1.9613,1.6066,9.3589,0.0000,1.4502,0.0000,39.4000,499.5589,0.9522,35.1535,1.9137,1.6403,9.3148,0.0000,1.4609,0.0000,2.0000,3.0000,3buf
3.1000,55.1763,695.1299,0.3368,46.8163,0.0000,3.1243,5.0448,0.0000,2.8374,0.0000,53.6624,694.8275,0.3242,44.7238,0.0000,3.4098,5.5928,0.0082,1.8542,0.0000,3.0000,0.0000,3f78
3.1000,86.7132,1024.4413,8.3702,0.0000,13.9948,6.7245,15.5488,0.1545,0.0000,0.7461,84.7953,984.0845,8.6983,0.0000,14.1081,5.7394,15.7317,0.6536,0.0000,1.9399,4.0000,4.0000,1ec9
3.1000,38.3146,713.4095,1.1470,0.0000,2.0015,0.0000,0.0000,0.0000,0.0000,0.0000,37.9119,682.9711,0.3242,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1pu7
3.1000,34.8486,726.1216,0.9481,0.0000,2.5505,0.0000,0.0000,0.0000,0.0000,0.0000,39.2055,687.6058,0.9910,0.0000,2.6370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1pu8
3.1100,65.9165,699.4519,1.8030,8.2164,4.3008,4.7214,6.2406,0.2728,0.0000,0.0000,65.5131,698.2731,1.8365,8.2162,4.3459,4.7166,6.2364,0.2682,0.0000,0.0000,2.0000,0.0000,3c2r
3.1300,54.1063,778.4877,2.4188,3.0862,5.3078,4.4784,17.4345,0.4132,0.0000,0.9843,49.7812,762.9863,1.7437,6.9864,3.1871,4.1527,17.3268,0.5756,0.0000,1.0679,2.0000,5.0000,1ax0
3.1400,83.2692,1299.2843,4.7480,11.9170,10.1028,11.4744,88.9477,0.5781,0.0000,1.3788,83.6575,1303.5857,6.2985,12.1131,10.2194,14.8099,87.8438,0.8564,0.0000,2.1266,6.0000,4.0000,2ya7
3.1500,71.7399,903.6553,3.5466,0.0000,7.0588,2.3283,3.4240,0.6686,0.0000,1.0000,57.2244,877.0944,2.4838,0.0000,5.9071,1.1660,4.9019,0.0341,0.0000,0.2638,1.0000,4.0000,1e6q
