pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,Hydrophobic,Vdw,HBond,Ent,PDB
6.9200,1923.0000,482.0000,506.0000,0.0000,999.0000,251.0000,249.0000,0.0000,2431.0000,612.0000,699.0000,0.0000,0.0000,0.0000,0.0000,0.0000,578.0000,150.0000,164.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,103.9840,1812.2059,9.2062,0.0000,9.5769,21.1455,139.3922,1.0582,0.0000,0.0000,0.0952,-1.8908,-2.2732,-0.0345,0.5880,1b39
8.0200,3971.0000,1043.0000,1216.0000,38.0000,1117.0000,288.0000,346.0000,11.0000,903.0000,231.0000,272.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131.9391,1760.4229,7.4103,34.4988,10.5699,11.1009,116.3279,0.5248,0.0000,0.0000,0.0526,-2.3091,-2.9565,-0.0406,0.6720,1b7h
10.6400,2230.0000,640.0000,648.0000,25.0000,796.0000,229.0000,233.0000,12.0000,802.0000,220.0000,232.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.2780,1279.7040,3.3658,2.0746,5.8467,9.1050,43.1074,0.5209,0.0000,0.0000,0.2222,-1.2516,-2.2580,-0.0112,0.0840,1b8o
5.9600,3954.0000,1026.0000,1210.0000,41.0000,1105.0000,283.0000,345.0000,11.0000,895.0000,233.0000,269.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126.4287,1739.9197,6.9013,30.9430,11.3821,12.8606,116.1378,0.7787,0.0000,0.0000,0.0541,-1.4415,-2.8807,-0.0375,0.6300,1b9j
3.2800,2007.0000,561.0000,660.0000,57.0000,437.0000,120.0000,147.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.6900,865.7314,0.6354,11.1526,0.7476,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,-0.6499,-1.7146,-0.0091,0.0000,1bcu
4.5900,3367.0000,953.0000,1037.0000,77.0000,521.0000,147.0000,168.0000,15.0000,411.0000,109.0000,132.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,585.0000,159.0000,184.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5641,1613.5723,5.3877,48.5889,2.7752,23.6627,227.0491,1.9484,4.0002,0.7806,0.0645,-2.5102,-3.3309,0.0000,0.5040,1bma
1.8200,1311.0000,365.0000,439.0000,33.0000,363.0000,103.0000,118.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9023,610.7928,2.2715,6.6087,3.1695,1.0625,2.0689,0.0000,0.0000,0.0000,0.4000,-0.9182,-1.3164,-0.0106,0.0000,1bra
10.0000,4603.0000,1192.0000,1747.0000,0.0000,608.0000,150.0000,234.0000,0.0000,1407.0000,343.0000,506.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,46.0000,62.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.5634,2051.6858,4.9309,65.4640,5.5933,23.6238,185.2133,0.3928,6.2542,0.0000,0.0690,-2.2680,-3.7212,-0.0029,0.4620,1bxo
7.5700,1343.0000,468.0000,436.0000,0.0000,225.0000,76.0000,73.0000,0.0000,1732.0000,610.0000,545.0000,0.0000,0.0000,0.0000,0.0000,0.0000,221.0000,76.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.8086,1150.9894,9.7849,2.8746,16.2414,11.0717,34.6913,1.5700,0.0000,0.6712,0.1429,-1.3261,-1.5787,-0.0874,0.2520,1d09
3.3000,755.0000,172.0000,176.0000,3.0000,0.0000,0.0000,0.0000,0.0000,363.0000,79.0000,86.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.4234,323.8843,0.7733,20.3397,0.7926,0.4389,0.3029,0.3153,0.0000,0.0000,0.2500,-0.6333,-0.7074,0.0000,0.0840,1d7j
4.3000,1165.0000,308.0000,317.0000,0.0000,653.0000,171.0000,179.0000,0.0000,682.0000,184.0000,194.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.0000,17.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.2748,856.8722,3.9061,0.0000,6.5151,11.0937,92.7559,0.0747,0.0000,0.0000,0.1538,-0.7193,-1.4354,-0.0145,0.2520,1det
9.7000,2045.0000,540.0000,582.0000,0.0000,435.0000,105.0000,119.0000,0.0000,545.0000,143.0000,156.0000,0.0000,230.0000,57.0000,67.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8543,1158.0555,3.2050,33.5465,4.6617,1.4621,29.1454,0.1207,0.0000,0.0000,0.1667,-2.0872,-2.2866,-0.0103,0.2100,1df8
7.2600,3202.0000,838.0000,786.0000,31.0000,1559.0000,370.0000,359.0000,19.0000,545.0000,167.0000,134.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.8786,1408.0975,2.7449,31.6161,4.5178,14.0809,125.9543,1.4668,1.3806,0.0000,0.0870,-2.2218,-1.9178,-0.0383,0.3780,1dhi
4.9200,2377.0000,597.0000,648.0000,0.0000,1027.0000,258.0000,260.0000,0.0000,216.0000,58.0000,57.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0055,1170.2344,4.3180,12.2018,2.7573,2.2690,38.8020,0.0000,0.0000,0.0000,0.2222,-1.6796,-1.1378,-0.0050,0.2100,1e1v
7.6400,1134.0000,305.0000,366.0000,5.0000,0.0000,0.0000,0.0000,0.0000,160.0000,52.0000,52.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,556.0000,142.0000,179.0000,2.0000,0.0000,0.0000,0.0000,0.0000,29.3291,546.9122,1.0704,23.6350,1.2927,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,-1.2747,-0.8290,0.0000,0.0000,1e5a
9.8900,4219.0000,871.0000,1049.0000,29.0000,461.0000,87.0000,111.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.0000,51.0000,57.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126.4666,1345.5151,2.1968,89.2305,0.0000,0.0516,9.9190,0.0000,0.6388,0.0000,0.3333,-1.9668,-2.6708,-0.0038,0.0420,1e66
6.3600,2838.0000,794.0000,886.0000,68.0000,521.0000,150.0000,168.0000,14.0000,420.0000,112.0000,132.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.0000,165.0000,190.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.8676,1409.5258,3.7539,43.9953,3.6898,17.4288,173.2988,1.7243,4.6926,0.8200,0.0800,-2.0377,-2.7673,-0.0020,0.4200,1ela
7.1500,3121.0000,876.0000,967.0000,71.0000,555.0000,154.0000,178.0000,13.0000,416.0000,124.0000,137.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,472.0000,144.0000,145.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.4820,1376.7936,6.3917,39.8448,2.8937,29.4338,202.0427,2.3887,11.1093,0.9278,0.0606,-1.6616,-2.5129,-0.0010,0.5460,1elb
2.9600,2165.0000,508.0000,509.0000,30.0000,198.0000,46.0000,45.0000,2.0000,786.0000,188.0000,179.0000,11.0000,187.0000,48.0000,43.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.3640,854.4972,1.0496,47.7815,1.3226,7.3759,38.3198,0.2591,1.5277,0.0000,0.2222,-0.9308,-1.3325,-0.0048,0.1260,1f4e
4.6200,3033.0000,742.0000,735.0000,37.0000,372.0000,95.0000,85.0000,4.0000,1582.0000,410.0000,373.0000,17.0000,213.0000,54.0000,46.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.8860,1426.2892,1.8273,48.8653,0.7257,12.9366,107.6869,0.1127,4.2352,0.0000,0.1000,-0.6415,-2.0935,-0.0101,0.3780,1f4f
6.4800,3559.0000,915.0000,893.0000,41.0000,546.0000,148.0000,130.0000,5.0000,1775.0000,480.0000,440.0000,17.0000,206.0000,52.0000,45.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.6075,1755.1864,3.2856,56.1800,3.5606,14.6858,142.6622,0.7493,3.7771,0.0000,0.0769,-0.6247,-2.4958,-0.0080,0.5040,1f4g
3.7400,1328.0000,362.0000,405.0000,34.0000,408.0000,109.0000,117.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.6531,618.7176,2.1068,2.4314,3.7287,0.5048,2.4214,0.0000,0.0000,0.0000,0.4000,-0.6374,-1.2398,-0.0164,0.0000,1f5k
7.1900,5790.0000,1349.0000,1360.0000,180.0000,0.0000,0.0000,0.0000,0.0000,634.0000,152.0000,160.0000,18.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.3308,1934.3541,2.1417,136.4690,1.8054,3.4247,74.2626,0.2756,8.4161,0.0000,0.1538,-3.5583,-3.2994,-0.0150,0.0840,1fcx
9.2200,5392.0000,1253.0000,1263.0000,164.0000,0.0000,0.0000,0.0000,0.0000,649.0000,155.0000,163.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.4536,1809.0088,2.4188,136.5433,1.9992,2.3583,66.2050,0.3180,7.1752,0.0000,0.1429,-3.4227,-3.0958,-0.0158,0.0840,1fcz
8.4000,5758.0000,1341.0000,1345.0000,180.0000,249.0000,57.0000,55.0000,8.0000,640.0000,156.0000,160.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.5207,1978.2800,2.6200,136.9566,2.1820,4.6699,85.1283,0.9066,7.9611,0.0000,0.1538,-3.5782,-3.3702,-0.0162,0.0840,1fd0
5.2400,1712.0000,514.0000,544.0000,0.0000,191.0000,57.0000,62.0000,0.0000,1200.0000,344.0000,368.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.7490,1003.7949,6.5675,0.0000,8.5680,4.1360,39.7839,0.0000,0.0000,0.0000,0.1818,-1.3887,-1.7788,-0.0008,0.1680,1fh7
6.8900,1681.0000,506.0000,536.0000,0.0000,198.0000,61.0000,65.0000,0.0000,976.0000,281.0000,298.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.4189,918.5646,5.2001,6.3778,8.6112,4.0632,35.4102,0.0000,0.0000,0.0000,0.2000,-1.3511,-1.7572,-0.0100,0.1680,1fh8
6.4300,1714.0000,510.0000,546.0000,0.0000,392.0000,117.0000,124.0000,0.0000,1378.0000,404.0000,427.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,105.0344,1134.8861,9.5881,0.0000,11.8430,4.3920,46.2250,0.0000,0.0000,0.0000,0.1667,-1.4200,-1.8175,-0.0015,0.1680,1fh9
9.7000,5156.0000,1102.0000,1149.0000,13.0000,179.0000,41.0000,42.0000,0.0000,1510.0000,331.0000,350.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.7249,1758.7052,3.0140,63.5447,4.2878,18.5003,219.8500,0.0696,11.9956,0.0000,0.0741,-2.1967,-3.0184,0.0000,0.3780,1fkb
7.0000,3323.0000,735.0000,759.0000,4.0000,177.0000,40.0000,43.0000,0.0000,935.0000,202.0000,217.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.5698,1230.9664,1.5532,59.1728,1.7966,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,-1.7059,-2.2378,0.0000,0.0000,1fki
8.8000,5789.0000,1583.0000,1843.0000,9.0000,1200.0000,337.0000,382.0000,1.0000,1881.0000,530.0000,615.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.1722,2566.5522,9.9159,47.7833,13.1422,60.7576,433.3067,5.0677,6.8617,1.2908,0.0294,-2.3354,-4.1300,-0.0048,1.2180,1fkn
10.0000,3390.0000,958.0000,942.0000,23.0000,0.0000,0.0000,0.0000,0.0000,818.0000,222.0000,218.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.1950,1403.1854,2.8991,77.4154,3.6708,13.7725,70.4553,2.1017,13.6122,0.0000,0.2857,-1.2814,-2.8655,-0.0012,0.0420,1flr
5.5900,8993.0000,2244.0000,2462.0000,47.0000,1945.0000,497.0000,538.0000,11.0000,2649.0000,690.0000,726.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0424,3696.4780,16.0131,106.6345,20.1442,79.9302,568.2542,3.7209,15.7587,1.2240,0.0290,-5.1639,-5.9582,-0.0100,1.2600,1fo0
7.6100,1634.0000,381.0000,468.0000,31.0000,482.0000,112.0000,137.0000,8.0000,929.0000,219.0000,262.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.6392,940.5820,4.6028,16.5453,7.5125,3.9501,17.1713,0.0981,0.0000,0.0000,0.2000,-1.5566,-1.5595,-0.0483,0.1260,1ftm
8.4000,7564.0000,1635.0000,1997.0000,45.0000,1574.0000,350.0000,408.0000,10.0000,1876.0000,383.0000,472.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.3577,2788.2578,6.1650,87.8375,8.5444,53.1344,506.8950,5.3324,4.1457,0.1652,0.0370,-2.9553,-4.2088,-0.0081,0.9660,1fzk
6.0600,5242.0000,1223.0000,1399.0000,28.0000,1620.0000,395.0000,437.0000,9.0000,2061.0000,477.0000,560.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,160.5022,2354.0156,10.9481,25.9499,12.1832,39.1082,372.3328,1.8699,1.6715,1.2297,0.0400,-1.9499,-3.2795,-0.0111,0.9240,1g7q
8.0700,3545.0000,924.0000,798.0000,20.0000,0.0000,0.0000,0.0000,0.0000,288.0000,82.0000,62.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.5778,1193.1960,0.9191,104.9716,0.3826,1.8241,62.9785,0.0000,8.3508,0.0000,0.0606,-2.1475,-2.0555,-0.0088,0.6300,1gni
5.3700,3634.0000,776.0000,910.0000,24.0000,475.0000,103.0000,121.0000,2.0000,234.0000,59.0000,66.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.4939,1214.8599,1.3872,47.0127,1.8244,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,-2.1414,-2.2081,-0.0042,0.0000,1gpk
3.5100,1974.0000,484.0000,612.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1586.0000,397.0000,494.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.2937,1165.1147,3.7103,3.3975,6.3695,19.5065,194.1386,0.8779,0.0000,0.9449,0.0800,-1.3872,-1.8516,0.0000,0.4200,1gz9
