pbindaff,Hydrophobic,Ent,PDB
4.82,-1.3415,0.4200,1dud
11.80,-1.9546,0.3360,1duv
4.36,-1.8102,0.3360,1dy4
6.10,-2.1623,0.1680,1dzk
5.89,-1.2444,0.2100,1e1x
4.94,-2.0005,0.0840,1e2k
4.29,-2.1976,0.0840,1e2l
4.34,-1.3439,0.1680,1e3v
8.41,-1.9329,0.0000,1e4h
3.15,-1.1247,0.0420,1e6q
3.22,-1.2955,0.0420,1e6s
3.10,-1.7028,0.1680,1ec9
3.00,-2.0049,0.2100,1ecq
4.85,-1.6991,0.0420,1ecv
8.22,-1.2329,0.1260,1efy
5.70,-1.3423,0.2100,1egh
11.06,-2.3539,0.2520,1eix
5.62,-1.8766,0.2100,1ejn
6.66,-2.4513,0.5460,1elc
6.70,-2.2777,0.3780,1eld
6.85,-2.0128,0.3360,1ele
4.96,-1.6849,0.9660,1elr
6.96,-2.3828,0.8820,1ent
7.96,-2.1302,0.6300,1epo
8.10,-2.8389,0.0420,1erb
2.26,-0.4211,0.0840,1ew8
3.22,-0.4868,0.0420,1ew9
6.33,-2.1962,0.9660,1ex8
5.10,-1.5088,0.8400,1ez9
9.05,-2.1934,0.4200,1ezq
7.66,-1.7383,0.2100,1f0r
7.74,-1.8707,0.2100,1f0s
6.00,-1.4814,0.2100,1f0t
7.16,-1.7194,0.4200,1f0u
1.91,-0.8766,0.1260,1f2o
1.90,-1.0678,0.1260,1f2p
6.70,-0.7392,0.0000,1f3e
5.59,-1.2698,0.3360,1f4x
5.64,-0.2530,0.0840,1f57
5.28,-1.1258,0.0840,1f5l
5.00,-1.2234,1.0500,1f8a
1.28,-0.2204,0.0840,1f9g
7.37,-1.5555,0.6720,1fao
7.15,-2.1706,0.8820,1fch
8.52,-3.6553,0.0840,1fcy
7.27,-2.6399,0.5880,1fdq
6.82,-1.3275,0.1680,1fhd
6.59,-4.4827,0.9240,1fiv
4.59,-1.3696,0.0420,1fj4
9.96,-1.8890,0.4620,1fjs
9.40,-2.6428,0.3780,1fkf
8.00,-1.5596,0.4620,1fkg
8.15,-1.7326,0.4620,1fkh
5.05,-2.1833,0.0840,1fkw
6.80,-2.2783,0.2940,1fl3
9.00,-4.0438,0.5880,1fm9
5.59,-5.1639,1.2600,1fo0
7.00,-2.1242,0.4620,1fpc
8.40,-2.9364,0.4200,1fq5
5.93,-1.9333,0.0840,1fv0
3.70,-0.8096,0.6300,1fwu
3.72,-0.7885,0.6300,1fwv
7.70,-3.8735,1.2600,1fzm
7.89,-2.9090,0.9660,1fzo
7.62,-1.4797,0.4200,1fzq
9.44,-1.4579,0.1680,1g1d
7.96,-3.7510,0.6300,1g2k
7.24,-2.0604,0.6300,1g2l
10.55,-1.8109,0.0840,1g2o
6.85,-2.4200,0.6300,1g30
6.11,-2.4496,0.2100,1g32
8.14,-3.5881,0.7560,1g35
7.17,-1.3821,0.2100,1g36
5.74,-0.4357,0.1260,1g3b
5.80,-1.1302,0.1260,1g3c
5.55,-0.7154,0.1260,1g3d
5.38,-0.8947,0.1260,1g3e
8.64,-1.1744,0.1680,1g45
8.80,-1.2203,0.1680,1g46
8.41,-1.2429,0.1680,1g48
8.70,-1.1884,0.1680,1g4j
8.25,-1.1748,0.1680,1g4o
9.54,-1.5106,0.1680,1g52
9.04,-1.5562,0.1680,1g53
8.82,-1.5397,0.1680,1g54
6.60,-1.8885,0.8400,1g7g
6.40,-1.0640,0.5460,1g7v
5.48,-1.2863,0.2100,1g85
5.70,-1.0910,0.3360,1g98
5.70,-2.9652,0.6300,1g9r
1.80,-0.9803,0.2520,1ga8
8.00,-2.4381,0.3780,1gaf
12.00,-2.4127,0.5460,1gah
8.00,-2.2109,0.5460,1gai
10.00,-2.6761,1.0500,1gar
5.13,-1.5048,0.1680,1gcz
4.35,-1.2438,0.0000,1ghv
4.20,-1.7239,0.0000,1ghw
8.10,-1.8307,0.0000,1ghy
4.80,-0.8509,0.0000,1ghz
5.47,-1.0388,0.0000,1gi1
7.19,-0.7489,0.0000,1gi4
6.22,-1.1250,0.0420,1gi6
4.51,-0.8469,0.0000,1gi7
5.05,-1.1420,0.0000,1gi8
5.22,-1.3074,0.0840,1gi9
4.07,-2.0758,0.0840,1gj4
7.00,-1.6932,0.0840,1gj6
7.89,-1.7256,0.0840,1gj7
6.96,-1.0378,0.2100,1gj8
5.42,-1.2895,0.0840,1gja
6.35,-1.3640,0.0420,1gjb
6.35,-1.3141,0.0420,1gjc
5.22,-1.7059,0.0840,1gjd
6.25,-2.5855,0.8400,1gnm
5.68,-3.0853,0.8400,1gnn
7.70,-2.5945,0.8400,1gno
4.14,-0.7252,0.6720,1gny
6.48,-1.6568,0.0000,1gpn
3.72,-0.5925,0.2100,1grp
6.00,-1.9178,0.0000,1gt1
4.52,-1.1651,0.0420,1gu1
6.96,-2.2668,0.8820,1gvw
7.22,-2.8513,1.2600,1gvx
2.57,-1.0276,0.2520,1gwv
2.48,-0.7945,0.0000,1gyx
3.64,-0.9734,0.0420,1gyy
3.70,-2.2137,0.5880,1gz3
3.70,-1.7403,0.5880,1gz4
3.51,-1.3872,0.4200,1gz9
3.49,-0.8563,0.2520,1gzc
5.44,-0.2803,0.5040,1h0a
8.22,-1.1163,0.2520,1h1d
5.22,-0.0903,0.4200,1h1h
4.92,-1.1265,0.2100,1h1p
8.22,-1.6378,0.3360,1h1s
9.10,-2.5362,0.5460,1h22
7.89,-2.5684,0.7980,1h2t
3.57,-1.3370,0.2940,1h46
4.66,-0.8835,0.0000,1h4w
5.30,-0.9043,1.0920,1h6h
5.42,-1.7481,0.1680,1h9z
6.37,-3.2849,0.6300,1hbv
7.74,-2.2371,0.7560,1heg
4.19,0.3045,0.4200,1hi3
4.04,-0.4998,0.4200,1hi5
8.05,-3.4491,0.6300,1hih
7.28,-3.6599,0.6300,1hii
5.00,-0.5445,0.0840,1hlk
6.55,-2.2462,0.6720,1hmr
6.37,-2.5300,0.6300,1hms
5.79,-2.3828,0.6720,1hmt
6.00,-1.8920,0.0000,1hn2
6.24,-1.6567,0.0420,1hnn
8.55,-2.8870,1.0080,1hos
6.70,-2.0781,0.0840,1hp0
9.22,-2.6122,0.2940,1hpo
9.22,-2.0883,0.7560,1hps
9.22,-2.5560,0.5880,1hpv
11.26,-2.8234,0.7140,1hpx
3.00,0.1917,0.1680,1hqg
9.42,-3.4514,0.5040,1hsh
7.96,-3.0584,0.5040,1hvh
10.92,-4.0892,0.7980,1hvi
11.40,-3.9861,0.7980,1hvj
10.96,-4.5272,0.7980,1hvk
9.95,-4.3286,0.7980,1hvl
9.51,-3.1441,0.3360,1hvr
10.30,-3.4426,0.7980,1hvs
8.33,-2.0143,0.3360,1hwr
9.92,-3.8999,0.5460,1hxb
10.82,-3.7466,0.8400,1hxw
4.07,-1.1660,0.1680,1hyo
6.34,-0.2072,0.3780,1i00
8.52,-3.5140,0.6300,1i5r
6.40,-1.8536,0.3360,1i7z
6.41,-1.1528,0.0000,1i80
8.48,-1.2399,0.1680,1i9l
8.48,-1.2552,0.1680,1i9m
8.66,-1.2894,0.1680,1i9n
8.42,-1.3119,0.1680,1i9o
8.41,-1.2196,0.1680,1i9p
8.41,-1.2806,0.1680,1i9q
2.22,-1.7671,1.7220,1icj
9.64,-1.5568,0.2520,1if8
6.40,-1.9284,0.1260,1igb
10.00,-1.9449,0.2100,1igj
6.62,-1.4623,0.1680,1ii5
2.89,-0.8618,0.2520,1iih
7.48,-3.5904,0.9660,1iiq
7.41,-1.2109,0.2100,1ik4
3.40,-2.9890,0.8400,1ikt
3.52,-0.6746,0.9240,1imx
6.19,-1.8542,0.2100,1iy7
7.70,-4.1131,0.9240,1izh
6.59,-3.5996,0.9240,1izi
6.47,-1.4078,0.1680,1j01
4.49,-0.8384,0.0000,1j14
7.72,-2.2888,0.8820,1j4r
5.57,-1.4463,0.0840,1jak
5.92,-1.4598,0.3360,1jao
5.15,-1.3919,0.5460,1jcx
6.62,-2.3047,1.0080,1jd5
7.25,-2.0616,0.5460,1jet
6.82,-1.3900,0.6720,1jeu
6.89,-2.7918,0.6300,1jev
2.05,-1.1604,0.4200,1jfh
8.70,-1.8384,0.0000,1jgl
3.33,-1.3881,0.5880,1jlr
5.77,-1.4856,0.2520,1jmf
6.07,-1.6566,0.2520,1jmg
6.06,-1.4719,0.2520,1jmi
4.09,0.0497,0.1680,1jn2
4.95,-1.3453,0.6720,1jn4
4.62,-0.7205,0.3360,1joc
6.00,-2.7000,0.6720,1jq8
6.44,-1.9850,0.4200,1jqe
4.92,-1.3544,0.4200,1jqy
3.40,-0.9841,0.1260,1jt1
7.85,-2.0568,0.3360,1jwt
8.70,-2.4567,1.0500,1jyq
6.60,-1.7415,0.7560,1jzs
6.58,-1.5768,0.2940,1k1i
7.55,-1.8158,0.3780,1k1j
6.90,-1.7128,0.2520,1k1l
7.40,-1.8685,0.2520,1k1m
6.82,-1.8669,0.5040,1k1n
3.22,-1.2827,0.5460,1k1y
8.38,-2.4546,0.5040,1k21
8.40,-2.3696,0.3360,1k22
5.11,-1.1457,0.2520,1k4h
5.82,-1.5694,0.2520,1kav
5.52,-0.7065,0.0840,1kc7
9.05,-2.4196,0.0000,1kdk
7.28,-1.9834,0.3780,1kel
6.06,-1.4803,0.4620,1kjr
5.20,-0.7218,0.2100,1kll
5.10,-2.2667,0.0420,1kmy
6.70,-1.2957,0.3360,1koj
5.80,-2.7753,0.4200,1kpm
9.40,-2.3517,0.3780,1ksn
5.92,-1.4227,0.2100,1kyv
10.39,-3.5553,0.3780,1kzk
8.92,-2.8867,0.5460,1kzn
8.10,0.1968,0.0000,1l6m
3.40,-1.1680,0.0000,1l83
7.85,-2.1062,0.2520,1laf
6.30,-1.3718,0.1260,1lag
7.52,-1.5388,0.1680,1lah
7.85,-1.4584,0.4200,1lbf
7.74,-2.8843,0.6300,1lee
7.52,-3.2659,0.6300,1lf2
12.00,-1.6613,0.5460,1lf9
6.10,-1.9167,0.0420,1lgt
4.00,-1.2242,0.0000,1lgw
4.04,-1.0953,0.0000,1li2
4.25,-1.1474,0.0000,1li3
3.80,-1.2022,0.0000,1li6
7.52,-2.1926,0.0420,1lke
6.85,-1.4218,0.9240,1lkk
5.81,-1.3209,0.8400,1lkl
8.70,-2.1773,0.0420,1lnm
11.06,-1.4430,0.2520,1lor
5.52,-3.2359,0.2940,1lox
7.09,-2.4311,0.4200,1lpg
7.55,-1.8635,0.2940,1lpk
7.60,-2.3273,0.1680,1lpz
6.82,-1.9726,0.0840,1lrh
5.64,-0.3340,0.6300,1lrt
11.42,-2.6126,0.9240,1lyb
4.54,-1.3998,0.2100,1lyx
8.39,-2.8511,0.9660,1lzq
2.31,-2.1140,0.3780,1m0o
7.57,-2.9741,0.4620,1m13
4.66,-0.7735,0.0840,1m1b
6.11,-1.2423,0.0000,1m2p
6.46,-1.6259,0.0000,1m2r
4.15,-0.9723,0.1260,1m2x
5.09,-1.5421,0.4620,1m48
9.52,-2.2620,1.3020,1m4h
4.27,-1.2425,0.2940,1m5w
5.10,-1.4027,0.2100,1m6p
6.23,-1.5942,0.5040,1m7d
5.40,-2.2427,0.8400,1m7i
10.96,-2.3185,0.6300,1m7y
3.40,-1.7859,0.5880,1m83
6.92,-2.8569,0.2520,1m9n
6.68,-0.6915,0.5040,1mai
7.19,-1.5016,0.2940,1me7
7.19,-1.3469,0.2520,1me8
7.70,-2.8390,0.4200,1mes
9.40,-3.2696,0.4200,1met
6.10,-2.7049,0.4200,1meu
5.04,-1.0668,0.5040,1mfa
5.31,-1.3226,0.5040,1mfd
5.59,-1.4733,0.0420,1mfi
9.21,-2.5001,0.6720,1mh5
7.35,-2.2837,0.8400,1mhw
8.35,-2.2555,0.6720,1mj7
8.74,-2.5889,0.6720,1mjj
6.07,-1.7230,0.2520,1mmp
7.52,-1.6746,0.2520,1mmq
5.40,-1.9242,0.2940,1mmr
3.46,-0.7985,0.2100,1moq
9.00,-2.5751,0.2100,1mq5
4.52,-1.9974,1.1760,1mrn
3.96,-1.2509,0.2940,1mrs
9.70,-3.6791,0.3360,1mrw
7.26,-3.4186,0.3360,1mrx
10.48,-3.5494,0.3780,1msm
9.09,-2.8271,0.3780,1msn
8.40,-3.2853,0.5460,1mtr
8.38,-2.3671,0.3360,1mu6
9.00,-2.7465,0.3360,1mu8
8.64,-2.3287,0.3360,1mue
5.70,-0.6823,0.0840,1n1m
3.85,-1.1115,0.1680,1n1t
8.89,-1.9128,0.1260,1n3i
10.52,-3.6934,0.2520,1n46
6.55,-2.1865,0.0000,1n4h
10.05,-0.5863,0.5040,1n4k
4.85,-2.3889,0.3360,1n51
5.66,-0.4498,0.2940,1n5r
6.03,-1.7842,0.4620,1n8v
5.00,-2.0842,0.0840,1nc3
5.92,-2.5389,0.1680,1ndv
7.82,-1.5612,0.1680,1nf8
7.74,-1.1937,0.1680,1nfu
8.96,-2.0467,0.1680,1nfw
8.52,-2.3581,0.2520,1nfx
9.74,-3.4532,1.0080,1nh0
5.55,-1.4049,0.2520,1njc
5.57,-1.5809,0.2520,1njd
2.10,-0.2962,0.4200,1njj
7.82,-2.0435,0.5460,1njs
5.96,-1.7230,0.4200,1nl9
3.59,-1.1959,0.0000,1nli
10.05,-2.4293,0.0840,1nm6
4.41,-0.7882,0.0840,1no6
6.80,-2.1527,0.1260,1nq7
8.89,-2.4888,0.0420,1nt1
4.00,-1.7825,0.2100,1nu3
8.11,-2.5559,0.1260,1nvr
7.82,-1.8405,0.0000,1nvs
9.07,-1.4647,0.0840,1nw4
5.21,-2.0271,0.3780,1nw5
5.09,-1.5916,0.3780,1nw7
2.39,-0.4911,0.5460,1nwl
7.12,-1.3283,0.7560,1nz7
5.30,-1.0458,0.4200,1o0f
5.15,-0.5611,0.2520,1o0m
4.09,-0.5970,0.2520,1o0n
5.10,-0.0416,0.4200,1o0o
6.12,-1.9905,0.0840,1o2g
7.17,-1.4658,0.2100,1o2h
6.92,-1.1958,0.2100,1o2j
6.92,-1.2957,0.2100,1o2k
6.09,-1.5234,0.0420,1o2n
6.36,-1.6141,0.2100,1o2o
7.68,-1.7272,0.2100,1o2q
5.47,-1.0090,0.0000,1o2s
5.85,-1.0641,0.1680,1o2w
5.85,-0.8756,0.1680,1o2x
6.11,-1.4870,0.2940,1o2z
6.77,-1.7677,0.2100,1o30
5.74,-0.9453,0.0000,1o33
5.96,-1.6033,0.2100,1o36
6.82,-1.3942,0.1260,1o38
7.13,-1.3434,0.0420,1o3d
7.30,-1.0838,0.0420,1o3h
7.30,-0.9014,0.0420,1o3i
6.77,-1.1222,0.0000,1o3j
6.77,-1.1392,0.0000,1o3k
4.49,-1.7724,0.4200,1o7o
9.57,-1.2649,0.5040,1o86
2.68,-1.1376,0.2100,1o8b
5.60,-2.2700,0.8820,1o9d
5.00,-2.0314,1.2600,1oai
7.40,-1.6504,0.0420,1oar
2.44,-0.6112,0.0840,1oba
5.72,-0.8927,0.5460,1obx
5.19,-1.6161,0.2520,1ocq
5.10,-1.0523,0.1680,1od8
4.10,-1.3886,0.0840,1odj
8.10,-3.1389,0.8400,1ody
5.52,-0.6715,0.3780,1oe8
4.62,-0.6564,0.0000,1ofz
5.19,-1.9062,0.5880,1ogg
6.09,-1.7650,0.0000,1ogx
8.70,-3.3858,0.5040,1ohr
7.72,-1.4381,0.0420,1oif
6.03,-1.4087,0.0840,1okl
4.54,-1.1417,0.0420,1oko
4.33,-2.3711,0.5040,1olx
6.77,-1.2543,0.5880,1ony
5.10,-1.0603,0.0840,1onz
8.81,-2.0864,0.1680,1ork
6.03,-2.8540,0.5040,1os0
6.85,-1.3851,0.3780,1os5
4.79,-1.1464,0.0000,1oss
5.68,-2.2125,0.1260,1ow4
8.20,-1.2256,0.1260,1owd
6.20,-1.0084,0.0840,1owe
7.40,-1.0505,0.1260,1owh
6.96,-1.4532,0.6300,1oyq
7.24,-1.8286,0.1260,1oyt
7.70,-1.7466,0.6300,1oz0
4.11,-0.9838,0.2520,1p19
6.80,-1.1799,0.1680,1p1n
5.76,-1.2098,0.1260,1p1o
5.42,-0.7643,0.0420,1p28
4.60,-0.9893,0.1680,1pa9
5.15,-1.1019,0.0840,1pb8
9.05,-2.2018,0.3780,1pbk
3.70,-0.6621,0.2100,1pdz
2.72,-1.0017,0.2100,1pfu
5.70,-1.3052,0.3780,1pgp
6.92,-2.7742,0.2520,1pkx
9.40,-1.8774,0.1260,1pme
5.49,-1.8010,0.2940,1pot
6.16,-1.8666,0.3360,1ppc
5.92,-1.2373,0.2520,1pph
5.01,-2.8199,0.7560,1ppi
7.66,-2.1180,0.7560,1ppk
8.55,-2.3293,0.8820,1ppl
5.30,-1.2109,0.0840,1pr1
11.30,-3.2166,0.5040,1pro
2.28,-1.3183,0.0420,1ps3
3.10,-0.9154,0.0000,1pu7
3.10,-0.9333,0.0000,1pu8
9.82,-1.5973,0.2520,1pvn
3.23,-1.1209,0.2100,1px4
7.15,-2.4103,0.1680,1pxn
6.66,-1.8847,0.1680,1pxp
5.49,-2.0962,1.0500,1pyn
4.22,-0.9579,0.2520,1pzi
3.32,-1.2379,0.2100,1pzo
3.31,-2.1154,0.2940,1pzp
8.57,-1.2016,0.1680,1q1g
5.85,-1.7167,0.4620,1q54
5.85,-1.6115,0.2100,1q63
5.46,-0.7931,0.2940,1q65
5.77,-1.7417,0.2520,1q66
11.05,-2.8993,0.5040,1q84
5.96,-1.5753,0.0840,1q8u
5.24,-1.3985,0.0840,1q8w
4.15,-1.0990,0.1260,1q91
7.57,-1.4362,0.2520,1q95
4.48,-2.6274,0.3780,1qan
5.12,-2.0701,0.1260,1qaw
6.77,-1.5071,0.4200,1qb1
6.06,-1.1479,0.3360,1qb6
7.44,-1.1959,0.2940,1qb9
5.85,-1.6052,0.3360,1qbn
7.74,-1.1715,0.2940,1qbo
8.30,-1.9633,0.3360,1qbq
10.57,-3.3865,0.4200,1qbr
9.47,-3.2127,0.4200,1qbs
10.62,-3.6855,0.4200,1qbt
10.24,-3.0496,0.3780,1qbu
5.39,-2.4074,0.3360,1qbv
5.27,-1.8623,0.2940,1qca
7.38,-2.8024,0.4620,1qf0
7.32,-2.6381,0.4620,1qf1
5.92,-2.0365,0.2940,1qf2
8.77,-1.2612,0.0840,1qft
7.57,-1.7950,1.0080,1qhc
2.35,-0.8627,0.2520,1qi0
8.00,-2.4173,0.5880,1qin
7.74,-2.5255,0.9660,1qiw
4.85,-1.8505,0.9240,1qji
5.92,-1.9713,0.7560,1qka
7.35,-2.1485,0.5880,1qkb
1.36,-0.2830,0.0000,1qpb
2.06,-0.7454,0.2100,1qq9
3.68,-1.7998,0.9240,1qsc
5.05,-2.3339,0.8400,1qxk
6.52,-1.8164,0.1680,1qy1
5.74,-1.9487,0.1260,1qy2
6.70,-1.1887,0.1260,1qy5
8.00,-2.2392,0.1260,1r0p
3.83,-1.2022,0.5880,1r0x
8.92,-2.7898,0.3780,1r1h
8.64,-2.0129,0.3780,1r1j
4.05,-1.3532,0.3780,1r4w
6.46,-1.2279,0.0000,1r5y
7.40,-1.6250,0.2100,1r6n
5.40,-1.2740,0.0840,1r9l
12.72,-0.4382,0.5460,1rbo
6.72,-3.3952,0.0420,1rbp
7.74,-2.6617,0.4200,1rd4
2.06,-0.6779,0.0840,1rdi
1.66,-0.5034,0.0000,1rdj
2.24,-0.4779,0.0420,1rdl
1.84,-0.6997,0.0840,1rdn
6.70,-3.8279,0.0420,1rdt
8.30,-2.0910,0.2940,1rej
6.70,-3.7008,0.5460,1rek
4.31,-0.9620,0.2520,1rgk
4.43,-0.9141,0.2520,1rgl
5.80,-1.5789,0.5880,1rle
6.46,-1.7043,0.2940,1ro6
3.18,-3.0233,0.6300,1ro7
8.52,-2.1879,0.5040,1rp7
6.48,-1.8060,0.0420,1rpj
2.75,-1.2712,0.0420,1rql
4.10,-2.2073,1.0080,1rzx
5.15,-1.6670,0.0000,1s38
9.05,-0.5576,0.2520,1s63
6.89,-2.9805,0.3780,1sb1
7.74,-3.1991,0.6720,1sbg
7.44,-1.9123,0.4200,1sc8
9.27,-3.6881,0.5040,1sdt
10.07,-3.5951,0.5040,1sdu
8.74,-3.6474,0.5040,1sdv
5.37,-3.4347,0.5040,1sgu
5.80,-0.7305,0.2520,1sgx
6.03,-3.6585,0.8400,1sh9
8.08,-2.7256,0.7560,1siv
6.57,-1.8033,0.3780,1sld
6.17,-0.7678,0.2940,1sle
6.64,-1.8412,0.6300,1sln
9.40,-2.1604,0.0420,1sqn
7.46,-1.8889,0.0840,1sqo
6.20,-2.0422,0.1680,1sqt
10.10,-3.8973,0.2520,1sr7
5.30,-2.1966,0.0840,1srg
6.08,-2.1014,0.0840,1sri
6.00,-0.7126,0.0840,1ssq
8.10,-2.6711,0.1260,1stc
4.77,-1.0207,0.8400,1str
5.00,-1.1098,0.9660,1sts
7.30,-1.1269,0.0420,1sw1
7.22,-1.1912,0.0840,1sw2
7.36,-1.4286,0.2100,1swg
6.92,-1.8541,0.2100,1swr
5.44,-1.4869,0.1260,1syi
4.54,-1.9936,0.6300,1szd
8.64,-2.1646,0.2940,1t31
7.42,-2.5566,0.2940,1t32
7.68,-2.2042,0.6300,1t4v
4.22,-0.6569,0.2520,1t5f
6.03,-1.5258,0.3780,1t7d
8.70,-2.2938,0.5880,1t7j
8.52,-2.6451,0.2940,1ta2
9.13,-2.9718,0.4620,1ta6
6.02,-1.7196,0.6720,1tcw
