pbindaff,Hydrophobic,Ent,PDB
5.01,-1.5886,0.1260,4dds
5.62,-1.4938,0.1260,4ddy
5.89,-1.2481,0.0840,4de0
5.96,-1.6295,0.0840,4de1
4.12,-1.4137,0.1680,4de2
5.52,-1.6714,0.0840,4de3
6.31,-1.6707,0.0420,4der
5.85,-1.8971,0.0420,4des
5.68,-2.3419,0.0420,4det
5.64,-2.1355,0.0420,4deu
7.00,-2.6903,0.0420,4dew
7.46,-1.1534,0.1680,4dff
11.74,-3.5206,0.7980,4dfg
4.48,-0.9467,0.0420,4dhl
11.52,-3.4315,0.8400,4djo
10.55,-3.5629,0.8820,4djp
10.32,-3.4280,0.7980,4djq
11.52,-2.8923,0.6720,4djr
5.44,-1.0468,0.0840,4dju
6.72,-2.0261,0.2100,4djv
6.28,-1.7228,0.1260,4djw
7.23,-1.9293,0.1260,4djx
2.96,-0.6545,0.0840,4dst
2.82,-0.9426,0.0000,4dsu
4.43,-1.1361,0.0420,4dsy
5.18,-2.3383,0.0840,4duh
9.24,-2.2926,0.5460,4dv8
4.40,-3.0043,0.7980,4dy6
7.48,-1.2968,0.1680,4e0w
7.12,-1.3302,0.1680,4e0x
4.97,-0.5538,0.0000,4e3g
7.05,-0.6362,0.0000,4e3h
5.11,-0.6466,0.0000,4e49
8.77,-2.1237,0.0840,4e4l
9.05,-1.9393,0.2520,4e4n
7.66,-2.5835,0.1260,4e5w
6.48,-2.4647,1.0080,4e67
8.92,-2.5499,0.1260,4e6d
8.36,-2.3386,0.1260,4e6q
7.70,-2.7393,0.3780,4e7r
5.24,-2.1127,1.1340,4e81
5.82,-2.5433,0.5460,4e9u
6.44,-1.8478,0.3780,4ea1
6.44,-2.7978,0.3780,4ea2
8.00,-2.1329,0.0420,4ehz
8.74,-1.7666,0.0420,4ei4
4.42,-1.4783,0.1260,4ek9
3.52,-1.8547,0.1680,4eky
4.49,-1.8276,0.1680,4el0
5.37,-1.5659,0.1260,4el5
5.52,-0.9696,0.1680,4en4
8.70,-2.0451,0.1680,4eo6
8.15,-2.0442,0.1680,4eo8
4.30,-0.7884,0.0000,4eoh
3.47,-1.0119,0.1260,4epy
9.40,-2.3489,0.2940,4erf
5.05,-1.2819,0.1260,4euo
6.70,-0.7793,0.3780,4ewn
4.41,-0.5405,0.1260,4exs
6.70,-1.6255,0.0420,4f09
5.12,-2.0152,0.0840,4f1l
3.29,-3.4003,1.1340,4f20
5.43,-1.3889,0.0840,4f5y
5.38,-3.5452,0.3360,4f7v
6.03,-1.6833,0.3780,4f9u
6.03,-1.9141,0.3780,4f9v
6.99,-1.9520,0.3780,4fai
6.99,-1.7928,0.3780,4fbe
7.66,-1.7745,0.0840,4fbx
8.62,-2.2244,0.6720,4fcf
7.00,-1.8959,0.1680,4fcq
10.44,-2.7603,0.3780,4ffs
9.70,-1.9312,0.1680,4fk6
3.28,-1.4131,0.5040,4fl1
3.66,-2.4571,0.5040,4fl2
6.72,-1.5508,0.2940,4flp
7.00,-1.5131,0.2940,4fm7
5.62,-1.7861,0.2940,4fm8
7.70,-2.4972,0.3360,4fsl
6.51,-1.9316,0.5880,4fut
3.01,-0.8655,0.2520,4g0p
2.52,-1.0603,0.2520,4g0q
2.30,-1.1043,0.2520,4g0y
2.21,-0.8563,0.2520,4g0z
7.89,-1.4850,0.1260,4g8m
7.20,-1.3754,0.1260,4g8n
5.80,-1.1050,0.1680,4g8v
4.59,-0.9036,0.1680,4g8y
4.51,-0.9216,0.1680,4g90
6.10,-2.4345,1.5960,4gah
8.20,-1.8807,0.2520,4gg7
10.77,-4.1847,0.6720,4gid
2.89,-0.7899,0.2100,4gqq
3.96,-0.6433,0.0420,4gqr
9.00,-2.5036,0.2520,4h3f
8.22,-1.7907,0.2100,4h3g
7.05,-1.7109,0.1680,4h3j
6.60,-1.5280,1.4700,4h75
7.24,-1.6932,0.1260,4ha5
7.92,-2.5399,0.2940,4hbm
8.62,-2.0776,0.2940,4hf4
7.92,-2.4110,0.0420,4hge
4.29,-0.9898,0.4200,4i3z
