pbindaff,6.6_1,7.6_1,8.6_1,16.6_1,6.7_1,7.7_1,8.7_1,16.7_1,6.8_1,7.8_1,8.8_1,16.8_1,6.16_1,7.16_1,8.16_1,16.16_1,6.15_1,7.15_1,8.15_1,16.15_1,6.9_1,7.9_1,8.9_1,16.9_1,6.17_1,7.17_1,8.17_1,16.17_1,6.35_1,7.35_1,8.35_1,16.35_1,6.53_1,7.53_1,8.53_1,16.53_1,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,6.6_2,7.6_2,8.6_2,16.6_2,6.7_2,7.7_2,8.7_2,16.7_2,6.8_2,7.8_2,8.8_2,16.8_2,6.16_2,7.16_2,8.16_2,16.16_2,6.15_2,7.15_2,8.15_2,16.15_2,6.9_2,7.9_2,8.9_2,16.9_2,6.17_2,7.17_2,8.17_2,16.17_2,6.35_2,7.35_2,8.35_2,16.35_2,6.53_2,7.53_2,8.53_2,16.53_2,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
5.3600,3422.0000,971.0000,1063.0000,62.0000,0.0000,0.0000,0.0000,0.0000,405.0000,106.0000,114.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.5742,1241.9071,1.0706,69.0388,1.3180,31.6221,61.3115,0.2940,42.5549,0.0000,3528.0000,994.0000,1084.0000,62.0000,0.0000,0.0000,0.0000,0.0000,271.0000,82.0000,88.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.5435,1227.2545,0.2641,56.1501,0.4334,31.0077,79.9486,0.0955,44.1217,0.0000,0.0667,1adl
6.0000,576.0000,171.0000,178.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1118.0000,331.0000,349.0000,5.0000,0.0000,0.0000,0.0000,0.0000,172.0000,50.0000,57.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1628,630.6946,3.2818,0.0000,8.5971,3.9895,8.2032,0.0000,0.0000,0.0000,554.0000,168.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1084.0000,316.0000,346.0000,4.0000,0.0000,0.0000,0.0000,0.0000,172.0000,49.0000,58.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.7958,623.1846,2.7193,0.0000,6.8618,9.0192,4.2561,0.2091,0.0000,0.6809,0.1818,1ado
6.6200,1045.0000,334.0000,320.0000,33.0000,555.0000,167.0000,166.0000,18.0000,1357.0000,452.0000,401.0000,20.0000,0.0000,0.0000,0.0000,0.0000,318.0000,106.0000,102.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.4811,1148.8611,2.9235,0.0000,6.4940,15.2973,147.3322,0.2231,0.0000,0.3345,1040.0000,336.0000,312.0000,29.0000,555.0000,168.0000,161.0000,18.0000,1416.0000,468.0000,400.0000,23.0000,0.0000,0.0000,0.0000,0.0000,349.0000,114.0000,94.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.5531,1104.9307,1.8429,0.0000,4.3230,12.9357,151.1221,0.4601,0.0000,0.6367,0.1000,1afk
6.2800,1074.0000,349.0000,307.0000,22.0000,490.0000,159.0000,136.0000,9.0000,1744.0000,503.0000,460.0000,41.0000,0.0000,0.0000,0.0000,0.0000,400.0000,115.0000,106.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.6786,1133.2999,3.7078,0.0000,6.9876,22.9059,174.8940,0.4606,0.0000,0.6869,1049.0000,326.0000,284.0000,18.0000,377.0000,131.0000,107.0000,6.0000,1690.0000,496.0000,450.0000,32.0000,0.0000,0.0000,0.0000,0.0000,383.0000,110.0000,102.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6956,1124.6508,2.0706,0.0000,4.7680,19.6055,134.2108,0.0970,0.0000,0.0000,0.1053,1afl
2.5000,1701.0000,408.0000,486.0000,10.0000,0.0000,0.0000,0.0000,0.0000,851.0000,205.0000,248.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.3933,766.1942,1.0633,30.9760,1.9024,2.1781,11.5016,0.0008,0.0000,0.0000,1555.0000,383.0000,448.0000,8.0000,0.0000,0.0000,0.0000,0.0000,828.0000,193.0000,237.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.5974,691.1147,1.1128,31.2703,2.5484,2.2077,11.5661,0.0000,0.0000,0.0000,0.2500,1ai4
4.0900,1421.0000,355.0000,414.0000,12.0000,0.0000,0.0000,0.0000,0.0000,242.0000,64.0000,71.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.6988,514.4036,0.7252,37.1906,0.6596,0.0000,0.0000,0.0000,0.0000,0.0000,1431.0000,356.0000,417.0000,13.0000,0.0000,0.0000,0.0000,0.0000,244.0000,63.0000,71.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5829,518.7791,0.7460,37.3071,0.6474,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1ai7
4.8200,3232.0000,866.0000,946.0000,10.0000,127.0000,31.0000,33.0000,0.0000,141.0000,40.0000,43.0000,0.0000,266.0000,72.0000,76.0000,1.0000,0.0000,0.0000,0.0000,0.0000,169.0000,48.0000,49.0000,0.0000,144.0000,35.0000,36.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.5665,1267.7794,0.2553,58.6900,0.0000,10.3812,90.9787,0.0033,8.0012,0.0000,3538.0000,993.0000,1057.0000,5.0000,162.0000,47.0000,51.0000,0.0000,170.0000,48.0000,47.0000,0.0000,315.0000,89.0000,88.0000,0.0000,0.0000,0.0000,0.0000,0.0000,132.0000,32.0000,36.0000,1.0000,165.0000,49.0000,47.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.9594,1265.1190,0.5955,47.4649,1.0214,10.4241,90.7825,0.0176,8.1566,0.0000,0.1333,1aid
3.8700,2140.0000,550.0000,525.0000,14.0000,255.0000,64.0000,56.0000,3.0000,1354.0000,344.0000,337.0000,9.0000,0.0000,0.0000,0.0000,0.0000,195.0000,49.0000,50.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.8608,1273.3158,2.1404,27.2121,2.6311,8.0368,47.4653,0.2830,0.0000,0.0000,2107.0000,530.0000,510.0000,13.0000,254.0000,63.0000,57.0000,2.0000,1320.0000,319.0000,336.0000,10.0000,0.0000,0.0000,0.0000,0.0000,190.0000,46.0000,49.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.6200,1254.9648,2.2614,27.0700,2.9699,6.3286,47.8234,0.3822,0.0000,0.0000,0.1111,1aj7
2.6300,1705.0000,397.0000,492.0000,10.0000,239.0000,58.0000,68.0000,2.0000,835.0000,207.0000,258.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.4641,810.5332,0.5244,40.9049,0.0000,4.3787,17.1899,0.0059,0.0000,0.0000,1710.0000,403.0000,490.0000,10.0000,241.0000,58.0000,68.0000,2.0000,839.0000,206.0000,256.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.6088,814.5295,0.5485,41.0380,0.0000,4.2489,17.3476,0.0091,0.0000,0.0000,0.2500,1ajn
7.7200,5818.0000,1632.0000,1704.0000,5.0000,398.0000,116.0000,125.0000,0.0000,1188.0000,325.0000,353.0000,0.0000,194.0000,55.0000,63.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,5797.0000,1630.0000,1717.0000,5.0000,396.0000,116.0000,120.0000,0.0000,1183.0000,320.0000,350.0000,0.0000,200.0000,55.0000,61.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,149.2428,2287.3540,8.5026,87.8743,6.2498,31.0483,283.0617,0.5841,7.3372,0.0000,0.0833,1ajv
7.9100,5895.0000,1628.0000,1766.0000,5.0000,379.0000,110.0000,123.0000,0.0000,973.0000,257.0000,285.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.0047,2195.7883,3.5429,110.6547,4.8117,27.1811,301.5753,0.3509,0.2980,0.0000,5874.0000,1633.0000,1766.0000,5.0000,376.0000,110.0000,121.0000,0.0000,970.0000,256.0000,280.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136.8315,2190.8672,3.4043,107.6907,4.8962,25.8918,303.4248,0.3738,0.4019,0.0000,0.0833,1ajx
6.5200,1692.0000,387.0000,350.0000,12.0000,0.0000,0.0000,0.0000,0.0000,289.0000,72.0000,60.0000,0.0000,161.0000,36.0000,27.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.6507,689.9892,0.3747,53.7714,0.5407,2.5582,14.4825,0.0440,0.0000,0.0000,1690.0000,385.0000,351.0000,12.0000,0.0000,0.0000,0.0000,0.0000,288.0000,72.0000,60.0000,0.0000,159.0000,36.0000,27.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9477,690.3085,0.3910,53.0650,0.5580,2.5371,14.2126,0.0503,0.0000,0.0000,0.2222,1alw
4.3000,368.0000,102.0000,104.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1161.0000,307.0000,341.0000,5.0000,0.0000,0.0000,0.0000,0.0000,195.0000,50.0000,57.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.5653,578.5380,2.6593,0.0000,5.3949,2.1162,4.3410,0.0000,0.0000,0.0000,418.0000,109.0000,128.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1182.0000,318.0000,348.0000,6.0000,0.0000,0.0000,0.0000,0.0000,184.0000,48.0000,53.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5272,592.3301,3.1118,0.0000,5.8884,2.3703,4.2197,0.0000,0.0000,0.0000,0.2500,1amk
4.5400,1709.0000,439.0000,552.0000,10.0000,959.0000,251.0000,298.0000,5.0000,1620.0000,383.0000,460.0000,15.0000,0.0000,0.0000,0.0000,0.0000,357.0000,72.0000,93.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.8273,1360.8259,2.2487,0.0000,4.3127,16.2312,114.7394,0.5648,0.0000,0.7452,1694.0000,449.0000,558.0000,10.0000,703.0000,200.0000,242.0000,5.0000,1789.0000,426.0000,530.0000,13.0000,0.0000,0.0000,0.0000,0.0000,333.0000,76.0000,101.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.3226,1376.8492,1.2992,0.0000,3.6741,12.2454,130.8494,0.2900,0.0000,0.0000,0.1176,1amw
9.0000,3838.0000,965.0000,1456.0000,0.0000,618.0000,160.0000,235.0000,0.0000,1036.0000,247.0000,366.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,334.0000,84.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.8765,1795.5170,3.7343,53.8461,7.4696,35.0924,220.9918,0.6440,12.9824,1.2118,3798.0000,948.0000,1441.0000,0.0000,635.0000,162.0000,243.0000,0.0000,958.0000,236.0000,371.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,351.0000,82.0000,122.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.0258,1748.2593,3.5846,51.6064,6.4277,42.8198,244.6195,1.1245,17.4313,1.3727,0.0625,1apv
6.2800,2746.0000,779.0000,795.0000,43.0000,154.0000,47.0000,49.0000,2.0000,627.0000,176.0000,187.0000,11.0000,132.0000,39.0000,47.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.8142,1287.4841,2.0140,31.0507,2.1143,14.2071,74.3485,0.0202,0.6484,0.0000,2702.0000,761.0000,796.0000,38.0000,151.0000,45.0000,49.0000,2.0000,613.0000,172.0000,182.0000,11.0000,136.0000,42.0000,47.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.4792,1263.4131,1.6131,27.1463,1.9047,16.0920,76.2488,0.0444,0.7064,0.0000,0.0952,1atl
