PDB,pbindaff,predicted
1p19,4.11,2.66
1z3v,4.11,5.19
1v2q,4.13,3.51
1gny,4.14,3.59
1m2x,4.15,2.05
1q91,4.15,6.92
2toh,4.15,2.79
1v2s,4.17,4.05
1hi3,4.19,2.65
1c5y,4.20,4.54
1c87,4.20,4.29
1ghw,4.20,4.42
1ulg,4.21,2.70
1pzi,4.22,3.47
1t5f,4.22,3.16
1ua4,4.22,5.48
1li3,4.25,3.89
1m5w,4.27,1.97
1e2l,4.29,5.14
1v2l,4.29,3.90
1z95,4.30,7.41
1rgk,4.31,2.64
2tpi,4.31,4.32
4rsk,4.32,3.40
1olx,4.33,6.11
1e3v,4.34,4.14
1z6s,4.34,3.83
1ghv,4.35,5.37
1yfz,4.35,3.89
1dy4,4.36,6.29
1we2,4.36,1.44
2ez7,4.36,1.03
1bhf,4.38,4.13
2avq,4.39,5.56
1no6,4.41,5.39
2csn,4.41,3.86
1rgl,4.43,2.29
2amt,4.44,5.82
1wvc,4.46,4.17
1qan,4.48,6.10
1j14,4.49,4.04
1o7o,4.49,6.45
1gi7,4.51,5.15
1ctt,4.52,6.11
1gu1,4.52,5.76
1mrn,4.52,6.81
1z4n,4.52,5.30
1z4o,4.52,5.34
2a4m,4.52,0.76
1amw,4.54,3.98
1b2h,4.54,5.82
1lyx,4.54,2.02
1oko,4.54,3.84
1szd,4.54,6.62
1utc,4.55,5.10
1w2g,4.57,5.10
1fj4,4.59,3.56
1pa9,4.60,4.08
1tx7,4.60,3.86
1upf,4.60,2.94
2bo4,4.61,2.45
1joc,4.62,3.42
1ofz,4.62,3.34
2a5c,4.62,4.44
2f6t,4.62,5.96
1bzj,4.66,6.38
1h4w,4.66,4.05
1m1b,4.66,3.31
2ca8,4.66,2.86
1c5p,4.68,3.86
1xge,4.68,4.16
1c5n,4.70,3.65
1c86,4.70,4.67
2cex,4.70,4.28
2dw7,4.70,2.68
3kiv,4.70,1.67
1v2t,4.71,3.86
1ce5,4.74,4.05
1w4p,4.74,3.49
1str,4.77,4.41
2afw,4.77,2.60
2b4l,4.77,3.01
2dua,4.77,2.53
1oss,4.79,3.58
1ghz,4.80,5.43
1aid,4.82,4.84
1dud,4.82,4.96
1v1j,4.82,6.03
1xff,4.82,4.10
1y3p,4.82,6.31
2gl0,4.82,4.56
2gzl,4.82,7.52
2ypi,4.82,1.77
1c83,4.85,5.56
1ecv,4.85,5.32
1n51,4.85,5.85
1qji,4.85,4.48
1vkj,4.85,6.68
1xgi,4.85,4.19
2aoc,4.89,5.61
1bzc,4.92,6.34
1h1p,4.92,5.28
1jqy,4.92,4.00
1y2f,4.92,3.24
1e2k,4.94,5.26
4ts1,4.94,3.28
1jn4,4.95,5.63
1cea,4.96,2.19
1elr,4.96,3.91
1uz8,4.96,5.23
1byk,5.00,5.77
1c84,5.00,5.48
1f8a,5.00,3.43
1hlk,5.00,4.85
1nc3,5.00,6.86
1oai,5.00,2.70
1sts,5.00,4.03
1yid,5.00,3.42
1ppi,5.01,6.98
1mfa,5.04,4.11
1fkw,5.05,4.90
1gi8,5.05,4.33
1qxk,5.05,5.73
2c3l,5.07,3.75
1m48,5.09,5.05
1nw7,5.09,4.85
1ez9,5.10,3.82
1kmy,5.10,4.10
1m6p,5.10,4.11
1o0o,5.10,2.41
1od8,5.10,5.10
1onz,5.10,5.36
1v0k,5.10,4.57
1w7g,5.10,4.95
2h5a,5.10,5.02
1k4h,5.11,4.66
2h6q,5.11,4.01
1qaw,5.12,5.79
1uv6,5.12,1.93
1gcz,5.13,4.79
2br1,5.14,5.74
1jcx,5.15,4.17
1o0m,5.15,3.77
1pb8,5.15,3.44
1s38,5.15,5.65
1thz,5.15,4.50
2afx,5.15,3.24
2f5t,5.17,6.43
1ocq,5.19,5.39
1ogg,5.19,5.72
1kll,5.20,2.53
1nw5,5.21,5.41
1bq4,5.22,3.77
1gi9,5.22,3.86
1gjd,5.22,5.46
1h1h,5.22,1.99
1ucn,5.22,4.95
1w4o,5.22,3.52
2hxm,5.22,5.61
1b4z,5.23,5.71
1q8w,5.24,5.65
2bfr,5.25,6.12
1w4q,5.26,3.08
1qca,5.27,4.41
1b46,5.28,6.10
1f5l,5.28,4.83
1c88,5.29,5.01
1h6h,5.30,3.25
1o0f,5.30,3.74
1pr1,5.30,4.68
1srg,5.30,4.38
1vyq,5.30,5.98
1xbb,5.30,4.60
1mfd,5.31,4.23
1y20,5.32,3.36
2c80,5.33,4.17
1zgi,5.34,6.49
2fxv,5.35,6.41
1adl,5.36,3.99
1w6y,5.36,5.20
1sgu,5.37,7.03
1g3e,5.38,4.36
1qbv,5.39,5.32
2h6b,5.39,4.16
1bp0,5.40,5.08
1m7i,5.40,4.97
1mmr,5.40,5.26
1r9l,5.40,2.74
2c1p,5.40,6.42
2f35,5.40,5.19
2i80,5.40,5.03
2j47,5.41,5.93
1abf,5.42,4.48
1gja,5.42,5.73
1h9z,5.42,5.79
1p28,5.42,1.89
1h0a,5.44,4.12
1syi,5.44,6.44
2iko,5.45,6.51
1b4h,5.46,5.08
1q65,5.46,4.63
1g7f,5.47,4.86
1gi1,5.47,4.71
1o2s,5.47,5.07
2hf8,5.47,7.83
1g85,5.48,2.40
2cbv,5.48,4.78
1pot,5.49,3.97
1pyn,5.49,5.39
1tys,5.49,6.93
2h4k,5.49,4.68
1a8i,5.52,6.26
1kc7,5.52,1.57
1lox,5.52,4.98
1oe8,5.52,3.71
1ydr,5.52,5.41
2cht,5.52,5.42
2olb,5.54,6.06
1g3d,5.55,4.63
1njc,5.55,5.07
1y3n,5.55,6.01
2iuz,5.55,4.76
1jak,5.57,5.28
1njd,5.57,5.14
1f4x,5.59,3.84
1mfi,5.59,4.31
1o9d,5.60,4.02
1ejn,5.62,6.36
2bmk,5.62,3.11
1vwl,5.63,4.82
1f57,5.64,1.63
1lrt,5.64,4.33
1z9g,5.64,3.57
1n5r,5.66,3.97
2aod,5.66,5.51
2bsu,5.66,3.68
2erz,5.66,5.60
2qwf,5.67,5.38
1gnn,5.68,3.23
1ow4,5.68,6.48
2c92,5.68,6.23
2cbu,5.68,4.94
1a99,5.70,2.90
1egh,5.70,3.40
1g98,5.70,3.20
1g9r,5.70,7.87
1n1m,5.70,3.49
1pgp,5.70,3.55
2adm,5.70,4.36
2avm,5.70,5.66
2f2h,5.70,6.20
1obx,5.72,3.46
1g3b,5.74,4.49
1o33,5.74,5.33
1qy2,5.74,3.49
1zdp,5.74,3.69
1p1o,5.76,5.45
1jmf,5.77,3.69
1q66,5.77,5.09
1ur9,5.77,6.96
1vjj,5.77,4.18
2boj,5.77,3.60
1hmt,5.79,3.74
1g3c,5.80,4.06
1kpm,5.80,4.58
1rle,5.80,4.01
1sgx,5.80,4.15
1lkl,5.81,4.60
11gs,5.82,4.60
1apb,5.82,4.44
1kav,5.82,5.69
1urg,5.82,4.56
1vwn,5.82,5.93
1o2w,5.85,4.07
1o2x,5.85,4.27
1q54,5.85,2.60
1q63,5.85,5.56
1qbn,5.85,5.78
1u1w,5.85,5.58
1b3l,5.89,4.97
1e1x,5.89,4.24
1ydk,5.89,3.88
2tmn,5.89,2.98
1v2n,5.90,5.97
1ugx,5.91,3.83
1a4w,5.92,5.58
1aj6,5.92,4.20
1jao,5.92,4.47
1kyv,5.92,6.17
1ndv,5.92,4.52
1pph,5.92,5.49
1qf2,5.92,4.76
1qka,5.92,6.60
1yds,5.92,5.34
2ans,5.92,5.03
1fv0,5.93,5.47
1d6w,5.96,4.98
1nl9,5.96,5.49
1o36,5.96,4.01
1q8u,5.96,5.77
2j79,5.96,4.41
1uwu,5.98,4.08
1a1e,6.00,4.09
1ado,6.00,2.75
1c5s,6.00,4.53
1ceb,6.00,3.15
1d2e,6.00,6.55
1f0t,6.00,4.97
1gt1,6.00,6.68
1hn2,6.00,6.64
1jq8,6.00,1.13
1ssq,6.00,2.04
1xk5,6.00,3.54
2bvd,6.00,5.12
2izl,6.00,5.43
1b5h,6.01,5.03
1tcw,6.02,4.08
1n8v,6.03,3.34
1okl,6.03,3.38
1os0,6.03,5.34
1sh9,6.03,4.97
1t7d,6.03,4.77
1xbo,6.04,6.72
3pcf,6.05,2.57
1jmi,6.06,5.46
1kjr,6.06,4.53
1qb6,6.06,5.28
1jmg,6.07,3.47
1mmp,6.07,5.00
2gst,6.07,5.94
1sri,6.08,2.34
1o2n,6.09,6.14
1ogx,6.09,5.65
1dzk,6.10,1.83
1lgt,6.10,5.00
1meu,6.10,8.03
2ewb,6.10,2.63
1g32,6.11,5.83
1m2p,6.11,6.81
1o2z,6.11,4.85
1o2g,6.12,5.51
1x8r,6.12,5.72
2fgv,6.12,7.63
2c97,6.14,4.73
2fqt,6.14,3.85
1tsl,6.15,4.67
1ppc,6.16,5.86
1d6v,6.17,6.57
1sle,6.17,5.45
1yc1,6.17,6.77
1xhy,6.18,5.30
2c3j,6.18,5.95
1iy7,6.19,4.63
1tq4,6.19,6.49
1v2k,6.19,7.71
2bt9,6.19,4.11
1owe,6.20,5.56
1sqt,6.20,5.28
2aj8,6.20,5.33
1b3h,6.21,6.08
1gi6,6.22,5.02
1m7d,6.23,5.22
1hnn,6.24,5.32
1gnm,6.25,3.41
1zky,6.25,5.88
1wcq,6.26,4.68
1afl,6.28,1.03
1atl,6.28,3.05
1w3l,6.28,5.68
2aog,6.28,5.73
1d4p,6.30,7.37
1lag,6.30,4.47
1wdn,6.30,4.45
1wm1,6.30,3.30
2bal,6.31,6.28
1w3j,6.32,4.15
1ex8,6.33,7.95
1bdq,6.34,6.26
1i00,6.34,3.41
1xq0,6.34,3.88
1cbx,6.35,4.24
1gjb,6.35,5.51
1gjc,6.35,5.55
2j7f,6.35,4.15
1c5q,6.36,4.70
1o2o,6.36,4.51
6abp,6.36,4.37
1hbv,6.37,5.11
1hms,6.37,3.73
5tln,6.37,4.20
1a1c,6.40,3.77
1g7v,6.40,1.86
1i7z,6.40,6.00
1igb,6.40,3.87
1yvm,6.40,3.74
1i80,6.41,4.26
1w0y,6.42,5.44
2b07,6.43,5.73
2fqo,6.43,3.94
2ivu,6.43,6.32
1jqe,6.44,5.66
1m2r,6.46,6.66
1r5y,6.46,5.06
1ro6,6.46,5.48
7abp,6.46,4.62
1j01,6.47,4.87
1gpn,6.48,7.14
1rpj,6.48,5.10
1dl7,6.49,1.93
1alw,6.52,2.86
1ct8,6.52,5.67
1qy1,6.52,3.51
1w1d,6.52,3.54
1zhy,6.52,6.47
2h4g,6.52,4.75
4fiv,6.52,6.53
1dhj,6.55,5.76
1hmr,6.55,3.56
1n4h,6.55,5.83
1umw,6.55,3.68
1yc4,6.55,5.45
1yda,6.55,3.39
1sld,6.57,6.36
2fqy,6.57,5.67
5er2,6.57,5.73
1k1i,6.58,5.58
1b58,6.59,6.53
1fiv,6.59,6.49
1izi,6.59,6.61
1b38,6.60,5.85
1g7g,6.60,3.87
1jzs,6.60,4.35
1vot,6.60,6.78
2euk,6.60,4.89
2f7p,6.60,4.06
1afk,6.62,3.81
1ii5,6.62,4.01
1jd5,6.62,3.60
2j7b,6.62,4.05
4er1,6.62,6.42
1sln,6.64,5.03
5abp,6.64,4.92
2j75,6.65,5.07
1a4r,6.66,4.93
1cps,6.66,3.73
1elc,6.66,2.08
1pxp,6.66,5.47
1c5x,6.68,4.49
1mai,6.68,3.89
2fqw,6.68,6.23
1b0h,6.70,6.97
1b3g,6.70,5.42
1dfo,6.70,6.23
1eld,6.70,1.89
1f3e,6.70,5.43
1hp0,6.70,6.22
1koj,6.70,4.40
1qy5,6.70,4.50
1rdt,6.70,8.58
1rek,6.70,8.50
2eum,6.70,3.29
2evl,6.70,4.39
3pck,6.70,3.89
1rbp,6.72,5.84
3gst,6.72,6.37
1wvj,6.73,6.49
1add,6.74,5.42
1bzh,6.77,3.76
1o30,6.77,5.48
1o3j,6.77,4.93
1o3k,6.77,5.95
1ony,6.77,5.09
1qb1,6.77,3.63
1fl3,6.80,6.00
1nq7,6.80,6.16
1p1n,6.80,5.16
1drk,6.82,4.82
1fhd,6.82,5.10
1jeu,6.82,5.87
1k1n,6.82,4.49
1lrh,6.82,4.92
1o38,6.82,5.66
1uwf,6.82,4.15
2c94,6.82,6.67
1bhx,6.84,6.37
1bap,6.85,4.48
1ele,6.85,4.80
1g30,6.85,5.13
1lkk,6.85,4.58
1os5,6.85,5.21
1tvo,6.85,7.33
1xk9,6.85,2.93
1xt8,6.85,3.14
3aid,6.86,5.65
1cgl,6.87,4.54
1xka,6.88,5.50
1b3f,6.89,5.57
1jev,6.89,6.66
1sb1,6.89,5.97
1uz1,6.89,4.26
2bfq,6.89,7.34
2dri,6.89,5.02
2f34,6.89,5.22
1k1l,6.90,5.34
1a9m,6.92,5.25
1m9n,6.92,6.07
1o2j,6.92,4.26
1o2k,6.92,4.05
1pkx,6.92,7.85
1swr,6.92,5.04
1tcx,6.95,6.38
1c5c,6.96,6.09
1ent,6.96,4.57
1gj8,6.96,4.16
1gvw,6.96,4.94
1oyq,6.96,4.76
1x8j,6.96,6.01
1ch8,7.00,7.06
1fpc,7.00,5.42
1gj6,7.00,6.22
1zoh,7.00,4.82
2gyi,7.00,3.11
2j7g,7.00,4.69
1b1h,7.03,6.31
1b5i,7.05,5.54
2bq7,7.05,4.97
2jxr,7.05,6.14
1ui0,7.06,3.53
1ydd,7.07,1.86
1xpz,7.08,4.30
1lpg,7.09,5.46
1b32,7.10,5.41
2il2,7.10,7.36
1b05,7.12,4.87
1b52,7.12,5.37
1nz7,7.12,5.02
1xd0,7.12,6.44
1o3d,7.13,6.25
2j7d,7.13,4.65
1fch,7.15,4.82
1pxn,7.15,5.54
1zog,7.15,3.97
2fqx,7.15,6.55
1f0u,7.16,5.74
1g36,7.17,5.72
1o2h,7.17,5.71
1gi4,7.19,5.72
1me7,7.19,5.62
1me8,7.19,5.31
2j7h,7.19,4.20
1gvx,7.22,6.00
1sw2,7.22,3.29
2er6,7.22,5.35
1g2l,7.24,6.33
1oyt,7.24,7.78
1jet,7.25,5.32
2ces,7.25,4.25
1mrx,7.26,6.80
2f8i,7.26,1.77
1fdq,7.27,1.56
1b40,7.28,6.39
1hii,7.28,6.48
1kel,7.28,5.25
1o3h,7.30,5.84
1o3i,7.30,5.74
1sw1,7.30,4.00
2i3i,7.30,5.37
1qf1,7.32,4.78
2j7e,7.32,4.67
2j2u,7.33,5.82
1uw6,7.34,3.64
2fgi,7.34,4.33
2gv6,7.34,5.08
1mhw,7.35,4.90
1qkb,7.35,5.59
1swg,7.36,4.51
1b51,7.37,5.26
1cnx,7.37,3.55
1fao,7.37,4.68
1bxq,7.38,5.29
1qf0,7.38,6.30
1b11,7.39,3.48
1d3p,7.39,6.38
1b55,7.40,4.42
1drj,7.40,5.04
1k1m,7.40,6.06
1oar,7.40,6.28
1owh,7.40,5.34
1r6n,7.40,5.58
1y3g,7.40,4.69
2bpy,7.40,7.20
2i3h,7.40,4.79
1ik4,7.41,3.72
1t32,7.42,7.72
1b5j,7.43,5.91
1ciz,7.44,7.46
1qb9,7.44,5.72
1sc8,7.44,5.18
2f7o,7.44,3.63
2ccb,7.45,4.87
1sqo,7.46,5.60
1yei,7.46,6.27
1yej,7.46,5.64
5tmp,7.47,7.27
1iiq,7.48,6.21
2hh5,7.49,6.09
1lah,7.52,4.36
1lf2,7.52,5.67
1lke,7.52,8.57
1mmq,7.52,5.80
2mas,7.52,6.12
2f1g,7.54,3.17
1k1j,7.55,5.91
1lpk,7.55,6.68
1tlp,7.55,3.69
1v0l,7.55,5.03
1vj9,7.55,5.26
1a0q,7.57,4.99
1m13,7.57,4.46
1q95,7.57,6.50
1qhc,7.57,5.14
2avs,7.57,7.88
1bwa,7.60,9.60
1lpz,7.60,6.94
1fzq,7.62,6.31
1yqy,7.62,6.20
2aoe,7.62,5.28
1c1r,7.63,5.93
1c1v,7.64,5.36
1uvt,7.64,6.04
966c,7.64,5.21
1f0r,7.66,6.15
1ppk,7.66,3.99
5fiv,7.66,3.47
2bpv,7.67,6.32
1o2q,7.68,5.95
1t4v,7.68,5.64
1w1g,7.68,2.97
1bai,7.70,4.70
1fzm,7.70,6.65
1gno,7.70,2.71
1izh,7.70,6.47
1mes,7.70,8.08
1oz0,7.70,5.89
1uou,7.70,5.25
1vja,7.70,5.01
4tmk,7.70,7.29
1ajv,7.72,8.44
1caq,7.72,7.98
1cnw,7.72,2.81
1j4r,7.72,4.73
1oif,7.72,4.42
1f0s,7.74,5.92
1heg,7.74,3.56
1lee,7.74,5.81
1nfu,7.74,6.10
1qbo,7.74,6.04
1qiw,7.74,3.31
1rd4,7.74,5.77
1sbg,7.74,6.37
1txr,7.74,4.51
1usn,7.74,4.39
2adu,7.74,3.56
2ccc,7.76,4.99
1xh9,7.77,8.77
1x8t,7.80,5.45
1b6h,7.82,5.41
1nf8,7.82,6.65
1njs,7.82,7.02
1nvs,7.82,7.74
2cf9,7.82,7.22
2j34,7.82,5.92
1a94,7.85,5.03
1b8y,7.85,6.95
1cny,7.85,3.03
1jwt,7.85,5.93
1laf,7.85,5.49
1lbf,7.85,5.51
2gv7,7.85,5.56
1fzo,7.89,6.79
1gj7,7.89,5.39
1h2t,7.89,6.20
1ajx,7.91,8.23
1b6j,7.92,7.71
2ewa,7.94,8.14
1epo,7.96,6.47
1g2k,7.96,8.28
1hvh,7.96,5.32
1a4k,8.00,5.48
1dqn,8.00,6.29
1fkg,8.00,5.02
1gaf,8.00,4.88
1gai,8.00,6.30
1qin,8.00,5.56
1r0p,8.00,7.55
1tkb,8.00,5.35
1vyg,8.00,4.57
8abp,8.00,5.04
9abp,8.00,4.44
2cc7,8.01,4.82
5tmn,8.04,4.91
1hih,8.05,6.20
1vyf,8.05,3.57
2bqv,8.05,6.97
1siv,8.08,5.80
6fiv,8.08,3.42
1erb,8.10,5.23
1fzj,8.10,6.38
1ghy,8.10,4.90
1l6m,8.10,1.54
1ody,8.10,5.61
1stc,8.10,7.63
2cf8,8.10,7.70
1nvr,8.11,8.36
2arm,8.13,1.59
1g35,8.14,7.69
1yqj,8.14,9.13
1fkh,8.15,4.94
1w5v,8.15,8.97
2d1n,8.15,4.86
2fxu,8.15,5.34
1owd,8.20,5.68
2ff1,8.21,6.67
1efy,8.22,5.78
1h1d,8.22,4.05
1h1s,8.22,6.06
2cji,8.22,5.81
1ydb,8.24,3.55
1c1u,8.25,5.85
1g4o,8.25,2.94
1b6l,8.30,7.76
1qbq,8.30,4.01
1rej,8.30,7.51
1tom,8.30,6.12
2hs2,8.31,5.66
1hwr,8.33,6.65
1bzy,8.34,7.38
1mj7,8.35,5.69
1k21,8.38,5.86
1mu6,8.38,6.24
1lzq,8.39,5.15
1aaq,8.40,4.31
1b6m,8.40,7.30
1fq5,8.40,8.39
1k22,8.40,6.64
1mtr,8.40,7.09
1w5x,8.40,9.20
1w7x,8.40,6.08
1z1h,8.40,6.83
1zpa,8.40,3.71
1e4h,8.41,4.20
1g48,8.41,3.10
1i9p,8.41,2.48
1i9q,8.41,2.95
1w96,8.41,7.53
1bwb,8.42,9.98
1i9o,8.42,3.04
1i9l,8.48,2.79
1i9m,8.48,0.85
1w5y,8.48,8.54
2hs1,8.48,6.16
2ihq,8.49,7.23
7upj,8.49,6.86
1fcy,8.52,10.27
1i5r,8.52,8.29
1nfx,8.52,6.84
1rp7,8.52,6.63
1ta2,8.52,7.15
1xkk,8.52,6.88
2boh,8.52,5.21
2fvd,8.52,6.38
1hos,8.55,5.63
1ppl,8.55,5.05
2byr,8.55,5.66
1bgq,8.57,5.65
1q1g,8.57,5.82
1g45,8.64,3.02
1mue,8.64,6.33
1r1j,8.64,2.02
1t31,8.64,7.19
1i9n,8.66,2.60
1bcd,8.70,2.71
1g4j,8.70,2.95
1jgl,8.70,8.56
1jyq,8.70,5.29
1lnm,8.70,8.70
1ohr,8.70,7.23
1t7j,8.70,5.65
1xap,8.70,9.40
2f8g,8.70,5.92
2h4n,8.70,3.39
2pcp,8.70,6.18
1cin,8.73,3.37
1b6k,8.74,7.35
1mjj,8.74,5.61
1sdv,8.74,7.82
1bnv,8.77,3.29
1d4l,8.77,7.08
1qft,8.77,3.01
1x38,8.77,5.28
1zp8,8.77,4.95
1g46,8.80,3.24
1w5w,8.80,9.09
1ork,8.81,6.25
1cim,8.82,3.33
1g54,8.82,3.97
3tlh,8.82,2.68
2avo,8.85,7.68
1n3i,8.89,6.01
1nt1,8.89,9.91
1kzn,8.92,5.78
1r1h,8.92,5.41
1bv9,8.96,9.66
1nfw,8.96,6.45
1apv,9.00,5.24
1fm9,9.00,7.55
1mq5,9.00,6.77
1mu8,9.00,6.45
1wei,9.00,2.28
1y0l,9.00,5.07
2j4i,9.00,5.47
1g53,9.04,3.12
1ezq,9.05,6.51
1kdk,9.05,7.78
1pbk,9.05,5.97
1s63,9.05,4.27
1nw4,9.07,6.08
1bnw,9.08,2.82
1d3d,9.09,6.56
1msn,9.09,7.87
1h22,9.10,7.12
1d9i,9.11,4.12
1ta6,9.13,6.68
1z71,9.18,7.24
2fgu,9.18,7.34
1mh5,9.21,5.47
1d4k,9.22,7.73
1hpo,9.22,6.62
1hps,9.22,6.26
1hpv,9.22,5.64
1uho,9.22,5.72
1x39,9.22,4.83
1z1r,9.22,7.54
1db1,9.26,7.69
2avv,9.26,6.82
1sdt,9.27,8.15
830c,9.28,5.44
1bv7,9.30,9.98
1udt,9.30,6.25
1bn4,9.31,2.64
2aqu,9.32,6.35
1bn1,9.34,2.83
1fkf,9.40,6.74
1ksn,9.40,6.91
1met,9.40,8.05
1pme,9.40,5.36
1sqn,9.40,7.48
1hsh,9.42,7.68
1cil,9.43,3.95
1g1d,9.44,3.40
1qbs,9.47,8.57
1xjd,9.48,7.91
1bnq,9.49,3.58
1hvr,9.51,10.20
1m4h,9.52,5.45
2bys,9.52,7.40
2gvj,9.52,7.50
1g52,9.54,3.77
1dmp,9.55,8.67
1ws1,9.55,4.83
1o86,9.57,5.47
7hvp,9.62,5.28
1if8,9.64,2.63
1a7x,9.70,7.50
1bnu,9.70,4.31
1mrw,9.70,6.81
1z6e,9.72,7.54
2i0g,9.72,6.69
1nh0,9.74,6.68
2g00,9.74,8.43
456c,9.77,4.98
1bnt,9.80,4.58
1pvn,9.82,6.51
1zsr,9.82,5.71
1a42,9.89,3.69
1bn3,9.89,3.26
1hxb,9.92,7.38
1zsf,9.92,5.46
1hvl,9.95,6.77
1fjs,9.96,5.31
1bnn,10.00,3.47
1gar,10.00,5.15
1igj,10.00,5.71
1n4k,10.05,4.07
1nm6,10.05,9.74
1sdu,10.07,7.89
1sr7,10.10,8.58
1y6r,10.11,6.70
1xzx,10.22,6.29
1qbu,10.24,8.12
1c70,10.30,7.96
1hvs,10.30,6.67
4std,10.33,7.16
1c4u,10.37,5.49
1kzk,10.39,7.95
1msm,10.48,7.86
5std,10.49,8.29
1b8n,10.52,6.62
1n46,10.52,7.42
2f81,10.52,5.33
2fzz,10.52,9.88
1g2o,10.55,6.49
1qbr,10.57,9.66
1qbt,10.62,10.79
1dif,10.66,7.38
7std,10.72,6.69
1c4v,10.80,5.81
1hxw,10.82,6.14
1hvi,10.92,6.85
1hvk,10.96,7.26
1m7y,10.96,6.10
1dqx,11.05,5.48
1q84,11.05,9.68
1eix,11.06,6.43
1lor,11.06,6.47
1d4y,11.10,7.50
1hpx,11.26,5.89
1pro,11.30,8.39
2hb3,11.35,6.75
1hvj,11.40,6.70
2i0a,11.40,5.94
1lyb,11.42,4.66
6cpa,11.52,4.84
1duv,11.80,5.63
1ctu,11.92,5.76
1agm,12.00,5.87
1gah,12.00,6.36
