PDB,pbindaff,predicted
3v3l,6.43,6.28
3v3q,6.60,3.84
3v51,8.55,9.25
3v5p,8.96,6.85
3v5t,8.22,6.80
3v78,5.54,9.49
3v7t,7.21,6.09
3v7x,8.57,5.44
3vbd,8.07,5.66
3veh,4.96,5.47
3vf5,9.34,7.88
3vf7,9.10,7.80
3vfa,9.19,7.58
3vfb,9.04,7.73
3vh9,6.24,5.07
3vha,7.40,7.74
3vhc,8.89,8.32
3vhd,9.28,8.08
3vhk,4.60,6.92
3zq9,6.02,4.61
3zso,5.12,6.12
3zsq,4.96,5.74
3zsx,3.28,5.58
3zsy,3.23,6.13
3zt2,2.84,7.20
3zt3,2.86,6.81
3zv7,5.92,5.74
3zxz,8.40,8.03
3zyf,4.85,4.23
3zze,8.89,7.66
4a6b,8.38,7.93
4a6c,7.92,8.01
4a6l,8.00,7.88
4a7i,8.70,6.36
4a95,5.76,6.51
4aa1,4.12,7.18
4acc,7.70,6.00
4ad2,6.20,4.43
4ad3,4.62,4.42
4afg,8.30,6.69
4afh,9.54,8.56
4ag8,8.96,9.21
4agc,10.70,8.90
4agl,3.65,3.10
4agm,3.98,4.03
4agn,3.97,4.52
4ago,4.81,5.05
4agp,4.69,4.17
4agq,5.01,5.26
4ai5,2.92,4.09
4aia,3.66,3.97
4aj4,3.89,4.60
4aje,3.68,5.32
4aji,3.55,5.29
4ajl,3.80,5.57
4alx,7.28,7.79
4aoi,8.40,9.07
4ap7,7.96,8.19
4aph,5.40,6.61
4app,7.19,8.45
4aq4,6.17,4.34
4ara,6.05,6.68
4arb,5.89,6.38
4arw,7.13,5.51
4as6,6.40,5.35
4asd,9.28,8.99
4ase,11.00,8.86
4asj,7.55,7.02
4auy,7.74,5.42
4av0,6.98,5.53
4av4,7.03,5.48
4av5,7.21,6.31
4avh,7.23,4.80
4avi,7.63,4.84
4avj,7.44,5.86
4ax9,9.57,7.49
4b0b,3.33,5.94
4b1j,7.30,7.82
4b5d,7.89,5.46
4b6o,7.00,7.17
4b6p,7.13,8.50
4b6r,5.85,7.12
4b6s,6.01,8.69
4b73,7.21,5.89
4b74,7.66,6.18
4b76,4.54,5.14
4b7j,7.95,4.96
4b7r,9.64,4.84
4b8y,8.05,6.77
4b9k,6.17,6.88
4b9w,4.17,6.35
4dbm,7.62,6.44
4dcs,5.10,6.86
4dds,5.01,6.77
4ddy,5.62,6.72
4de0,5.89,6.44
4de1,5.96,6.17
4de2,4.12,6.12
4de3,5.52,6.33
4der,6.31,5.93
4des,5.85,5.98
4det,5.68,5.36
4deu,5.64,6.14
4dew,7.00,4.71
4dff,7.46,5.39
4dfg,11.74,7.41
4dhl,4.48,3.66
4djo,11.52,6.33
4djp,10.55,6.44
4djq,10.32,6.28
4djr,11.52,6.66
4dju,5.44,6.44
4djv,6.72,7.36
4djw,6.28,6.85
4djx,7.23,6.36
4dst,2.96,3.96
4dsu,2.82,3.65
4dsy,4.43,3.90
4duh,5.18,6.69
4dv8,9.24,6.38
4dy6,4.40,6.90
4e0w,7.48,5.83
4e0x,7.12,6.01
4e3g,4.97,3.76
4e3h,7.05,3.71
4e49,5.11,3.92
4e4l,8.77,7.60
4e4n,9.05,6.84
4e5w,7.66,7.75
4e67,6.48,6.28
4e6d,8.92,7.06
4e6q,8.36,7.17
4e7r,7.70,7.98
4e81,5.24,6.40
4e9u,5.82,5.38
4ea1,6.44,6.28
4ea2,6.44,6.31
4ehz,8.00,6.23
4ei4,8.74,6.74
4ek9,4.42,5.62
4eky,3.52,7.78
4el0,4.49,7.33
4el5,5.37,7.58
4en4,5.52,3.95
4eo6,8.70,5.77
4eo8,8.15,5.78
4eoh,4.30,4.05
4epy,3.47,5.95
4erf,9.40,6.13
4euo,5.05,3.52
4ewn,6.70,5.04
4exs,4.41,3.54
4f09,6.70,6.12
4f1l,5.12,6.37
4f20,3.29,5.94
4f5y,5.43,8.87
4f7v,5.38,8.92
4f9u,6.03,4.38
4f9v,6.03,4.34
4fai,6.99,4.52
4fbe,6.99,4.59
4fbx,7.66,5.48
4fcf,8.62,4.89
4fcq,7.00,6.11
4ffs,10.44,4.88
4fk6,9.70,7.09
4fl1,3.28,5.20
4fl2,3.66,6.69
4flp,6.72,5.99
4fm7,7.00,6.99
4fm8,5.62,7.07
4fsl,7.70,7.74
4fut,6.51,8.06
4g0p,3.01,4.59
4g0q,2.52,4.47
4g0y,2.30,4.65
4g0z,2.21,4.73
4g8m,7.89,5.91
4g8n,7.20,5.42
4g8v,5.80,5.04
4g8y,4.59,4.73
4g90,4.51,5.14
4gah,6.10,5.89
4gg7,8.20,8.04
4gid,10.77,8.92
4gqq,2.89,3.52
4gqr,3.96,5.75
4h3f,9.00,8.48
4h3g,8.22,8.56
4h3j,7.05,8.47
4h75,6.60,4.99
4ha5,7.24,6.10
4hbm,7.92,6.73
4hf4,8.62,8.20
4hge,7.92,6.55
4i3z,4.29,6.14
