pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
1.8000,2572.0000,667.0000,695.0000,12.0000,0.0000,0.0000,0.0000,0.0000,2052.0000,538.0000,574.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.3602,1505.1587,5.1345,3.8477,10.2553,10.0755,66.8024,0.5924,0.0000,1.6913,0.1176,1ga8
1.8200,1954.0000,591.0000,611.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1802.0000,556.0000,573.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.2771,1050.5685,4.3689,0.0000,9.5347,18.0021,78.6563,0.8219,0.0000,1.2664,0.1000,1af6
1.8200,653.0000,197.0000,180.0000,9.0000,0.0000,0.0000,0.0000,0.0000,976.0000,294.0000,270.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.6537,578.9135,3.2935,0.0000,6.8149,5.7036,3.3216,0.4145,0.0000,1.4994,0.2000,1d5r
1.8400,757.0000,196.0000,257.0000,4.0000,100.0000,25.0000,34.0000,0.0000,581.0000,153.0000,210.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.8854,529.2502,4.0300,1.7394,8.8808,3.7746,18.4701,0.5608,0.0000,1.1536,0.1818,1rdn
1.8800,1394.0000,382.0000,483.0000,46.0000,198.0000,50.0000,62.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.8922,610.3385,0.6344,4.6428,1.1846,1.2290,5.2513,0.0000,1.6713,0.0000,0.4000,1tnl
1.9000,1620.0000,434.0000,567.0000,9.0000,172.0000,50.0000,64.0000,1.0000,335.0000,107.0000,138.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.6933,747.7077,2.4865,37.8833,4.4690,2.7403,14.8039,0.0089,0.0000,0.0000,0.2222,1f2p
1.9100,1069.0000,313.0000,405.0000,6.0000,175.0000,54.0000,65.0000,1.0000,321.0000,111.0000,141.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.5509,576.1594,3.3032,14.0472,5.9428,3.1539,3.3672,0.0140,0.0000,0.0000,0.1818,1f2o
1.9600,1283.0000,357.0000,450.0000,42.0000,175.0000,51.0000,61.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5793,577.3017,0.9562,4.4863,2.1976,1.3489,3.7119,0.0215,0.0000,0.0000,0.2857,1tnj
2.0500,2521.0000,713.0000,670.0000,7.0000,0.0000,0.0000,0.0000,0.0000,1628.0000,468.0000,437.0000,6.0000,311.0000,91.0000,85.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6483,1396.1637,2.6733,0.0000,5.1949,10.4866,85.1534,0.3457,0.0000,0.7484,0.0909,1jfh
2.0600,926.0000,274.0000,346.0000,5.0000,178.0000,56.0000,65.0000,1.0000,321.0000,111.0000,141.0000,2.0000,186.0000,50.0000,67.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.1585,614.9818,2.5561,1.3447,5.5443,1.8323,5.8484,0.0588,0.0000,0.0000,0.1667,1qq9
2.0600,652.0000,176.0000,222.0000,0.0000,0.0000,0.0000,0.0000,0.0000,501.0000,136.0000,179.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2279,399.1926,3.9233,0.0000,8.2012,2.0049,3.0793,0.0000,0.0000,0.0000,0.2222,1rdi
2.1000,2306.0000,721.0000,802.0000,19.0000,549.0000,155.0000,176.0000,4.0000,1126.0000,354.0000,388.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.8243,1392.6013,2.8982,4.2198,6.3368,17.7475,138.7973,1.3662,0.0000,1.2546,0.0769,1njj
2.1500,2166.0000,462.0000,622.0000,0.0000,124.0000,25.0000,39.0000,0.0000,1732.0000,376.0000,511.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9313,1071.3971,3.6309,3.9641,7.1280,33.4867,177.9100,1.5492,0.0000,3.1137,0.0741,1uxb
2.2100,1481.0000,332.0000,326.0000,24.0000,0.0000,0.0000,0.0000,0.0000,1225.0000,283.0000,274.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.5455,696.9531,1.1695,11.5119,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1x8d
2.2200,2478.0000,730.0000,674.0000,44.0000,0.0000,0.0000,0.0000,0.0000,1397.0000,405.0000,386.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.0309,1265.4806,4.3453,0.0000,10.6559,25.0944,142.8798,0.2138,0.0000,0.4745,0.0370,1icj
2.2200,1441.0000,324.0000,318.0000,9.0000,0.0000,0.0000,0.0000,0.0000,1198.0000,267.0000,254.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.4280,822.2214,2.4974,13.8162,5.1426,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,2aac
2.2400,577.0000,152.0000,195.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.0000,153.0000,210.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2057,413.2434,3.7919,0.0000,8.8362,0.2958,3.7143,0.3567,0.0000,0.8533,0.2222,1rdl
2.2600,371.0000,124.0000,134.0000,0.0000,0.0000,0.0000,0.0000,0.0000,903.0000,288.0000,336.0000,0.0000,0.0000,0.0000,0.0000,0.0000,192.0000,61.0000,68.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6867,522.3052,3.1229,0.0000,5.1407,1.9059,1.6236,0.1432,0.0000,0.0000,0.3333,1ew8
2.2700,1267.0000,364.0000,433.0000,36.0000,201.0000,56.0000,62.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.4908,550.6233,0.8366,7.4853,2.0263,1.0845,4.2672,0.0000,0.0000,0.0000,0.2857,1uto
2.2800,1622.0000,419.0000,463.0000,8.0000,391.0000,103.0000,105.0000,2.0000,1178.0000,304.0000,341.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.1781,950.8774,4.3753,0.0000,9.3321,1.0358,5.5406,0.5095,0.0000,0.7628,0.2500,1ps3
2.3000,2063.0000,459.0000,613.0000,0.0000,140.0000,30.0000,32.0000,0.0000,1715.0000,369.0000,512.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.6229,1156.1931,2.1744,4.5156,4.6053,27.0832,173.8691,1.3842,0.0000,2.5923,0.0741,1uxa
2.3000,1670.0000,482.0000,455.0000,15.0000,0.0000,0.0000,0.0000,0.0000,662.0000,188.0000,177.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6461,782.7354,0.9048,41.6094,1.9021,2.9053,8.5395,0.0007,0.0000,0.0000,0.2857,3pcg
2.3100,2474.0000,743.0000,826.0000,24.0000,420.0000,123.0000,143.0000,4.0000,1660.0000,490.0000,572.0000,14.0000,0.0000,0.0000,0.0000,0.0000,415.0000,123.0000,149.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.2315,1594.2607,5.1863,26.1322,9.4565,6.4699,100.1951,0.7795,1.2825,1.0000,0.1000,1m0o
2.3500,1820.0000,523.0000,607.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1640.0000,470.0000,564.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.2259,1035.8949,4.4109,0.0000,8.1523,13.0826,75.6665,0.8435,0.0000,2.2766,0.1111,1qi0
2.3900,2537.0000,808.0000,767.0000,24.0000,653.0000,206.0000,191.0000,5.0000,768.0000,236.0000,225.0000,8.0000,263.0000,81.0000,73.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.3041,1266.3483,1.3877,5.8650,3.6732,43.3138,195.5025,1.0847,2.1528,1.0970,0.0800,1nwl
2.4000,1392.0000,405.0000,394.0000,14.0000,0.0000,0.0000,0.0000,0.0000,575.0000,173.0000,165.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5006,670.1820,1.1770,35.3824,2.1435,0.3518,4.1588,0.0000,0.0000,0.0000,0.4000,3pcb
2.4400,674.0000,163.0000,184.0000,9.0000,141.0000,35.0000,38.0000,2.0000,122.0000,32.0000,33.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.0982,309.7864,0.7907,0.0000,1.8621,1.9257,0.6568,0.0000,0.0000,0.0000,0.2000,1oba
2.4700,1451.0000,384.0000,477.0000,59.0000,177.0000,48.0000,56.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9470,622.9108,1.2682,5.4055,2.4701,2.9562,7.0323,0.0000,1.3825,0.0000,0.2222,1utl
2.4800,1189.0000,290.0000,275.0000,14.0000,0.0000,0.0000,0.0000,0.0000,334.0000,88.0000,76.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.0907,460.5407,0.9950,43.7653,1.9589,0.4647,2.4418,0.0000,0.0000,0.0000,0.5000,1gyx
2.5000,1704.0000,408.0000,486.0000,10.0000,0.0000,0.0000,0.0000,0.0000,851.0000,204.0000,248.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.3869,766.2828,1.0576,30.9303,1.8979,2.1841,11.5047,0.0006,0.0000,0.0000,0.2500,1ai4
2.5700,2180.0000,591.0000,571.0000,22.0000,0.0000,0.0000,0.0000,0.0000,2035.0000,539.0000,521.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.8925,1276.5769,3.7477,0.0000,9.2628,9.6453,78.8351,0.7589,0.0000,1.4945,0.1111,1gwv
2.6000,1186.0000,365.0000,327.0000,5.0000,0.0000,0.0000,0.0000,0.0000,1340.0000,401.0000,382.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.4167,913.4996,4.2153,5.1729,8.8892,8.9379,12.1079,0.8230,0.0000,1.7780,0.1538,2c4v
2.6300,1705.0000,396.0000,491.0000,10.0000,239.0000,58.0000,68.0000,2.0000,837.0000,206.0000,259.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6370,811.0032,0.5409,40.9321,0.0000,4.3979,17.1924,0.0047,0.0000,0.0000,0.2500,1ajn
2.6800,821.0000,225.0000,254.0000,5.0000,0.0000,0.0000,0.0000,0.0000,1388.0000,369.0000,428.0000,8.0000,0.0000,0.0000,0.0000,0.0000,167.0000,45.0000,55.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.3630,839.1476,3.8605,0.0000,10.1131,4.9589,20.1085,0.0000,0.0000,0.0000,0.1818,1o8b
2.7200,743.0000,189.0000,181.0000,12.0000,185.0000,46.0000,45.0000,4.0000,465.0000,121.0000,114.0000,4.0000,191.0000,46.0000,48.0000,4.0000,158.0000,44.0000,37.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.5145,554.8865,0.5141,3.7018,1.0942,3.2180,7.4238,0.0003,0.0000,0.0000,0.1667,1pfu
2.7500,502.0000,132.0000,143.0000,10.0000,0.0000,0.0000,0.0000,0.0000,727.0000,184.0000,216.0000,16.0000,247.0000,61.0000,74.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8611,463.2298,1.7709,6.8527,4.1695,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1rql
2.8000,1179.0000,330.0000,404.0000,34.0000,198.0000,54.0000,61.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.7726,542.4489,1.0554,5.5824,2.5928,0.4392,1.0260,0.0000,0.0000,0.0000,0.4000,2bza
2.8900,2119.0000,496.0000,553.0000,28.0000,340.0000,75.0000,88.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,187.0000,47.0000,51.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.8295,908.5793,0.9138,54.2625,0.5447,16.3507,55.2024,0.1316,8.6970,0.0000,0.0952,1cet
2.8900,559.0000,149.0000,159.0000,3.0000,0.0000,0.0000,0.0000,0.0000,1393.0000,375.0000,404.0000,5.0000,0.0000,0.0000,0.0000,0.0000,210.0000,57.0000,63.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6414,702.9510,1.9729,0.0000,5.5626,4.3405,10.1736,0.0011,0.0000,0.0000,0.1818,1iih
2.8900,928.0000,250.0000,230.0000,14.0000,0.0000,0.0000,0.0000,0.0000,473.0000,121.0000,115.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.3475,440.8305,0.7757,20.6795,2.1719,0.9238,0.5834,0.0000,0.0000,0.0000,0.2857,1ugp
2.9200,978.0000,331.0000,354.0000,6.0000,0.0000,0.0000,0.0000,0.0000,1998.0000,699.0000,671.0000,7.0000,0.0000,0.0000,0.0000,0.0000,327.0000,119.0000,114.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9779,1025.5021,2.6834,0.0000,7.8402,9.5775,55.3989,0.3357,0.0000,1.0055,0.1333,2fkf
2.9200,1186.0000,364.0000,367.0000,28.0000,0.0000,0.0000,0.0000,0.0000,1347.0000,435.0000,438.0000,27.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.1205,918.0063,3.2234,2.9784,7.8694,11.4125,12.5810,0.6528,0.0000,1.4614,0.1538,2fw6
2.9200,1190.0000,362.0000,363.0000,28.0000,0.0000,0.0000,0.0000,0.0000,1346.0000,435.0000,440.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4855,915.7441,3.2292,3.0729,7.9429,11.4915,12.5660,0.6383,0.0000,1.3968,0.1538,2fwp
2.9300,1220.0000,339.0000,403.0000,35.0000,202.0000,58.0000,63.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.6207,547.5461,0.9856,4.2374,2.1919,0.4659,0.9361,0.0000,0.0000,0.0000,0.4000,1tng
