pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.8000,47.3710,537.9728,1.5836,5.1201,2.4209,0.4000,2bza
2.8900,54.5711,748.8428,1.0196,41.1716,0.3904,0.0952,1cet
2.8900,58.1169,727.0515,3.1891,0.0000,5.6486,0.1818,1iih
2.8900,20.7152,377.0501,1.1675,21.4891,2.8216,0.2857,1ugp
2.9200,44.5748,776.5974,3.6708,0.0000,8.1147,0.1333,2fkf
2.9200,76.1862,897.1276,6.2081,1.8753,8.6484,0.1538,2fw6
2.9200,76.0288,899.3575,6.6766,2.0677,9.0814,0.1538,2fwp
2.9300,38.2373,536.0855,1.8715,3.7085,2.9716,0.4000,1tng
2.9600,50.4041,787.8096,8.7885,18.5684,3.9368,0.3333,1ykp
2.9600,32.6494,444.4868,4.2878,0.8664,2.7287,0.6667,2br6
3.0000,82.7170,1023.5984,14.1028,0.7759,10.0302,0.1333,1ecq
3.0000,29.3196,556.6985,1.5384,1.3609,3.2935,0.1667,1hqg
3.0000,39.4904,590.0974,1.1371,0.0000,3.0527,0.1429,1ux7
3.0000,59.7850,599.1547,2.5086,0.0000,5.2317,0.1818,1ws4
3.0100,27.4429,535.3923,0.4545,3.6547,1.5000,0.2857,1utm
3.0300,58.9201,580.1729,2.6480,0.0000,5.3810,0.1818,1ws5
3.0500,78.6928,863.8568,7.8438,0.0000,10.2275,0.1250,1uj5
3.0500,70.8647,785.6653,7.5487,0.0000,10.8934,0.1176,1uj6
3.0800,72.0896,588.0813,4.6262,20.7406,6.5018,0.4000,1y1z
3.1000,104.3324,1347.4518,4.4211,6.6081,6.7185,0.2222,1af2
3.1000,83.9321,1018.8129,9.6514,0.0000,10.6347,0.1429,1ec9
3.1000,88.8965,702.7246,3.3638,0.0000,0.4333,0.5000,1pu7
3.1000,84.3287,698.9051,3.7963,0.0000,0.0000,1.0000,1pu8
3.1300,50.3978,772.9088,3.0302,3.4267,5.1514,0.1818,1ax0
3.1500,78.7066,921.1265,5.4340,0.0000,7.9690,0.2500,1e6q
3.1800,179.7703,2322.1064,10.2619,15.0263,16.4183,0.0645,1ro7
3.2000,44.5700,644.1353,2.6892,0.0000,5.0092,0.2222,1axz
3.2100,62.0432,639.0702,6.1209,0.0000,6.6603,0.1667,6tim
3.2200,106.7548,1297.7816,4.9542,12.9078,4.8829,0.1818,1br6
3.2200,80.9791,866.6213,7.7136,0.0000,9.6786,0.2222,1e6s
3.2200,32.6198,301.4857,5.8153,0.0000,0.5953,0.4000,1ew9
3.2200,117.8048,2089.1965,6.1144,7.3865,9.8432,0.0588,1k1y
3.2200,49.8241,634.4219,2.6160,33.8156,4.4967,0.2500,1tog
3.2300,56.5423,930.5534,3.6219,7.6902,5.8970,0.1429,1px4
3.2500,61.2744,589.0704,2.5788,3.6641,4.3573,0.4000,1v2j
3.2600,43.2543,766.7039,1.9322,34.9974,1.7429,0.2500,5yas
3.3100,51.1627,1077.8558,1.5742,37.7311,0.0000,0.1429,1pzp
3.3200,71.6106,909.2902,1.8005,35.3603,1.2258,0.1667,1pzo
3.3300,83.1322,1371.1288,7.8505,0.0000,7.7914,0.0952,1jlr
3.3700,47.4770,584.5823,1.6508,3.6438,2.9369,0.4000,1tnh
3.3700,59.2445,586.9909,2.4635,5.5226,4.4590,0.4000,1v2u
3.3800,88.1447,1330.3649,14.1559,1.8138,5.2564,0.1429,2fzg
3.4000,157.3735,2069.1067,12.4549,0.0000,12.9435,0.0952,1bxr
3.4000,76.5084,1437.6611,2.0539,54.4975,0.9721,0.0588,1ikt
3.4000,48.2094,599.4297,13.6990,6.0387,3.0000,0.2000,1jt1
3.4000,30.6745,467.0640,0.4304,49.9588,0.0000,1.0000,1l83
3.4000,142.0193,1931.3241,9.8290,0.0000,16.3447,0.1000,1m83
3.4000,67.4671,744.9394,4.4923,6.7616,7.1244,0.2857,1uz4
3.4000,33.9910,425.0982,1.0546,63.0298,0.0000,1.0000,220l
3.4200,72.2647,1046.5347,3.3851,8.9705,6.8473,0.1176,2sim
3.4600,65.0091,1163.8557,6.1273,0.0000,10.1303,0.1667,1moq
3.4900,45.4817,590.1922,1.9801,5.4955,3.1496,0.4000,1c5o
3.4900,59.2411,795.7780,2.5508,0.0000,4.8442,0.1111,1gzc
3.4900,45.9975,543.3562,1.9164,4.5127,3.0976,0.4000,1utn
3.5200,34.7680,885.5301,0.2219,42.4255,0.4791,0.0328,1imx
3.5400,127.3202,1609.0739,9.3893,0.0000,7.7055,0.0952,1vjd
3.5500,78.6042,1057.0381,4.1142,5.3089,6.2191,0.0800,1v2r
3.5500,66.9801,1022.3224,5.6821,8.8526,7.7162,0.1176,2qwc
3.5700,86.7437,1055.2239,3.0485,44.2940,0.0000,0.1333,1h46
3.5800,82.4066,1318.0415,4.0497,0.0000,5.9491,0.0952,1vjc
3.5900,74.8728,604.6540,3.4485,0.0000,4.1002,0.6667,1nli
3.5900,78.8749,1301.6108,5.9293,0.0000,4.9976,0.1667,2gsu
3.6000,31.7843,304.4361,1.7698,0.0000,0.9204,0.2500,1d7i
3.6000,82.8777,1590.1316,17.0181,1.5676,11.0057,0.1250,2fzk
3.6000,35.5599,654.4344,4.5980,4.8003,4.0791,0.1667,3jdw
3.6200,47.0534,716.8582,5.1564,25.9974,3.8295,0.4000,3pcc
3.6400,75.9053,646.0610,3.4229,45.4498,1.6956,0.2857,1gyy
3.6600,57.2059,882.8449,9.2120,33.0470,4.4860,0.2500,3pcn
3.6800,72.3348,732.0588,4.0964,1.0199,2.4191,1.0000,1c3x
3.6800,124.2678,1708.8391,6.2056,38.7732,9.1538,0.0385,1qsc
3.6900,79.1619,1153.9165,9.2067,5.7964,3.7225,0.2222,2a8g
3.7000,53.1508,759.1337,2.8034,0.0000,4.7344,0.0667,1fwu
3.7000,111.2925,1577.8970,3.4657,0.0000,6.8143,0.1000,1gz3
3.7000,120.5877,1571.8584,3.0626,0.0000,5.5439,0.1000,1gz4
3.7000,36.3397,493.0738,2.9996,0.0000,4.7434,0.2500,1pdz
3.7000,80.1406,942.4874,6.5861,41.7886,5.4293,0.1667,1wht
3.7000,99.5203,906.4200,4.3508,125.7291,0.0000,0.6667,2bjm
3.7000,53.6750,651.6199,2.6188,0.0000,5.3362,0.1176,2bmz
3.7000,62.6425,646.7822,2.5077,5.9636,3.7831,0.6667,2fx6
3.7200,42.8340,770.4806,4.6408,2.4921,3.3035,0.0667,1fwv
3.7200,43.6569,724.4039,3.9424,3.4601,9.2273,0.1538,1grp
3.7200,123.9113,1953.6443,7.1166,8.7448,10.3441,0.0800,2am4
3.8000,28.3980,472.0526,1.2751,22.7046,0.5436,0.6667,1li6
3.8000,68.7139,850.4099,3.1153,7.8871,4.0518,0.2000,2hb1
3.8100,104.5472,1524.3590,3.9153,45.6164,2.4787,0.1818,2hu6
3.8300,88.0123,1178.5698,7.0120,0.0000,11.2218,0.0952,1r0x
3.8400,46.7699,528.7094,1.4687,4.1681,2.6870,0.4000,1utj
3.8500,72.6231,1062.9761,4.6932,6.7958,8.0211,0.1176,1n1t
3.8700,85.8939,1242.8829,3.4623,22.1001,1.5796,0.1111,1aj7
3.9000,49.2179,922.3589,3.1424,27.7674,4.7857,0.1818,2gvv
3.9300,56.8267,1156.3329,2.8778,4.2588,1.8288,0.2222,2a5b
3.9300,121.0825,961.8326,7.0464,0.0000,11.4569,0.1000,2cbz
3.9400,144.9722,1557.9133,7.5543,26.8034,9.2195,0.0952,1v1m
3.9400,67.5627,1267.2008,3.2668,0.0000,6.5849,0.1111,1z3t
3.9600,110.4920,1410.7770,5.4383,13.0798,6.1897,0.1429,1mrs
3.9600,84.9866,1350.4117,6.8717,0.0000,11.1225,0.1000,1x9d
3.9600,60.0014,670.5394,2.9780,4.8517,3.0968,0.6667,2fpz
3.9800,145.3723,1528.9171,7.3900,26.8928,8.6482,0.0952,1v11
4.0000,37.1158,621.8224,1.2690,40.3615,1.0000,0.6667,1lgw
4.0000,33.9820,607.4834,1.5012,39.0786,0.8223,0.1429,1nu3
4.0000,68.9523,609.4850,3.9808,4.4250,2.0000,0.1818,1tni
4.0000,93.7646,1571.3044,6.4927,0.0000,8.5405,0.0952,1wc1
4.0100,60.2250,620.1005,2.9335,5.2894,4.5818,0.4000,1c5z
4.0100,78.4397,998.1827,3.8373,5.3737,6.2140,0.0800,1v2w
4.0400,63.6020,1011.0635,4.2584,0.0000,3.7700,0.1176,1hi5
4.0400,37.7432,541.0239,0.7389,43.2867,0.9288,0.6667,1li2
4.0500,132.6766,2127.9810,7.3944,52.6299,4.4089,0.0909,1awi
4.0500,87.2700,1080.2024,5.7152,16.5757,5.1895,0.0909,1r4w
4.0500,57.4391,654.7269,3.2028,20.8055,2.4461,0.1111,1tuf
4.0700,97.7516,1450.5862,10.4884,31.0782,6.6481,0.2000,1gj4
4.0700,64.9100,804.2958,4.0544,6.2297,6.4253,0.1818,1hyo
4.0800,49.5094,812.7455,0.4584,46.5248,0.0000,0.2000,1y2g
4.0900,48.0200,507.1369,1.0691,38.5756,0.0000,0.6667,1ai7
4.0900,21.5567,630.5560,1.1513,7.4736,0.9713,0.1111,1jn2
4.0900,53.9282,923.9842,2.6338,2.4463,3.8830,0.1667,1o0n
4.1000,57.8706,747.9852,2.3343,4.7590,4.3987,0.4000,1c5t
4.1000,103.5741,1255.0822,4.0245,0.0000,5.1385,0.2000,1odj
4.1000,94.3949,1393.9415,4.5280,46.3531,7.2264,0.0339,1rzx
4.1100,73.7385,1064.2209,9.9503,0.0000,8.3958,0.1667,1p19
4.1100,71.2252,1268.1921,2.4744,0.0000,5.7455,0.1111,1z3v
4.1300,75.1039,1008.1899,3.9959,7.0730,5.5224,0.0800,1v2q
4.1400,66.4070,1189.8346,2.2894,0.0000,3.9357,0.0667,1gny
4.1500,58.0411,656.4709,4.2906,12.2180,2.0000,0.2000,1m2x
4.1500,112.7609,1396.9806,4.0663,34.4832,4.0167,0.2222,1q91
4.1500,48.9729,945.5282,3.7471,5.6214,1.7548,0.2000,2toh
4.1700,59.5723,588.9471,2.0298,4.9051,4.0625,0.4000,1v2s
4.1900,61.1478,887.8455,3.5574,0.0000,2.2743,0.1250,1hi3
4.2000,71.3965,776.2308,3.1125,4.8616,4.4739,0.4000,1c5y
4.2000,88.4574,1001.5494,7.9599,21.6949,7.6513,0.2500,1c87
4.2000,78.5165,1048.3210,6.2330,20.4940,5.7855,0.2500,1ghw
4.2100,45.9986,669.3819,2.3809,0.0000,4.2917,0.1000,1ulg
4.2200,71.8489,993.4368,5.9049,3.4033,6.7794,0.1176,1pzi
4.2200,53.0752,847.8365,6.2670,4.9655,8.5556,0.1176,1t5f
4.2200,82.5095,1598.1788,5.1085,0.0000,5.0816,0.1538,1ua4
4.2500,35.0068,609.1805,0.9027,35.6668,0.9868,0.6667,1li3
4.2700,52.8267,917.0477,6.9025,2.4470,4.7627,0.1333,1m5w
4.2900,86.1793,1148.6333,4.4562,32.4156,3.5088,0.2222,1e2l
4.2900,58.9168,593.1825,1.7053,6.0295,3.1607,0.4000,1v2l
4.3000,101.9596,1874.4142,3.4468,57.9998,3.0741,0.1250,1z95
4.3100,66.3463,825.3778,5.3719,0.0000,4.5316,0.1538,1rgk
4.3100,73.5461,1042.4816,3.0901,16.8930,4.8052,0.1053,2tpi
4.3200,55.3575,876.7377,3.6516,1.8685,4.2495,0.1667,4rsk
4.3300,162.5541,1690.5289,12.2363,27.9853,13.1965,0.0952,1olx
4.3400,43.5225,1217.6675,2.3996,39.8062,1.0000,0.1333,1e3v
4.3400,90.3569,906.0107,3.9943,0.0000,3.7877,0.1667,1z6s
4.3500,70.1836,1056.2095,4.1103,12.7101,6.2599,0.2500,1ghv
4.3500,53.1276,920.0758,4.0806,0.0000,6.2004,0.1667,1yfz
4.3600,104.4489,1178.8445,2.9854,57.6917,4.2868,0.1333,1dy4
4.3600,47.9622,806.2408,9.8037,4.4932,7.6032,0.2857,1we2
4.3600,24.8893,472.2557,3.0757,0.1976,1.6165,0.2222,2ez7
4.3800,109.1141,1402.3947,3.9568,42.0529,5.8834,0.0444,1bhf
4.3900,162.2864,2579.3125,6.6120,72.0574,10.0842,0.0299,2avq
4.4100,80.3423,1240.3157,6.9643,44.8258,6.9919,0.2000,1no6
4.4100,49.2466,954.5972,1.5033,29.0866,0.3711,0.1818,2csn
4.4300,68.8921,867.5730,5.4792,0.0000,3.0607,0.1538,1rgl
4.4400,125.3872,1983.9305,7.1296,15.2184,8.4612,0.0690,2amt
4.4600,129.9122,1459.5789,15.9593,1.0000,16.8315,0.1000,1wvc
4.4800,117.2229,1681.3936,4.5099,3.9929,5.5470,0.1053,1qan
4.4900,62.6566,621.2662,2.4599,5.8270,4.1221,0.4000,1j14
4.4900,125.9922,1540.3689,8.1272,8.9389,11.0664,0.1250,1o7o
4.5100,85.3140,973.3763,2.4590,8.0751,3.3700,0.2500,1gi7
4.5200,88.4950,1302.8682,4.1460,7.5808,5.7721,0.2222,1ctt
4.5200,74.3199,883.1943,4.9235,6.7179,9.6988,0.2857,1gu1
4.5200,168.7173,2581.8992,6.7282,20.4466,7.9278,0.0526,1mrn
4.5200,99.4004,1122.2346,4.5154,0.0000,6.4824,0.1667,1z4n
4.5200,98.8654,1131.9674,5.6073,0.0000,8.1364,0.1667,1z4o
4.5200,50.8112,841.1086,7.5241,16.2913,1.4504,0.2222,2a4m
4.5400,70.8271,1303.7507,3.4287,0.0000,2.4582,0.1176,1amw
4.5400,131.9947,1767.8455,6.2234,24.3287,11.6643,0.0526,1b2h
4.5400,50.5369,607.4777,5.1877,0.0000,4.5269,0.2500,1lyx
4.5400,45.5997,628.0467,3.3550,0.0000,7.2628,0.2222,1oko
4.5400,144.0360,1764.1349,3.8624,0.0000,7.4620,0.0769,1szd
4.5500,123.0607,2250.3074,5.0439,57.6309,6.7453,0.0364,1utc
4.5700,89.3143,1092.0702,3.3841,19.4195,2.9345,0.2222,1w2g
4.5900,76.2369,917.8635,3.0224,30.8295,0.0000,0.2000,1fj4
4.6000,82.6415,887.9659,7.3825,19.9094,7.9869,0.2222,1pa9
4.6000,66.4423,801.3441,4.0771,2.7386,5.1231,0.2500,1tx7
4.6000,30.6112,513.5757,0.2980,3.8150,0.6582,1.0000,1upf
4.6100,41.0104,649.1083,4.4024,3.8199,5.4162,0.1538,2bo4
4.6200,56.1372,671.9606,4.5800,0.0000,7.9949,0.1429,1joc
4.6200,43.8580,512.1745,2.5805,9.2711,4.8582,0.2857,1ofz
4.6200,54.1482,1073.4803,1.7969,6.6037,1.5902,0.2500,2a5c
4.6200,97.5083,1221.6235,3.7054,47.3999,5.3161,0.1250,2f6t
4.6600,103.9525,1142.3690,7.1395,81.5764,6.4366,0.2500,1bzj
4.6600,62.8084,615.7117,2.3081,3.4581,4.1186,0.4000,1h4w
4.6600,54.8049,730.4628,5.5870,0.0000,7.2734,0.2500,1m1b
4.6600,72.4304,907.8687,7.9086,1.2737,9.3970,0.0909,2ca8
4.6800,56.2661,607.5004,2.2391,3.6357,3.9924,0.4000,1c5p
4.6800,53.9691,696.4572,3.4103,0.2929,5.6882,0.5000,1xge
4.7000,52.1992,771.6173,2.3638,2.6230,2.5180,0.4000,1c5n
4.7000,93.1405,1002.9290,7.7819,21.1742,8.1475,0.2500,1c86
4.7000,53.7666,1129.1697,3.2293,7.7136,5.2694,0.1176,2cex
4.7000,64.6852,754.0048,10.3021,0.0000,11.8798,0.2000,2dw7
4.7000,54.0144,429.2125,5.8371,20.2519,5.2237,0.1538,3kiv
4.7100,72.7669,1026.5173,3.4433,4.9283,6.1940,0.0800,1v2t
4.7400,60.9336,606.1291,2.4966,4.0326,4.5441,0.4000,1ce5
4.7400,57.6811,936.2229,3.9512,2.8000,3.9936,0.1818,1w4p
4.7700,86.9192,1760.6511,2.5707,34.3566,4.3059,0.0435,1str
4.7700,56.4843,655.3994,3.4866,8.5321,2.5875,0.2222,2afw
4.7700,72.4071,616.3978,2.2824,0.0000,1.8773,0.2222,2b4l
4.7700,34.0165,384.8734,4.1028,0.0000,6.6392,0.5000,2dua
4.7900,53.9086,615.6196,2.1266,5.6997,3.0577,0.4000,1oss
4.8000,70.8497,936.4701,2.0682,6.1975,4.8867,0.2500,1ghz
4.8200,46.0274,1230.5140,0.6026,46.5698,0.0000,0.1333,1aid
4.8200,83.0640,1053.2842,2.4713,10.4730,4.5082,0.1333,1dud
4.8200,71.5482,963.0145,4.3413,7.3912,9.0322,0.2857,1v1j
4.8200,62.2304,776.5155,5.8944,1.8510,9.7654,0.1818,1xff
4.8200,147.9339,2548.5571,11.1703,7.3573,11.2634,0.0645,1y3p
4.8200,100.4646,1009.4240,3.5094,0.0000,3.1408,0.2000,2gl0
4.8200,146.7911,2378.4514,5.6743,49.4367,8.6654,0.0606,2gzl
4.8200,48.8384,582.6354,4.9319,0.0000,3.8172,0.2500,2ypi
4.8500,103.5130,1029.3821,6.1268,39.5538,6.2947,0.2500,1c83
4.8500,98.4886,928.1633,5.8304,38.7419,6.4445,0.2500,1ecv
4.8500,120.2367,1811.9539,7.0964,35.6754,5.9451,0.0952,1n51
4.8500,100.4180,2085.6677,5.7803,51.7876,3.6554,0.0465,1qji
4.8500,118.1433,1631.1271,7.3633,0.0000,10.9028,0.1250,1vkj
4.8500,79.7366,1023.4413,6.1654,14.1752,6.7094,0.1667,1xgi
4.8900,168.4082,2632.9119,6.5797,67.5453,10.5719,0.0290,2aoc
4.9200,125.1743,1303.6605,7.3052,81.4666,8.1338,0.1111,1bzc
4.9200,63.5193,1099.5186,1.6715,14.8896,2.7667,0.2222,1h1p
4.9200,97.0833,1309.3529,6.2238,5.8396,6.4640,0.0833,1jqy
4.9200,52.1556,810.6389,1.5827,43.2435,0.0000,0.1250,1y2f
4.9400,84.9487,1210.5432,3.6702,36.4549,2.0179,0.2222,1e2k
4.9400,70.1342,920.0178,5.6121,14.0397,4.2613,0.2000,4ts1
4.9500,129.0074,1787.4427,5.6751,4.1130,6.6155,0.0769,1jn4
4.9600,46.3083,439.7068,3.4013,30.8596,3.0836,0.1538,1cea
4.9600,110.0320,1359.1783,6.2397,28.2785,10.4403,0.0400,1elr
4.9600,92.1308,1513.7339,2.9615,13.1331,6.3134,0.0690,1uz8
5.0000,88.5027,1669.2740,10.2461,0.0000,15.4516,0.0952,1byk
5.0000,95.3964,1059.0657,5.7658,58.3870,4.6337,0.2500,1c84
5.0000,115.7755,1567.8577,7.8850,37.4872,7.1519,0.0408,1f8a
5.0000,51.6310,1148.6552,0.9505,13.6330,1.2183,0.2000,1hlk
5.0000,117.8861,1339.4891,6.4892,0.0000,9.5592,0.2222,1nc3
5.0000,88.7246,1408.5869,4.2059,46.6756,3.6868,0.0299,1oai
5.0000,77.3482,1756.6138,1.9138,33.6717,3.6257,0.0385,1sts
5.0000,72.3040,1460.6444,8.8306,0.0000,7.7641,0.0952,1yid
5.0100,167.6982,2547.6345,8.5041,7.4070,14.8062,0.0465,1ppi
5.0400,65.5881,1189.9250,2.2152,20.7751,3.7432,0.0769,1mfa
5.0500,90.5458,1203.2513,3.9763,0.0000,3.3361,0.2222,1fkw
5.0500,79.8101,1001.1874,4.9999,9.1000,4.7957,0.2500,1gi8
5.0500,139.3402,1715.7560,5.3942,43.5708,8.1186,0.0556,1qxk
5.0700,62.4264,1037.0889,5.1354,32.1728,1.7471,0.5000,2c3l
5.0900,101.5521,1232.8877,4.2754,68.9467,3.9254,0.0870,1m48
5.0900,92.9912,1313.9539,4.8401,1.3598,6.8661,0.1000,1nw7
5.1000,107.1683,1533.5396,2.7839,0.0000,4.0593,0.0444,1ez9
5.1000,74.5220,912.3006,5.0731,32.5794,3.4111,0.3333,1kmy
5.1000,74.7676,724.4901,7.6231,0.0000,11.5029,0.1667,1m6p
5.1000,57.9122,689.1844,3.1154,0.0000,2.6092,0.1333,1o0o
5.1000,86.2025,969.1389,5.3709,5.9109,8.2078,0.2000,1od8
5.1000,80.7270,1241.1542,6.1809,39.2623,6.4253,0.1818,1onz
5.1000,79.0524,969.7735,5.0770,0.0000,7.3606,0.1818,1v0k
5.1000,101.4684,1639.4686,3.5526,27.2164,2.8190,0.0741,1w7g
5.1000,66.9491,892.4686,5.6605,0.0000,10.2139,0.2222,2h5a
5.1100,69.1431,1026.2058,2.0460,22.1072,2.3909,0.1667,1k4h
5.1100,122.5134,1870.4318,3.5569,37.3283,5.7644,0.0303,2h6q
5.1200,70.3014,1182.2601,4.2235,19.5303,6.4459,0.2222,1qaw
5.1200,46.5522,668.4942,1.9800,0.0000,0.0714,0.1538,1uv6
5.1300,99.7489,1041.2361,6.5675,48.9912,4.9965,0.2000,1gcz
5.1400,82.7315,1433.1246,1.5417,37.3751,0.7581,0.1333,2br1
5.1500,93.0513,1448.3588,8.1469,0.0000,10.9140,0.0667,1jcx
5.1500,69.6202,999.6956,4.3729,2.3126,4.4330,0.1667,1o0m
5.1500,65.7048,500.6424,5.6464,0.0000,9.0900,0.2500,1pb8
5.1500,79.0846,851.3712,3.1128,28.9042,4.3387,0.5000,1s38
5.1500,100.7487,1166.5560,3.7737,37.7346,2.1440,0.1111,1thz
5.1500,50.1766,729.1818,2.2646,20.4295,1.0000,0.3333,2afx
5.1700,109.0208,1619.1880,6.7469,0.0000,10.7205,0.1111,2f5t
5.1900,90.3387,1119.8431,6.9156,3.1896,12.0019,0.1250,1ocq
5.1900,123.3442,1895.9558,4.7848,20.5554,6.0461,0.0645,1ogg
5.2000,55.6798,616.4386,2.0313,3.9613,1.8051,0.1429,1kll
5.2100,125.7686,1555.2771,7.6521,1.2047,9.1243,0.0952,1nw5
5.2200,55.4879,1034.2791,4.6312,0.0349,6.0132,0.1429,1bq4
5.2200,80.5687,1012.2085,5.3827,7.9056,4.7843,0.1818,1gi9
5.2200,106.5158,1184.8143,5.3040,10.9151,6.1021,0.1818,1gjd
5.2200,29.3742,559.1517,2.6283,0.0000,3.4561,0.1333,1h1h
5.2200,101.3633,1227.7606,6.6472,0.0000,9.0957,0.1176,1ucn
5.2200,62.0491,980.6899,4.9961,2.2860,5.2001,0.1667,1w4o
5.2200,108.4589,1202.9283,4.6097,14.6928,7.6813,0.1111,2hxm
5.2300,131.6663,1755.3156,7.1473,21.4281,11.6181,0.0571,1b4z
5.2400,62.2156,1194.5520,2.4410,26.8112,2.2845,0.3333,1q8w
5.2500,112.7083,1466.1304,3.9164,0.0000,5.9174,0.1250,2bfr
5.2600,70.5638,1004.0592,5.5227,3.1931,3.6439,0.1818,1w4q
5.2700,68.0627,1654.8717,6.7979,96.0245,1.8689,0.0870,1qca
5.2800,122.6009,1687.3578,6.2948,26.3982,10.5252,0.0690,1b46
5.2800,65.7082,908.9444,3.0398,0.7329,4.8694,0.3333,1f5l
5.2900,104.9305,1025.7034,7.8897,24.1235,8.1445,0.2500,1c88
5.3000,75.1399,983.8304,3.7324,0.0102,8.0862,0.0500,1h6h
5.3000,85.9908,942.7808,3.6588,0.0000,3.9917,0.1250,1o0f
5.3000,87.2807,1047.9028,4.5434,0.0000,5.0970,0.2222,1pr1
5.3000,120.6959,1267.8174,10.8020,68.7905,5.4222,0.2000,1srg
5.3000,75.4427,1358.1682,1.6353,52.7025,2.2645,0.1250,1vyq
5.3000,68.3979,1464.4333,3.0805,33.6101,1.0758,0.1111,1xbb
5.3100,69.7724,1268.4458,1.9691,20.2134,2.9543,0.0769,1mfd
5.3200,67.5655,513.5856,5.5575,17.9106,6.7660,0.4000,1y20
5.3300,104.2896,1206.0725,6.4390,25.5259,9.5093,0.0588,2c80
5.3400,106.5178,1619.5349,1.4435,38.7103,0.3117,0.1250,1zgi
5.3500,118.8096,1378.0751,6.9199,0.0000,9.8035,0.1667,2fxv
5.3600,47.2798,1216.8921,1.0702,49.8354,2.1230,0.0645,1adl
5.3600,46.8251,1044.6141,2.8214,47.1800,2.0000,0.5000,1w6y
5.3700,122.0402,2264.0120,4.5533,79.3475,4.6776,0.0645,1sgu
5.3800,69.6804,926.8555,4.5118,4.8030,7.1920,0.1538,1g3e
