PDB,pbindaff,predicted
3uzj,5.55,3.99
3v3l,6.43,5.78
3v3q,6.60,-0.71
3v51,8.55,8.87
3v5p,8.96,6.43
3v5t,8.22,5.92
3v78,5.54,8.72
3v7t,7.21,5.78
3v7x,8.57,3.94
3vbd,8.07,4.07
3veh,4.96,4.96
3vf5,9.34,6.86
3vf7,9.10,6.97
3vfa,9.19,6.20
3vfb,9.04,6.89
3vh9,6.24,3.99
3vha,7.40,7.68
3vhc,8.89,8.20
3vhd,9.28,7.83
3vhk,4.60,6.46
3zq9,6.02,4.19
3zso,5.12,5.82
3zsq,4.96,5.46
3zsx,3.28,5.29
3zsy,3.23,5.35
3zt2,2.84,6.86
3zt3,2.86,6.70
3zv7,5.92,4.85
3zxz,8.40,7.61
3zyf,4.85,3.83
3zze,8.89,7.46
4a6b,8.38,7.08
4a6c,7.92,7.59
4a6l,8.00,7.42
4a7i,8.70,6.03
4a95,5.76,4.74
4aa1,4.12,6.77
4acc,7.70,5.35
4ad2,6.20,4.32
4ad3,4.62,4.30
4afg,8.30,6.24
4afh,9.54,7.82
4ag8,8.96,8.79
4agc,10.70,8.35
4agl,3.65,2.84
4agm,3.98,3.23
4agn,3.97,3.96
4ago,4.81,4.31
4agp,4.69,4.49
4agq,5.01,4.65
4ai5,2.92,2.62
4aia,3.66,3.16
4aj4,3.89,2.89
4aje,3.68,2.63
4aji,3.55,3.08
4ajl,3.80,4.96
4alx,7.28,7.00
4aoi,8.40,8.88
4ap7,7.96,7.70
4aph,5.40,5.27
4app,7.19,7.58
4aq4,6.17,3.79
4ara,6.05,6.11
4arb,5.89,6.41
4arw,7.13,5.11
4as6,6.40,4.45
4asd,9.28,8.79
4ase,11.00,8.68
4asj,7.55,6.70
4auy,7.74,4.81
4av0,6.98,4.37
4av4,7.03,4.24
4av5,7.21,5.37
4avh,7.23,4.22
4avi,7.63,3.86
4avj,7.44,3.03
4ax9,9.57,6.62
4b0b,3.33,5.33
4b1j,7.30,7.49
4b5d,7.89,4.63
4b6o,7.00,6.76
4b6p,7.13,8.18
4b6r,5.85,6.19
4b6s,6.01,8.25
4b73,7.21,5.49
4b74,7.66,6.13
4b76,4.54,4.73
4b7j,7.95,4.78
4b7r,9.64,4.60
4b8y,8.05,5.18
4b9k,6.17,6.78
4b9w,4.17,5.53
4dbm,7.62,4.42
4dcs,5.10,5.79
4dds,5.01,6.24
4ddy,5.62,5.99
4de0,5.89,6.12
4de1,5.96,5.73
4de2,4.12,5.76
4de3,5.52,6.10
4der,6.31,2.67
4des,5.85,2.98
4det,5.68,3.16
4deu,5.64,4.39
4dew,7.00,0.50
4dff,7.46,4.95
4dfg,11.74,6.74
4dhl,4.48,1.63
4djo,11.52,5.85
4djp,10.55,6.05
4djq,10.32,5.89
4djr,11.52,5.14
4dju,5.44,5.61
4djv,6.72,6.87
4djw,6.28,6.29
4djx,7.23,6.12
4dst,2.96,2.70
4dsu,2.82,3.09
4dsy,4.43,1.30
4duh,5.18,6.02
4dv8,9.24,6.23
4dy6,4.40,5.73
4e0w,7.48,5.30
4e0x,7.12,5.13
4e3g,4.97,3.01
4e3h,7.05,3.38
4e49,5.11,3.62
4e4l,8.77,7.14
4e4n,9.05,6.68
4e5w,7.66,7.57
4e67,6.48,5.58
4e6d,8.92,6.28
4e6q,8.36,6.54
4e7r,7.70,7.34
4e81,5.24,4.05
4e9u,5.82,1.81
4ea1,6.44,3.94
4ea2,6.44,5.57
4ehz,8.00,5.93
4ei4,8.74,6.57
4ek9,4.42,4.88
4eky,3.52,7.00
4el0,4.49,6.60
4el5,5.37,7.18
4en4,5.52,3.04
4eo6,8.70,5.60
4eo8,8.15,5.51
4eoh,4.30,1.89
4epy,3.47,4.73
4erf,9.40,4.42
4euo,5.05,3.47
4ewn,6.70,4.23
4exs,4.41,1.71
4f09,6.70,6.02
4f1l,5.12,6.02
4f20,3.29,5.78
4f5y,5.43,8.20
4f7v,5.38,8.56
4f9u,6.03,3.24
4f9v,6.03,3.22
4fai,6.99,3.42
4fbe,6.99,3.53
4fbx,7.66,4.07
4fcf,8.62,3.94
4fcq,7.00,4.67
4ffs,10.44,6.40
4fk6,9.70,6.67
4fl1,3.28,4.25
4fl2,3.66,5.87
4flp,6.72,5.80
4fm7,7.00,6.85
4fm8,5.62,6.95
4fsl,7.70,6.66
4fut,6.51,7.27
4g0p,3.01,3.22
4g0q,2.52,3.32
4g0y,2.30,3.56
4g0z,2.21,3.40
4g8m,7.89,5.41
4g8n,7.20,4.88
4g8v,5.80,1.44
4g8y,4.59,2.95
4g90,4.51,2.08
4gah,6.10,4.40
4gg7,8.20,7.38
4gid,10.77,7.93
4gqq,2.89,2.83
4gqr,3.96,4.25
4h3f,9.00,8.05
4h3g,8.22,8.22
4h3j,7.05,7.75
4h75,6.60,3.39
4ha5,7.24,5.22
4hbm,7.92,6.23
4hf4,8.62,7.97
4hge,7.92,6.25
4i3z,4.29,5.10
