pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,nacttors,ninacttors,PDB
7.3700,117.7894,1589.9142,6.0558,14.3039,10.3541,14.0000,4.0000,1b51
7.1200,122.2847,1630.1571,6.4137,18.7041,10.8079,14.0000,5.0000,1b52
7.4000,107.9274,1319.1741,10.1843,0.0000,12.1294,8.0000,2.0000,1b55
6.5900,149.2224,1980.9109,6.8681,41.3692,11.1702,15.0000,4.0000,1b58
6.0100,121.1930,1603.1586,7.1796,15.4202,10.5451,14.0000,4.0000,1b5h
7.0500,127.8265,1736.1929,6.5751,20.8765,10.4382,15.0000,3.0000,1b5i
7.4300,138.7746,1818.3484,7.0399,27.3326,11.8520,16.0000,3.0000,1b5j
7.8200,128.2072,1678.2476,7.1163,30.2669,10.9333,15.0000,4.0000,1b6h
7.9200,130.3995,2484.0549,4.6578,48.0813,8.1796,13.0000,5.0000,1b6j
8.7400,114.2709,2417.7698,4.5922,66.9409,6.4453,12.0000,6.0000,1b6k
8.3000,104.9325,2071.7268,4.3323,47.3469,6.2983,7.0000,4.0000,1b6l
8.4000,112.1789,2242.3396,4.1783,78.1178,5.6384,11.0000,6.0000,1b6m
1.3000,26.2395,566.8311,7.0084,0.9834,0.0000,4.0000,1.0000,1b74
10.5200,104.4129,1356.3252,4.1712,2.6446,6.5442,2.0000,4.0000,1b8n
7.8500,117.4796,1648.2742,3.8789,46.8743,2.9603,6.0000,0.0000,1b8y
7.7000,121.4590,2748.0156,7.0003,52.0178,6.4163,28.0000,7.0000,1bai
6.8500,47.9917,724.8647,3.8780,0.0000,7.8840,0.0000,4.0000,1bap
8.7000,37.7188,544.4706,2.1980,15.7993,2.0033,1.0000,1.0000,1bcd
6.3400,118.8694,2043.5220,3.6111,76.1060,4.4470,14.0000,6.0000,1bdq
8.5700,66.3917,1308.2170,3.1629,24.1985,1.8314,0.0000,3.0000,1bgq
4.3800,109.1141,1402.3947,3.9568,42.0529,5.8834,20.0000,3.0000,1bhf
6.8400,106.7781,1531.8376,2.8429,39.9349,4.3509,9.0000,0.0000,1bhx
9.3400,59.1670,952.8586,5.5004,30.6062,2.9784,5.0000,2.0000,1bn1
9.8900,63.5417,1043.3262,5.6959,23.7744,3.0663,3.0000,2.0000,1bn3
9.3100,60.0418,988.9026,5.8252,27.3144,3.0013,6.0000,2.0000,1bn4
10.0000,64.5424,1058.6643,5.2273,22.0308,2.9021,3.0000,2.0000,1bnn
9.4900,64.4219,1097.3431,3.4535,10.4812,2.7315,6.0000,3.0000,1bnq
9.8000,58.1747,1102.6326,3.7003,23.4456,3.4910,2.0000,3.0000,1bnt
9.7000,60.3423,1079.4382,3.2309,9.1972,3.2881,3.0000,2.0000,1bnu
8.7700,63.9206,1135.4719,5.4381,12.0663,3.2883,4.0000,3.0000,1bnv
9.0800,56.7498,884.1837,3.4517,10.1830,1.7779,5.0000,1.0000,1bnw
5.4000,69.3967,1038.9207,5.1835,0.6737,8.9402,4.0000,1.0000,1bp0
5.2200,55.4879,1034.2791,4.6312,0.0349,6.0132,6.0000,0.0000,1bq4
3.2200,106.7548,1297.7816,4.9542,12.9078,4.8829,4.0000,1.0000,1br6
9.3000,184.2503,2650.3530,5.2328,104.2702,7.5935,12.0000,2.0000,1bv7
8.9600,175.3362,2677.6121,6.4058,90.9925,9.0688,12.0000,2.0000,1bv9
7.6000,162.4118,2687.2393,6.0247,78.0005,9.7380,12.0000,2.0000,1bwa
8.4200,177.0882,2897.7944,7.9860,89.3215,10.6690,12.0000,2.0000,1bwb
7.3800,142.0416,2033.9773,5.4142,65.5144,5.7689,19.0000,7.0000,1bxq
3.4000,157.3735,2069.1067,12.4549,0.0000,12.9435,8.0000,3.0000,1bxr
5.0000,88.5027,1669.2740,10.2461,0.0000,15.4516,6.0000,7.0000,1byk
4.9200,125.1743,1303.6605,7.3052,81.4666,8.1338,8.0000,0.0000,1bzc
6.7700,128.2955,1574.5458,9.4512,44.3829,6.9340,16.0000,3.0000,1bzh
4.6600,103.9525,1142.3690,7.1395,81.5764,6.4366,3.0000,0.0000,1bzj
8.3400,139.9688,1571.7823,11.4343,6.8051,15.8026,4.0000,2.0000,1bzy
7.6300,81.1841,1126.7981,3.0007,4.4550,5.7955,3.0000,1.0000,1c1r
8.2500,80.1623,1209.2845,3.0341,8.8587,4.7039,3.0000,1.0000,1c1u
7.6400,86.8884,1311.8369,4.5667,9.6609,5.6260,4.0000,3.0000,1c1v
3.6800,72.3348,732.0588,4.0964,1.0199,2.4191,0.0000,0.0000,1c3x
10.3700,120.1373,1722.2184,7.2934,47.4550,4.2620,8.0000,1.0000,1c4u
10.8000,129.0309,1786.0310,8.9883,87.3990,4.7372,8.0000,2.0000,1c4v
6.9600,90.7470,1267.6575,5.4492,43.1441,5.6168,3.0000,1.0000,1c5c
4.7000,52.1992,771.6173,2.3638,2.6230,2.5180,1.0000,1.0000,1c5n
3.4900,45.4817,590.1922,1.9801,5.4955,3.1496,1.0000,1.0000,1c5o
4.6800,56.2661,607.5004,2.2391,3.6357,3.9924,1.0000,1.0000,1c5p
6.3600,66.6662,766.5778,1.8681,4.1817,3.5100,1.0000,1.0000,1c5q
6.0000,69.4854,730.5157,3.0129,6.9239,4.6987,1.0000,1.0000,1c5s
4.1000,57.8706,747.9852,2.3343,4.7590,4.3987,1.0000,1.0000,1c5t
6.6800,78.5934,799.3052,3.6009,7.0349,4.2791,1.0000,1.0000,1c5x
4.2000,71.3965,776.2308,3.1125,4.8616,4.4739,1.0000,1.0000,1c5y
4.0100,60.2250,620.1005,2.9335,5.2894,4.5818,1.0000,1.0000,1c5z
10.3000,150.8896,2394.6921,4.2233,84.7183,4.9773,12.0000,5.0000,1c70
4.8500,103.5130,1029.3821,6.1268,39.5538,6.2947,3.0000,0.0000,1c83
5.0000,95.3964,1059.0657,5.7658,58.3870,4.6337,3.0000,0.0000,1c84
4.7000,93.1405,1002.9290,7.7819,21.1742,8.1475,3.0000,0.0000,1c86
4.2000,88.4574,1001.5494,7.9599,21.6949,7.6513,3.0000,0.0000,1c87
5.2900,104.9305,1025.7034,7.8897,24.1235,8.1445,3.0000,0.0000,1c88
7.7200,136.7321,2088.1128,4.2776,59.7728,3.1198,8.0000,0.0000,1caq
6.3500,67.7116,1039.5530,5.6390,29.3628,5.8067,5.0000,0.0000,1cbx
4.7400,60.9336,606.1291,2.4966,4.0326,4.5441,1.0000,1.0000,1ce5
4.9600,46.3083,439.7068,3.4013,30.8596,3.0836,5.0000,1.0000,1cea
6.0000,51.1939,555.5002,4.4902,34.8042,4.7346,2.0000,1.0000,1ceb
2.8900,54.5711,748.8428,1.0196,41.1716,0.3904,8.0000,3.0000,1cet
6.8700,120.7213,1742.0920,5.5331,27.1971,6.5456,19.0000,2.0000,1cgl
7.0000,153.3807,1776.9454,8.9749,0.0000,10.5665,6.0000,1.0000,1ch8
9.4300,59.2515,998.7401,2.9433,14.2580,2.5942,3.0000,3.0000,1cil
8.8200,58.5312,924.1695,4.6603,11.9100,3.1354,1.0000,3.0000,1cim
8.7300,57.7803,954.7329,3.9187,10.7122,2.5056,2.0000,3.0000,1cin
7.4400,141.2679,2039.5205,5.1681,63.4470,2.5565,8.0000,0.0000,1ciz
7.7200,65.0110,1093.4546,3.5719,21.5180,1.7604,12.0000,2.0000,1cnw
7.3700,66.2087,1036.6539,1.9271,22.0548,1.8734,10.0000,2.0000,1cnx
7.8500,61.4067,1065.2668,1.8346,21.4792,1.4557,14.0000,2.0000,1cny
6.6600,58.2941,1034.0408,5.1837,20.7075,5.5275,5.0000,3.0000,1cps
6.5200,127.0032,1641.5857,5.6945,62.4617,5.0545,12.0000,1.0000,1ct8
4.5200,88.4950,1302.8682,4.1460,7.5808,5.7721,2.0000,3.0000,1ctt
11.9200,99.5147,1376.2303,8.4737,6.1324,9.7612,2.0000,4.0000,1ctu
6.0000,144.4564,1360.1372,9.5347,0.0000,14.8347,6.0000,3.0000,1d2e
9.0900,121.4598,1737.6018,2.7315,67.0056,1.0000,9.0000,1.0000,1d3d
7.3900,123.5001,1721.8579,1.5414,57.8443,0.9261,11.0000,1.0000,1d3p
9.2200,120.7671,2460.1770,6.1418,82.2347,6.5398,11.0000,4.0000,1d4k
8.7700,106.7341,2184.3713,5.2183,62.4016,6.0338,9.0000,6.0000,1d4l
6.3000,97.4797,1445.1248,2.1776,46.4455,3.3535,4.0000,1.0000,1d4p
11.1000,114.2341,2127.0674,3.8812,68.0387,5.3605,12.0000,3.0000,1d4y
1.8200,67.1972,588.8718,6.3426,0.0000,7.8162,3.0000,2.0000,1d5r
6.1700,109.0455,1560.9956,3.8282,103.8429,0.9287,7.0000,1.0000,1d6v
5.9600,120.3412,1842.7781,9.0075,47.9922,2.8098,7.0000,0.0000,1d6w
3.6000,31.7843,304.4361,1.7698,0.0000,0.9204,2.0000,2.0000,1d7i
9.1100,105.1143,1532.9744,7.7321,39.5692,2.6175,7.0000,1.0000,1d9i
9.2600,85.8712,1888.4904,3.2790,90.7403,5.2743,6.0000,7.0000,1db1
6.7000,118.8878,1703.0461,4.7791,48.6332,4.2656,9.0000,1.0000,1dfo
6.5500,93.8678,1434.5214,3.1711,35.2172,5.3299,9.0000,2.0000,1dhj
10.6600,176.5102,2715.4954,4.4721,97.9992,6.2020,19.0000,8.0000,1dif
6.4900,88.8569,916.6044,5.6296,12.6012,0.5781,7.0000,3.0000,1dl7
9.5500,125.1344,2153.0244,3.7168,89.6772,5.3728,8.0000,4.0000,1dmp
8.0000,105.8988,1139.0569,7.7681,2.5230,13.4199,4.0000,2.0000,1dqn
11.0500,101.5782,1507.7861,10.7105,4.6008,12.4923,4.0000,3.0000,1dqx
7.4000,74.1131,739.2638,5.4069,0.0000,9.8032,0.0000,4.0000,1drj
6.8200,78.6909,742.2603,6.1227,0.0000,9.9407,0.0000,4.0000,1drk
4.8200,83.0640,1053.2842,2.4713,10.4730,4.5082,6.0000,1.0000,1dud
11.8000,116.1141,1210.0403,11.1970,2.0453,18.1903,8.0000,2.0000,1duv
4.3600,104.4489,1178.8445,2.9854,57.6917,4.2868,6.0000,1.0000,1dy4
6.1000,25.2337,887.5322,3.5964,19.5958,0.0000,3.0000,3.0000,1dzk
5.8900,59.4883,1140.3115,4.2321,11.5249,4.1764,4.0000,1.0000,1e1x
4.9400,84.9487,1210.5432,3.6702,36.4549,2.0179,2.0000,3.0000,1e2k
4.2900,86.1793,1148.6333,4.4562,32.4156,3.5088,2.0000,3.0000,1e2l
4.3400,43.5225,1217.6675,2.3996,39.8062,1.0000,4.0000,5.0000,1e3v
8.4100,37.9125,749.7852,0.6493,35.0119,0.0000,0.0000,1.0000,1e4h
3.1500,78.7066,921.1265,5.4340,0.0000,7.9690,1.0000,4.0000,1e6q
3.2200,80.9791,866.6213,7.7136,0.0000,9.6786,1.0000,5.0000,1e6s
3.1000,83.9321,1018.8129,9.6514,0.0000,10.6347,4.0000,4.0000,1ec9
3.0000,82.7170,1023.5984,14.1028,0.7759,10.0302,5.0000,3.0000,1ecq
4.8500,98.4886,928.1633,5.8304,38.7419,6.4445,3.0000,0.0000,1ecv
8.2200,93.0098,1010.3241,1.6408,42.1997,1.4945,3.0000,1.0000,1efy
5.7000,60.1096,672.7029,5.8830,0.0000,8.1472,3.0000,0.0000,1egh
11.0600,101.9366,1523.4432,9.7664,4.7703,13.8552,4.0000,3.0000,1eix
5.6200,100.5518,1371.1233,5.3601,7.2936,7.3331,4.0000,0.0000,1ejn
6.6600,157.3566,1669.8751,13.8990,43.1915,2.0000,13.0000,3.0000,1elc
6.7000,108.9211,1501.4231,13.8565,52.9598,3.7028,9.0000,1.0000,1eld
6.8500,96.6909,1289.2454,3.0422,35.1913,2.4251,8.0000,3.0000,1ele
4.9600,110.0320,1359.1783,6.2397,28.2785,10.4403,22.0000,4.0000,1elr
6.9600,122.0362,2003.3170,5.2960,51.7765,4.0539,19.0000,7.0000,1ent
7.9600,141.7577,2118.9417,7.0906,53.7769,9.6780,15.0000,4.0000,1epo
8.1000,56.5491,1495.0751,0.5067,68.9715,0.0000,8.0000,6.0000,1erb
2.2600,53.7309,477.8780,11.3842,0.0000,3.7717,2.0000,0.0000,1ew8
3.2200,32.6198,301.4857,5.8153,0.0000,0.5953,1.0000,1.0000,1ew9
6.3300,192.7919,2376.8337,12.7581,0.0000,19.7997,13.0000,3.0000,1ex8
5.1000,107.1683,1533.5396,2.7839,0.0000,4.0593,14.0000,15.0000,1ez9
9.0500,167.2810,1654.1711,7.9797,101.5441,6.4351,10.0000,4.0000,1ezq
7.6600,121.7505,1477.5771,3.9752,36.7585,2.0000,5.0000,1.0000,1f0r
7.7400,125.0040,1355.2640,4.0739,35.3536,2.0000,5.0000,0.0000,1f0s
6.0000,103.8068,1259.6500,4.3069,17.2352,4.3770,6.0000,3.0000,1f0t
7.1600,129.4997,1413.9325,3.8126,42.7147,5.3143,10.0000,4.0000,1f0u
1.9100,48.5369,583.1623,4.0427,9.5667,5.7895,3.0000,3.0000,1f2o
1.9000,54.7090,732.5897,3.8153,27.6843,5.7501,3.0000,1.0000,1f2p
6.7000,65.3974,843.7582,3.0024,19.1264,5.1138,0.0000,2.0000,1f3e
5.5900,72.4951,939.2668,3.3912,5.3309,5.5034,6.0000,6.0000,1f4x
5.6400,33.9362,370.0777,3.3448,0.0000,3.9067,2.0000,2.0000,1f57
5.2800,65.7082,908.9444,3.0398,0.7329,4.8694,1.0000,2.0000,1f5l
5.0000,115.7755,1567.8577,7.8850,37.4872,7.1519,21.0000,5.0000,1f8a
1.2800,26.2692,428.5943,0.1514,0.0000,0.3894,2.0000,4.0000,1f9g
7.3700,81.1943,1059.8160,7.2204,0.0000,12.6809,8.0000,2.0000,1fao
7.1500,112.3683,1936.4059,4.2056,27.8756,7.4185,21.0000,6.0000,1fch
8.5200,117.8606,1931.1669,2.4958,140.9501,1.8734,3.0000,4.0000,1fcy
7.2700,62.9389,1307.1075,9.4107,56.3895,1.4942,14.0000,1.0000,1fdq
6.8200,96.7673,1170.8385,6.8555,0.0000,8.6295,2.0000,5.0000,1fhd
6.5900,187.9067,2887.3220,11.7895,103.8382,11.0236,22.0000,6.0000,1fiv
4.5900,76.2369,917.8635,3.0224,30.8295,0.0000,2.0000,4.0000,1fj4
9.9600,138.2850,1745.1940,6.7906,41.2961,3.7956,9.0000,4.0000,1fjs
9.4000,112.6967,1948.5466,3.2118,65.0961,4.2851,7.0000,12.0000,1fkf
8.0000,76.6282,1322.9760,2.2793,67.6973,2.4556,10.0000,3.0000,1fkg
8.1500,85.4333,1352.5938,2.9604,68.1894,2.2626,10.0000,3.0000,1fkh
5.0500,90.5458,1203.2513,3.9763,0.0000,3.3361,2.0000,3.0000,1fkw
6.8000,95.6392,1555.0267,4.1812,103.3146,0.0000,7.0000,0.0000,1fl3
9.0000,158.1470,2411.6753,7.0687,129.4386,1.9294,12.0000,1.0000,1fm9
5.5900,274.0424,3696.4780,16.0131,106.6345,20.1442,30.0000,7.0000,1fo0
7.0000,99.1309,1539.2208,2.8393,48.0128,2.7295,10.0000,3.0000,1fpc
8.4000,149.4644,2478.6555,6.7110,81.1506,7.6411,10.0000,5.0000,1fq5
5.9300,85.3166,1399.7495,4.1652,21.8917,2.8629,3.0000,2.0000,1fv0
3.7000,53.1508,759.1337,2.8034,0.0000,4.7344,9.0000,10.0000,1fwu
3.7200,42.8340,770.4806,4.6408,2.4921,3.3035,9.0000,10.0000,1fwv
7.7000,194.0300,2894.9973,7.5008,82.5609,13.4208,29.0000,7.0000,1fzm
7.8900,180.0402,2810.6326,7.9977,96.9604,9.8164,23.0000,6.0000,1fzo
7.6200,133.5954,1170.8981,7.9030,0.0000,13.5546,6.0000,2.0000,1fzq
9.4400,52.6578,940.3745,3.6659,33.6577,1.7485,4.0000,1.0000,1g1d
7.9600,141.4755,2352.1399,5.4969,77.9766,7.2358,11.0000,3.0000,1g2k
7.2400,152.4134,1751.4058,4.7552,72.6346,3.7229,11.0000,4.0000,1g2l
10.5500,107.2071,1365.7058,4.8041,1.7025,6.4406,2.0000,3.0000,1g2o
6.8500,129.2952,1734.4631,5.2697,54.7947,3.1966,13.0000,3.0000,1g30
6.1100,126.3341,1673.9115,6.5317,52.6383,3.3140,6.0000,3.0000,1g32
8.1400,136.1093,2403.1697,6.6221,66.4149,8.5968,12.0000,4.0000,1g35
7.1700,103.9354,1415.5446,4.1847,35.1000,4.2677,6.0000,3.0000,1g36
5.7400,71.2226,896.4485,5.0807,3.1261,8.6854,4.0000,3.0000,1g3b
5.8000,82.1457,939.7521,6.5977,7.9611,8.2080,4.0000,3.0000,1g3c
5.5500,67.4088,886.1484,4.0519,5.6853,7.8004,4.0000,3.0000,1g3d
5.3800,69.6804,926.8555,4.5118,4.8030,7.1920,4.0000,3.0000,1g3e
8.6400,49.9311,897.3287,3.8455,31.0509,1.6040,4.0000,1.0000,1g45
8.8000,54.3361,930.6564,3.8057,32.2976,1.5548,4.0000,1.0000,1g46
8.4100,52.3294,934.5818,3.9251,30.2905,1.5239,4.0000,1.0000,1g48
8.7000,48.5885,954.0251,3.7848,23.8888,1.3449,4.0000,1.0000,1g4j
8.2500,50.6146,841.2188,3.7084,32.1768,1.5422,4.0000,1.0000,1g4o
9.5400,57.0144,954.1041,3.4037,36.5030,1.9180,4.0000,1.0000,1g52
9.0400,57.3225,970.5757,4.6567,33.2805,1.8038,4.0000,1.0000,1g53
8.8200,59.0516,1050.1493,3.4313,31.6299,1.8591,4.0000,1.0000,1g54
6.6000,143.9083,1557.3912,11.2444,56.7317,9.5574,19.0000,1.0000,1g7g
6.4000,66.0187,1215.6001,8.1621,0.0000,4.8793,12.0000,4.0000,1g7v
5.4800,21.7612,664.3403,1.1204,36.1614,0.0000,5.0000,3.0000,1g85
5.7000,70.0470,995.3617,8.3108,0.0000,9.6065,6.0000,3.0000,1g98
5.7000,192.7961,2377.9160,12.4742,5.3198,15.5027,9.0000,5.0000,1g9r
1.8000,40.3058,855.2267,2.0207,2.4119,1.6780,4.0000,7.0000,1ga8
8.0000,94.5336,1185.1412,3.6973,39.8907,3.4009,8.0000,0.0000,1gaf
12.0000,124.0520,1963.5020,6.3498,14.4651,12.0416,9.0000,14.0000,1gah
8.0000,122.7259,1953.7749,6.4133,15.1543,11.9831,9.0000,14.0000,1gai
10.0000,145.6720,2036.4382,8.8625,19.3022,12.1819,21.0000,2.0000,1gar
5.1300,99.7489,1041.2361,6.5675,48.9912,4.9965,3.0000,2.0000,1gcz
4.3500,70.1836,1056.2095,4.1103,12.7101,6.2599,2.0000,2.0000,1ghv
4.2000,78.5165,1048.3210,6.2330,20.4940,5.7855,2.0000,2.0000,1ghw
8.1000,100.9735,1112.6492,7.5580,16.8576,7.2614,2.0000,2.0000,1ghy
4.8000,70.8497,936.4701,2.0682,6.1975,4.8867,2.0000,2.0000,1ghz
5.4700,81.5040,976.0495,5.4860,9.4532,6.6492,2.0000,2.0000,1gi1
7.1900,84.5703,977.3494,3.4999,7.1531,6.4839,2.0000,2.0000,1gi4
6.2200,84.9704,980.9331,5.4069,12.5457,6.9169,2.0000,2.0000,1gi6
4.5100,85.3140,973.3763,2.4590,8.0751,3.3700,2.0000,2.0000,1gi7
5.0500,79.8101,1001.1874,4.9999,9.1000,4.7957,2.0000,2.0000,1gi8
5.2200,80.5687,1012.2085,5.3827,7.9056,4.7843,3.0000,3.0000,1gi9
4.0700,97.7516,1450.5862,10.4884,31.0782,6.6481,3.0000,2.0000,1gj4
7.0000,116.2667,1340.4481,6.1189,19.2492,6.6146,3.0000,2.0000,1gj6
7.8900,106.9410,1384.8508,7.2522,16.8061,6.1623,3.0000,2.0000,1gj7
6.9600,92.0310,1261.4042,5.7801,11.2793,4.5419,5.0000,4.0000,1gj8
5.4200,91.6992,1079.9938,3.7801,7.5333,6.3140,3.0000,2.0000,1gja
6.3500,94.7369,1281.1451,4.7747,11.3325,4.9387,3.0000,2.0000,1gjb
6.3500,97.8476,1272.0601,5.0265,11.8017,5.2852,3.0000,2.0000,1gjc
5.2200,106.5158,1184.8143,5.3040,10.9151,6.1021,3.0000,3.0000,1gjd
6.2500,109.8054,2023.7378,12.9080,39.5655,9.3146,19.0000,4.0000,1gnm
5.6800,121.6755,1992.5648,14.0919,40.5563,9.5808,19.0000,4.0000,1gnn
7.7000,109.2916,1972.0620,13.6184,41.4655,7.0244,19.0000,4.0000,1gno
4.1400,66.4070,1189.8346,2.2894,0.0000,3.9357,8.0000,12.0000,1gny
6.4800,86.7437,1262.7891,2.2843,47.1235,1.1839,0.0000,1.0000,1gpn
3.7200,43.6569,724.4039,3.9424,3.4601,9.2273,5.0000,1.0000,1grp
6.0000,43.5882,1074.9480,0.5132,77.1363,0.0000,0.0000,1.0000,1gt1
4.5200,74.3199,883.1943,4.9235,6.7179,9.6988,1.0000,3.0000,1gu1
6.9600,130.6963,2001.1245,5.0632,53.9354,5.1058,19.0000,7.0000,1gvw
7.2200,143.0350,2610.6467,4.0660,67.6450,8.5408,29.0000,2.0000,1gvx
2.5700,66.1745,954.7536,1.7160,0.0000,3.9134,4.0000,8.0000,1gwv
2.4800,60.3248,446.8197,1.3062,39.4297,1.2277,1.0000,0.0000,1gyx
3.6400,75.9053,646.0610,3.4229,45.4498,1.6956,2.0000,1.0000,1gyy
3.7000,111.2925,1577.8970,3.4657,0.0000,6.8143,8.0000,2.0000,1gz3
3.7000,120.5877,1571.8584,3.0626,0.0000,5.5439,8.0000,2.0000,1gz4
3.5100,75.2937,1165.1147,3.7103,3.3975,6.3695,6.0000,11.0000,1gz9
3.4900,59.2411,795.7780,2.5508,0.0000,4.8442,4.0000,8.0000,1gzc
5.4400,56.1075,900.0778,4.6453,0.0000,9.0868,6.0000,3.0000,1h0a
8.2200,66.1239,1001.5259,5.5689,19.4505,7.8083,7.0000,2.0000,1h1d
5.2200,29.3742,559.1517,2.6283,0.0000,3.4561,6.0000,1.0000,1h1h
4.9200,63.5193,1099.5186,1.6715,14.8896,2.7667,3.0000,1.0000,1h1p
8.2200,95.3053,1556.1018,3.4647,22.1759,3.6084,6.0000,1.0000,1h1s
9.1000,129.9632,1917.0380,2.8977,96.9027,2.7618,13.0000,0.0000,1h22
7.8900,227.3900,2020.0215,11.3558,0.0000,12.1800,12.0000,7.0000,1h2t
3.5700,86.7437,1055.2239,3.0485,44.2940,0.0000,5.0000,3.0000,1h46
4.6600,62.8084,615.7117,2.3081,3.4581,4.1186,1.0000,1.0000,1h4w
5.3000,75.1399,983.8304,3.7324,0.0102,8.0862,16.0000,6.0000,1h6h
5.4200,55.8250,1142.5565,0.6870,60.3931,1.3398,4.0000,2.0000,1h9z
6.3700,104.7527,2049.8130,3.5317,60.2719,1.7864,14.0000,9.0000,1hbv
