PDB,RMSD1
4g8m,1.26
4g8n,0.21
4g8v,2.95
4g8y,2.53
4g90,5.48
4gah,7.52
4gg7,1.75
4gid,1.10
4gqq,5.13
4gqr,2.54
4h3f,0.22
4h3g,0.26
4h3j,0.67
4h75,5.38
4ha5,5.54
4hbm,0.62
4hf4,0.95
4hge,1.16
4i3z,2.32
