pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
2.9600,43.2163,888.0074,0.9833,39.2586,2.4049,8.0479,39.6420,0.1252,2.4889,0.0000,42.8553,886.1807,0.7019,40.6517,1.9203,8.1266,40.3721,0.1112,2.6395,0.0000,0.2222,1f4e
4.6200,100.8450,1486.6283,1.5578,45.2880,3.7506,16.6159,96.5032,0.4748,2.9255,0.0000,71.5869,1578.5983,1.9171,27.6900,4.6230,18.9610,107.6240,0.3623,1.8228,0.4417,0.1000,1f4f
6.4800,98.5562,1910.6141,2.8747,26.5698,6.0380,31.0191,200.2140,0.7941,7.0668,0.8498,113.9243,1852.4137,3.8674,34.3939,7.2010,25.7174,169.8682,0.2108,5.7093,0.0000,0.0769,1f4g
3.7400,55.4669,623.7725,2.1726,3.8687,4.5712,0.4821,2.4209,0.0000,0.0000,0.0000,55.3287,622.7806,2.2315,3.7940,4.6677,0.4846,2.4201,0.0000,0.0000,0.0000,0.4000,1f5k
7.1900,115.6170,1931.7323,1.9568,134.3889,2.8635,3.3506,74.3409,0.2993,8.4602,0.0000,125.6369,1918.9316,4.1956,146.1211,1.5968,5.9442,82.6470,1.0290,13.3900,0.0000,0.1538,1fcx
9.2200,118.2394,1806.2689,2.1482,138.2764,2.8251,2.2659,64.0941,0.1573,6.7210,0.0000,119.0338,1826.5458,3.8693,134.3019,3.0318,1.8001,62.7510,0.0000,4.4983,0.0000,0.1429,1fcz
8.4000,128.5017,1972.6434,2.6305,137.3108,3.5630,4.5760,84.6960,1.0203,8.1321,0.0000,131.4506,1975.2588,6.2519,148.5990,2.8862,6.4898,94.4187,1.7995,12.4389,0.0000,0.1538,1fd0
5.2400,67.3828,910.5447,2.9458,0.0000,6.1255,5.1192,39.0169,0.2053,0.0000,0.3167,66.3736,926.8560,2.5949,0.0000,5.1356,5.0301,39.1243,0.2076,0.0000,0.4287,0.1818,1fh7
6.8900,77.2521,917.0999,4.8265,5.9584,8.6407,4.1720,35.2994,0.0000,0.0000,0.0000,62.6321,943.8299,2.1016,7.0504,4.3666,5.2839,35.2320,0.0074,0.0000,0.0000,0.2000,1fh8
6.4300,75.4329,1095.6591,2.8337,0.0000,5.6088,4.8049,45.8693,0.0543,0.0000,0.3187,75.7520,1068.7869,2.2733,0.0000,5.1084,4.4313,47.0299,0.0413,0.0000,0.0000,0.1667,1fh9
9.7000,111.6798,1764.9097,2.7707,65.4864,4.2461,21.4206,227.1998,0.0179,11.5144,0.0000,104.4295,1721.6101,2.3934,62.8199,3.4361,16.0157,203.0032,1.2590,14.5378,0.0000,0.0741,1fkb
7.0000,90.8771,1249.4968,1.5999,60.8638,2.0542,0.0000,0.0000,0.0000,0.0000,0.0000,59.6525,1093.9194,1.9866,29.4901,2.6516,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1fki
8.8000,201.7629,3088.6665,7.3018,75.6039,10.5440,57.2728,440.4175,1.0352,11.1327,1.8718,158.7033,2610.6814,5.3485,59.3983,10.3792,86.3346,663.2606,1.6317,17.3303,1.9009,0.0294,1fkn
10.0000,125.4823,1402.0580,2.4942,77.9513,3.4857,12.9239,72.1103,1.4603,13.6484,0.0000,124.4633,1400.5514,2.5092,77.7119,2.5056,13.5002,71.2262,1.5071,13.6121,0.0000,0.2857,1flr
5.5900,124.5809,1732.8351,2.2392,29.3555,4.7783,92.3342,618.9528,2.4268,24.1091,4.6110,127.1796,1802.2258,3.0513,36.1283,6.2466,85.2596,627.9822,2.0637,12.5805,3.4490,0.0290,1fo0
7.6100,84.2669,930.5225,4.0851,17.3579,7.6902,4.0951,17.1660,0.0234,0.0000,0.0000,81.0220,919.5079,4.4062,16.7217,7.3991,3.2959,17.4127,0.2426,0.0000,0.5684,0.2000,1ftm
8.4000,202.9034,2980.1614,5.0018,118.5983,7.6942,54.5795,505.4385,2.7159,1.6296,2.5529,151.0227,2912.5693,3.9977,96.6695,6.1697,81.1135,564.5345,2.5690,10.2715,2.6282,0.0370,1fzk
6.0600,167.1485,2604.6243,5.2834,24.5686,8.0081,65.8009,435.5278,2.4929,0.1071,5.0106,178.0204,2616.4885,9.0399,31.3529,13.6050,58.5773,382.0612,2.2871,0.2604,4.0391,0.0400,1g7q
8.0700,108.1797,1265.8944,1.0781,143.2635,0.0000,16.5083,50.4474,0.0697,26.2018,0.0000,94.3183,1223.2006,0.8168,134.1406,1.4508,7.8595,66.1790,0.0011,15.0724,0.0000,0.0606,1gni
5.3700,72.1831,1217.0071,0.8981,49.4159,1.6840,0.0000,0.0000,0.0000,0.0000,0.0000,75.5286,1208.1189,1.1931,55.2249,1.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1gpk
3.5100,57.3295,918.0366,2.5560,0.0000,5.2791,30.2455,184.2577,1.8699,0.0000,2.9790,46.2180,933.4603,1.4180,0.0000,3.3093,21.0800,186.0996,1.8614,0.0000,4.1616,0.0800,1gz9
8.3500,170.1636,2304.0830,3.1411,131.8188,2.8330,29.4597,212.5588,0.6415,25.9573,0.0000,140.2700,2028.2928,2.7542,109.3467,3.9337,33.9488,145.8160,0.4759,40.6218,0.0000,0.0625,1h23
5.5400,78.8205,1222.5543,1.1613,71.4612,1.1538,10.3255,71.5650,0.5172,6.3253,0.0000,75.0818,1185.1376,0.8869,78.6047,0.0000,11.1664,74.1636,0.1191,6.7637,0.0000,0.1667,1ha2
8.7000,190.8706,2901.0457,1.9690,151.7794,2.4370,31.6743,299.8080,0.7826,26.1227,0.2454,191.9789,2882.5701,2.0302,153.1000,3.0367,32.3924,283.9126,0.8979,24.9536,0.0000,0.0500,1hfs
4.4900,92.2510,1033.1115,2.4884,0.0000,4.7629,13.2298,104.8360,0.7668,0.0000,1.0000,83.0000,1028.5524,1.2551,0.0000,3.4377,8.8442,113.9901,0.1147,0.0000,0.3754,0.1333,1hi4
5.3100,78.1507,1202.3311,3.9007,39.9291,1.1975,7.4410,69.5176,0.5463,5.5385,0.0000,83.4335,1153.4198,4.1001,41.1853,1.7842,10.8922,71.0588,0.9069,6.1001,0.0000,0.1429,1hk4
10.5200,78.9201,1241.0828,1.8606,40.5651,2.1016,13.6094,91.1398,0.1072,5.3249,0.0000,78.3356,1220.5310,1.7442,42.0813,1.9093,10.1660,94.9071,0.1096,6.6743,0.0000,0.1250,1if7
7.0000,120.0521,1683.0577,3.7204,14.8897,8.0427,46.7182,293.1457,1.0870,4.1454,0.9290,123.8184,1501.3262,5.1940,13.5082,10.6556,41.1546,315.5382,0.8411,4.1475,1.2397,0.0465,1is0
3.8400,63.4556,613.7359,1.5714,7.1289,3.1228,0.5374,2.3751,0.0000,0.0000,0.0000,64.4047,613.0410,1.6518,7.5893,3.0699,0.5351,2.3731,0.0000,0.0000,0.0000,0.4000,1j16
5.2200,130.0614,1534.5468,1.5108,41.5908,0.0000,6.7618,131.4971,0.1592,3.6150,0.0000,97.8130,1496.9503,1.8722,31.9219,0.0000,6.1655,120.4569,0.2032,3.6350,0.0000,0.2000,1j17
4.4800,78.5665,1098.9266,3.2881,16.9483,8.0042,13.0356,68.4328,0.0935,0.6357,0.5072,98.4761,1167.2979,3.0865,17.1440,5.5832,11.9058,60.2092,0.4917,0.6199,0.9178,0.0909,1jaq
8.4500,157.2036,1883.8247,4.6117,65.9748,3.2276,44.4564,369.3710,1.1749,0.0000,1.7407,137.3696,1985.9547,3.2661,53.5032,1.5199,40.1631,283.5886,1.4459,0.0414,2.6993,0.0417,1jq9
5.1600,82.9178,1425.3556,2.8493,0.0000,5.8666,14.9303,86.5560,0.0571,0.0000,0.0000,92.7182,1366.4895,3.9095,1.5112,7.6528,7.8673,87.1148,0.0857,0.0000,0.0000,0.1053,1jqd
3.5200,49.0186,547.9583,0.6808,0.0000,1.8168,0.0000,0.0000,0.0000,0.0000,0.0000,51.5205,565.8754,0.6806,0.0000,1.2732,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1jys
5.8500,71.9046,1209.2406,1.3890,16.7529,4.5650,2.4172,43.4679,0.0000,0.0000,0.0000,69.8354,1217.7141,1.4534,14.5612,3.7112,1.5023,42.0809,0.0000,0.0000,0.0000,0.2000,1k4g
6.5200,104.0632,1301.7498,3.4421,0.0000,6.8677,9.7943,47.1978,0.2666,0.0000,0.1571,87.8162,1298.3638,2.8395,0.0000,3.2835,8.0423,45.2913,0.1320,0.0000,0.0000,0.1818,1k9s
5.9400,74.2992,1218.0553,1.2403,49.8002,2.5000,6.3356,51.3218,0.9664,0.0000,0.0000,69.8036,1194.6538,0.8513,37.0780,0.9180,7.4968,51.6780,0.3824,0.0000,0.0000,0.1667,1kv1
4.2200,54.2582,553.8802,1.9518,0.0000,4.8008,1.2388,5.3342,0.0000,0.0000,0.0000,56.9422,545.3853,3.0917,0.0000,6.2564,3.3297,4.4378,0.0170,0.0000,0.0000,0.2500,1kv5
4.5900,67.9794,982.5328,2.1230,26.2482,3.6590,12.7359,48.3567,0.2837,2.6655,0.2408,67.7273,966.4147,2.7907,19.0000,5.5646,6.9169,47.9454,0.7610,0.3073,0.9034,0.2000,1l2s
6.3900,69.0822,1368.5261,2.9204,0.0000,6.5135,9.8039,73.1763,0.2873,0.0000,0.7209,75.9795,1259.8337,3.0079,0.0000,6.4252,10.5192,73.7961,0.3898,0.0000,1.0571,0.1667,1lol
3.7000,76.5557,1148.2709,3.4649,5.8665,7.4366,9.2072,64.6812,0.6673,0.0000,0.0000,78.8927,1041.5613,3.7667,2.0000,7.1831,7.6429,66.6762,0.0000,0.0000,0.0000,0.1667,1loq
2.2200,132.8526,1692.4886,6.5592,26.1659,8.7517,11.0624,112.4901,0.9836,2.2061,1.0000,122.9859,1700.7240,6.1375,20.8003,6.4575,12.5627,112.3237,1.8270,1.2631,0.9371,0.1250,1m0n
3.8900,116.5368,1534.7540,7.3350,10.9546,12.2756,7.8534,83.6310,0.4968,1.0508,1.0272,108.5242,1536.0956,7.1665,8.0327,9.4736,10.6359,74.3443,0.9170,0.4094,1.4794,0.1176,1m0q
6.1000,85.0255,1208.7883,1.3604,50.9991,0.9949,1.4586,18.2791,0.0449,0.0000,0.0000,83.3039,1185.2722,1.5526,51.0032,1.9371,1.0252,17.3997,0.2912,0.0000,0.0000,0.3333,1m2q
11.1500,128.4773,1604.1733,1.9186,27.6901,1.9075,24.0229,158.1854,0.5287,0.0310,0.4850,136.7403,1661.8726,1.4654,27.0256,0.5487,15.5337,152.9358,0.9015,0.2646,0.8856,0.1111,1mq6
4.0800,67.4732,986.1330,2.3995,11.6727,4.5969,0.3702,15.3955,0.0000,0.0000,0.0000,66.2928,988.2579,2.4620,11.1818,4.6639,0.5789,15.3405,0.0000,0.0000,0.0000,0.2222,1n2v
6.1200,124.7310,1419.5648,5.7566,8.9418,5.9792,7.1828,55.6994,0.4318,0.0000,0.0000,124.7310,1419.5648,5.7566,8.9418,5.9792,7.1828,55.6994,0.4318,0.0000,0.0000,0.1667,1nc1
5.2300,73.7960,1025.3994,1.7080,57.8533,3.3211,4.7046,48.2808,0.0000,1.3813,0.0000,72.7824,1048.6404,1.8226,55.4407,3.0781,5.5740,62.5163,0.0050,1.4394,0.0000,0.1333,1ndw
6.1700,77.0474,1328.9784,1.4442,47.7188,3.8801,5.3052,70.0018,0.0000,2.2787,0.0000,77.1810,1316.1064,1.1176,56.8304,2.9202,6.6300,61.0394,0.0038,2.6335,0.0000,0.1333,1ndy
8.1100,139.7083,1992.5820,2.6185,47.6760,2.4497,23.0171,222.5246,0.3001,4.7008,0.0000,144.3365,1982.3229,3.8056,54.9906,3.3261,22.4315,238.3964,0.8183,4.4604,0.0000,0.0833,1ndz
8.8900,128.5332,1545.8416,1.6917,51.2819,1.0072,8.1864,103.0905,0.0719,0.0000,0.0000,111.7179,1531.4004,1.6334,51.6906,1.3410,7.3096,100.0284,0.0615,0.0000,0.0000,0.1538,1nfy
5.6600,89.9245,1403.4661,2.2713,45.2941,0.7963,46.3560,185.3922,0.6975,45.1039,0.0000,77.7447,1267.4354,1.5157,40.0525,0.9086,49.7995,205.3119,0.7815,49.7287,0.0000,0.1111,1nhu
6.3100,66.8257,1142.8685,2.8302,1.5158,7.3403,7.5497,58.1539,0.2646,0.7130,0.0000,64.1232,1120.1495,2.8001,2.8711,6.1949,6.3417,54.2773,0.0310,1.0000,0.0000,0.1818,1nja
3.8000,76.1481,1118.5126,4.1213,1.1971,9.5793,2.4161,53.1099,0.0854,0.4112,0.0000,56.2826,1017.7850,4.6723,1.0488,10.6590,4.3749,62.7471,0.0593,1.0000,0.0000,0.1667,1nje
7.6600,115.1393,1886.1935,3.7983,42.1225,4.6644,94.8334,520.9589,1.3827,82.0206,0.0000,115.1076,1929.9932,3.7903,38.1849,4.2975,99.8359,493.6581,1.6273,78.5534,0.4993,0.0571,1nny
8.2500,118.4432,1941.9458,4.3051,65.5182,2.3955,25.6567,130.6622,4.0795,6.0282,0.0000,108.2301,1875.1306,5.2423,61.2510,3.0884,21.9239,119.6679,2.6353,4.1666,0.0000,0.1818,1nvq
5.9200,84.2297,1048.3412,2.4380,0.0000,5.9156,11.4745,109.4151,0.3111,0.0000,0.0000,84.6512,1083.5063,2.0127,0.0000,4.5288,12.5520,119.0072,0.2454,0.0000,0.0000,0.1176,1o0h
7.9600,90.5820,1208.9567,3.0970,15.9426,6.0049,7.2056,69.8983,0.5905,7.6828,1.0000,91.4449,1088.6133,2.6525,11.4160,5.6779,7.2863,69.1880,0.5664,7.6927,1.0000,0.2000,1o3f
6.6600,89.8281,1328.6733,4.0230,9.5598,6.6395,7.6571,71.5036,0.4028,2.5973,0.8942,91.2415,1303.6481,3.6389,9.4656,5.9632,9.6952,73.8981,0.0274,2.2798,0.2148,0.1667,1o3p
5.8200,154.8700,1686.3245,7.0844,26.8763,9.3464,10.4974,82.4600,0.4181,1.0000,0.0000,151.0685,1702.2795,7.5352,26.4415,9.7249,11.0649,82.3108,0.3049,1.0000,0.0000,0.0952,1ols
4.4100,142.5841,1504.3711,4.8323,26.5957,7.7382,10.4248,84.3757,0.2111,1.0000,0.0000,128.8584,1520.7926,4.7321,25.4665,8.0024,14.0405,86.0793,0.2691,1.0000,0.0000,0.0952,1olu
6.7700,99.3126,1376.5618,1.6444,78.5774,0.4442,2.8189,26.9238,0.1001,0.0000,0.0000,84.0027,1344.5773,0.8709,77.1869,0.0000,2.7913,29.3236,0.1401,0.0000,0.4420,0.3333,1om1
4.8900,77.8604,964.6721,3.7302,8.9720,7.3491,8.9708,10.8567,0.0564,0.0000,0.0000,80.7032,947.5676,3.3713,10.0226,6.7103,3.8432,16.8645,0.1332,0.0000,0.3327,0.2000,1p1q
3.6200,67.6878,494.9680,5.0973,0.0000,7.0668,0.0000,0.0000,0.0000,0.0000,0.0000,37.4700,425.3253,1.1420,0.0000,1.7657,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1pb9
6.2700,84.8383,857.8960,1.9505,37.4645,3.1887,0.5773,13.3554,0.0000,0.0000,0.0000,73.1535,852.1337,1.5019,28.9852,1.6590,0.6551,13.3337,0.0000,0.0000,0.0000,0.4000,1pbq
5.8000,136.2234,1958.1908,3.2135,80.1238,5.4471,46.1949,253.6391,0.8959,4.1978,0.3798,128.1667,1961.3475,2.5557,59.8213,4.8677,40.1666,231.3613,0.3257,7.4932,0.0000,0.0488,1ppm
3.9200,84.1283,1178.4316,2.5346,2.2051,4.9845,3.3947,44.5121,0.1551,0.0000,0.0000,69.5675,1111.3696,2.9390,5.1857,5.9171,5.4982,42.7640,0.0058,0.0000,0.0000,0.2000,1pr5
8.7000,77.3570,1466.3585,2.4807,21.1336,3.8835,5.6398,65.3577,0.2212,1.0000,0.0000,74.5485,1323.2598,1.4362,20.9834,3.0939,5.4662,92.1418,0.0239,1.0000,0.0000,0.1667,1pxo
5.4000,199.4181,2601.5979,3.5708,36.5238,6.0864,64.2096,533.6227,1.8700,1.3542,2.5863,186.4519,2496.0566,4.2201,33.6289,7.4767,80.4144,769.0895,3.2998,5.5779,2.6610,0.0308,1pz5
7.1900,66.3987,1141.7284,0.4443,55.8386,0.0000,10.5230,93.8434,0.0377,7.1410,0.0000,60.4598,1125.3993,0.4996,56.7853,0.2962,11.9429,97.7796,0.1038,7.5206,0.0000,0.1429,1q7a
4.7600,67.2378,1130.4312,0.9140,41.4561,1.2875,3.0071,36.3238,0.0084,3.1679,0.0000,54.0928,1169.9341,0.3229,45.4002,0.4831,3.1467,36.3489,0.0000,2.8692,0.0000,0.2000,1q8t
9.5200,136.4924,2060.0693,3.1659,61.7722,5.3346,18.7191,136.4586,0.3543,10.7279,0.3908,91.4395,1914.5533,2.8496,55.2908,3.5064,29.8071,183.7623,0.7123,24.7801,0.3116,0.1111,1re8
5.1900,86.4476,1085.4038,4.4436,0.0000,7.8562,14.6760,89.9750,0.8593,0.0000,0.8700,67.6984,1002.0440,2.2453,0.0000,5.8152,12.2419,94.5751,0.5530,0.0000,0.0000,0.1538,1rnt
7.7000,90.0519,743.8810,3.4643,28.4640,4.9274,0.0000,0.0000,0.0000,0.0000,0.0000,81.4889,693.1296,1.0592,27.1041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1s39
11.8500,143.4327,1893.8099,3.0594,52.6470,3.1680,30.5681,201.6056,1.9539,0.8423,0.4557,109.7472,1686.7266,3.0088,30.6423,4.0788,20.7345,311.3123,1.7169,0.8172,1.3177,0.1000,1sl3
3.9000,140.4050,2283.9260,3.3150,59.2762,5.7742,74.4712,555.0224,2.5990,3.4219,4.6309,137.8739,2375.0466,4.7395,74.8064,6.9487,70.5023,485.7585,0.9826,0.8887,1.7084,0.0385,1slg
9.2100,105.8403,1491.9841,2.5071,8.7824,5.5699,6.5947,118.2830,0.5321,1.5793,0.0000,98.3890,1417.6553,2.3374,7.8959,5.9807,7.1907,117.9896,0.3784,1.5655,0.0000,0.1250,1sqa
4.7400,54.7450,719.8769,1.0272,27.8270,0.8176,0.5012,8.3541,0.0000,0.0000,0.0000,54.6547,717.7893,1.0342,27.6986,0.8381,0.4100,8.3676,0.0000,0.0000,0.0000,0.2857,1sv3
6.3100,111.8017,1096.8571,6.3557,15.5581,10.8249,5.5707,29.4858,0.2412,0.0000,0.0000,99.6084,1100.6648,8.3385,18.4543,8.0564,4.5648,29.7049,0.3142,0.0000,0.4653,0.2222,1syh
7.3000,113.9724,1566.2830,1.4875,59.9438,2.5383,28.9402,190.2504,0.8227,5.1090,0.8950,110.8312,1529.5813,3.2816,60.3541,5.7369,33.1654,193.6449,0.6194,4.9327,0.0000,0.0667,1tmn
4.0500,69.0656,701.8394,2.1430,36.3174,4.9243,1.6445,12.6741,0.0000,1.7429,0.0000,51.6604,688.5833,2.3885,20.5935,5.3589,4.9491,8.0659,0.1068,1.8523,0.0000,0.2500,1toi
3.3900,68.7554,701.1574,2.2361,35.4266,5.2550,1.4020,13.0144,0.0000,1.6258,0.0000,53.3261,693.6194,2.0585,35.7155,4.2973,0.5587,13.6259,0.0000,1.7226,0.0000,0.2500,1toj
2.4700,41.3374,535.2672,2.6925,3.8216,7.2654,4.4130,1.6888,0.0055,0.0000,0.0000,41.8147,530.8029,2.7517,4.1129,7.1947,4.4542,1.6795,0.0122,0.0000,0.0000,0.3333,1tok
5.4000,60.4367,643.1005,2.4471,0.0000,5.9479,3.1969,7.1377,0.0463,0.0000,0.3025,60.4573,639.5739,2.4222,0.0000,5.8983,3.2391,7.1508,0.0338,0.0000,0.2558,0.2222,1trd
4.9600,82.6931,1096.2102,3.3664,0.7484,8.4597,4.5891,51.4565,0.1690,0.4793,0.0000,68.2294,980.3257,2.1927,2.5691,5.9606,4.4886,58.5598,0.0006,0.7789,0.0000,0.1818,1tsy
7.3500,59.6419,972.3765,1.9847,28.2054,3.6815,2.9778,24.1231,0.2656,0.0000,0.0000,52.3475,873.9208,1.2984,36.6300,2.9279,2.9010,24.3196,0.2531,0.0000,0.0000,0.2857,1ttm
7.0000,60.6199,728.9079,1.7403,57.6851,2.5679,17.9674,90.2935,0.2825,30.1760,0.0000,76.9677,704.9910,1.3727,61.8281,2.1253,9.9933,65.1145,0.0073,15.9172,0.0000,0.0800,1tyr
7.8000,140.7263,1923.1300,4.1031,3.4062,7.3868,33.2790,326.0040,0.8666,0.8308,0.6564,130.2070,1973.9336,3.1139,3.5289,6.3096,27.0504,293.4034,0.1536,0.9963,0.0000,0.0625,1u1b
