pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
7.9100,141.6913,2192.5139,3.4993,110.8304,4.7815,26.8383,301.9066,0.3453,0.1514,0.0000,0.0833,1ajx
6.5200,36.0300,555.7457,0.8719,34.3992,0.7741,3.3132,14.3790,0.0000,0.0000,0.0000,0.2222,1alw
4.5400,72.1678,1337.6531,1.4494,0.0000,3.5789,20.0347,112.3165,1.3236,0.0000,1.1020,0.1176,1amw
5.8200,55.1140,803.4130,3.0306,3.4573,7.3064,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,1apb
9.0000,109.0190,1696.9148,4.0491,51.8341,7.7767,35.9300,213.5085,0.8734,8.2893,1.3363,0.0488,1apv
6.2800,77.9057,1185.3557,0.9213,20.9008,0.9499,19.4410,84.4497,0.4237,7.2407,0.0000,0.0833,1atl
4.0500,118.2262,2058.6624,1.7438,45.4248,2.4200,63.5563,486.8118,2.5614,2.8628,0.0000,0.0909,1awi
3.1300,53.7961,775.6368,2.4102,3.1624,5.3084,4.4954,17.4411,0.4089,0.0000,0.9793,0.1818,1ax0
3.2000,46.4536,646.0132,2.4369,0.0000,5.5458,0.8227,3.0778,0.3456,0.0000,0.8398,0.2222,1axz
7.1200,119.1862,1604.2588,5.5203,12.2168,12.3806,11.9685,98.1374,0.4686,0.0000,0.3331,0.0588,1b05
6.7000,165.2196,2222.8323,7.7047,67.0270,11.8033,16.3634,182.1889,0.5287,0.0000,0.0000,0.0571,1b0h
7.3900,86.1231,1295.8925,2.5026,48.0190,3.6986,25.4882,157.1688,0.2475,0.3545,0.3260,0.0667,1b11
7.0300,138.0887,2016.8262,5.1915,45.3845,11.6493,14.9566,152.9579,0.2925,1.5193,0.2465,0.0541,1b1h
4.5400,126.3776,1756.0459,5.0239,24.1676,11.9520,16.8806,118.9110,0.2061,0.0000,0.4276,0.0526,1b2h
7.1000,134.3596,1761.3262,5.4124,22.4559,12.1664,12.4706,126.9478,0.4708,0.0000,0.3271,0.0526,1b32
6.6000,112.4735,1877.8324,5.4287,0.0000,9.1366,20.3289,131.3155,0.4489,0.0000,0.0000,0.0952,1b38
6.8900,142.9629,1902.7230,5.6961,19.6496,12.3724,14.7068,137.8145,0.4417,0.0000,0.3270,0.0571,1b3f
6.7000,124.7626,1732.3939,5.4109,35.8342,11.6813,14.5394,123.3238,0.2810,0.0000,0.2561,0.0541,1b3g
6.2100,131.0009,1947.5275,5.4874,38.2027,12.3737,15.7146,151.2447,0.4123,0.0000,0.3345,0.0571,1b3h
5.8900,110.7742,1435.8174,4.6833,13.3499,11.4137,11.5133,83.6777,0.3085,0.0000,0.2616,0.0645,1b3l
7.2800,144.4384,1987.0420,5.4834,44.4360,11.6212,14.7769,143.4570,0.4889,0.0000,0.3971,0.0571,1b40
5.2800,112.2913,1687.6445,5.4248,25.7004,10.4342,17.3901,105.0082,0.4107,0.0000,0.8320,0.0690,1b46
5.4600,121.4557,1667.8298,5.0204,18.6221,12.3842,16.6918,106.6146,0.3690,0.0000,0.2724,0.0556,1b4h
5.2300,125.7079,1758.8424,5.3157,20.0926,12.5996,17.5436,116.0214,0.6097,0.0000,0.5259,0.0571,1b4z
7.3700,114.4456,1607.3507,4.2496,14.3600,10.8575,14.7246,100.4300,0.2171,0.0000,0.8779,0.0588,1b51
7.1200,122.6593,1644.6013,5.0189,18.5233,11.8503,14.8580,104.5780,0.4177,0.0000,0.4365,0.0571,1b52
7.4000,95.3177,1307.6066,7.3206,0.0000,12.6412,28.3838,134.1485,0.9210,0.0000,0.8348,0.1000,1b55
6.5900,140.2963,1991.4899,4.7621,42.6973,11.4622,13.6882,157.0322,0.4534,0.0000,0.3564,0.0556,1b58
6.0100,119.3973,1625.3521,5.6130,14.5647,12.5167,12.7148,100.8887,0.0304,0.0000,0.0000,0.0588,1b5h
7.0500,128.0993,1717.5065,7.8615,19.4347,13.3323,19.5158,121.0042,0.8759,0.0000,0.4649,0.0571,1b5i
7.4300,132.8307,1823.8856,5.2868,26.8150,12.9547,13.7776,128.9742,0.4103,0.0000,0.3046,0.0541,1b5j
7.8200,126.3457,1682.0439,4.9733,28.1722,11.7280,16.8149,112.1612,0.3412,0.0000,0.3036,0.0556,1b6h
7.9200,141.6773,2491.9893,4.8987,50.0519,8.9630,36.8455,292.4055,0.8470,5.4802,0.0403,0.0606,1b6j
8.7400,132.6538,2431.3735,3.3333,65.4945,6.1609,34.8165,272.6112,1.0719,6.6858,0.7631,0.0625,1b6k
8.3000,110.0012,2089.5586,2.5804,46.6182,5.4051,16.4568,180.4352,1.3393,1.7455,0.2655,0.1000,1b6l
8.4000,123.1203,2238.5750,2.9555,76.8135,4.6246,26.4611,208.8267,1.6179,0.5320,0.5202,0.0667,1b6m
1.3000,46.0494,626.5381,1.5255,0.5762,4.5460,4.0803,6.8254,0.0003,0.0000,0.0000,0.1818,1b74
10.5200,104.7820,1359.0675,3.1757,2.7135,6.0903,9.7841,49.1607,0.5674,0.0000,0.0000,0.2000,1b8n
7.8500,123.9309,1688.9425,1.1809,56.6558,2.5778,3.3661,74.1455,0.0000,5.8653,0.0000,0.1429,1b8y
7.7000,148.3115,2756.3970,3.7499,74.3681,4.8778,72.0725,459.1974,2.5549,4.8651,3.3983,0.0308,1bai
6.8500,50.4053,729.3460,3.3567,0.0000,7.5038,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1bap
8.7000,40.7671,526.0101,1.6812,9.8505,4.2640,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1bcd
6.3400,125.3941,2039.4315,2.6462,76.7090,3.9346,42.5527,217.8815,1.0919,9.0220,0.0000,0.0556,1bdq
8.5700,69.7242,1301.5197,3.0849,24.4524,1.9332,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1bgq
4.3800,123.4404,1486.5273,2.8440,38.8432,5.9872,41.3481,285.7651,0.4660,1.0419,0.2296,0.0444,1bhf
6.8400,102.6985,1534.6893,1.5019,41.2900,2.2360,21.4144,135.3044,0.7290,8.6208,0.5909,0.1000,1bhx
9.3400,78.6823,1014.9497,2.1297,41.5491,2.0343,2.1710,53.8180,0.0000,0.0000,0.0000,0.1429,1bn1
9.8900,72.5207,1049.8588,2.8237,23.1376,3.2149,5.4085,60.4156,0.0073,2.1703,0.0000,0.2000,1bn3
9.3100,69.4555,955.4205,2.0724,34.0909,3.8235,5.0635,65.5721,0.0779,0.1705,0.0000,0.1250,1bn4
10.0000,78.6336,1071.9645,3.0554,24.8005,3.1553,6.4791,60.8384,0.0085,2.7043,0.0000,0.2000,1bnn
9.4900,74.1950,1163.6306,2.6180,8.9116,3.6005,7.2433,63.5339,0.0160,2.0000,0.0000,0.1176,1bnq
9.8000,77.4077,1127.0667,3.0261,29.0335,4.1115,0.7015,27.7128,0.0000,0.0000,0.0000,0.2222,1bnt
9.7000,69.4825,1121.1375,2.6595,18.6370,4.0422,5.6150,56.3815,0.0928,0.0000,0.0000,0.2000,1bnu
8.7700,74.9571,1155.1288,3.3929,14.2484,3.7577,9.2131,81.4108,0.3265,0.8220,0.0000,0.1538,1bnv
9.0800,74.3574,955.1389,1.5638,24.8631,2.1945,4.1356,53.0045,0.0000,0.0000,0.0000,0.1538,1bnw
5.4000,65.0311,1039.3745,3.6780,0.8718,8.7885,3.5631,53.2565,0.1692,0.6073,0.0000,0.1818,1bp0
5.2200,55.4969,1084.7358,2.5107,0.0000,6.2650,33.9307,88.0830,0.5920,0.0000,0.0000,0.1429,1bq4
3.2200,85.1182,1281.4329,3.2361,17.7444,4.9977,3.2422,52.2066,0.0000,0.0000,0.0000,0.1818,1br6
9.3000,168.5080,2652.7786,3.9466,99.5035,7.4313,39.8247,418.6906,0.5101,20.7673,0.0000,0.0714,1bv7
8.9600,164.8144,2679.5740,10.4574,89.7271,5.1782,53.7616,407.7022,0.7869,27.7368,0.0000,0.0714,1bv9
7.6000,148.8438,2692.4717,5.0544,84.8403,9.2324,34.8554,411.0274,0.9527,16.2307,0.0000,0.0714,1bwa
8.4200,176.7151,2882.5576,5.4555,90.6850,10.6129,32.7323,419.3766,1.1928,15.0097,1.9757,0.0714,1bwb
7.3800,131.1206,2007.0840,3.2238,72.6064,6.8208,51.0809,272.0334,0.9606,4.5413,1.0024,0.0426,1bxq
3.4000,156.4411,2105.7373,6.8353,0.0000,13.0605,12.5184,126.9198,0.3302,0.0000,0.0000,0.0952,1bxr
5.0000,89.4619,1674.5143,6.7477,0.0000,13.5454,11.6238,109.9133,0.5308,0.0000,1.1154,0.0952,1byk
4.9200,138.5805,1300.4785,6.0253,80.9282,8.0242,11.0815,95.3260,0.3962,2.3246,0.6883,0.1111,1bzc
6.7700,94.9905,1519.8451,3.1229,40.7922,6.7855,35.8523,296.6203,1.3526,5.1846,2.3449,0.0541,1bzh
4.6600,108.5665,1108.1228,4.9926,83.4494,5.3178,3.1637,40.3252,0.0403,2.1428,0.0000,0.2500,1bzj
8.3400,136.4570,1592.8950,10.3414,6.6594,16.1133,6.6742,82.8435,0.2286,0.0000,0.0000,0.1667,1bzy
7.6300,86.8517,1136.6603,2.3004,5.5230,5.3796,2.4673,49.1475,0.1462,0.0000,0.0000,0.2222,1c1r
8.2500,82.9044,1216.4790,2.1914,10.7834,4.2712,2.5643,45.6253,0.1319,0.0000,0.5187,0.2222,1c1u
7.6400,94.0515,1300.5326,3.1117,12.5080,5.5813,3.5595,55.5600,0.5388,0.0000,1.0000,0.1538,1c1v
3.6800,58.9610,720.3059,0.7283,1.8272,0.4595,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1c3x
10.3700,125.8598,1755.0959,4.4767,46.3956,3.6167,26.7430,169.4617,0.3270,0.0000,0.3831,0.1053,1c4u
10.8000,131.5706,1793.9197,3.3227,77.3913,3.6990,29.5857,207.1725,0.7646,7.7627,0.0000,0.1000,1c4v
6.9600,92.4535,1247.4310,3.9531,43.0363,5.6821,6.8227,60.3272,2.5717,0.7497,1.0000,0.2222,1c5c
4.7000,62.1838,711.8824,0.9375,6.6231,2.0366,0.6977,9.7501,0.0000,0.0000,0.0000,0.4000,1c5n
3.4900,53.4330,600.3200,1.5317,5.8717,3.1222,0.7555,2.1711,0.0000,0.0000,0.0000,0.4000,1c5o
4.6800,59.2019,610.0867,1.2226,5.5720,3.2599,0.8417,2.1498,0.0000,0.0000,0.0000,0.4000,1c5p
6.3600,72.0410,760.4695,2.1622,4.0987,4.0791,0.6801,9.7819,0.0000,0.0000,0.0000,0.4000,1c5q
6.0000,65.0158,709.2941,1.6504,6.9716,3.5461,0.3685,8.5343,0.0000,0.0000,0.0000,0.4000,1c5s
4.1000,55.1298,738.2061,1.1953,4.3237,3.4684,0.4009,8.4891,0.0000,0.0000,0.0000,0.4000,1c5t
6.6800,72.7353,769.6073,2.4045,6.5978,4.0438,0.3782,10.2140,0.0000,0.0000,0.0000,0.4000,1c5x
4.2000,68.5970,772.9229,2.1729,4.5631,4.1628,0.5412,8.3230,0.0000,0.0000,0.0000,0.4000,1c5y
4.0100,60.4601,613.9445,1.4490,6.4900,3.3043,0.7613,2.1924,0.0000,0.0000,0.0000,0.4000,1c5z
10.3000,146.4931,2403.0869,2.9225,83.8574,4.7576,32.2523,300.1356,1.3702,5.5476,0.0000,0.0645,1c70
4.8500,109.0440,1036.6436,5.5023,39.8280,6.8658,5.5907,39.5199,0.6769,0.0000,0.9926,0.2500,1c83
5.0000,106.5376,1086.7133,4.0251,56.3985,3.5975,6.6374,41.8425,0.8648,0.0000,1.0000,0.2500,1c84
4.7000,100.7322,1025.1278,7.0979,22.0910,8.3843,5.0504,38.0774,0.4660,0.0000,0.8113,0.2500,1c86
4.2000,86.5049,972.5333,4.2561,22.1595,4.7258,4.6601,37.7098,0.9611,0.0000,1.0000,0.2500,1c87
5.2900,78.4934,813.7118,3.0502,15.4632,1.7380,5.6388,36.3886,0.6710,0.0000,0.6514,0.2500,1c88
7.7200,131.4186,2095.0518,2.2246,70.4916,3.1352,21.3758,124.6269,0.3697,5.8674,0.0000,0.1111,1caq
6.3500,67.2621,1034.2056,2.9394,37.1314,5.2385,10.8394,26.3747,0.3885,3.5044,0.0000,0.1667,1cbx
4.7400,60.5819,612.3098,2.3154,4.0635,4.5643,0.2002,2.8169,0.0000,0.0000,0.0000,0.4000,1ce5
4.9600,48.7308,437.5375,1.2540,35.2476,3.3153,2.0869,7.9991,0.0000,0.0000,0.0000,0.1538,1cea
6.0000,56.8015,547.9868,1.5636,34.2992,3.6550,1.1343,8.3590,0.0000,0.0000,0.0000,0.2857,1ceb
2.8900,59.0406,726.8904,0.4377,44.1210,0.0000,13.8277,56.2086,0.0207,10.7104,0.0000,0.0952,1cet
6.8700,121.2896,1854.8890,2.0979,30.0738,2.7328,49.4289,298.0594,0.7537,19.6148,1.2829,0.0476,1cgl
7.0000,139.5092,1714.6202,6.7028,0.0000,11.4553,10.6831,133.3858,0.0919,0.0000,0.0000,0.1333,1ch8
9.4300,68.4727,1005.0992,2.1061,15.8843,3.6727,1.5128,39.1066,0.0112,1.4958,0.0000,0.1818,1cil
8.8200,60.4659,963.6845,2.3298,9.1398,3.0123,0.0742,21.9621,0.0000,0.0000,0.0000,0.2857,1cim
8.7300,67.3852,962.7040,2.5990,13.0798,3.5785,1.2324,29.2973,0.0234,0.0000,0.0000,0.2222,1cin
7.4400,142.0463,2139.2476,1.8095,67.3065,2.6662,17.6323,126.5283,0.1525,5.6696,0.0000,0.1111,1ciz
7.7200,89.3138,1226.3584,1.5409,22.3557,2.8331,13.8913,72.7414,0.0356,0.0000,0.0000,0.0714,1cnw
7.3700,74.6990,1051.7179,0.9940,23.0194,1.7465,6.9279,59.5040,0.0139,0.0000,0.0000,0.0833,1cnx
7.8500,93.7190,1355.5684,1.3866,43.3357,2.4752,17.9257,131.2637,0.0403,0.0000,0.0000,0.0625,1cny
6.6600,64.0426,1014.7169,3.0480,29.5629,5.9832,7.9743,32.5535,0.2947,1.5455,0.3245,0.1333,1cps
6.5200,129.9462,1740.1704,2.0860,67.3182,2.4965,24.7513,188.6723,0.5843,0.6306,0.9920,0.0741,1ct8
4.5200,90.5602,1305.3951,3.1305,10.6184,4.5664,7.9359,28.5921,0.0221,0.0000,0.2123,0.2222,1ctt
11.9200,97.7276,1396.2163,3.9340,11.1836,6.5867,8.0105,33.5557,0.1934,0.0000,0.5558,0.2000,1ctu
6.0000,143.7579,1388.9449,7.0900,0.0000,13.2758,9.9762,107.7473,0.1438,0.0000,0.0000,0.1176,1d2e
9.0900,118.8287,1735.2205,1.4267,75.9535,0.6450,14.2698,162.1304,0.3725,17.1257,0.0000,0.0952,1d3d
7.3900,141.4024,1724.5272,1.1318,66.5217,0.5303,14.4385,175.7700,0.4094,12.8244,0.0000,0.0800,1d3p
9.2200,143.0120,2481.3091,4.9453,88.1158,7.1120,28.4062,257.2105,0.8649,7.9225,0.0000,0.0714,1d4k
8.7700,119.6318,2197.3042,3.2808,64.7614,4.9558,26.9179,204.9120,0.8549,2.7273,0.0000,0.0769,1d4l
6.3000,109.1015,1482.6803,1.8645,57.7543,3.1931,6.5993,85.3414,0.1685,7.5802,0.0000,0.1818,1d4p
11.1000,125.6348,2126.9434,3.8075,75.5562,6.0903,34.6072,248.0803,0.6877,27.2485,0.0000,0.0690,1d4y
1.8200,64.6537,578.9135,3.2935,0.0000,6.8149,5.7036,3.3216,0.4145,0.0000,1.4994,0.2000,1d5r
6.1700,115.2729,1620.3530,4.1323,106.4693,1.0000,11.5308,84.6012,0.3448,9.3097,0.0000,0.1176,1d6v
5.9600,117.8408,1780.6218,3.1072,46.7775,3.0066,25.8790,191.1647,1.5142,0.0000,1.0000,0.1250,1d6w
3.6000,41.2996,308.4490,0.3080,0.0000,0.5304,1.7687,0.2543,0.0004,0.0000,0.0000,0.2500,1d7i
9.1100,106.0260,1538.5898,2.4675,45.9199,2.4500,25.5466,149.8767,0.3691,0.0000,0.4243,0.1176,1d9i
9.2600,99.7545,1868.6866,2.2337,107.1638,4.1136,7.7473,108.4750,0.0154,18.5923,0.0000,0.0952,1db1
6.7000,138.7883,1752.9327,4.4769,49.1482,5.9917,15.5589,132.2318,0.2683,0.6736,0.2948,0.0952,1dfo
6.5500,98.2826,1502.5271,2.7020,38.1243,5.8301,18.3398,120.4176,0.0663,0.4205,0.0000,0.0909,1dhj
10.6600,176.2717,2710.4546,3.2733,105.5476,5.4619,71.9877,544.7972,2.4413,18.8721,0.3761,0.0417,1dif
6.4900,95.1440,939.9340,1.7779,19.2658,2.7020,9.4192,60.8696,0.0401,0.0000,0.0000,0.1053,1dl7
9.5500,129.7911,2168.3914,3.5336,93.0430,5.9399,35.1061,288.4920,0.3978,19.3077,0.0000,0.0909,1dmp
8.0000,104.2771,1152.3813,6.1720,1.9516,13.5730,7.2740,83.2344,0.0563,0.0000,0.0000,0.1667,1dqn
11.0500,105.0429,1518.8948,6.6756,4.7298,10.3604,7.8943,71.7547,0.6197,0.0000,0.3757,0.1538,1dqx
7.4000,73.4140,734.7391,5.1493,0.0000,10.0348,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1drj
6.8200,77.6952,741.8681,5.7694,0.0000,10.1640,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1drk
4.8200,81.9824,1100.4146,2.7495,9.7432,6.5862,12.2261,92.5964,0.0992,1.0000,0.0000,0.1333,1dud
11.8000,114.2444,1205.3859,8.8186,2.3140,17.2303,7.2207,41.4214,0.5126,0.0000,0.0000,0.1000,1duv
4.3600,106.3498,1157.7743,1.6678,59.0332,3.5861,3.9392,54.1624,0.0000,0.3991,0.0000,0.1333,1dy4
6.1000,41.2350,891.5259,0.5300,27.5892,0.0000,7.2700,7.6513,0.1621,0.0000,0.0000,0.1818,1dzk
5.8900,74.4570,1153.8219,1.9889,17.8404,2.8550,5.5584,46.4426,0.5239,0.0000,0.9292,0.1818,1e1x
4.9400,94.7274,1220.8201,2.6655,38.2870,2.8520,5.4901,39.5074,0.2733,2.4955,0.5128,0.2222,1e2k
4.2900,97.1670,1158.8492,2.3830,37.7719,3.4068,5.5148,39.5270,0.3312,2.2810,0.5213,0.2222,1e2l
4.3400,46.8402,1242.7015,0.8707,47.1219,0.8983,13.8154,41.8403,0.1169,6.7582,0.0000,0.1333,1e3v
8.4100,40.8394,763.3687,0.6441,36.7171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1e4h
3.1500,73.8620,913.3282,4.3206,0.0000,7.8487,2.3062,3.4297,0.5919,0.0000,1.0000,0.2500,1e6q
3.2200,75.5251,854.6716,4.2099,0.0000,7.1050,1.3600,3.6411,0.0000,0.0000,0.0000,0.2222,1e6s
3.1000,86.1988,1023.0232,8.6443,0.0000,12.8764,6.6663,15.5742,0.1705,0.0000,0.6967,0.1429,1ec9
3.0000,91.9457,1006.7397,8.0539,1.3572,10.7782,5.3966,15.6159,1.4441,0.0000,0.9536,0.1333,1ecq
4.8500,100.4995,930.4973,3.6640,38.0884,4.4728,6.1539,28.6271,0.8016,0.0000,1.0000,0.2500,1ecv
8.2200,95.0768,1067.6523,1.9239,44.7933,2.8527,2.6180,51.8691,0.0406,0.0000,0.0000,0.2222,1efy
5.7000,65.6707,664.9094,2.8980,0.0000,6.7773,3.2965,4.5165,0.0002,0.0000,0.0000,0.2500,1egh
11.0600,100.3116,1530.5168,5.6832,5.1484,10.7296,13.2775,65.7876,0.6283,0.0000,0.0000,0.1538,1eix
5.6200,106.1185,1349.0382,3.9347,6.9729,6.5016,4.7249,55.4332,0.7180,0.0000,0.0000,0.2000,1ejn
6.6600,85.0799,1479.1635,1.2504,66.4472,1.2929,31.1456,205.2366,0.5991,17.6889,0.0000,0.0645,1elc
6.7000,96.8684,1466.2784,3.5504,45.9010,2.6035,31.0086,180.8620,1.1346,12.9994,0.5162,0.0952,1eld
6.8500,110.2736,1351.8231,3.6968,50.6070,2.9509,15.7644,120.2541,1.0680,3.9741,0.8738,0.0952,1ele
4.9600,107.8299,1550.2649,3.0992,29.8161,7.8369,65.8619,326.9750,1.7100,2.6633,2.1946,0.0400,1elr
6.9600,126.7141,1986.7950,3.7402,67.1464,4.0399,60.7469,350.2938,1.2164,13.8364,1.5040,0.0426,1ent
7.9600,146.2009,2123.8899,5.8804,66.7598,9.3962,37.0390,337.3879,1.2986,14.6348,0.9961,0.0556,1epo
8.1000,70.4706,1505.6548,0.6275,82.4787,0.2217,11.2491,62.4784,0.4416,19.0558,0.0000,0.0833,1erb
2.2600,57.6867,522.3052,3.1229,0.0000,5.1407,1.9059,1.6236,0.1432,0.0000,0.0000,0.3333,1ew8
3.2200,28.7263,295.6255,0.7276,0.0000,1.8018,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1ew9
6.3300,168.3369,2379.3704,7.2604,0.0000,15.1322,30.0195,264.5888,2.3799,0.0000,0.6841,0.0645,1ex8
5.1000,125.4060,1576.4572,3.3487,0.0000,7.1802,43.6453,260.0741,1.9432,0.0000,4.7180,0.0444,1ez9
9.0500,164.9926,1648.0604,3.9480,100.7331,5.0368,11.5291,145.5645,0.1175,9.1366,0.0000,0.0769,1ezq
7.6600,124.8558,1482.4543,1.6414,30.3432,1.7457,7.9779,106.6596,0.1965,2.1321,0.0000,0.1538,1f0r
7.7400,118.0993,1359.4188,1.4152,34.4874,1.3847,11.0296,101.4596,0.1909,1.1741,0.0000,0.1667,1f0s
6.0000,101.5043,1313.1971,2.8557,12.9241,5.7221,11.8570,110.2700,0.0327,0.9055,0.0000,0.1176,1f0t
7.1600,121.6379,1464.2795,2.8006,51.8028,5.1518,16.4483,134.1289,0.2446,11.7510,0.6183,0.0769,1f0u
1.9100,48.5509,576.1594,3.3032,14.0472,5.9428,3.1539,3.3672,0.0140,0.0000,0.0000,0.1818,1f2o
1.9000,65.6288,742.3530,2.6235,37.2207,4.6456,3.0119,14.5273,0.0060,0.0000,0.0000,0.2222,1f2p
6.7000,64.2452,832.5955,1.8566,19.4190,4.4536,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1f3e
5.5900,72.5522,950.5907,2.4599,3.2949,5.2272,12.2173,51.6011,0.7265,0.4591,1.2608,0.1000,1f4x
5.6400,31.0674,372.8438,1.4641,0.0000,3.9762,0.0872,0.8273,0.0000,0.0000,0.0000,0.2500,1f57
5.2800,70.1236,906.2695,2.4725,1.7856,6.3691,1.2723,23.7030,0.2710,0.0000,0.7436,0.3333,1f5l
5.0000,110.6710,1801.3225,2.3518,42.5133,5.0310,99.8977,529.9437,3.4300,0.5454,5.7426,0.0408,1f8a
1.2800,42.7320,628.4457,1.8083,0.0000,5.0096,0.7424,10.3362,0.2403,0.0000,0.7003,0.2000,1f9g
7.3700,77.5931,1035.3308,4.9707,0.0000,10.9512,28.5946,134.3932,0.3381,0.0000,0.7911,0.1000,1fao
7.1500,142.1032,2078.8589,5.0640,40.9111,11.3178,36.7771,306.5837,0.6727,0.0000,0.6350,0.0400,1fch
8.5200,117.9986,1927.2699,2.0734,140.8002,2.6132,2.9677,73.5910,0.2250,7.5648,0.0000,0.1667,1fcy
7.2700,72.1715,1381.3641,1.3950,84.4116,2.1216,31.6023,108.7998,0.2276,48.0256,0.0000,0.0645,1fdq
6.8200,91.4808,1155.3888,4.9389,0.0000,8.1794,4.7393,55.1705,0.0000,0.0000,0.0000,0.1818,1fhd
6.5900,194.4014,2919.6973,6.1232,104.9808,9.7785,54.3265,402.9041,0.5300,6.1480,0.9397,0.0385,1fiv
