pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
9.7000,148.5680,2701.1511,3.9225,84.5753,4.1018,45.4805,345.2806,0.8332,29.5738,0.0000,149.6036,2608.1724,3.1681,89.4304,4.1176,24.4075,280.3614,0.2746,8.2361,0.0000,0.0571,1a7x
7.8500,183.3283,2848.8613,5.5772,93.0876,5.4856,72.7563,485.1320,2.0965,1.9425,1.9153,174.0170,2846.4075,4.6017,93.9362,4.0820,82.2975,467.8464,1.7908,3.8478,1.3590,0.0308,1a94
5.7000,55.1666,464.4845,0.7502,24.8180,2.1365,0.6712,1.2152,0.0000,0.0000,0.0000,55.4975,463.0175,0.7528,24.7082,2.1185,0.7110,1.1953,0.0000,0.0000,0.0000,0.2000,1a99
6.9200,141.6182,2266.1018,4.8723,57.2229,7.7985,58.0834,236.8506,1.7058,6.5606,1.9291,146.7530,2255.4985,3.5991,43.7862,7.1148,40.9231,266.7803,1.0084,7.7392,0.9471,0.0455,1a9m
8.4000,117.1318,2040.1877,3.2976,52.7481,8.1096,33.0237,222.7107,0.3971,8.5074,0.3492,131.4996,2095.5417,3.4634,61.8789,6.4402,32.6559,241.7680,0.5989,12.5504,0.0000,0.0444,1aaq
5.4200,59.3336,811.8847,3.5385,4.5873,6.9781,0.0000,0.0000,0.0000,0.0000,0.0000,57.4076,814.6016,3.4614,2.0190,4.9056,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,1abf
6.7400,100.3302,1312.9066,4.0810,3.0646,5.1025,4.8171,42.9742,0.0980,0.0000,0.4040,68.9141,1100.3837,1.2934,3.5092,2.3734,5.1456,44.6739,0.1994,0.0000,0.4270,0.2000,1add
5.3600,69.6783,1242.0994,0.7675,67.5390,1.1404,26.3923,74.5396,0.0804,41.9740,0.0000,74.9547,1213.5936,1.0514,71.8418,1.0814,27.0978,93.1763,0.0836,40.6923,0.0000,0.0645,1adl
6.0000,36.8121,627.8217,3.4163,0.0000,8.7698,3.8884,8.2311,0.0000,0.0000,0.0000,42.1008,634.6954,3.0301,0.0000,7.9310,0.3350,10.6970,0.0000,0.0000,0.0000,0.1818,1ado
1.8200,57.1424,1006.3909,2.1291,0.0000,5.9667,15.0219,86.9188,0.6767,0.0000,2.4445,72.4372,1062.4012,4.4656,0.0000,9.2307,13.1428,81.0053,0.2990,0.0000,0.5118,0.1000,1af6
6.6200,86.1222,1163.3257,3.2993,0.0000,7.0825,14.0144,143.5593,0.1918,0.0000,0.2775,83.5280,1063.7208,1.9002,0.0000,4.8719,11.6785,152.2211,0.4869,0.0000,0.7222,0.1000,1afk
6.2800,75.4868,1112.8350,3.2350,0.0000,6.5325,23.8374,172.3848,0.3874,0.0000,0.7153,76.8563,1143.5101,2.6547,0.0000,5.5286,19.1684,133.8567,0.2333,0.0000,0.3927,0.1053,1afl
12.0000,127.6600,1958.7062,5.4902,15.6064,9.5436,30.3134,215.1372,1.9188,1.8263,4.1314,129.2991,1861.9639,4.7357,16.2475,9.3221,27.8411,223.4377,1.8644,1.9232,3.4528,0.0588,1agm
2.5000,58.4021,765.3215,1.0746,30.9954,1.9171,2.1747,11.4995,0.0010,0.0000,0.0000,45.5982,696.2743,1.2076,31.5945,2.6371,2.2872,11.7754,0.0000,0.0000,0.0000,0.2500,1ai4
4.0900,54.7229,514.4217,0.7277,37.2002,0.6603,0.0000,0.0000,0.0000,0.0000,0.0000,48.4794,516.5674,0.3191,39.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1ai7
4.8200,71.3731,1265.8958,0.2894,58.8226,0.0000,10.0831,90.5171,0.0011,7.7852,0.0000,65.8886,1257.7935,0.7919,29.4169,1.0156,26.6509,132.9997,0.1260,17.4715,0.0000,0.1333,1aid
5.9200,115.2109,1945.4287,4.0764,39.8543,4.9504,34.7024,267.4281,2.0132,8.3762,0.0000,132.2222,1902.3522,3.6473,35.9904,3.7897,35.0769,253.0865,2.2779,12.1499,0.0000,0.0690,1aj6
3.8700,96.3849,1269.3499,2.4152,25.5273,3.5253,5.8247,48.9966,0.2997,0.0000,0.0000,100.2681,1267.0643,2.3605,30.6589,2.8486,4.5549,47.1910,0.2917,0.0000,0.0000,0.1111,1aj7
2.6300,57.5219,810.5369,0.5235,40.8560,0.0000,4.3584,17.1893,0.0074,0.0000,0.0000,55.3368,829.3890,0.3769,36.2246,0.0000,4.3010,17.3415,0.0773,0.0000,0.0000,0.2500,1ajn
7.7200,145.2309,2303.9004,4.4073,93.3751,5.8478,19.3103,286.4057,0.1163,1.4355,0.0000,148.7618,2283.0544,8.4334,86.7961,6.2483,31.1567,283.6926,0.5744,7.2065,0.0000,0.0833,1ajv
7.9100,142.1858,2192.1589,3.5247,110.7540,4.8039,27.1523,301.6251,0.3576,0.2798,0.0000,135.8353,2184.8821,3.3161,106.3003,4.8856,25.7520,303.5193,0.3675,0.2678,0.0000,0.0833,1ajx
6.5200,50.1534,692.1497,0.3773,53.3498,0.5567,2.7207,14.4354,0.0356,0.0000,0.0000,59.9462,732.9005,0.9920,51.1480,0.1514,4.3454,13.3046,0.0197,0.0000,0.0000,0.2222,1alw
5.8200,55.1176,803.4200,3.0355,3.4584,7.3124,0.0000,0.0000,0.0000,0.0000,0.0000,56.1642,808.3865,3.7032,3.3905,5.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,1apb
9.0000,115.0762,1795.4648,3.7951,53.9481,7.5501,35.0572,221.0774,0.6436,12.8810,1.2152,111.2320,1749.8840,3.5186,51.3669,6.3676,42.5264,246.1263,1.1055,17.1788,1.3714,0.0488,1apv
5.3400,167.8922,2850.5027,2.9816,102.6703,4.3665,133.6781,1035.7578,3.9038,30.2364,6.4372,186.1476,2857.3586,3.3819,114.1844,4.6278,107.2125,1054.4260,2.3888,10.7697,3.9959,0.0250,1aqc
6.2800,107.8592,1293.3438,1.8839,31.0272,2.0698,14.0519,74.3683,0.0206,0.6382,0.0000,94.5403,1244.4080,1.2069,23.3250,0.8748,14.0846,75.7670,0.0464,0.9581,0.0000,0.0833,1atl
4.0500,117.3496,2079.2114,1.7246,44.7197,2.3648,63.2892,490.6705,2.6008,2.9971,0.0000,111.7693,1957.9105,2.7580,46.0815,4.5242,61.0624,475.8681,2.5838,2.7312,0.0000,0.0909,1awi
3.1300,54.0829,777.4882,2.4540,3.1824,5.3525,4.4894,17.4349,0.4101,0.0000,0.9789,48.3391,749.5123,1.5170,6.9607,2.9268,4.4527,17.3760,0.4567,0.0000,0.8860,0.1818,1ax0
3.2000,46.8397,648.6081,2.4964,0.0000,5.6188,0.8284,3.0784,0.3416,0.0000,0.8350,45.8264,593.9043,1.4859,0.0000,3.3514,0.6542,3.0656,0.4915,0.0000,1.0000,0.2222,1axz
7.1200,119.2934,1594.2852,5.4275,12.4334,12.2938,12.0426,98.0135,0.4815,0.0000,0.3319,123.6685,1633.5891,4.3646,22.6487,8.0183,14.5292,96.0567,0.1527,0.0000,0.0000,0.0588,1b05
6.7000,164.8396,2223.2051,7.6402,66.9063,11.7266,16.6651,181.3804,0.5618,0.0000,0.0000,158.8757,2234.6665,8.9433,59.0859,12.1472,16.6254,175.7086,0.0997,0.0000,0.0000,0.0571,1b0h
7.0300,137.5182,2025.5375,5.1094,43.5094,11.7170,15.0314,152.1843,0.3019,1.5181,0.2434,150.6503,2007.0038,4.6412,33.5086,8.8985,15.6956,147.4379,0.1437,1.8547,0.0000,0.0541,1b1h
4.5400,126.1067,1755.6658,5.1255,23.9701,12.1851,16.5900,117.6564,0.2126,0.0000,0.3916,126.8769,1781.0399,5.1142,31.5233,10.1873,20.1150,110.7685,0.5001,0.4498,0.7034,0.0526,1b2h
7.1000,129.2638,1784.2583,4.6957,20.2232,10.7332,13.7311,119.7730,0.0456,0.0000,0.0000,137.6701,1779.9329,4.3700,27.1786,7.8005,16.1542,118.0085,0.0215,0.4499,0.0000,0.0526,1b32
6.8900,142.7189,1903.8358,5.9643,19.8703,12.7598,14.8857,137.9672,0.4765,0.0000,0.3762,145.2793,1901.2130,5.4604,27.3967,8.8676,17.6949,134.9830,0.2125,0.3291,0.0000,0.0571,1b3f
6.7000,121.4536,1726.4586,5.0626,34.7575,11.0613,18.7445,114.6650,0.5216,0.0000,0.8837,147.0782,1714.7267,5.4116,37.9504,7.3199,19.1877,111.0690,0.2638,0.7186,0.0000,0.0541,1b3g
6.2100,131.0815,1950.4375,5.4145,38.3739,12.2640,16.2106,151.9383,0.3860,0.0000,0.3063,129.6657,1978.0734,5.0286,43.0198,7.9726,14.3103,147.3898,0.1078,0.0000,0.0000,0.0571,1b3h
5.8900,116.0987,1434.3815,4.9103,16.1880,11.1504,10.5248,79.0461,0.1826,0.0000,0.1832,110.7674,1504.5784,2.6016,15.5015,6.6842,14.4401,64.2177,0.2648,0.0000,0.5055,0.0645,1b3l
7.2800,141.0563,1981.0254,5.2228,44.9071,11.4605,14.6600,146.0876,0.5417,0.0000,0.4455,155.0174,1960.3514,6.2218,35.3445,8.8942,19.3982,147.5329,0.1598,0.3058,0.0000,0.0571,1b40
4.0100,68.0026,673.9257,1.1309,0.0000,1.5585,0.0000,0.0000,0.0000,0.0000,0.0000,63.4501,695.6642,1.4411,0.0000,1.6001,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1b42
5.2800,111.8912,1689.8495,5.5129,25.5191,10.5448,17.4970,104.8407,0.4049,0.0000,0.8296,113.3324,1688.1384,3.7328,33.2186,6.9997,12.8776,112.5975,1.3609,0.4222,0.0000,0.0690,1b46
5.4600,121.2677,1673.7623,4.8467,20.4191,12.0775,13.7783,102.6770,0.3522,0.0000,0.2422,133.1720,1692.1976,5.5253,26.1006,10.1643,15.0431,107.6007,0.1372,0.4821,0.0000,0.0556,1b4h
5.2300,127.8587,1760.7263,5.4570,22.5134,12.6643,12.7792,122.5957,0.4337,0.0000,0.3757,134.1955,1769.1537,4.8937,27.7183,8.4916,16.1684,119.0087,0.1616,0.4097,0.0000,0.0571,1b4z
7.3700,122.7624,1611.9857,5.0761,15.5134,11.6665,11.6276,103.7323,0.3059,0.0000,1.0719,120.9172,1640.8887,4.8164,24.2629,8.7686,18.8061,93.7337,0.6699,0.0000,1.4934,0.0588,1b51
7.1200,121.2375,1651.1823,4.8421,19.5278,11.6540,14.3552,111.7663,0.3865,0.0000,0.3946,126.1226,1667.3630,4.7843,26.7468,8.8525,15.3900,109.8781,0.3132,0.1302,0.7683,0.0571,1b52
7.4000,92.8581,1295.5317,6.6806,0.0000,11.9332,28.8728,133.5866,0.8495,0.0000,0.9280,76.4844,1189.7634,3.6701,0.0000,8.5742,30.4988,132.6146,1.5514,0.0000,1.5840,0.1000,1b55
6.5900,140.7528,1997.1179,4.8609,43.4342,11.5811,13.0480,153.0759,0.4490,0.0000,0.3372,148.3465,1996.1187,4.8490,38.2867,7.5708,22.2958,151.5212,0.2802,0.4558,0.0000,0.0556,1b58
6.0100,121.2174,1599.0623,5.4857,14.1281,12.8084,13.3182,105.9177,0.4581,0.0000,0.3088,124.9809,1667.6637,4.5515,36.1672,6.6932,13.3130,86.0055,0.4288,0.0000,0.5116,0.0588,1b5h
7.0500,121.4480,1729.7263,5.1354,19.2612,12.0624,15.2278,124.8763,0.5228,0.0000,0.4248,134.1614,1744.9480,4.2996,27.1874,8.7621,16.9619,120.8919,0.1938,0.4501,0.0000,0.0571,1b5i
7.4300,132.8614,1828.8694,4.9271,27.5687,12.5047,12.9713,127.0065,0.4225,0.0000,0.3040,136.9582,1826.5853,4.8812,34.4627,10.3086,20.1051,127.9029,0.1501,0.6490,0.0000,0.0541,1b5j
7.8200,126.0792,1678.9851,4.9717,28.7374,11.8292,13.7374,109.0785,0.3341,0.0000,0.2931,128.3719,1696.4578,5.2303,35.4824,9.1678,15.7002,107.4865,0.1840,0.3915,0.0000,0.0556,1b6h
7.9200,141.1495,2490.3513,4.7831,50.0056,8.8492,37.1033,291.5840,0.8122,5.7348,0.0185,150.2201,2561.9233,5.0567,59.3249,6.2160,37.2208,296.1539,1.9882,2.7105,0.4709,0.0606,1b6j
8.7400,132.8276,2431.5120,3.2978,65.5964,6.1244,34.8896,271.2765,1.0489,6.6583,0.7238,125.5336,2420.3564,3.1177,63.9135,5.1945,39.1704,248.3477,1.6577,15.1188,0.0000,0.0625,1b6k
8.3000,109.9812,2083.8657,2.5471,46.5288,5.3901,16.3469,180.5005,1.3433,1.6680,0.2698,99.0220,2077.7385,3.4848,46.0423,4.1058,16.8497,169.8573,1.7734,0.5317,0.6164,0.1000,1b6l
8.4000,123.0825,2237.0815,2.9372,76.8384,4.5907,26.4560,208.8035,1.6210,0.5255,0.5352,127.3053,2225.8748,3.5094,93.5536,3.5002,27.8112,217.5702,1.5441,4.0149,0.5420,0.0667,1b6m
8.5200,135.2420,2396.2832,3.9368,71.6919,6.8078,43.2997,246.1363,1.3441,7.7886,0.5081,130.7180,2419.5403,3.6716,69.7623,6.1290,36.6843,251.8061,1.1806,6.4926,0.8025,0.0571,1b6p
1.3000,49.8905,547.2852,1.9341,3.0628,5.1712,3.3746,7.7430,0.0000,0.0000,0.0000,42.1378,566.9518,1.4377,0.2093,4.5151,5.7705,6.1282,0.0182,0.0000,0.0000,0.1818,1b74
10.5200,104.7298,1358.4919,3.1952,2.7086,6.1257,9.7730,49.1706,0.5674,0.0000,0.0000,88.9645,1392.0831,5.3612,3.1784,7.2059,6.4721,47.9586,0.3792,0.0000,0.8513,0.2000,1b8n
7.8500,118.4339,1686.8801,1.5742,56.9795,3.1859,8.1525,73.7874,0.0452,5.8642,0.0000,123.9650,1665.7585,0.6849,57.5353,0.6272,9.3080,75.3336,0.0567,5.8754,0.0000,0.1429,1b8y
7.7000,156.4574,2986.3867,4.5664,75.2417,7.5764,64.8521,405.8291,1.6450,1.0045,1.2494,175.9570,2869.5051,5.6195,66.8340,8.2605,53.7793,472.7772,0.4670,11.8369,0.0651,0.0308,1bai
6.8500,50.0662,729.5969,3.4181,0.0000,7.6030,0.0000,0.0000,0.0000,0.0000,0.0000,50.8928,725.2598,3.1695,0.0000,6.8986,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1bap
8.7000,39.9860,528.6006,1.6462,9.5500,4.2597,0.0000,0.0000,0.0000,0.0000,0.0000,40.9455,520.6089,1.6305,11.2524,3.9837,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1bcd
3.7000,50.0080,654.5991,2.2374,1.6467,5.6067,5.4065,17.3185,0.4730,0.0000,0.9631,37.7610,615.9623,2.4103,0.8268,6.1821,4.4948,17.5210,0.5126,0.0000,1.0341,0.1818,1bcj
6.3400,119.6302,1987.2106,2.4798,73.7996,3.8941,40.6845,211.8938,0.7446,11.2118,0.0000,122.3653,2038.9998,3.2326,83.6311,4.1117,38.6272,232.6637,0.9244,7.8362,0.0000,0.0571,1bdq
8.5700,69.7249,1301.5177,3.0849,24.4524,1.9332,0.0000,0.0000,0.0000,0.0000,0.0000,59.8684,1048.7035,1.6383,11.9450,2.3335,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1bgq
4.3800,120.5279,1375.6617,3.2736,38.1561,7.0033,46.9043,304.8094,0.4818,2.3913,0.7857,115.8639,1294.7317,3.3916,46.6108,6.5136,57.4659,361.6304,1.0713,9.9474,0.9250,0.0444,1bhf
6.8400,103.5812,1510.5265,2.8955,53.9700,4.1104,20.0782,142.5589,0.5786,0.0000,1.0404,103.0595,1534.6938,1.5487,41.2863,2.3256,21.1282,134.6883,0.7970,8.6796,0.6660,0.1000,1bhx
3.8400,62.2551,534.7734,1.6839,10.6738,1.1685,0.0000,0.0000,0.0000,0.0000,0.0000,63.6190,540.7124,1.2299,6.3009,0.5839,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1bky
7.5200,71.4057,1182.5845,0.4121,54.9174,0.4341,5.7102,67.9979,0.4726,6.0947,0.8040,70.1028,1195.0991,0.6763,55.9238,0.8985,4.7797,65.5374,0.4872,6.3232,0.7132,0.2000,1bm7
9.3400,91.1129,1266.7715,2.3507,26.5821,2.0756,10.0456,75.1104,0.0433,7.0421,0.0000,81.0265,1090.2775,3.2137,26.8244,5.0124,2.7322,56.9649,0.0000,0.0000,0.0000,0.1429,1bn1
9.8900,66.2136,1157.8387,1.6193,12.1689,2.5512,5.5896,59.5119,0.0104,2.1571,0.0000,61.2909,1015.0624,2.4654,29.2280,4.0361,5.2543,56.8591,0.3097,2.1454,0.0000,0.2000,1bn3
9.3100,90.4981,1327.6497,2.6144,17.4758,2.1654,10.8520,85.5077,0.0350,6.7796,0.0000,62.8702,1214.3942,1.0146,27.2361,0.2770,12.1310,88.6587,0.1469,3.4549,0.0000,0.1250,1bn4
10.0000,65.6325,1152.3643,1.8440,12.1454,3.0792,6.3610,60.6985,0.0064,2.7422,0.0000,58.4334,976.5608,2.4067,25.8968,4.1722,6.2160,56.5693,0.0591,2.8220,0.0000,0.2000,1bnn
9.4900,62.9012,1147.7050,1.6145,14.7671,2.8158,10.7650,61.6917,0.0409,1.1150,0.0000,76.9574,1149.8749,2.7094,7.7491,3.7107,7.5999,63.3548,0.0122,2.0000,0.0000,0.1176,1bnq
9.8000,76.1569,1128.3815,3.0080,28.6814,4.1888,0.6989,27.7131,0.0000,0.0000,0.0000,57.8911,1139.4442,1.0737,18.2647,1.5300,0.7930,27.5783,0.0000,0.0000,0.0000,0.2222,1bnt
9.7000,69.5170,1120.5424,2.6563,18.5593,4.0472,5.6347,57.0830,0.0983,0.0000,0.0000,69.5313,1119.3910,2.3646,9.5602,3.3430,5.6793,57.4288,0.0025,0.0000,0.0000,0.2000,1bnu
8.7700,72.0637,1172.7975,3.4449,7.8839,4.7737,9.4063,77.7990,0.3978,0.8282,0.0000,75.5478,1157.5560,3.4063,14.3765,3.7157,9.1914,81.4359,0.3237,0.8224,0.0000,0.1538,1bnv
9.0800,84.0005,1145.7999,2.0379,14.1726,2.9707,8.3078,60.5430,0.0034,1.5963,0.0000,80.0291,1133.1815,1.5537,16.2850,2.2803,7.5103,61.3596,0.0000,0.0000,0.0000,0.1538,1bnw
5.2200,58.4966,1215.3964,3.1789,1.6640,7.8458,32.5399,88.0460,1.2265,0.0000,0.0000,50.3761,1180.3242,3.5084,1.0033,8.5942,32.7574,88.1049,0.9776,0.0000,0.0000,0.1429,1bq4
2.7000,109.8367,1088.6836,4.6800,0.0000,7.2188,2.4933,31.0559,0.0110,0.0000,0.1501,64.1279,952.3317,2.6114,0.0000,5.7827,2.8420,30.2960,0.5984,0.0000,1.5045,0.1667,1br5
3.2200,120.0173,1332.3082,4.2375,17.0801,5.2882,4.3140,56.6735,0.0000,0.0000,0.0000,85.6713,1285.9261,3.2533,18.5302,5.0156,3.1925,51.6217,0.0000,0.0000,0.0000,0.1818,1br6
9.3000,168.3018,2653.9785,3.9233,99.0548,7.4209,39.9013,418.4196,0.5115,20.9168,0.0000,170.3609,2661.6775,4.2700,100.2753,7.5253,39.6571,418.0458,0.5741,20.8324,0.0000,0.0714,1bv7
8.9600,161.8835,2675.3699,4.8403,87.1683,7.9859,41.3412,415.2681,0.9358,22.5391,0.0000,159.5159,2669.4685,4.8714,85.9805,7.9347,41.8364,414.2726,0.8616,23.2017,0.0000,0.0714,1bv9
7.6000,150.5570,2691.2961,5.1205,85.3579,9.4841,33.8494,414.3607,1.0485,15.2206,0.0000,143.5828,2675.5859,4.7844,78.2808,7.5237,43.2305,417.3001,0.3259,19.0780,0.0000,0.0714,1bwa
7.4200,178.4420,2878.1934,5.4337,90.9989,10.5649,32.3561,420.4445,1.2068,14.7107,1.9747,174.6236,2869.7114,5.7091,90.1922,10.6960,33.3053,422.0740,1.0342,14.8587,1.8186,0.0714,1bwb
7.3800,133.4647,1986.5480,3.1123,60.5853,6.2645,58.6519,297.3849,1.2733,11.7170,1.7855,131.5103,2008.2554,3.0195,73.6704,6.4757,53.3018,268.4538,1.0335,4.5360,1.2268,0.0426,1bxq
5.0000,90.2447,1678.8789,6.4973,0.0000,13.3842,12.7612,115.0474,0.2267,0.0000,0.3376,94.2661,1682.0679,6.6845,0.0000,13.0373,22.8390,112.1951,1.4608,0.0000,0.7335,0.0952,1byk
4.9200,139.0316,1301.1067,6.0825,81.1661,8.1084,11.2870,95.3360,0.3654,2.3326,0.6262,125.6318,1293.9390,5.9395,83.5085,7.3651,6.8841,95.4544,0.2103,2.9632,0.0000,0.1111,1bzc
6.7700,113.0548,1944.1215,5.4841,32.2898,7.1993,42.9177,409.3506,0.6282,14.0943,0.6490,110.3571,1902.6221,3.0470,23.1874,3.4284,61.3962,372.1051,1.4204,10.9442,1.8214,0.0541,1bzh
4.6600,109.3062,1110.4921,4.9489,83.4907,5.2402,3.0211,40.3526,0.0643,2.1500,0.0000,84.8928,1056.6630,2.5628,82.8600,2.6070,3.5262,39.5082,0.0039,2.0938,0.0000,0.2500,1bzj
8.3400,136.4962,1593.5138,10.3477,6.6610,16.1175,6.6839,82.8339,0.2281,0.0000,0.0000,106.3221,1653.6746,7.2474,7.6465,9.8971,13.9326,91.1334,1.4460,0.0000,1.4009,0.1667,1bzy
7.6300,83.0296,1141.7955,2.4867,21.5284,5.0798,2.7196,51.4606,0.0964,0.0000,0.4435,91.3518,1125.5963,2.5737,5.2830,5.5378,2.8702,47.5612,0.1234,0.0000,0.0000,0.2222,1c1r
8.2500,81.7543,1258.6270,2.5774,25.2935,4.4809,3.2891,52.1091,0.0800,0.0000,0.4042,104.9459,1304.0876,3.2472,35.4775,3.2917,2.8383,47.3284,0.0000,0.0000,0.0000,0.2222,1c1u
7.6400,98.1390,1411.9047,2.8399,33.4770,4.5345,6.5888,69.0050,0.0143,0.0000,0.1707,90.4732,1364.0808,3.1611,24.5075,5.0406,5.4833,66.5396,0.3977,0.0000,0.9009,0.1538,1c1v
8.2800,109.7873,1342.5513,3.5043,5.4163,6.5747,5.9903,67.8716,0.1028,0.0000,0.0000,107.5306,1334.5846,3.5316,4.9654,6.3720,5.9698,67.8620,0.1105,0.0000,0.0000,0.1538,1c2d
3.6800,54.6894,699.5146,0.7526,2.5548,2.1414,0.0000,0.0000,0.0000,0.0000,0.0000,62.4084,691.8455,1.3749,5.8910,2.0944,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1c3x
10.3700,130.2996,1768.0591,4.5681,47.2897,3.3847,25.1169,167.7387,0.2475,0.0000,0.3328,100.4386,1646.2825,1.2147,39.3382,2.1839,17.4935,189.8785,0.1196,0.0000,0.0000,0.1053,1c4u
10.8000,131.6825,1796.6837,3.3524,77.4352,3.7087,29.5996,207.1958,0.7483,7.7583,0.0000,100.6851,1731.9908,1.5821,67.7056,1.5532,29.5427,244.7535,0.6998,12.8542,0.0000,0.1000,1c4v
6.9600,90.4573,1143.4413,2.7181,53.4862,3.6510,10.9959,57.6269,1.8625,0.5449,1.1514,92.5078,1281.5474,2.6420,62.3850,2.6074,5.5585,61.0055,2.4426,0.8031,1.0000,0.2222,1c5c
6.6800,59.5100,762.8602,1.7822,1.0551,3.3027,0.7558,9.6935,0.0000,0.0000,0.0000,62.3156,704.4825,0.9278,7.0324,2.0300,0.7132,9.7341,0.0000,0.0000,0.0000,0.4000,1c5n
3.4900,53.6952,600.9882,1.5386,5.9319,3.1220,0.7442,2.1698,0.0000,0.0000,0.0000,63.4626,636.4022,2.2276,7.5389,3.1053,0.6180,2.1639,0.0000,0.0000,0.0000,0.4000,1c5o
4.6800,63.2150,629.1262,1.4718,5.5195,3.3169,0.8355,2.1492,0.0000,0.0000,0.0000,62.7736,620.7033,1.4553,5.4315,3.3194,0.8348,2.1493,0.0000,0.0000,0.0000,0.4000,1c5p
6.3600,72.0936,758.2418,2.1725,4.1344,4.0947,0.6805,9.7813,0.0000,0.0000,0.0000,63.2500,659.8009,0.7840,4.0616,0.6392,0.5567,9.9311,0.0000,0.0000,0.0000,0.4000,1c5q
6.0000,65.0201,708.6024,1.6500,6.9591,3.5460,0.3669,8.5358,0.0000,0.0000,0.0000,58.2194,691.8959,1.4237,7.7494,3.2274,0.3663,8.5362,0.0000,0.0000,0.0000,0.4000,1c5s
4.1000,55.1149,738.2059,1.1957,4.3253,3.4697,0.3997,8.4900,0.0000,0.0000,0.0000,59.8985,759.9412,1.2896,1.6790,2.5634,0.3231,8.5191,0.0000,0.0000,0.0000,0.4000,1c5t
6.6800,72.7979,769.5932,2.3994,6.6397,4.0348,0.3793,10.2124,0.0000,0.0000,0.0000,56.5981,670.6856,0.7282,6.8714,1.3430,0.3131,10.2831,0.0000,0.0000,0.0000,0.4000,1c5x
