pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,flexibility,PDB
5.3600,70.5742,1241.9071,1.0706,69.0388,1.3180,31.6221,61.3115,0.2940,42.5549,0.0000,66.5435,1227.2545,0.2641,56.1501,0.4334,31.0077,79.9486,0.0955,44.1217,0.0000,69.8530,1207.3870,1.5785,69.6779,2.5945,19.6987,86.8803,0.1999,36.6512,0.0000,55.0341,1129.5121,0.8195,49.0133,1.9535,32.2695,83.7791,0.1668,60.4279,0.0000,59.5169,1194.9320,0.6087,56.4427,1.2709,29.9757,86.3638,0.2643,49.3586,0.0000,51.9031,1231.9150,0.3215,50.9666,0.6687,35.5260,83.8495,0.0870,49.2677,0.0000,55.8012,1157.0200,0.7515,47.0785,1.7395,34.1133,93.5070,0.2333,56.0159,0.0000,53.8893,1202.4681,0.5156,52.4723,1.2238,31.2515,96.3263,0.1192,48.5702,0.0000,61.6162,1216.3710,0.3809,47.9719,0.9400,30.4963,93.3727,0.2545,47.9400,0.0000,0.0667,1adl
6.0000,36.1628,630.6946,3.2818,0.0000,8.5971,3.9895,8.2032,0.0000,0.0000,0.0000,37.7958,623.1846,2.7193,0.0000,6.8618,9.0192,4.2561,0.2091,0.0000,0.6809,39.3199,623.8543,2.2747,0.0000,6.9650,0.6086,10.1951,0.0000,0.0000,0.0000,35.5315,634.2366,2.4168,0.0000,7.0456,1.0112,9.8403,0.0000,0.0000,0.0000,45.1868,593.7700,1.9241,0.0000,5.5890,2.6980,8.2510,0.0008,0.0000,0.0000,34.6618,632.8540,1.5045,0.0000,4.5763,4.8729,6.0445,0.3278,0.0000,0.9457,39.5997,611.7404,2.1106,0.0000,5.6643,5.4518,6.9470,0.0209,0.0000,0.0000,37.2426,542.1683,2.6342,0.0000,6.6873,6.6228,4.4050,0.6674,0.0000,1.1832,40.5199,600.8510,1.5245,0.0000,4.3244,5.0234,6.9988,0.1349,0.0000,0.4771,0.1818,1ado
6.6200,84.4811,1148.8611,2.9235,0.0000,6.4940,15.2973,147.3322,0.2231,0.0000,0.3345,81.5531,1104.9307,1.8429,0.0000,4.3230,12.9357,151.1221,0.4601,0.0000,0.6367,87.6359,1071.8772,2.2573,0.0000,5.1764,13.0729,160.2339,0.4482,0.0000,0.0000,71.1864,1143.9785,1.6799,0.0000,3.4241,15.4602,150.1834,0.8215,0.0000,1.4406,66.3817,1098.8219,1.8008,0.0000,3.7131,15.4729,153.2949,0.7387,0.0000,1.2725,67.2964,1093.1519,1.6232,0.0000,3.6102,11.7015,159.7224,0.3409,0.0000,0.5693,64.0262,1080.0614,2.1127,0.0000,4.3005,13.7110,159.3241,0.7324,0.0000,1.2858,66.6057,988.4203,2.1052,0.0000,4.8152,14.1168,152.1424,0.1187,0.0000,0.3894,77.4965,975.9712,1.9569,0.0000,3.8052,19.6545,182.3301,0.1273,0.0000,0.0000,0.1000,1afk
6.2800,81.6786,1133.2999,3.7078,0.0000,6.9876,22.9059,174.8940,0.4606,0.0000,0.6869,73.6956,1124.6508,2.0706,0.0000,4.7680,19.6055,134.2108,0.0970,0.0000,0.0000,64.5234,1048.4012,3.4062,0.0000,7.1904,17.8282,175.3526,0.1451,0.0000,0.1735,66.0264,1069.4463,1.7942,0.0000,4.2922,22.2197,154.4208,0.1023,0.0000,0.2936,78.4872,1093.0918,2.1194,0.0000,4.2334,19.0930,161.7124,0.3752,0.0000,0.3215,53.7619,1113.3253,2.0613,0.0000,4.8692,24.8974,164.1128,0.5854,0.0000,0.8609,62.4452,1091.8558,1.6824,0.0000,4.6905,21.1374,145.5158,0.5278,0.0000,0.3670,61.5946,1033.9672,1.4647,0.0000,4.4765,18.4811,152.9335,0.3404,0.0000,0.6375,66.4080,1024.2903,2.0339,0.0000,4.7800,21.9137,165.0241,0.3583,0.0000,0.6119,0.1053,1afl
2.5000,58.3933,766.1942,1.0633,30.9760,1.9024,2.1781,11.5016,0.0008,0.0000,0.0000,45.5974,691.1147,1.1128,31.2703,2.5484,2.2077,11.5661,0.0000,0.0000,0.0000,53.6807,749.2876,1.4519,26.4884,1.8022,2.0752,11.7641,0.0000,0.0000,0.0000,43.9473,646.6071,1.0088,39.7270,1.6743,1.6736,11.4032,0.0364,0.0000,0.0000,37.7486,633.3579,1.2145,16.0895,3.5570,2.5508,11.3162,0.0126,0.0000,0.0000,31.0076,609.2648,2.3429,7.6959,6.1660,2.4853,11.3955,0.0085,0.0000,0.0000,62.7887,803.9335,3.4136,28.3661,2.6330,1.6430,11.7032,0.0430,0.0000,0.0000,44.8486,707.9850,1.0259,31.3485,0.7134,1.9919,11.9225,0.0521,0.0000,0.0000,46.2917,686.9709,1.1042,28.7740,0.7367,2.1144,11.4765,0.0002,0.0000,0.0000,0.2500,1ai4
4.0900,54.6988,514.4036,0.7252,37.1906,0.6596,0.0000,0.0000,0.0000,0.0000,0.0000,53.5829,518.7791,0.7460,37.3071,0.6474,0.0000,0.0000,0.0000,0.0000,0.0000,48.4704,516.6581,0.3174,39.1124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.7893,515.7924,0.3245,38.9415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.6539,509.2402,0.9444,33.5726,1.4077,0.0000,0.0000,0.0000,0.0000,0.0000,50.8652,496.5067,0.5893,32.2133,0.7106,0.0000,0.0000,0.0000,0.0000,0.0000,50.3480,496.7888,0.7451,33.4561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.6142,508.0799,1.0029,30.3022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.7602,534.0544,2.9438,28.1847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1ai7
4.8200,71.5665,1267.7794,0.2553,58.6900,0.0000,10.3812,90.9787,0.0033,8.0012,0.0000,65.9594,1265.1190,0.5955,47.4649,1.0214,10.4241,90.7825,0.0176,8.1566,0.0000,63.8256,1242.4731,0.8614,29.5511,1.0532,24.1882,136.4828,0.0231,16.1827,0.0000,66.0503,1253.0535,0.4156,63.3594,0.0000,9.5253,82.7685,0.0635,7.3888,0.0000,67.4414,1225.9382,0.5385,44.1629,0.5204,19.8817,107.0788,0.1523,8.0976,0.0000,68.6799,1294.7827,1.1325,64.4350,0.0000,8.9136,86.6399,0.0297,7.4114,0.0000,59.9966,1200.6239,0.3813,54.5937,0.0000,12.6215,98.1072,0.0322,7.6777,0.0000,52.8694,1283.9324,0.3439,50.4393,0.0000,10.1837,93.9072,0.0024,7.7351,0.0000,56.1167,1282.6812,0.8588,46.3926,0.8545,9.6057,101.9448,0.1214,8.1098,0.0000,0.1333,1aid
3.8700,93.8608,1273.3158,2.1404,27.2121,2.6311,8.0368,47.4653,0.2830,0.0000,0.0000,96.6200,1254.9648,2.2614,27.0700,2.9699,6.3286,47.8234,0.3822,0.0000,0.0000,75.3926,1191.2987,1.4641,29.2823,1.9842,6.3014,47.2517,0.4418,0.0000,0.0000,71.6285,1003.2805,1.4224,30.8159,2.7624,14.6922,59.9666,0.3316,1.6456,0.0000,68.5022,984.8297,0.9487,41.4800,1.6213,15.2335,58.0075,0.2102,0.8237,0.0000,70.0938,979.1658,2.2445,29.6774,4.2904,11.0662,58.3617,0.2641,1.0041,0.0000,70.8619,996.8652,1.0035,37.9365,1.8365,11.7277,60.8370,0.3065,0.2429,0.0000,67.5700,932.9044,1.1874,39.8161,2.1715,14.9856,57.3876,0.2215,2.6511,0.0000,71.4714,1108.9678,1.0832,21.2228,2.1088,5.8365,43.6998,0.2845,0.0000,0.0000,0.1111,1aj7
2.6300,57.4641,810.5332,0.5244,40.9049,0.0000,4.3787,17.1899,0.0059,0.0000,0.0000,55.6088,814.5295,0.5485,41.0380,0.0000,4.2489,17.3476,0.0091,0.0000,0.0000,54.5214,829.6210,0.4580,35.8658,0.0000,4.5971,17.1103,0.0572,0.0000,0.0000,47.9984,694.5201,0.9861,48.4914,1.5032,4.0293,16.0462,0.0127,0.0000,0.0000,46.8179,687.2567,0.8045,47.6792,1.3385,4.2840,16.2680,0.0166,0.0000,0.0000,62.6551,831.5504,0.6336,28.2182,0.0000,4.3584,17.2229,0.0493,0.0000,0.0000,44.4900,775.0168,0.7747,37.0260,0.3547,4.4848,17.1150,0.0018,0.0000,0.0000,59.2503,829.8773,1.1409,31.9984,0.0000,3.8540,17.1504,0.1921,0.0000,0.0000,49.7473,794.9396,1.5103,42.0574,0.2296,3.8189,17.1107,0.0291,0.0000,0.0000,0.2500,1ajn
7.7200,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,149.2428,2287.3540,8.5026,87.8743,6.2498,31.0483,283.0617,0.5841,7.3372,0.0000,136.8991,2299.8662,3.8382,83.9316,1.0000,33.8577,271.6812,2.2042,7.3142,1.0000,130.9977,2287.1780,6.0492,74.3174,3.8867,33.4804,298.0016,2.4849,17.2839,0.0000,0.0833,1ajv
7.9100,142.0047,2195.7883,3.5429,110.6547,4.8117,27.1811,301.5753,0.3509,0.2980,0.0000,136.8315,2190.8672,3.4043,107.6907,4.8962,25.8918,303.4248,0.3738,0.4019,0.0000,129.0220,2200.3762,4.6234,73.1853,3.2137,40.6008,286.9643,0.3865,16.5450,0.3330,133.7079,2200.8901,5.0384,83.2038,3.8338,34.6034,300.2935,0.9517,13.2143,0.4999,128.7521,2207.1970,5.0213,73.9647,3.2711,43.2627,285.0932,0.3842,16.6921,0.3365,112.9526,2164.8259,7.0891,74.6518,5.8641,39.7822,266.7968,1.2620,19.7224,0.0000,127.0192,2179.1326,7.3411,92.7622,3.4017,34.9351,286.0363,0.7490,10.3299,0.5874,113.7266,2229.4971,6.4649,68.9319,2.6780,38.4228,295.0274,0.5222,15.1531,0.6782,109.6678,2256.8916,6.7245,77.3848,2.4583,40.7323,292.9014,0.6975,16.4471,0.7558,0.0833,1ajx
6.5200,50.6507,689.9892,0.3747,53.7714,0.5407,2.5582,14.4825,0.0440,0.0000,0.0000,49.9477,690.3085,0.3910,53.0650,0.5580,2.5371,14.2126,0.0503,0.0000,0.0000,58.6338,728.5609,0.7724,51.3525,0.0000,4.5388,13.3233,0.0330,0.0000,0.0000,46.5645,676.3340,0.6555,43.6849,0.9313,2.5997,14.5696,0.0845,0.0000,0.0000,63.0240,739.6608,0.8118,35.5844,0.0000,2.9947,14.4315,0.1041,0.0000,0.0000,51.6727,668.5440,0.7619,29.6915,0.2921,4.0380,13.4954,0.0013,0.0000,0.0000,57.1892,738.6718,2.2151,32.8009,0.9148,4.9617,12.2174,0.0338,0.0000,0.0000,67.5877,759.0671,1.6035,29.5057,0.0000,2.9765,13.8980,0.3941,0.0000,0.0000,37.2322,615.6157,0.3011,34.8657,0.1776,4.2769,13.0542,0.0002,0.0000,0.0000,0.2222,1alw
4.3000,67.5653,578.5380,2.6593,0.0000,5.3949,2.1162,4.3410,0.0000,0.0000,0.0000,57.5272,592.3301,3.1118,0.0000,5.8884,2.3703,4.2197,0.0000,0.0000,0.0000,59.9654,537.9406,3.2953,0.0000,6.3323,3.9350,4.2489,0.0000,0.0000,0.0000,60.9983,600.3663,3.6869,0.0000,6.1261,1.9722,4.5791,0.0000,0.0000,0.0000,55.1465,578.9175,2.2619,0.0000,4.2532,2.4921,4.4353,0.0490,0.0000,0.0000,53.8444,559.8311,2.9391,0.0000,5.2942,3.0123,4.1313,0.1118,0.0000,0.0000,48.4564,483.3668,2.8906,0.0000,5.9279,1.1029,5.0466,0.0000,0.0000,0.0000,53.4070,576.3989,2.6173,0.0000,4.3925,1.0831,5.1253,0.0000,0.0000,0.0000,56.3902,569.7354,4.5771,0.0000,6.8477,4.1745,3.5947,0.0888,0.0000,0.0000,0.2500,1amk
4.5400,82.8273,1360.8259,2.2487,0.0000,4.3127,16.2312,114.7394,0.5648,0.0000,0.7452,69.3226,1376.8492,1.2992,0.0000,3.6741,12.2454,130.8494,0.2900,0.0000,0.0000,69.8092,1351.8230,1.2459,0.0000,2.9377,18.3441,106.0691,0.8089,0.0000,1.2472,56.6999,1357.9976,1.8319,0.0000,4.7924,14.9197,128.1965,0.5827,0.0000,0.0000,60.5323,1352.1591,1.0865,0.0000,2.1671,15.1591,139.0478,0.3197,0.0000,0.2728,71.9178,1342.6407,1.4073,0.0000,2.5703,16.2075,123.4962,0.4695,0.0000,0.0000,60.2237,1271.1057,2.4216,0.0000,4.6593,12.7380,117.9162,0.1093,0.0000,0.2746,59.9956,1308.8058,1.3140,0.0000,3.1942,14.4088,114.2609,0.4631,0.0000,0.0000,55.3428,1179.5256,1.4403,0.0000,3.8650,16.9556,104.9021,0.4817,0.0000,0.8657,0.1176,1amw
9.0000,114.8765,1795.5170,3.7343,53.8461,7.4696,35.0924,220.9918,0.6440,12.9824,1.2118,111.0258,1748.2593,3.5846,51.6064,6.4277,42.8198,244.6195,1.1245,17.4313,1.3727,107.6763,1701.9159,3.3837,54.6414,5.6656,42.2206,204.1110,1.2457,9.3891,1.7014,108.9941,1698.8591,3.3545,44.1312,7.2746,30.1039,206.1150,1.4659,8.5681,1.2924,103.3384,1745.0006,2.9578,35.7735,5.5191,37.9166,227.1951,1.5447,7.3213,1.3654,114.2642,1622.5048,2.2926,47.0098,4.3551,30.9457,217.2278,1.4178,8.8936,1.1702,85.4828,1520.7175,2.0580,39.1480,4.1956,40.8697,237.2067,1.2762,9.1362,2.8921,85.0029,1492.1609,2.7057,26.8737,4.7707,52.5673,255.3243,1.3654,12.5543,3.0969,85.6019,1549.8098,2.3383,34.3877,5.2961,42.8831,232.4666,1.0833,10.9035,1.2755,0.0625,1apv
