pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,PDB
2.4400,31.5293,281.6779,0.6182,0.0000,0.1762,1oba
2.4700,46.3200,590.2482,1.2988,8.4041,1.3726,1utl
2.4800,58.9279,443.0484,1.4079,39.4297,1.2277,1gyx
2.5000,51.2891,767.1401,2.1198,28.0624,1.3252,1ai4
2.5400,29.8567,356.8792,0.3707,26.7867,0.0000,1iup
2.6300,49.5433,842.2430,2.0193,32.5899,1.0000,1ajn
2.6800,59.3048,807.9192,6.0985,0.0000,11.3189,1o8b
2.7000,107.2914,1088.1412,4.4740,0.0000,4.0533,1br5
2.7200,46.3809,546.2112,2.3860,5.5507,2.0000,1pfu
2.7500,44.1735,464.1836,2.3235,5.4823,3.7713,1rql
2.8000,49.1010,558.6602,1.6174,5.1201,2.4209,2bza
2.8000,39.6723,953.9161,0.7992,69.8731,0.0000,1l8s
2.8900,54.5711,748.8432,1.0196,41.1716,0.3904,1cet
2.8900,58.1169,727.0511,3.1891,0.0000,5.6486,1iih
2.8900,20.7152,377.0501,1.1675,21.4891,2.8216,1ugp
2.9200,91.1385,1437.4535,12.5866,13.5298,1.6607,1p6e
2.9300,38.2373,536.0856,1.8715,3.7085,2.9716,1tng
2.9400,99.5553,1489.4237,5.5576,26.6795,6.1222,1p6d
3.0000,82.7170,1023.5984,14.1028,0.7759,10.0302,1ecq
3.0000,39.4904,590.0977,1.1371,0.0000,3.0527,1ux7
3.0000,33.9910,425.0982,1.0546,63.0298,0.0000,220l
3.0100,27.4429,535.3923,0.4545,3.6547,1.5000,1utm
3.0500,70.1994,731.6893,6.1646,1.4383,5.6678,1e70
3.0500,74.6457,1044.9404,6.8886,2.4264,10.4068,1f74
3.0500,78.6928,863.8568,7.8438,0.0000,10.2275,1uj5
3.0500,70.8647,785.6653,7.5487,0.0000,10.8934,1uj6
3.1000,83.9321,1018.8129,9.6514,0.0000,10.6347,1ec9
3.1000,88.8965,702.7245,3.3638,0.0000,0.4333,1pu7
3.1300,50.3978,772.9088,3.0302,3.4267,5.1514,1ax0
3.1500,78.7066,921.1265,5.4340,0.0000,7.9690,1e6q
3.1800,179.7703,2322.1064,10.2619,15.0263,16.4183,1ro7
3.2000,44.5700,644.1353,2.6892,0.0000,5.0092,1axz
3.2100,62.0432,639.0702,6.1209,0.0000,6.6603,6tim
3.2200,106.7548,1297.7814,4.9542,12.9078,4.8829,1br6
3.2200,80.9791,866.6216,7.7136,0.0000,9.6786,1e6s
3.2200,86.2813,1186.2274,3.8229,54.8403,3.4889,1evh
3.2200,32.6198,301.4859,5.8153,0.0000,0.5953,1ew9
3.2200,117.8048,2089.1953,6.1144,7.3865,9.8432,1k1y
3.2200,49.8241,634.4219,2.6160,33.8156,4.4967,1tog
3.2300,56.5423,930.5534,3.6219,7.6902,5.8970,1px4
3.2500,61.2744,589.0704,2.5788,3.6641,4.3573,1v2j
3.2600,43.2543,766.7039,1.9322,34.9974,1.7429,5yas
3.2800,59.2411,795.7780,2.5508,0.0000,4.8442,1gzc
3.3100,51.1627,1077.8556,1.5742,37.7311,0.0000,1pzp
3.3700,47.4770,584.5823,1.6508,3.6438,2.9369,1tnh
3.3700,59.2445,586.9912,2.4635,5.5226,4.4590,1v2u
3.3700,63.4567,591.3588,2.4078,3.9644,4.2694,1v2v
3.4000,76.0968,1062.3922,5.2274,8.7890,6.8703,1f8d
3.4000,76.5091,1467.7482,2.0539,54.4975,0.9721,1ikt
3.4000,48.2094,598.7159,13.6990,6.0387,3.0000,1jt1
3.4000,30.6745,467.0640,0.4304,49.9588,0.0000,1l83
3.4000,29.8452,464.4639,0.3558,43.7980,0.0000,223l
3.4200,72.2647,1046.5347,3.3851,8.9705,6.8473,2sim
3.4600,65.0091,1163.8557,6.1273,0.0000,10.1303,1moq
3.4800,75.2890,1790.4664,2.4714,62.3873,3.7939,1osv
3.4900,45.4817,590.1924,1.9801,5.4955,3.1496,1c5o
3.4900,45.9975,543.3562,1.9164,4.5127,3.0976,1utn
3.5200,34.7680,885.5297,0.2219,42.4255,0.4791,1imx
3.5500,78.6042,1057.0381,4.1142,5.3089,6.2191,1v2r
3.5500,66.9801,1022.3224,5.6821,8.8526,7.7162,2qwc
3.5700,86.7437,1055.2244,3.0485,44.2940,0.0000,1h46
3.5900,74.8728,604.6540,3.4485,0.0000,4.1002,1nli
3.6000,31.7843,304.4360,1.7698,0.0000,0.9204,1d7i
3.6000,35.5599,654.4346,4.5980,4.8003,4.0791,3jdw
3.6100,106.9533,1329.9969,6.7075,0.0000,8.5755,1j8v
3.6200,47.0534,716.8582,5.1564,25.9974,3.8295,3pcc
3.6400,75.9127,646.6870,3.4229,45.4498,1.6956,1gyy
3.6600,57.2059,882.8449,9.2120,33.0470,4.4860,3pcn
3.6800,72.3348,732.0588,4.0964,1.0199,2.4191,1c3x
3.6800,124.2678,1708.8405,6.2056,38.7732,9.1538,1qsc
3.7000,50.4562,609.2549,3.7093,1.5578,6.0362,1bcj
3.7000,53.1508,759.1337,2.8034,0.0000,4.7344,1fwu
3.7000,36.3397,493.0737,2.9996,0.0000,4.7434,1pdz
3.7000,80.1406,942.4877,6.5861,41.7886,5.4293,1wht
3.7200,42.8340,770.4806,4.6408,2.4921,3.3035,1fwv
3.7200,43.6569,724.4039,3.9424,3.4601,9.2273,1grp
3.7700,125.1385,1517.3722,4.4921,37.8780,4.8214,1kui
3.8000,125.3481,1501.6978,5.1649,38.6443,5.9351,1kug
3.8000,28.3980,472.0525,1.2751,22.7046,0.5436,1li6
3.8400,65.5412,483.8948,1.7600,8.9573,0.0000,1bky
3.8400,65.1512,602.6994,2.1180,6.5371,3.3366,1j15
3.8400,46.7699,528.7094,1.4687,4.1681,2.6870,1utj
3.8500,72.6231,1062.9761,4.6932,6.7958,8.0211,1n1t
3.8500,71.6689,1035.0200,5.6878,6.4269,8.6822,1n1v
3.8700,85.8938,1242.8827,3.4623,22.1001,1.5796,1aj7
3.8900,69.5100,1142.8566,3.4772,26.1472,6.0311,1mfl
3.9100,129.6752,1524.3777,5.8115,41.4912,5.7292,1kuk
3.9600,110.4920,1410.7770,5.4383,13.0798,6.1897,1mrs
4.0000,37.1158,621.8224,1.2690,40.3615,1.0000,1lgw
4.0000,33.9820,607.4834,1.5012,39.0786,0.8223,1nu3
4.0000,68.9523,609.4852,3.9808,4.4250,2.0000,1tni
4.0000,58.0121,734.7010,4.8244,0.0000,6.2132,1wc1
4.0100,58.8612,551.6726,3.8180,0.0000,0.0000,1b42
4.0100,78.4397,998.1827,3.8373,5.3737,6.2140,1v2w
4.0400,37.7432,541.0239,0.7389,43.2867,0.9288,1li2
4.0500,132.6766,2127.9810,7.3944,52.6299,4.4089,1awi
4.0500,57.4391,654.7269,3.2028,20.8055,2.4461,1tuf
4.0700,66.2228,509.7239,2.3172,0.0000,0.2589,3mag
4.0700,61.1750,488.6017,1.7578,9.3310,0.1389,3mct
4.0700,64.9100,804.2957,4.0544,6.2297,6.4253,1hyo
4.0700,97.7516,1450.5850,10.4884,31.0782,6.6481,1gj4
4.0900,48.0200,507.1369,1.0691,38.5756,0.0000,1ai7
4.0900,21.5567,630.5560,1.1513,7.4736,0.9713,1jn2
4.0900,53.9282,923.9842,2.6338,2.4463,3.8830,1o0n
4.1000,57.8706,747.9852,2.3343,4.7590,4.3987,1c5t
4.1000,94.3949,1393.9415,4.5280,46.3531,7.2264,1rzx
4.1100,73.7385,1064.2209,9.9503,0.0000,8.3958,1p19
4.1300,75.1039,1008.1899,3.9959,7.0730,5.5224,1v2q
4.1400,66.4070,1189.8346,2.2894,0.0000,3.9357,1gny
4.1500,58.0411,656.4709,4.2906,12.2180,2.0000,1m2x
4.1500,112.7609,1396.9806,4.0663,34.4832,4.0167,1q91
4.1700,59.5723,588.9475,2.0298,4.9051,4.0625,1v2s
4.1900,61.1478,887.8455,3.5574,0.0000,2.2743,1hi3
4.2000,71.3965,776.2308,3.1125,4.8616,4.4739,1c5y
4.2000,88.4574,1001.5494,7.9599,21.6949,7.6513,1c87
4.2000,78.5165,1048.3210,6.2330,20.4940,5.7855,1ghw
4.2100,119.9578,1251.7141,7.4147,0.0000,11.3536,1qk4
4.2100,45.9986,669.3819,2.3809,0.0000,4.2917,1ulg
4.2200,71.8489,993.4368,5.9049,3.4033,6.7794,1pzi
4.2500,35.0068,609.1805,0.9027,35.6668,0.9868,1li3
4.2700,52.8267,917.0475,6.9025,2.4470,4.7627,1m5w
4.2900,86.3086,1174.0737,4.4562,32.4156,3.5088,1e2l
4.2900,58.9168,593.1824,1.7053,6.0295,3.1607,1v2l
4.2900,47.4864,606.8981,1.5501,5.3971,3.0139,1v2m
4.3100,66.3463,825.3778,5.3719,0.0000,4.5316,1rgk
4.3100,73.5461,1042.4813,3.0901,16.8930,4.8052,2tpi
4.3200,55.3575,876.7377,3.6516,1.8685,4.2495,4rsk
4.3400,43.5224,1217.6674,2.3996,39.8062,1.0000,1e3v
4.3500,70.1836,1056.2095,4.1103,12.7101,6.2599,1ghv
4.3500,107.8263,1324.1505,8.4789,0.0000,6.2063,1uio
4.3500,104.3801,1525.3203,4.7421,18.5320,6.9675,1ur8
4.3600,104.4489,1178.8447,2.9854,57.6917,4.2868,1dy4
4.3800,109.1141,1402.3947,3.9568,42.0529,5.8834,1bhf
4.4000,83.1048,1016.2027,5.2945,11.7992,5.2879,1p57
4.4000,102.1286,1878.6342,3.4714,36.4380,4.7622,7kme
4.4100,49.2466,954.5972,1.5033,29.0866,0.3711,2csn
4.4800,117.2229,1681.3936,4.5099,3.9929,5.5470,1qan
4.4900,64.2265,642.6912,2.4837,5.8270,4.1221,1j14
4.5100,98.2216,1335.8617,5.9138,25.1021,5.0577,1e2n
4.5100,85.3140,973.3763,2.4590,8.0751,3.3700,1gi7
4.5200,88.4950,1302.8682,4.1460,7.5808,5.7721,1ctt
4.5200,168.7173,2577.8977,6.7282,20.4466,7.9278,1mrn
4.5200,48.8170,713.8535,2.9013,4.7577,5.3068,1w0o
4.5200,44.0626,711.6408,2.9658,4.5882,4.4356,1w0p
4.5200,73.3786,1197.7732,4.6636,22.8357,7.8795,2mas
4.5400,131.9947,1767.8455,6.2234,24.3287,11.6643,1b2h
4.5400,50.5369,607.4776,5.1877,0.0000,4.5269,1lyx
4.5700,83.8052,1026.4763,3.2155,22.5067,3.1516,1e2p
4.5900,76.2369,917.8637,3.0224,30.8295,0.0000,1fj4
4.6000,82.6415,887.9659,7.3825,19.9094,7.9869,1pa9
4.6000,30.6112,513.5758,0.2980,3.8150,0.6582,1upf
4.6200,56.1372,671.9606,4.5800,0.0000,7.9949,1joc
4.6200,43.8580,512.1746,2.5805,9.2711,4.8582,1ofz
4.6600,103.9525,1142.3690,7.1395,81.5764,6.4366,1bzj
4.6600,63.6730,613.7402,1.9154,4.1360,4.1186,1h4w
4.6600,54.8049,730.4629,5.5870,0.0000,7.2734,1m1b
4.6700,100.0348,1309.0669,7.6416,18.4657,9.2936,1f3f
4.6800,58.4801,628.7899,2.2789,3.6357,3.9924,1c5p
4.7000,93.1405,1002.9290,7.7819,21.1742,8.1475,1c86
4.7000,151.1515,2265.9053,8.6629,21.7021,13.1879,1jkx
4.7000,54.0144,429.2125,5.8371,20.2519,5.2237,3kiv
4.7100,72.7669,1026.5173,3.4433,4.9283,6.1940,1v2t
4.7300,88.3311,1266.4672,4.5419,31.2586,5.0972,1v2p
4.7400,63.1415,627.0547,2.5008,4.0326,4.5441,1ce5
4.7700,81.5040,976.0495,5.4860,9.4532,6.6492,1gi1
4.7700,86.9192,1760.6499,2.5707,34.3566,4.3059,1str
4.7900,112.7583,2000.6732,5.3155,64.5159,7.4123,1eed
4.7900,53.9086,615.6192,2.1266,5.6997,3.0577,1oss
4.8000,70.8497,936.4701,2.0682,6.1975,4.8867,1ghz
4.8200,46.0274,1230.5143,0.6026,46.5698,0.0000,1aid
4.8200,83.0640,1053.2842,2.4713,10.4730,4.5082,1dud
4.8200,73.5265,1054.5255,6.2850,8.5723,8.5321,1f8e
4.8200,62.2304,776.5155,5.8944,1.8510,9.7654,1xff
4.8200,48.8384,582.6356,4.9319,0.0000,3.8172,2ypi
4.8500,103.5130,1029.3821,6.1268,39.5538,6.2947,1c83
4.8500,98.4886,928.1633,5.8304,38.7419,6.4445,1ecv
4.8500,120.2367,1811.9536,7.0964,35.6754,5.9451,1n51
4.8500,107.5622,1298.2426,7.9559,15.4197,7.7599,1o2p
4.8500,100.4180,2085.6677,5.7803,51.7876,3.6554,1qji
4.9200,125.1743,1303.6605,7.3052,81.4666,8.1338,1bzc
4.9200,63.5193,1099.5172,1.6715,14.8896,2.7667,1h1p
4.9200,97.0833,1309.3518,6.2238,5.8396,6.4640,1jqy
4.9400,84.9497,1232.7487,3.6702,36.4549,2.0179,1e2k
4.9400,70.1342,920.0179,5.6121,14.0397,4.2613,4ts1
4.9500,129.0074,1787.4427,5.6751,4.1130,6.6155,1jn4
4.9600,46.3083,439.7068,3.4013,30.8596,3.0836,1cea
4.9600,110.0320,1359.1783,6.2397,28.2785,10.4403,1elr
4.9600,104.3080,1382.0564,8.3483,33.4486,5.7430,1gj5
4.9600,92.1308,1513.7340,2.9615,13.1331,6.3134,1uz8
5.0000,88.5027,1669.2740,10.2461,0.0000,15.4516,1byk
5.0000,95.3964,1059.0657,5.7658,58.3870,4.6337,1c84
5.0000,115.7755,1567.8578,7.8850,37.4872,7.1519,1f8a
5.0000,51.6310,1148.6561,0.9505,13.6330,1.2183,1hlk
5.0000,59.7828,1168.1609,3.1962,11.4322,2.1668,1kr3
5.0000,117.8861,1339.4894,6.4892,0.0000,9.5592,1nc3
5.0000,89.7448,976.7695,5.4633,9.7835,6.3819,1o35
5.0000,88.7246,1408.5873,4.2059,46.6756,3.6868,1oai
5.0000,73.3459,961.3380,2.4797,16.3693,3.1842,1sbr
5.0000,74.2559,1716.7825,1.9138,33.6512,3.6257,1sts
5.0100,167.6981,2547.6345,8.5041,7.4070,14.8062,1ppi
5.0200,77.6635,1157.8529,3.6922,32.9131,5.6599,1u9l
5.0300,133.1663,1570.3698,20.1356,31.3652,6.6354,1i1e
5.0400,65.5881,1189.9250,2.2152,20.7751,3.7432,1mfa
5.0500,90.5458,1203.2513,3.9763,0.0000,3.3361,1fkw
5.0500,79.8101,1001.1874,4.9999,9.1000,4.7957,1gi8
5.0500,139.3402,1715.7560,5.3942,43.5708,8.1186,1qxk
5.0900,101.5521,1232.8877,4.2754,68.9467,3.9254,1m48
5.0900,92.9912,1313.9539,4.8401,1.3598,6.8661,1nw7
5.1000,107.1683,1533.5396,2.7839,0.0000,4.0593,1ez9
5.1000,74.7676,724.4901,7.6231,0.0000,11.5029,1m6p
5.1000,57.9122,689.1844,3.1154,0.0000,2.6092,1o0o
5.1000,79.0524,969.7739,5.0770,0.0000,7.3606,1v0k
5.1000,81.9548,971.2396,4.8344,0.0000,8.0685,1v0m
5.1000,80.7270,1241.1542,6.1809,39.2623,6.4253,1onz
5.1100,69.1431,1026.2058,2.0460,22.1072,2.3909,1k4h
5.1200,70.3014,1182.2601,4.2235,19.5303,6.4459,1qaw
5.1200,46.5521,668.4944,1.9800,0.0000,0.0714,1uv6
5.1300,99.7489,1041.2361,6.5675,48.9912,4.9965,1gcz
5.1500,93.0513,1448.3585,8.1469,0.0000,10.9140,1jcx
5.1500,69.6202,999.6956,4.3729,2.3126,4.4330,1o0m
5.1500,65.7048,500.6424,5.6464,0.0000,9.0900,1pb8
5.1500,108.9348,1157.9237,6.3960,0.0000,10.0428,1qk3
5.1500,79.0846,851.3711,3.1128,28.9042,4.3387,1s38
5.1500,100.7488,1166.5563,3.7737,37.7346,2.1440,1thz
5.1900,90.3387,1119.8431,6.9156,3.1896,12.0019,1ocq
5.2000,55.6798,616.4388,2.0313,3.9613,1.8051,1kll
5.2100,125.7686,1555.2771,7.6521,1.2047,9.1243,1nw5
5.2100,104.7102,1439.5297,5.4355,17.1236,6.6684,1o2r
5.2200,107.1882,1809.7456,5.0057,0.0000,7.6584,16pk
5.2200,55.4879,1034.2791,4.6312,0.0349,6.0132,1bq4
5.2200,106.5158,1184.8143,5.3040,10.9151,6.1021,1gjd
5.2200,29.3742,559.1517,2.6283,0.0000,3.4561,1h1h
5.2200,80.5687,1012.2085,5.3827,7.9056,4.7843,1gi9
5.2300,131.6663,1755.3156,7.1473,21.4281,11.6181,1b4z
5.2400,62.2156,1194.5520,2.4410,26.8112,2.2845,1q8w
5.2700,68.0627,1654.8716,6.7979,96.0245,1.8689,1qca
5.2800,72.1008,941.1027,3.8825,0.7329,5.8694,1f5l
5.2800,122.6009,1687.3578,6.2948,26.3982,10.5252,1b46
5.2900,104.9305,1025.7034,7.8897,24.1235,8.1445,1c88
5.3000,75.1399,983.8304,3.7324,0.0102,8.0862,1h6h
5.3000,131.5731,2181.9045,3.0241,84.0051,1.3917,1hn4
5.3000,92.0459,1199.2236,5.9913,7.9859,6.3565,1o3c
5.3000,87.2807,1047.9030,4.5434,0.0000,5.0970,1pr1
5.3000,120.6959,1267.8146,10.8020,68.7905,5.4222,1srg
5.3000,68.3980,1464.4343,3.0805,33.6101,1.0758,1xbb
5.3100,69.7724,1268.4456,1.9691,20.2134,2.9543,1mfd
5.3200,78.1050,740.1810,5.0494,0.0000,9.1568,1oim
5.3400,151.0440,2636.7278,7.3072,66.7829,6.6801,1aqc
5.3600,47.2798,1216.8911,1.0702,49.8354,2.1230,1adl
5.3700,122.0402,2264.0125,4.5533,79.3475,4.6776,1sgu
5.3800,69.6804,926.8552,4.5118,4.8030,7.1920,1g3e
5.3900,99.1335,1430.8245,3.6095,50.8890,2.0194,1qbv
5.4000,72.4602,1066.6489,5.5526,9.1883,6.6201,1f8b
5.4000,94.7486,2273.4065,5.3098,12.2075,5.8443,1m7i
5.4000,98.9587,1310.7651,4.4438,23.6337,5.7067,1mmr
5.4000,62.9852,599.0287,2.5484,0.0000,2.2326,1r9l
5.4200,54.4028,824.1591,4.9071,4.8234,8.1111,1abf
5.4200,91.6992,1079.9938,3.7801,7.5333,6.3140,1gja
5.4200,55.8250,1142.5569,0.6870,60.3931,1.3398,1h9z
5.4200,15.1240,369.6339,0.0422,14.5218,0.0618,1p28
5.4400,56.1803,898.0203,4.6453,0.0000,9.0868,1h0a
5.4600,125.3669,1676.4612,7.8125,19.9102,11.1766,1b4h
5.4600,96.9006,1068.1658,4.4157,18.0417,5.1518,1q65
5.4700,109.1444,1386.1182,5.8413,41.8022,9.2424,1g7f
5.4700,78.9752,981.7258,4.9528,8.0659,7.0504,1o2s
5.4800,21.7612,664.3402,1.1204,36.1614,0.0000,1g85
5.4900,90.1616,775.3597,4.1874,38.3879,4.9803,1pot
5.4900,144.6831,1718.9094,6.2020,39.8890,10.1248,1pyn
5.5200,59.5283,553.1167,9.3112,0.0000,9.1314,1kc7
5.5200,107.5442,1252.4872,4.0188,104.2302,0.0000,1lox
5.5200,83.0910,810.9208,5.9547,1.6583,7.3842,1oe7
5.5200,80.1109,839.6493,5.5576,1.4956,7.8732,1oe8
5.5200,68.1920,1267.4457,2.9600,34.6633,1.2868,1ydr
5.5200,77.6180,971.4421,3.3191,15.1711,5.0285,2cht
5.5400,146.2087,1856.7461,7.0617,33.4362,12.6641,2olb
5.5400,73.6309,1724.3279,2.0025,31.0679,3.0926,1vwf
5.5500,67.4088,886.1483,4.0519,5.6853,7.8004,1g3d
5.5500,84.6061,1107.2186,6.6729,0.8290,9.8682,1njc
5.5900,72.4951,939.2668,3.3912,5.3309,5.5034,1f4x
5.5900,82.7012,886.2712,4.4739,51.7968,1.9984,1mfi
5.6000,102.1279,1472.5288,6.9577,25.9256,10.6569,1o9d
5.6200,100.5518,1371.1223,5.3601,7.2936,7.3331,1ejn
5.6300,72.1901,1579.5708,1.8411,28.2514,1.8794,1vwl
5.6400,33.9362,370.0777,3.3448,0.0000,3.9067,1f57
5.6600,57.9095,1065.5424,1.6874,47.9461,1.0000,1n5r
5.6700,84.7203,1251.1971,4.7241,15.1577,7.7010,2qwf
5.6800,70.3222,1259.7664,2.1782,75.6826,1.0000,1ow4
5.6800,61.5522,906.4333,1.4369,21.5494,2.4283,1oxn
5.7000,54.5830,456.2386,2.5660,27.1777,3.0362,1a99
5.7000,60.1096,672.7029,5.8830,0.0000,8.1472,1egh
5.7000,70.0470,995.3618,8.3108,0.0000,9.6065,1g98
5.7000,192.7961,2377.9160,12.4742,5.3198,15.5027,1g9r
5.7000,53.0405,745.6574,4.3403,25.2819,4.7060,1n1m
5.7000,59.7232,968.5998,5.0633,0.0000,7.6879,1pgp
5.7000,81.2850,1405.3982,2.8531,0.7313,2.5454,2adm
5.7200,61.0717,1044.3925,2.4302,33.1100,3.6972,1obx
5.7400,71.2226,896.4477,5.0807,3.1261,8.6854,1g3b
5.7400,73.7970,919.3910,1.9221,3.8140,3.8850,1o32
5.7400,79.2216,978.9712,4.1797,3.7136,6.9049,1o33
5.7400,81.7934,998.9185,4.7281,4.8134,6.8985,1o34
5.7400,37.5513,743.6102,0.8505,19.9637,1.0000,1qy2
5.7400,62.6915,1111.9084,2.4245,49.0524,0.4544,1t7f
5.7600,89.4312,927.7441,6.0105,0.0000,10.2825,1p1o
5.7700,65.1766,1118.8231,4.9523,0.0000,8.9535,1djx
5.7700,118.1158,1269.5886,7.2149,40.0815,4.9194,1q66
5.7700,135.2206,2043.5698,6.0085,42.8259,7.8882,1ur9
5.7900,48.9892,1146.6027,1.4933,59.6689,2.6348,1hmt
5.8000,103.2002,1548.6613,5.6079,77.6639,1.2930,1kpm
5.8100,110.9948,1376.1744,5.4074,25.3888,9.6267,1lkl
5.8200,131.9936,1628.0825,6.5491,36.5276,7.4662,11gs
5.8200,55.6978,797.7426,3.8096,4.1445,6.6381,1apb
5.8200,99.9184,1154.8298,6.1704,82.5750,6.3391,1kav
5.8200,108.1271,1478.7252,4.4164,37.5218,4.6189,1lqe
5.8200,75.1895,1125.6841,3.3830,0.0000,5.9426,1urg
5.8200,112.9636,1885.0723,6.5816,66.1579,3.1058,1vwn
5.8500,104.3386,1053.3116,6.5126,10.6389,7.0611,1o2x
5.8500,95.8492,987.7705,4.8083,9.9864,4.7448,1o2u
5.8500,95.3263,1047.6521,7.6932,10.0432,6.7266,1o2v
5.8500,100.4171,1043.3973,6.7523,9.9115,7.1343,1o2w
5.8500,100.2933,1060.4476,6.3125,9.8997,7.0638,1o2y
5.8500,84.1196,1204.8759,4.7710,8.7839,6.1640,1q63
5.8500,83.3035,1063.5302,9.1073,8.7950,7.0036,1q54
5.8500,105.0587,1327.8196,3.0313,19.8239,4.8129,1qbn
5.8500,77.9228,883.4811,4.0661,19.1347,6.6870,1u1w
5.8900,59.4883,1140.3116,4.2321,11.5249,4.1764,1e1x
5.8900,93.6938,1513.2349,4.6215,42.3864,4.0383,1ett
5.8900,107.0382,1418.9600,6.4785,14.8660,10.7720,1b3l
5.8900,52.9108,768.0136,4.6334,15.7280,5.0838,2tmn
5.9000,93.5970,1199.9006,6.4582,0.0000,6.6478,1rzy
5.9000,103.3254,1354.2894,3.1021,42.9733,4.0637,1v2n
5.9100,68.8335,925.0561,3.4067,0.0304,6.6823,1ugx
5.9200,99.0798,1833.4337,5.0998,44.2083,6.1157,1a4w
5.9200,79.9603,1314.4884,1.8405,32.2427,1.7842,1aj6
5.9200,98.9238,1236.0973,4.4469,28.5508,3.6485,1jao
5.9200,147.1949,1535.3326,6.2878,12.8783,7.1825,1kyv
5.9200,103.4194,1378.1451,6.7173,34.3935,2.1354,1ndv
5.9200,91.2718,1274.6487,3.2196,15.4434,5.6524,1pph
5.9200,78.1013,1295.9983,4.2563,49.2558,2.9479,1qf2
5.9200,160.9329,1976.8414,8.0841,27.7875,14.7117,1qka
5.9200,79.5334,1177.2955,2.1420,34.3689,2.2387,1yds
5.9200,38.9594,1175.4971,0.8691,37.6751,0.0368,2ans
5.9300,85.3166,1399.7487,4.1652,21.8917,2.8629,1fv0
5.9600,120.3412,1842.7781,9.0075,47.9922,2.8098,1d6w
5.9600,103.6075,1546.2588,6.3904,49.2683,8.7713,1nl9
5.9600,120.8761,1399.9818,8.9538,14.9485,6.5310,1o36
5.9600,68.1155,1330.7119,2.4742,44.0656,0.8433,1q8u
5.9800,90.5692,911.2297,7.9353,0.0000,9.5862,1uwu
6.0000,83.0549,1184.0800,5.3453,29.5745,8.2710,1a1e
6.0000,52.2936,541.9473,2.1916,0.0000,3.2647,1ado
6.0000,69.4854,730.5157,3.0129,6.9239,4.6987,1c5s
6.0000,51.1939,555.5002,4.4902,34.8042,4.7346,1ceb
6.0000,107.9614,1302.7489,5.0770,17.2352,5.9365,1f0t
6.0000,42.9361,1077.8595,0.4932,75.5130,0.0000,1hn2
6.0000,156.3606,1981.8383,19.8855,60.7938,3.6644,1jq8
6.0000,20.5591,195.6072,1.7806,0.0000,1.8219,1ssq
6.0000,76.1105,1104.8311,2.7629,27.2303,4.6706,2izl
6.0100,121.1930,1603.1586,7.1796,15.4202,10.5451,1b5h
6.0200,89.6841,1439.5042,3.1830,47.3413,2.5227,1tcw
6.0300,61.6011,953.6338,4.8223,39.9451,1.8615,1okl
6.0300,98.7018,1659.1204,4.8963,62.9997,4.1177,1os0
6.0300,111.2844,2255.5681,5.9869,56.2174,4.3879,1sh9
6.0300,82.5161,1584.1951,4.1349,35.2643,4.3785,1t7d
6.0400,80.6861,1351.9098,2.6808,60.0668,3.2854,1t79
