PDB,pbindaff,p
2gvv,3.9,5.65
2a5b,3.93,5.63
2cbz,3.93,5.56
1v1m,3.94,6.77
1z3t,3.94,5.74
1mrs,3.96,6.28
1x9d,3.96,5.78
2fpz,3.96,5.09
1v11,3.98,6.75
1lgw,4,5.5
1nu3,4,5.43
1tni,4,5.03
1wc1,4,6.11
1c5z,4.01,5.04
1v2w,4.01,5.55
1hi5,4.04,5.38
1li2,4.04,5.48
1awi,4.05,7.75
1r4w,4.05,5.79
1tuf,4.05,5.29
1gj4,4.07,6.28
1hyo,4.07,5.25
1y2g,4.08,5.93
1ai7,4.09,5.42
1jn2,4.09,4.92
1o0n,4.09,5.32
1c5t,4.1,5.19
1odj,4.1,5.92
1rzx,4.1,6.69
1p19,4.11,5.24
1z3v,4.11,5.8
1v2q,4.13,5.56
1gny,4.14,5.69
1m2x,4.15,5.11
1q91,4.15,6.66
2toh,4.15,5.32
1v2s,4.17,5.04
1hi3,4.19,5.25
1c5y,4.2,5.28
1c87,4.2,5.68
1ghw,4.2,5.73
1ulg,4.21,4.95
1pzi,4.22,5.38
1t5f,4.22,5.1
1ua4,4.22,6.14
1li3,4.25,5.42
1m5w,4.27,5.12
1e2l,4.29,6.15
1v2l,4.29,5.07
1z95,4.3,7.52
1rgk,4.31,5.13
2tpi,4.31,5.78
4rsk,4.32,5.22
1olx,4.33,6.84
1e3v,4.34,6.17
1z6s,4.34,5.44
1ghv,4.35,5.67
1yfz,4.35,5.21
1dy4,4.36,6.75
1we2,4.36,4.86
2ez7,4.36,4.57
1bhf,4.38,6.76
2avq,4.39,8.78
1no6,4.41,6.29
2csn,4.41,5.78
1rgl,4.43,5.19
2amt,4.44,6.99
1wvc,4.46,5.8
1qan,4.48,6.54
1j14,4.49,5.09
1o7o,4.49,6.34
1gi7,4.51,5.67
1ctt,4.52,5.99
1gu1,4.52,5.36
1mrn,4.52,8.05
1z4n,4.52,5.72
1z4o,4.52,5.68
2a4m,4.52,5.2
1amw,4.54,5.8
1b2h,4.54,6.96
1lyx,4.54,4.79
1oko,4.54,4.86
1szd,4.54,6.77
1utc,4.55,8.01
1w2g,4.57,5.96
1fj4,4.59,5.87
1pa9,4.6,5.51
1tx7,4.6,5.2
1upf,4.6,4.83
2bo4,4.61,4.86
1joc,4.62,4.92
1ofz,4.62,4.89
2a5c,4.62,5.6
2f6t,4.62,6.57
1bzj,4.66,6.87
1h4w,4.66,5.05
1m1b,4.66,4.93
2ca8,4.66,5.16
1c5p,4.68,5.01
1xge,4.68,4.99
1c5n,4.7,5.15
1c86,4.7,5.71
2cex,4.7,5.61
2dw7,4.7,4.81
3kiv,4.7,4.87
1v2t,4.71,5.56
1ce5,4.74,5.03
1w4p,4.74,5.31
1str,4.77,6.98
2afw,4.77,5.08
2b4l,4.77,5.07
2dua,4.77,4.47
1oss,4.79,5.04
1ghz,4.8,5.53
1aid,4.82,6.38
1dud,4.82,5.79
1v1j,4.82,5.47
1xff,4.82,5.05
1y3p,4.82,7.48
2gl0,4.82,5.64
2gzl,4.82,8.16
2ypi,4.82,4.76
1c83,4.85,6.16
1ecv,4.85,6.01
1n51,4.85,7.07
1qji,4.85,7.56
1vkj,4.85,6.29
1xgi,4.85,5.62
2aoc,4.89,8.82
1bzc,4.92,7.18
1h1p,4.92,5.82
1jqy,4.92,5.93
1y2f,4.92,5.84
1e2k,4.94,6.32
4ts1,4.94,5.46
1jn4,4.95,6.68
1cea,4.96,5.11
1elr,4.96,6.4
1uz8,4.96,6.39
1byk,5,6.02
1c84,5,6.44
1f8a,5,6.75
1hlk,5,5.81
1nc3,5,6
1oai,5,6.7
1sts,5,6.93
1yid,5,5.74
1ppi,5.01,7.72
1mfa,5.04,6
1fkw,5.05,5.78
1gi8,5.05,5.57
1qxk,5.05,7.27
2c3l,5.07,5.84
1m48,5.09,6.9
1nw7,5.09,5.91
1ez9,5.1,6.32
1kmy,5.1,5.78
1m6p,5.1,4.96
1o0o,5.1,5.02
1od8,5.1,5.51
1onz,5.1,6.25
1v0k,5.1,5.39
1w7g,5.1,6.78
2h5a,5.1,5.19
1k4h,5.11,5.86
2h6q,5.11,7.33
1qaw,5.12,5.91
1uv6,5.12,4.98
1gcz,5.13,6.27
2br1,5.14,6.67
1jcx,5.15,5.89
1o0m,5.15,5.43
1pb8,5.15,4.73
1s38,5.15,5.77
1thz,5.15,6.38
2afx,5.15,5.36
2f5t,5.17,6.25
1ocq,5.19,5.59
1ogg,5.19,7.06
1kll,5.2,5.03
1nw5,5.21,6.26
1bq4,5.22,5.33
1gi9,5.22,5.55
1gjd,5.22,5.96
1h1h,5.22,4.71
1ucn,5.22,5.76
1w4o,5.22,5.33
2hxm,5.22,6.08
1b4z,5.23,6.85
1q8w,5.24,6.06
2bfr,5.25,6.23
1w4q,5.26,5.4
1qca,5.27,7.47
1b46,5.28,6.83
1f5l,5.28,5.34
1c88,5.29,5.85
1h6h,5.3,5.44
1o0f,5.3,5.47
1pr1,5.3,5.56
1srg,5.3,6.77
1vyq,5.3,6.76
1xbb,5.3,6.49
1mfd,5.31,6.12
1y20,5.32,5.03
2c80,5.33,6.14
1zgi,5.34,7.06
2fxv,5.35,6.03
1adl,5.36,6.4
1w6y,5.36,6.08
1sgu,5.37,8.37
1g3e,5.38,5.38
1qbv,5.39,6.88
2h6b,5.39,5.59
1bp0,5.4,5.41
1m7i,5.4,7.16
1mmr,5.4,6.29
1r9l,5.4,4.98
2c1p,5.4,6.77
2f35,5.4,5.67
2i80,5.4,6.5
2j47,5.41,6.34
1abf,5.42,5.14
1gja,5.42,5.77
1h9z,5.42,6.54
1p28,5.42,4.74
1h0a,5.44,5.18
1syi,5.44,5.96
2iko,5.45,6.81
1b4h,5.46,6.67
1q65,5.46,5.92
1g7f,5.47,6.65
1gi1,5.47,5.53
1o2s,5.47,5.53
2hf8,5.47,6.77
1g85,5.48,5.39
2cbv,5.48,5.21
1pot,5.49,5.85
1pyn,5.49,7.21
1tys,5.49,5.89
2h4k,5.49,5.94
1a8i,5.52,5.57
1kc7,5.52,4.59
1lox,5.52,7.51
1oe8,5.52,5.24
1ydr,5.52,6.28
2cht,5.52,5.69
2olb,5.54,7.25
1g3d,5.55,5.35
1njc,5.55,5.52
1y3n,5.55,6.03
2iuz,5.55,6.27
1jak,5.57,5.79
1njd,5.57,5.59
1f4x,5.59,5.47
1mfi,5.59,6.12
1o9d,5.6,6.42
1ejn,5.62,6.08
2bmk,5.62,5.73
1vwl,5.63,6.64
1f57,5.64,4.49
1lrt,5.64,6.04
1z9g,5.64,5.83
1n5r,5.66,6.24
2aod,5.66,8.86
2bsu,5.66,9.71
2erz,5.66,6.4
2qwf,5.67,5.99
1gnn,5.68,7.04
1ow4,5.68,6.93
2c92,5.68,6.84
2cbu,5.68,5.44
1a99,5.7,5.16
1egh,5.7,4.89
1g98,5.7,5.21
1g9r,5.7,7.48
1n1m,5.7,5.38
1pgp,5.7,5.26
2adm,5.7,6.02
2avm,5.7,8.78
2f2h,5.7,6.56
1obx,5.72,5.98
1g3b,5.74,5.3
1o33,5.74,5.5
1qy2,5.74,5.36
1zdp,5.74,5.8
1p1o,5.76,5.36
1jmf,5.77,5.45
1q66,5.77,6.49
1ur9,5.77,7.58
1vjj,5.77,5.46
2boj,5.77,4.7
1hmt,5.79,6.45
1g3c,5.8,5.42
1kpm,5.8,7.35
1rle,5.8,5.53
1sgx,5.8,5.23
1lkl,5.81,6.42
11gs,5.82,6.96
1apb,5.82,5.16
1kav,5.82,6.92
1urg,5.82,5.62
1vwn,5.82,7.58
1o2w,5.85,5.68
1o2x,5.85,5.74
1q54,5.85,5.47
1q63,5.85,5.84
1qbn,5.85,6.36
1u1w,5.85,5.61
1b3l,5.89,6.24
1e1x,5.89,5.67
1ydk,5.89,5.79
2tmn,5.89,5.25
1v2n,5.9,6.72
1ugx,5.91,5.35
1a4w,5.92,7.17
1aj6,5.92,6.42
1jao,5.92,6.28
1kyv,5.92,6.55
1ndv,5.92,6.46
1pph,5.92,6.13
1qf2,5.92,6.53
1qka,5.92,7.35
1yds,5.92,6.28
2ans,5.92,6.13
1fv0,5.93,6.3
1d6w,5.96,7.2
1nl9,5.96,6.89
1o36,5.96,6.2
1q8u,5.96,6.52
2j79,5.96,5.26
1uwu,5.98,5.26
1a1e,6,6.09
1ado,6,4.86
1c5s,6,5.25
1ceb,6,5.28
1d2e,6,6.05
1f0t,6,6.17
1gt1,6,6.65
1hn2,6,6.62
1jq8,6,7.29
1ssq,6,4.64
1xk5,6,6.15
2bvd,6,5.62
2izl,6,6.04
1b5h,6.01,6.52
1tcw,6.02,6.79
1n8v,6.03,6.12
1okl,6.03,5.87
1os0,6.03,7.26
1sh9,6.03,7.88
1t7d,6.03,6.69
1xbo,6.04,7.17
3pcf,6.05,5.36
1jmi,6.06,5.6
1kjr,6.06,5.84
1qb6,6.06,6.31
1jmg,6.07,5.44
1mmp,6.07,6.28
2gst,6.07,7
1sri,6.08,6.81
1o2n,6.09,6.25
1ogx,6.09,6.21
1dzk,6.1,5.31
1lgt,6.1,5.97
1meu,6.1,8.39
2ewb,6.1,5.5
1g32,6.11,7.23
1m2p,6.11,6.59
1o2z,6.11,6.16
1o2g,6.12,6.44
1x8r,6.12,6.27
2fgv,6.12,8.7
2c97,6.14,5.73
2fqt,6.14,5.53
1tsl,6.15,6.02
1ppc,6.16,6.76
1d6v,6.17,7.87
1sle,6.17,6.47
1yc1,6.17,6.81
1xhy,6.18,5.77
2c3j,6.18,5.99
1iy7,6.19,5.75
1tq4,6.19,5.93
1v2k,6.19,7.2
2bt9,6.19,5.12
1owe,6.2,5.75
1sqt,6.2,5.97
2aj8,6.2,6.52
1b3h,6.21,7.4
1gi6,6.22,5.61
1m7d,6.23,6.49
1hnn,6.24,6.12
1gnm,6.25,7.04
1zky,6.25,6.49
1wcq,6.26,5.7
1afl,6.28,5.46
1atl,6.28,5.92
1w3l,6.28,6.02
2aog,6.28,8.67
1d4p,6.3,6.88
1lag,6.3,5.25
1wdn,6.3,5.27
1wm1,6.3,5.62
2bal,6.31,6.57
1w3j,6.32,5
1ex8,6.33,7.38
1bdq,6.34,8.09
1i00,6.34,6.13
1xq0,6.34,5.92
1cbx,6.35,5.81
1gjb,6.35,6.03
1gjc,6.35,6.04
2j7f,6.35,5.57
1c5q,6.36,5.28
1o2o,6.36,6.03
6abp,6.36,4.95
1hbv,6.37,7.77
1hms,6.37,6.38
5tln,6.37,6.15
1a1c,6.4,6.12
1g7v,6.4,5.45
1i7z,6.4,6.84
1igb,6.4,5.81
1yvm,6.4,5.52
1i80,6.41,5.15
1w0y,6.42,6.78
2b07,6.43,6.6
2fqo,6.43,5.59
2ivu,6.43,7.15
1jqe,6.44,7.57
1m2r,6.46,6.69
1r5y,6.46,5.6
1ro6,6.46,6.48
7abp,6.46,5.15
1j01,6.47,5.47
1gpn,6.48,6.61
1rpj,6.48,5.21
1dl7,6.49,5.56
1alw,6.52,5.28
1ct8,6.52,7.38
1qy1,6.52,5.54
1w1d,6.52,5.06
1zhy,6.52,7.51
2h4g,6.52,5.94
4fiv,6.52,9.22
1dhj,6.55,6.63
1hmr,6.55,6.34
1n4h,6.55,6.89
1umw,6.55,6.59
1yc4,6.55,6.27
1yda,6.55,5.14
1sld,6.57,7.36
2fqy,6.57,5.98
5er2,6.57,9.05
1k1i,6.58,6.13
1b58,6.59,7.54
1fiv,6.59,9.54
1izi,6.59,8.48
1b38,6.6,6.39
1g7g,6.6,7.05
1jzs,6.6,6.71
1vot,6.6,6.55
2euk,6.6,10.11
2f7p,6.6,5.47
1afk,6.62,5.7
1ii5,6.62,5.1
1jd5,6.62,6.92
2j7b,6.62,5.32
4er1,6.62,9.26
1sln,6.64,7.29
5abp,6.64,5.21
2j75,6.65,5.15
1a4r,6.66,5.98
1cps,6.66,5.64
1elc,6.66,6.95
1pxp,6.66,6.56
1c5x,6.68,5.36
1mai,6.68,5.09
2fqw,6.68,5.87
1b0h,6.7,8.17
1b3g,6.7,6.97
1dfo,6.7,7.23
1eld,6.7,6.59
1f3e,6.7,5.54
1hp0,6.7,6.06
1koj,6.7,5.42
1qy5,6.7,5.67
1rdt,6.7,8.09
1rek,6.7,8.51
2eum,6.7,7.28
2evl,6.7,8.92
3pck,6.7,5.4
1rbp,6.72,7.17
3gst,6.72,7.12
1wvj,6.73,6.14
1add,6.74,5.97
1bzh,6.77,6.87
1o30,6.77,6.26
1o3j,6.77,5.68
1o3k,6.77,5.78
1ony,6.77,7
1qb1,6.77,6.34
1fl3,6.8,7.76
1nq7,6.8,7.33
1p1n,6.8,5.73
1drk,6.82,5.07
1fhd,6.82,5.65
1jeu,6.82,6.92
1k1n,6.82,6.34
1lrh,6.82,6.17
1o38,6.82,6.1
1uwf,6.82,5.43
2c94,6.82,6.88
1bhx,6.84,6.91
1bap,6.85,4.96
1ele,6.85,6.49
1g30,6.85,7.4
1lkk,6.85,6.71
1os5,6.85,7.14
1tvo,6.85,6.7
1xk9,6.85,6.4
1xt8,6.85,4.73
3aid,6.86,7.48
1cgl,6.87,6.93
1xka,6.88,6.99
1b3f,6.89,6.99
1jev,6.89,7.83
1sb1,6.89,7.28
1uz1,6.89,5.15
2bfq,6.89,7.12
2dri,6.89,5.08
2f34,6.89,5.72
1k1l,6.9,6.4
1a9m,6.92,7.63
1m9n,6.92,6.12
1o2j,6.92,5.83
1o2k,6.92,5.86
1pkx,6.92,6.22
1swr,6.92,5.99
1tcx,6.95,8.07
1c5c,6.96,6.44
1ent,6.96,7.62
1gj8,6.96,5.95
1gvw,6.96,7.72
1oyq,6.96,6.8
1x8j,6.96,6.34
1ch8,7,6.62
1fpc,7,6.99
1gj6,7,6.29
1zoh,7,5.99
2gyi,7,4.99
2j7g,7,5.73
1b1h,7.03,7.69
1b5i,7.05,6.83
2bq7,7.05,6.87
2jxr,7.05,7.82
1ui0,7.06,4.95
1ydd,7.07,5.04
1xpz,7.08,5.81
1lpg,7.09,7.6
1b32,7.1,6.87
2il2,7.1,8.43
1b05,7.12,6.51
1b52,7.12,6.64
1nz7,7.12,7.42
1xd0,7.12,7.49
1o3d,7.13,6.07
2j7d,7.13,5.72
1fch,7.15,7.17
1pxn,7.15,6.48
1zog,7.15,5.89
2fqx,7.15,5.96
1f0u,7.16,6.92
1g36,7.17,6.63
1o2h,7.17,6.14
1gi4,7.19,5.61
1me7,7.19,5.82
1me8,7.19,5.71
2j7h,7.19,5.01
1gvx,7.22,8.74
1sw2,7.22,5.02
2er6,7.22,8.87
1g2l,7.24,7.86
1oyt,7.24,7
1jet,7.25,6.59
2ces,7.25,5.36
1mrx,7.26,8.05
2f8i,7.26,5.08
1fdq,7.27,6.33
1b40,7.28,7.61
1hii,7.28,8.14
1kel,7.28,6.71
1o3h,7.3,5.79
1o3i,7.3,5.81
1sw1,7.3,5.47
2i3i,7.3,6.61
1qf1,7.32,6.84
2j7e,7.32,5.84
2j2u,7.33,6.76
1uw6,7.34,5.56
2fgi,7.34,7.16
2gv6,7.34,6.21
1mhw,7.35,7.36
1qkb,7.35,6.83
1swg,7.36,5.87
1b51,7.37,6.52
1cnx,7.37,5.86
1fao,7.37,5.41
1bxq,7.38,7.98
1qf0,7.38,7.77
1b11,7.39,5.85
1d3p,7.39,7.57
1b55,7.4,5.74
1drj,7.4,5.07
1k1m,7.4,6.51
1oar,7.4,7.35
1owh,7.4,5.85
1r6n,7.4,6.85
1y3g,7.4,6.84
2bpy,7.4,8.11
2i3h,7.4,6.56
1ik4,7.41,4.87
1t32,7.42,7.91
1b5j,7.43,7.06
1ciz,7.44,7.97
1qb9,7.44,6.56
1sc8,7.44,6.23
2f7o,7.44,4.91
2ccb,7.45,6.2
1sqo,7.46,5.81
1yei,7.46,7
1yej,7.46,7.31
5tmp,7.47,8.31
1iiq,7.48,8.85
2hh5,7.49,7.59
1lah,7.52,5.21
1lf2,7.52,7.78
1lke,7.52,7.37
1mmq,7.52,6.15
2mas,7.52,5.97
2f1g,7.54,6.36
1k1j,7.55,6.68
1lpk,7.55,7.56
1tlp,7.55,6.4
1v0l,7.55,5.4
1vj9,7.55,6.73
1a0q,7.57,6.71
1m13,7.57,8.35
1q95,7.57,5.58
1qhc,7.57,6.84
2avs,7.57,8.65
1bwa,7.6,9.02
1lpz,7.6,7.48
1fzq,7.62,5.84
1yqy,7.62,6.52
2aoe,7.62,8.66
1c1r,7.63,5.74
1c1v,7.64,6
1uvt,7.64,7.32
966c,7.64,6.4
1f0r,7.66,6.85
1ppk,7.66,6.96
5fiv,7.66,5.85
2bpv,7.67,7.84
1o2q,7.68,6.29
1t4v,7.68,6.87
1w1g,7.68,5.06
1bai,7.7,8.4
1fzm,7.7,9.46
1gno,7.7,6.97
1izh,7.7,8.91
1mes,7.7,8.37
1oz0,7.7,7.91
1uou,7.7,5.64
1vja,7.7,6.42
4tmk,7.7,8.08
1ajv,7.72,8.56
1caq,7.72,7.98
1cnw,7.72,5.83
1j4r,7.72,7.64
1oif,7.72,5.07
1f0s,7.74,6.7
1heg,7.74,7.32
1lee,7.74,7.95
1nfu,7.74,7.1
1qbo,7.74,6.56
1qiw,7.74,6.99
1rd4,7.74,7.3
1sbg,7.74,8.06
1txr,7.74,6.38
1usn,7.74,5.94
2adu,7.74,5.55
2ccc,7.76,5.78
1xh9,7.77,7.9
1x8t,7.8,6.15
1b6h,7.82,6.88
1nf8,7.82,6.48
1njs,7.82,7.07
1nvs,7.82,7.05
2cf9,7.82,7.3
2j34,7.82,6.6
1a94,7.85,8.65
1b8y,7.85,7.17
1cny,7.85,5.86
1jwt,7.85,6.83
1laf,7.85,5.58
1lbf,7.85,6.4
2gv7,7.85,6.81
1fzo,7.89,9.47
1gj7,7.89,6.2
1h2t,7.89,7.26
1ajx,7.91,8.23
1b6j,7.92,8.2
2ewa,7.94,7.63
1epo,7.96,7.83
1g2k,7.96,8.53
1hvh,7.96,7.72
1a4k,8,6.75
1dqn,8,5.67
1fkg,8,6.92
1gaf,8,6.4
1gai,8,6.96
1qin,8,6.82
1r0p,8,7.51
1tkb,8,7.13
1vyg,8,7.16
8abp,8,5.21
9abp,8,5.15
2cc7,8.01,5.73
5tmn,8.04,6.94
1hih,8.05,7.91
1vyf,8.05,6.33
2bqv,8.05,8.48
1siv,8.08,7.67
6fiv,8.08,5.89
1erb,8.1,7.09
1fzj,8.1,9.58
1ghy,8.1,5.83
1l6m,8.1,4.71
1ody,8.1,8.75
1stc,8.1,7.91
2cf8,8.1,7.41
1nvr,8.11,7.54
2arm,8.13,5.33
1g35,8.14,8.33
1yqj,8.14,8.06
1fkh,8.15,6.99
1w5v,8.15,9.47
2d1n,8.15,7.28
2fxu,8.15,8.2
1owd,8.2,5.91
2ff1,8.21,5.96
1efy,8.22,6.31
1h1d,8.22,5.61
1h1s,8.22,6.57
2cji,8.22,6.71
1ydb,8.24,5.18
1c1u,8.25,5.9
1g4o,8.25,5.6
1b6l,8.3,7.57
1qbq,8.3,6.34
1rej,8.3,7.13
1tom,8.3,6.84
2hs2,8.31,7.46
1hwr,8.33,7.15
1bzy,8.34,6.28
1mj7,8.35,7.75
1k21,8.38,6.93
1mu6,8.38,6.97
1lzq,8.39,8.51
1aaq,8.4,7.25
1b6m,8.4,8.28
1fq5,8.4,8.72
1k22,8.4,7.14
1mtr,8.4,8.28
1w5x,8.4,9.66
1w7x,8.4,7.19
1z1h,8.4,7.79
1zpa,8.4,7.71
1e4h,8.41,5.6
1g48,8.41,5.69
1i9p,8.41,5.71
1i9q,8.41,5.67
1w96,8.41,7.41
1bwb,8.42,9.44
1i9o,8.42,5.74
1i9l,8.48,5.61
1i9m,8.48,5.47
1w5y,8.48,9.32
2hs1,8.48,7.62
2ihq,8.49,6.95
7upj,8.49,6.88
1fcy,8.52,8.97
1i5r,8.52,9.85
1nfx,8.52,7.18
1rp7,8.52,6.89
1ta2,8.52,7.52
1xkk,8.52,8.22
2boh,8.52,7.06
2fvd,8.52,6.78
1hos,8.55,8.58
1ppl,8.55,7.83
2byr,8.55,8.01
1bgq,8.57,6.15
1q1g,8.57,5.99
1g45,8.64,5.64
1mue,8.64,7.08
1r1j,8.64,6.8
1t31,8.64,7.5
1i9n,8.66,5.68
1bcd,8.7,5
1g4j,8.7,5.59
1jgl,8.7,7.4
1jyq,8.7,7.38
1lnm,8.7,7.44
1ohr,8.7,8.03
1t7j,8.7,7.23
1xap,8.7,8.56
2f8g,8.7,7.64
2h4n,8.7,5.02
2pcp,8.7,6.97
1cin,8.73,5.45
1b6k,8.74,8.31
1mjj,8.74,7.66
1sdv,8.74,8.75
1bnv,8.77,5.65
1d4l,8.77,7.89
1qft,8.77,5.05
1x38,8.77,6.2
1zp8,8.77,7.84
1g46,8.8,5.73
1w5w,8.8,9.55
1ork,8.81,7.04
1cim,8.82,5.4
1g54,8.82,5.9
3tlh,8.82,5.62
2avo,8.85,8.6
1n3i,8.89,6.02
1nt1,8.89,7.39
1kzn,8.92,7.36
1r1h,8.92,7.5
1bv9,8.96,9.27
1nfw,8.96,6.96
1apv,9,7.03
1fm9,9,9.41
1mq5,9,7.19
1mu8,9,7.17
1wei,9,4.75
1y0l,9,6.73
2j4i,9,7.38
1g53,9.04,5.77
1ezq,9.05,8.13
1kdk,9.05,6.77
1pbk,9.05,7.09
1s63,9.05,5.94
1nw4,9.07,5.88
1bnw,9.08,5.38
1d3d,9.09,7.66
1msn,9.09,8.66
1h22,9.1,8.36
1d9i,9.11,6.68
1ta6,9.13,7.38
1z71,9.18,7.73
2fgu,9.18,8.74
1mh5,9.21,7.88
1d4k,9.22,8.56
1hpo,9.22,7.03
1hps,9.22,8.29
1hpv,9.22,7.38
1uho,9.22,7.03
1x39,9.22,5.88
1z1r,9.22,7.83
1db1,9.26,7.93
2avv,9.26,8.66
1sdt,9.27,8.94
830c,9.28,6.68
1bv7,9.3,9.55
1udt,9.3,6.97
1bn4,9.31,5.67
2aqu,9.32,8.65
1bn1,9.34,5.68
1fkf,9.4,7.79
1ksn,9.4,7.76
1met,9.4,8.66
1pme,9.4,6.61
1sqn,9.4,6.93
1hsh,9.42,8.56
1cil,9.43,5.61
1g1d,9.44,5.76
1qbs,9.47,8.59
1xjd,9.48,7.73
1bnq,9.49,5.67
1hvr,9.51,9.27
1m4h,9.52,9.11
2bys,9.52,7.96
2gvj,9.52,8.1
1g52,9.54,5.85
1dmp,9.55,8.45
1ws1,9.55,6.36
1o86,9.57,6.89
7hvp,9.62,8.72
1if8,9.64,5.79
1a7x,9.7,8.77
1bnu,9.7,5.62
1mrw,9.7,7.87
1z6e,9.72,7.53
2i0g,9.72,6.63
1nh0,9.74,9.07
2g00,9.74,8.57
456c,9.77,6.7
1bnt,9.8,5.82
1pvn,9.82,6.15
1zsr,9.82,8.68
1a42,9.89,5.82
1bn3,9.89,5.7
1hxb,9.92,8.64
1zsf,9.92,8.54
1hvl,9.95,9.04
1fjs,9.96,7.2
1bnn,10,5.72
1gar,10,7.16
1igj,10,6.9
1n4k,10.05,5.17
1nm6,10.05,7.44
1sdu,10.07,8.64
1sr7,10.1,8.05
1y6r,10.11,6.23
1xzx,10.22,7.06
1qbu,10.24,8.15
1c70,10.3,8.8
1hvs,10.3,8.86
4std,10.33,7.22
1c4u,10.37,7.13
1kzk,10.39,8.53
1msm,10.48,8.67
5std,10.49,8.33
1b8n,10.52,6.08
1n46,10.52,7.7
2f81,10.52,7.52
2fzz,10.52,8.64
1g2o,10.55,6.06
1qbr,10.57,9.31
1qbt,10.62,9.94
1dif,10.66,9.52
7std,10.72,7.24
1c4v,10.8,7.78
1hxw,10.82,8.36
1hvi,10.92,8.97
1hvk,10.96,9.33
1m7y,10.96,6.67
1dqx,11.05,5.96
1q84,11.05,10.28
1eix,11.06,6.03
1lor,11.06,6
1d4y,11.1,8.02
1hpx,11.26,7.76
1pro,11.3,8.44
2hb3,11.35,8.02
1hvj,11.4,8.9
2i0a,11.4,7.9
1lyb,11.42,7.51
6cpa,11.52,6.78
1duv,11.8,5.65
1ctu,11.92,5.92
1agm,12,6.93
1gah,12,6.98
1lf9,12,6.85
1rbo,12.72,5.54
2ada,13,5.91
2gh7,13,6.24
