weight,n,rmse,sdev,pcor,scor,kcor
0.88,195,4.366,4.377,0.391,0.444,0.302
0.89,195,4.380,4.391,0.391,0.444,0.302
0.90,195,4.393,4.405,0.390,0.444,0.302
0.91,195,4.407,4.418,0.390,0.444,0.302
0.92,195,4.420,4.432,0.390,0.443,0.302
0.93,195,4.434,4.445,0.389,0.443,0.302
0.94,195,4.447,4.458,0.389,0.443,0.302
0.95,195,4.460,4.471,0.388,0.443,0.302
0.96,195,4.472,4.484,0.388,0.443,0.302
0.97,195,4.485,4.497,0.388,0.442,0.302
0.98,195,4.498,4.509,0.387,0.442,0.302
0.99,195,4.510,4.522,0.387,0.442,0.302
1.00,195,4.522,4.534,0.386,0.442,0.302
0.0100,195,1.929,1.934,0.602,0.658,0.467
0.0101,195,1.929,1.934,0.602,0.658,0.467
0.0102,195,1.929,1.934,0.602,0.658,0.468
0.0103,195,1.929,1.934,0.602,0.658,0.468
0.0104,195,1.928,1.933,0.602,0.658,0.468
0.0105,195,1.928,1.933,0.603,0.659,0.468
0.0106,195,1.928,1.933,0.603,0.659,0.468
0.0107,195,1.928,1.933,0.603,0.660,0.469
0.0108,195,1.928,1.933,0.603,0.659,0.468
0.0109,195,1.927,1.932,0.603,0.659,0.468
0.0110,195,1.927,1.932,0.603,0.659,0.469
0.0111,195,1.927,1.932,0.603,0.659,0.469
0.0112,195,1.927,1.932,0.603,0.659,0.469
0.0113,195,1.927,1.932,0.603,0.659,0.468
0.0114,195,1.926,1.931,0.603,0.659,0.468
0.0115,195,1.926,1.931,0.603,0.659,0.469
0.0116,195,1.926,1.931,0.603,0.659,0.469
0.0117,195,1.926,1.931,0.603,0.660,0.469
0.0118,195,1.926,1.931,0.604,0.659,0.469
0.0119,195,1.925,1.930,0.604,0.660,0.469
0.0120,195,1.925,1.930,0.604,0.660,0.470
0.0121,195,1.925,1.930,0.604,0.660,0.469
0.0122,195,1.925,1.930,0.604,0.660,0.469
0.0123,195,1.925,1.930,0.604,0.660,0.469
0.0124,195,1.925,1.930,0.604,0.660,0.469
0.0125,195,1.924,1.929,0.604,0.660,0.469
0.0126,195,1.924,1.929,0.604,0.660,0.469
0.0127,195,1.924,1.929,0.604,0.661,0.470
0.0128,195,1.924,1.929,0.604,0.661,0.470
0.0129,195,1.924,1.929,0.604,0.660,0.470
0.0130,195,1.924,1.929,0.604,0.660,0.470
0.0131,195,1.924,1.928,0.604,0.660,0.469
0.0132,195,1.923,1.928,0.604,0.661,0.470
0.0133,195,1.923,1.928,0.604,0.660,0.469
0.0134,195,1.923,1.928,0.604,0.660,0.470
0.0135,195,1.923,1.928,0.604,0.660,0.470
0.0136,195,1.923,1.928,0.604,0.661,0.470
0.0137,195,1.923,1.928,0.604,0.661,0.470
0.0138,195,1.923,1.928,0.604,0.661,0.470
0.0139,195,1.922,1.927,0.604,0.661,0.471
0.0140,195,1.922,1.927,0.604,0.661,0.471
0.0141,195,1.922,1.927,0.604,0.662,0.471
0.0142,195,1.922,1.927,0.604,0.661,0.471
0.0143,195,1.922,1.927,0.604,0.661,0.470
0.0144,195,1.922,1.927,0.604,0.661,0.471
0.0145,195,1.922,1.927,0.604,0.661,0.471
0.0146,195,1.922,1.927,0.604,0.661,0.470
0.0147,195,1.922,1.927,0.604,0.661,0.470
0.0148,195,1.922,1.926,0.604,0.661,0.469
0.0149,195,1.921,1.926,0.604,0.661,0.470
0.0150,195,1.921,1.926,0.604,0.661,0.470
0.0151,195,1.921,1.926,0.604,0.661,0.469
0.0152,195,1.921,1.926,0.604,0.661,0.470
0.0153,195,1.921,1.926,0.604,0.662,0.470
0.0154,195,1.921,1.926,0.604,0.662,0.471
0.0155,195,1.921,1.926,0.604,0.662,0.471
0.0156,195,1.921,1.926,0.604,0.662,0.471
0.0157,195,1.921,1.926,0.604,0.662,0.471
0.0158,195,1.921,1.926,0.604,0.662,0.471
0.0159,195,1.921,1.926,0.604,0.662,0.471
0.0160,195,1.921,1.926,0.604,0.662,0.471
0.0161,195,1.921,1.925,0.604,0.662,0.471
0.0162,195,1.920,1.925,0.604,0.662,0.471
0.0163,195,1.920,1.925,0.604,0.662,0.471
0.0164,195,1.920,1.925,0.604,0.662,0.471
0.0165,195,1.920,1.925,0.604,0.663,0.472
0.0166,195,1.920,1.925,0.604,0.662,0.472
0.0167,195,1.920,1.925,0.604,0.662,0.471
0.0168,195,1.920,1.925,0.603,0.662,0.471
0.0169,195,1.920,1.925,0.603,0.662,0.470
0.0170,195,1.920,1.925,0.603,0.661,0.470
0.0171,195,1.920,1.925,0.603,0.661,0.470
0.0172,195,1.920,1.925,0.603,0.661,0.470
0.0173,195,1.920,1.925,0.603,0.662,0.470
0.0174,195,1.920,1.925,0.603,0.661,0.470
0.0175,195,1.920,1.925,0.603,0.661,0.470
0.0176,195,1.920,1.925,0.603,0.661,0.470
0.0177,195,1.920,1.925,0.603,0.662,0.470
0.0178,195,1.920,1.925,0.603,0.661,0.470
0.0179,195,1.920,1.925,0.603,0.661,0.469
0.0180,195,1.920,1.925,0.603,0.661,0.469
0.0181,195,1.920,1.925,0.603,0.661,0.469
0.0182,195,1.920,1.925,0.603,0.661,0.469
0.0183,195,1.920,1.925,0.603,0.661,0.469
0.0184,195,1.920,1.925,0.602,0.661,0.469
0.0185,195,1.920,1.925,0.602,0.660,0.469
0.0186,195,1.920,1.925,0.602,0.660,0.469
0.0187,195,1.920,1.925,0.602,0.660,0.469
0.0188,195,1.920,1.925,0.602,0.660,0.468
0.0189,195,1.920,1.925,0.602,0.660,0.469
0.0190,195,1.920,1.925,0.602,0.660,0.469
0.0191,195,1.920,1.925,0.602,0.659,0.469
0.0192,195,1.920,1.925,0.602,0.659,0.469
0.0193,195,1.920,1.925,0.602,0.659,0.469
0.0194,195,1.920,1.925,0.602,0.660,0.469
0.0195,195,1.920,1.925,0.602,0.660,0.469
0.0196,195,1.920,1.925,0.602,0.659,0.469
0.0197,195,1.920,1.925,0.601,0.660,0.469
0.0198,195,1.920,1.925,0.601,0.659,0.469
0.0199,195,1.920,1.925,0.601,0.660,0.469
0.0200,195,1.920,1.925,0.601,0.660,0.469
