pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
7.9100,142.0047,2195.7883,3.5429,110.6547,4.8117,27.1811,301.5753,0.3509,0.2980,0.0000,10.0000,2.0000,1ajx
6.5200,37.2322,615.6157,0.3011,34.8657,0.1776,4.2769,13.0542,0.0002,0.0000,0.0000,3.0000,1.0000,1alw
4.3000,60.9983,600.3663,3.6869,0.0000,6.1261,1.9722,4.5791,0.0000,0.0000,0.0000,3.0000,0.0000,1amk
4.5400,59.9956,1308.8058,1.3140,0.0000,3.1942,14.4088,114.2609,0.4631,0.0000,0.0000,6.0000,3.0000,1amw
9.0000,108.9941,1698.8591,3.3545,44.1312,7.2746,30.1039,206.1150,1.4659,8.5681,1.2924,14.0000,2.0000,1apv
6.2800,83.0712,1160.8348,1.1634,19.2145,1.2149,14.5843,86.7389,0.5597,1.1251,0.0000,9.0000,1.0000,1atl
3.1300,54.0069,776.8940,2.4343,3.1672,5.3320,4.4940,17.4409,0.4087,0.0000,0.9791,2.0000,4.0000,1ax0
3.2000,46.3732,643.8323,2.4298,0.0000,5.5385,0.8634,3.0821,0.3184,0.0000,0.8061,1.0000,5.0000,1axz
7.1200,118.1805,1604.4252,5.0733,13.9616,11.5395,13.0754,97.6356,0.4451,0.0000,0.2556,14.0000,4.0000,1b05
6.7000,165.7849,2217.4839,8.1215,66.9940,12.2235,16.4990,182.9608,0.5217,0.0000,0.0000,15.0000,3.0000,1b0h
7.0300,138.4920,2025.0127,5.0867,46.0174,11.4196,15.9409,154.6568,0.3281,1.5560,0.2219,16.0000,3.0000,1b1h
4.5400,123.6959,1760.4934,4.5757,25.8760,11.2349,16.6893,121.5089,0.5087,0.0000,0.7468,16.0000,4.0000,1b2h
7.1000,135.4157,1757.5221,5.2378,22.2615,11.9361,12.1020,124.3798,0.4946,0.0000,0.3350,16.0000,3.0000,1b32
6.6000,108.0850,1834.2406,4.4094,0.0000,7.5334,17.4585,139.8095,0.3843,0.0000,0.0000,8.0000,3.0000,1b38
6.8900,141.5526,1907.9910,5.7747,19.6648,12.6676,14.7969,138.1032,0.5081,0.0000,0.3850,15.0000,3.0000,1b3f
6.7000,123.8362,1712.7244,4.7993,34.4382,11.0517,15.8722,121.8820,0.4347,0.0000,0.4721,15.0000,3.0000,1b3g
6.2100,130.4903,1953.5898,5.4383,37.7259,12.2424,15.5535,150.0621,0.3551,0.0000,0.3097,15.0000,3.0000,1b3h
5.8900,110.8939,1433.2598,4.9876,14.7974,11.5777,10.7557,89.8566,0.1508,0.0000,0.1561,13.0000,3.0000,1b3l
7.2800,145.2694,1984.6642,5.5419,44.3880,11.6070,14.8069,143.8501,0.4383,0.0000,0.3648,15.0000,3.0000,1b40
5.2800,111.7458,1692.3735,5.3453,26.0481,10.2817,17.0813,101.5558,0.3827,0.0000,0.7751,12.0000,3.0000,1b46
5.4600,121.8858,1663.5443,4.8123,20.3447,11.8697,14.6388,105.7672,0.3553,0.0000,0.2629,15.0000,4.0000,1b4h
5.2300,123.5543,1760.9034,5.3243,20.1463,12.6334,16.0409,117.7344,0.4108,0.0000,0.3261,15.0000,3.0000,1b4z
7.3700,117.0230,1612.2164,4.3602,13.6375,10.9329,14.3642,95.0816,0.2774,0.0000,1.0156,14.0000,4.0000,1b51
7.1200,118.8951,1639.0016,4.8425,19.4733,11.8290,14.6481,113.2206,0.4603,0.0000,0.4885,14.0000,4.0000,1b52
7.4000,77.7266,1233.1105,5.3179,0.0000,9.7908,36.4557,133.0046,1.9374,0.0000,1.3740,8.0000,2.0000,1b55
6.5900,140.4087,2002.0740,4.8590,43.1561,11.6489,12.4819,152.2158,0.4375,0.0000,0.3290,15.0000,4.0000,1b58
6.0100,125.9491,1631.8815,5.5275,15.0504,11.3246,13.3626,108.5628,0.4919,0.0000,0.9896,14.0000,4.0000,1b5h
7.0500,122.6715,1731.1344,5.2302,20.5680,12.1172,13.7877,125.4516,0.5809,0.0000,0.4599,15.0000,3.0000,1b5i
7.4300,132.3201,1819.8751,5.1876,27.1928,12.9126,13.3067,134.2192,0.4404,0.0000,0.3193,16.0000,3.0000,1b5j
7.8200,124.8540,1682.9830,4.9236,30.5223,11.7406,14.1545,111.0852,0.3855,0.0000,0.3259,15.0000,3.0000,1b6h
7.9200,141.5244,2499.9551,5.0028,50.4562,9.0704,37.6751,292.5616,0.8625,5.9414,0.0622,13.0000,1.0000,1b6j
8.7400,133.3848,2425.0266,3.0575,65.3389,5.8110,34.7763,269.5673,1.0155,6.6229,0.6657,12.0000,2.0000,1b6k
8.3000,111.0030,2084.5344,2.5601,45.9346,5.4051,16.1463,179.8834,1.3497,1.6276,0.2792,7.0000,1.0000,1b6l
8.4000,123.2764,2236.2554,2.9462,76.9838,4.5531,26.7261,208.8128,1.6256,0.5326,0.5513,11.0000,1.0000,1b6m
10.5200,105.9756,1357.9315,3.2751,2.6976,6.2138,9.5088,49.4874,0.5525,0.0000,0.0000,2.0000,4.0000,1b8n
7.8500,124.6963,1671.6263,1.0551,59.7511,1.7786,9.8833,73.3404,0.0417,5.8688,0.0000,6.0000,0.0000,1b8y
7.7000,159.9066,2894.3025,4.9470,72.3480,7.9374,42.2675,381.2252,0.7260,2.2455,0.7830,28.0000,1.0000,1bai
8.7000,46.9035,524.8002,1.4619,13.5082,2.6737,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1bcd
3.7000,41.7383,607.7475,2.5242,0.4627,6.0691,4.8470,17.4739,0.4144,0.0000,0.9534,2.0000,4.0000,1bcj
6.3400,126.0041,2045.6229,2.8911,77.6018,4.0830,42.3081,218.2466,0.9410,8.8357,0.0000,14.0000,1.0000,1bdq
8.5700,69.8442,1302.7770,3.0943,24.4672,1.9334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1bgq
4.3800,96.3700,1398.9631,2.8893,34.6575,7.0078,45.6045,277.3271,0.4149,0.9195,0.5409,20.0000,0.0000,1bhf
6.8400,109.8533,1515.9390,2.7521,40.1086,4.4536,19.5831,134.0199,0.9496,9.2353,0.4033,9.0000,0.0000,1bhx
4.8000,85.5474,1045.0881,2.4310,12.5401,5.4764,4.8604,42.9947,0.6403,0.0000,0.0000,3.0000,1.0000,1bju
5.5400,92.8541,1199.3925,2.3971,13.9471,4.5677,6.9774,69.7087,0.6556,5.0956,0.0000,5.0000,1.0000,1bjv
7.5200,64.6971,1163.4984,1.0842,49.5024,0.0000,4.0344,63.4770,0.2989,5.8714,0.7555,4.0000,0.0000,1bm7
9.3400,68.9676,927.5750,2.0660,41.7889,3.7607,5.5718,59.4856,0.0746,0.1351,0.0000,5.0000,1.0000,1bn1
9.8900,59.9245,1037.0284,1.6923,23.1123,1.1840,0.8267,25.2042,0.0000,0.0000,0.0000,2.0000,1.0000,1bn3
9.3100,73.2149,954.4019,2.1004,31.7008,3.7569,6.1510,64.1126,0.0443,0.1572,0.0000,6.0000,1.0000,1bn4
10.0000,76.5035,1072.3318,3.0950,24.0358,3.2311,0.9630,27.5861,0.0000,0.0000,0.0000,2.0000,1.0000,1bnn
9.4900,77.2985,1180.4821,2.6680,8.7651,3.5216,8.6026,62.8328,0.0273,2.0000,0.0000,6.0000,1.0000,1bnq
9.8000,77.4174,1140.9386,3.0968,28.9003,4.2079,0.7080,27.7148,0.0000,0.0000,0.0000,2.0000,2.0000,1bnt
9.7000,67.8337,1121.6067,2.6960,18.3009,4.2477,5.6633,57.0553,0.1021,0.0000,0.0000,3.0000,2.0000,1bnu
8.7700,70.3645,1156.4015,3.3593,11.2460,3.8024,4.1620,44.7288,0.0220,0.0000,0.0000,3.0000,1.0000,1bnv
9.0800,68.3809,891.0033,1.9441,25.8953,3.9819,3.8730,52.5953,0.1287,0.0000,0.0000,5.0000,1.0000,1bnw
5.4000,67.3207,1043.4742,3.7165,0.9742,8.7575,3.1037,52.7588,0.1832,0.5999,0.0000,4.0000,1.0000,1bp0
5.2200,58.1197,1207.4207,3.2777,1.6404,7.9296,32.8432,88.0446,1.1113,0.0000,0.0000,6.0000,0.0000,1bq4
3.2200,113.6268,1351.3000,4.2227,15.9014,5.0470,4.9184,58.4166,0.1363,0.0000,0.0000,4.0000,1.0000,1br6
9.3000,167.8177,2653.1814,3.8878,98.5303,7.3512,40.0944,416.6949,0.4954,21.0718,0.0000,12.0000,2.0000,1bv7
9.9600,161.7714,2675.8569,4.8589,87.0544,7.9977,41.3853,415.8498,0.9264,22.5908,0.0000,12.0000,2.0000,1bv9
8.6000,151.7883,2697.3586,5.0986,85.7495,9.2881,33.7374,411.4978,1.0311,14.9725,0.0000,12.0000,2.0000,1bwa
8.4200,176.8229,2882.5796,5.4490,90.6304,10.5977,32.7251,420.0261,1.1807,14.9856,1.9614,12.0000,2.0000,1bwb
7.3800,132.6728,1990.7406,2.8841,66.4726,5.0757,45.0156,259.5714,0.6018,4.6666,0.8736,19.0000,0.0000,1bxq
3.4000,155.9051,2091.1702,6.8206,0.0000,13.0145,12.7812,126.8137,0.3353,0.0000,0.0000,8.0000,3.0000,1bxr
5.0000,90.0766,1681.4570,6.7271,0.0000,13.1392,12.2515,108.3692,0.4401,0.0000,0.9744,6.0000,7.0000,1byk
4.9200,133.1891,1292.2854,6.2701,82.1648,8.6783,11.5308,90.8231,0.2098,2.4181,0.2847,8.0000,0.0000,1bzc
4.6600,108.5611,1108.1370,4.9976,83.4918,5.3195,3.1715,40.3256,0.0394,2.1426,0.0000,3.0000,0.0000,1bzj
8.3400,136.6357,1594.1121,10.3502,6.6681,16.1055,6.7132,82.8203,0.2258,0.0000,0.0000,4.0000,2.0000,1bzy
7.6300,91.3142,1129.7408,2.2302,5.0941,5.1136,2.8086,47.5420,0.1341,0.0000,0.0000,3.0000,1.0000,1c1r
8.2500,84.8278,1159.8485,1.9161,10.8569,4.0739,2.1688,44.7511,0.3188,0.0000,0.8066,3.0000,1.0000,1c1u
7.6400,95.0972,1297.6584,3.1978,12.3582,5.8243,3.5581,55.5467,0.5404,0.0000,1.0000,4.0000,3.0000,1c1v
6.5900,123.6173,1720.7999,3.6765,48.3643,5.2575,15.4905,164.4598,0.4837,17.6865,0.0000,10.0000,1.0000,1c2t
6.5900,132.1875,1711.2849,3.6247,43.9624,6.1502,13.2835,152.6749,0.1708,14.9385,0.0000,10.0000,1.0000,1c3e
3.6800,69.8818,714.2343,1.9985,1.0000,2.1165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1c3x
10.3700,129.3125,1764.1279,4.5654,47.6174,3.3631,25.1021,168.1128,0.2637,0.0000,0.3332,7.0000,1.0000,1c4u
6.9600,92.3919,1247.6581,3.9519,43.0149,5.6681,6.7862,60.3379,2.5544,0.7508,1.0000,3.0000,0.0000,1c5c
4.7000,59.4886,759.4584,1.8696,1.0932,3.3237,0.7357,9.7234,0.0000,0.0000,0.0000,1.0000,1.0000,1c5n
3.4900,54.5748,601.9288,1.8418,6.0978,3.5256,0.6947,2.1682,0.0000,0.0000,0.0000,1.0000,1.0000,1c5o
4.6800,59.2938,610.8219,1.2290,5.6623,3.2580,0.8525,2.1504,0.0000,0.0000,0.0000,1.0000,1.0000,1c5p
6.3600,72.0785,759.0647,2.1676,4.1297,4.0879,0.6814,9.7807,0.0000,0.0000,0.0000,1.0000,1.0000,1c5q
6.0000,60.8777,695.5934,1.3262,7.4624,3.3885,0.3646,8.5363,0.0000,0.0000,0.0000,1.0000,1.0000,1c5s
4.1000,55.2346,738.9636,1.2011,4.2732,3.4699,0.4004,8.4895,0.0000,0.0000,0.0000,1.0000,1.0000,1c5t
6.6800,72.5404,770.3239,2.3719,6.4944,4.0203,0.3785,10.2138,0.0000,0.0000,0.0000,1.0000,1.0000,1c5x
4.2000,67.4223,772.3646,1.9185,4.6720,3.8378,0.5404,8.3221,0.0000,0.0000,0.0000,1.0000,1.0000,1c5y
4.0100,60.5593,613.5562,1.4583,6.5570,3.3106,0.7525,2.1917,0.0000,0.0000,0.0000,1.0000,1.0000,1c5z
10.3000,146.5309,2400.2981,2.8839,83.8114,4.7288,32.4720,300.7709,1.3896,5.5799,0.0000,12.0000,2.0000,1c70
4.8500,109.2159,1038.6653,5.5341,39.8903,6.8615,5.6180,39.5019,0.6531,0.0000,0.9786,3.0000,0.0000,1c83
5.0000,106.3714,1090.4609,4.0431,56.3022,3.6108,6.7758,41.7275,0.8568,0.0000,1.0000,3.0000,0.0000,1c84
4.7000,101.0824,1023.0787,7.3187,22.0018,8.6988,4.7970,38.2072,0.3157,0.0000,0.6201,3.0000,0.0000,1c86
4.2000,94.0302,994.9484,5.5072,22.6699,6.9132,3.6103,37.4655,1.0303,0.0000,0.9348,3.0000,0.0000,1c87
5.2900,102.2879,1026.8810,6.2382,23.6319,6.1065,6.3137,35.7677,1.2424,0.0000,1.0000,3.0000,0.0000,1c88
6.3500,67.0361,1036.4980,2.7989,39.6346,5.0993,10.9879,26.7368,0.4356,3.7807,0.0000,5.0000,0.0000,1cbx
6.0000,56.8193,548.5858,1.5903,34.3368,3.6989,1.1530,8.3558,0.0000,0.0000,0.0000,2.0000,1.0000,1ceb
2.8900,67.9976,799.6844,0.7637,45.3401,0.5089,14.3726,64.9318,0.0257,7.8150,0.0000,8.0000,0.0000,1cet
6.8700,126.4099,1898.8473,1.9543,43.6594,2.7318,46.1975,300.6161,0.6805,11.9821,1.3834,19.0000,0.0000,1cgl
7.0000,145.0385,1766.3192,6.0853,0.0000,10.2472,12.2465,137.6794,0.4597,0.0000,0.0000,6.0000,1.0000,1ch8
7.4400,143.9238,2140.8643,2.0007,67.6645,2.8067,17.3931,126.0814,0.1141,5.6694,0.0000,8.0000,0.0000,1ciz
7.7200,78.4533,1191.9254,2.1160,22.6011,3.6734,14.0111,105.5062,0.0231,0.0000,0.0000,12.0000,2.0000,1cnw
7.3700,71.1999,1061.7605,1.5625,22.1795,3.3463,13.0749,61.6370,0.0526,0.0000,0.0000,10.0000,2.0000,1cnx
7.8500,82.8247,1328.1584,1.5570,47.0754,1.9719,24.4898,192.3396,0.0888,2.4682,0.0000,14.0000,2.0000,1cny
6.6600,57.8719,1019.7951,3.1154,30.8354,4.0381,8.0484,33.3266,0.4028,1.5454,0.5407,5.0000,2.0000,1cps
6.5200,132.2100,1737.9021,2.3635,67.8691,2.9626,23.6461,182.6500,0.7023,0.2189,0.9973,12.0000,1.0000,1ct8
4.5200,90.4247,1305.4991,3.0905,10.4262,4.5538,7.9538,28.5711,0.0186,0.0000,0.1950,2.0000,3.0000,1ctt
11.9200,97.7612,1397.2986,3.9385,11.1717,6.5956,7.9617,33.5952,0.1924,0.0000,0.5566,2.0000,4.0000,1ctu
6.0000,144.4787,1347.4650,7.9900,0.0000,15.0913,12.1258,113.4184,0.2720,0.0000,0.0000,6.0000,3.0000,1d2e
9.0900,141.4702,1822.7784,2.3315,73.0673,1.1763,11.1383,159.7507,0.3095,18.3033,0.0000,9.0000,1.0000,1d3d
7.3900,142.9227,1691.8235,1.5151,66.1607,0.4128,13.7516,161.8738,0.3047,12.0075,0.0000,11.0000,1.0000,1d3p
10.0000,153.8884,2494.2100,4.0989,109.4762,6.8442,38.8978,279.5072,1.0193,0.0177,1.3778,13.0000,3.0000,1d4h
8.8500,164.8888,2542.0793,4.1653,110.0482,7.0515,36.0350,283.3792,0.4296,1.7302,0.0000,13.0000,3.0000,1d4i
8.3600,158.1814,2546.2100,3.2111,108.8545,5.9643,38.6196,302.5301,0.8402,0.1996,1.1646,14.0000,3.0000,1d4j
9.2200,141.8240,2481.7358,4.8307,87.4480,6.9659,27.9696,252.8613,0.8679,7.8626,0.0000,11.0000,2.0000,1d4k
8.7700,117.9569,2196.2798,3.2318,63.7976,4.8477,27.4741,204.7746,0.8398,2.9973,0.0000,9.0000,2.0000,1d4l
6.3000,111.4862,1486.8038,2.0234,59.4888,3.3430,6.5345,83.8506,0.1955,7.4728,0.0000,4.0000,1.0000,1d4p
11.1000,125.5479,2124.6689,3.8168,74.6797,6.0540,36.0858,247.9582,0.6799,27.8280,0.0000,12.0000,1.0000,1d4y
6.1700,116.1808,1602.6556,2.3036,109.6135,0.7370,8.9002,88.4542,0.4922,9.4997,0.4081,7.0000,1.0000,1d6v
5.9600,116.9259,1776.0795,3.0421,46.4184,3.0120,25.8523,190.6886,1.5322,0.0000,1.0000,7.0000,0.0000,1d6w
3.6000,44.7326,313.5227,0.3295,0.0000,0.4617,1.7877,0.2616,0.0000,0.0000,0.0000,2.0000,0.0000,1d7i
9.1100,113.2769,1569.6643,2.3328,44.3712,2.3053,23.5496,148.3138,0.7172,0.0000,0.6077,7.0000,1.0000,1d9i
4.9600,128.5270,1174.9637,4.9819,0.0000,9.6274,11.3686,111.3987,0.0318,0.0000,0.0000,6.0000,3.0000,1dar
9.2600,99.4524,1868.5029,2.0912,105.1583,3.9667,7.7164,108.4084,0.0097,18.6547,0.0000,6.0000,3.0000,1db1
6.7000,141.0603,1747.5951,3.9850,47.9335,6.2324,17.3543,137.5804,0.3432,0.6767,0.4791,10.0000,1.0000,1dfo
6.5500,101.1251,1532.8171,2.0034,39.1674,3.9244,12.9120,128.7644,0.0057,0.3942,0.0000,9.0000,1.0000,1dhj
10.6600,176.1891,2715.5005,3.2711,104.2049,5.5419,74.1843,542.4239,2.5470,18.6030,0.3762,19.0000,2.0000,1dif
6.4900,96.6091,943.6089,1.7335,19.5055,2.6243,9.4482,60.8255,0.0407,0.0000,0.0000,7.0000,0.0000,1dl7
9.5500,129.7613,2169.7322,3.5311,92.9413,5.9364,35.1490,288.4523,0.3939,19.3264,0.0000,8.0000,4.0000,1dmp
8.0000,105.0715,1150.6432,6.2359,1.9755,13.6109,7.2769,83.3274,0.0573,0.0000,0.0000,4.0000,2.0000,1dqn
11.0500,105.0236,1518.2671,6.6851,4.7289,10.3742,7.8946,71.7596,0.6177,0.0000,0.3764,4.0000,3.0000,1dqx
7.4000,73.4559,735.9980,5.1465,0.0000,10.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1drj
6.8200,77.6929,741.3889,5.7692,0.0000,10.1662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1drk
6.5400,129.6504,2010.3651,4.2963,20.9948,10.0302,23.7235,198.6824,0.0721,0.2783,0.0000,11.0000,5.0000,1drv
4.8200,82.1601,1100.6560,2.6433,9.8355,6.4286,12.4967,93.2478,0.1174,1.0000,0.0000,6.0000,1.0000,1dud
11.8000,116.9351,1202.7299,8.8576,2.2592,16.9063,7.4214,41.6337,0.4134,0.0000,0.0000,8.0000,2.0000,1duv
4.3600,95.0018,1178.6150,1.8624,55.2761,4.2363,5.6815,55.0279,0.0081,1.8635,0.0000,6.0000,1.0000,1dy4
6.1000,40.4040,831.0964,0.2692,30.0627,0.0000,5.2716,9.4376,0.0672,0.0000,0.0000,3.0000,0.0000,1dzk
5.8900,70.3045,1122.1552,1.4905,13.6103,2.6573,3.9732,42.6749,0.4062,0.0000,0.9104,4.0000,1.0000,1e1x
4.9400,95.3473,1220.1306,2.6350,38.3778,2.7418,5.5034,39.4994,0.2679,2.4934,0.5015,2.0000,2.0000,1e2k
4.2900,97.6959,1159.6414,2.3768,38.0214,3.3617,5.4787,39.5174,0.3328,2.2811,0.5218,2.0000,2.0000,1e2l
4.3400,46.4256,1172.9233,0.6938,53.0035,0.6650,10.5241,40.3661,0.0107,5.6070,0.0000,4.0000,2.0000,1e3v
8.4100,40.8417,763.3678,0.6435,36.7174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1e4h
4.0000,124.6823,1797.6566,4.6527,0.0000,9.7363,23.1917,233.8509,1.9194,0.0000,3.5682,11.0000,13.0000,1e5j
3.1500,73.8170,912.8224,4.2918,0.0000,7.7891,2.3015,3.4319,0.5799,0.0000,1.0000,1.0000,4.0000,1e6q
3.2200,72.0939,848.2658,4.6034,0.0000,8.2026,1.3452,9.0122,0.2688,0.0000,1.0219,2.0000,5.0000,1e6s
6.0100,130.6985,1398.7233,3.8367,37.5450,5.3461,14.3476,166.6180,0.3962,7.0259,0.0000,7.0000,1.0000,1eb2
10.8200,74.4054,689.7761,6.2991,0.0000,11.9712,1.2564,4.1064,0.2233,0.0000,0.6750,2.0000,1.0000,1ebg
9.0500,140.2337,2424.7068,3.6818,85.7127,7.2773,44.1569,313.9645,0.9502,0.0000,1.5139,19.0000,2.0000,1ebw
9.7000,157.3527,2538.1921,4.4444,105.9314,7.4238,36.7842,302.1599,1.1124,0.0000,1.1931,13.0000,4.0000,1eby
9.4000,146.1735,2447.0842,3.5182,75.5025,7.2611,51.3354,287.0696,1.3970,0.1971,1.2042,15.0000,3.0000,1ebz
8.4900,176.9677,2694.7957,5.8912,102.2604,8.3970,52.3997,340.0088,1.4157,0.3465,1.4936,13.0000,4.0000,1ec0
8.9200,149.7359,2673.8914,4.1561,69.9835,8.1489,65.4521,368.6817,1.1130,2.0641,1.3497,19.0000,2.0000,1ec1
10.0000,150.0542,2681.0461,3.8211,79.1884,6.4925,56.1967,392.2330,4.0930,3.9221,3.5872,19.0000,2.0000,1ec2
9.0400,156.1621,2664.9526,4.0974,73.3230,8.0055,47.5750,399.5108,0.7616,7.2515,1.3164,21.0000,2.0000,1ec3
3.1000,86.8447,1025.4725,8.3243,0.0000,13.8412,6.6774,15.6787,0.1799,0.0000,0.7877,4.0000,4.0000,1ec9
3.0000,92.0459,1005.9144,8.0793,1.3630,10.8307,5.4402,15.6158,1.4818,0.0000,0.9721,5.0000,3.0000,1ecq
4.8500,100.7972,931.1482,3.7368,38.1036,4.5480,6.2482,28.5513,0.7741,0.0000,1.0000,3.0000,0.0000,1ecv
8.2200,96.0342,1066.0560,1.8929,44.7948,2.8323,2.6878,48.4200,0.0462,0.0000,0.0000,3.0000,0.0000,1efy
5.7000,66.2235,668.5833,2.9758,0.0000,6.8274,3.3846,4.3997,0.0011,0.0000,0.0000,3.0000,0.0000,1egh
11.0600,100.4861,1531.2661,5.7450,5.1487,10.8055,13.2788,65.7913,0.6192,0.0000,0.0000,4.0000,3.0000,1eix
5.6200,107.1106,1341.6425,3.8866,6.8491,6.3226,4.6807,55.4784,0.7249,0.0000,0.0000,4.0000,0.0000,1ejn
6.6600,112.9358,1572.0586,2.2293,39.6996,2.6682,25.1515,196.8470,0.5327,6.5231,0.6190,13.0000,1.0000,1elc
6.7000,100.0145,1482.2714,3.2024,37.6748,2.9623,25.5902,169.5314,0.5994,4.2870,0.0000,9.0000,0.0000,1eld
6.8500,111.7260,1357.4775,3.6461,51.3994,2.9465,15.6187,120.3563,1.1473,3.8142,0.8702,8.0000,0.0000,1ele
4.9600,90.2639,1496.6698,3.3068,25.9211,7.3415,62.5533,323.8770,1.0851,0.7021,2.5149,22.0000,0.0000,1elr
5.0800,64.2698,783.6792,1.7439,27.2479,4.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1enu
6.0500,55.7134,822.2301,2.3547,21.0629,3.2125,0.5321,5.9259,0.0000,0.0000,0.0000,1.0000,2.0000,1eoc
7.9600,136.8764,2120.4192,4.9250,60.7787,6.3121,47.1419,335.0032,0.5395,21.9096,1.2696,15.0000,2.0000,1epo
8.1000,73.1489,1501.3010,0.7211,89.5825,0.5893,9.1718,64.9949,0.6972,19.0601,0.0000,7.0000,0.0000,1erb
2.2600,59.6124,535.8630,3.3817,0.0000,5.5881,2.0361,1.6214,0.1215,0.0000,0.0000,2.0000,0.0000,1ew8
3.2200,29.6913,301.9574,0.9956,0.0000,2.4476,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1ew9
6.3300,178.3840,2390.6377,6.8804,0.0000,14.0732,25.5238,268.9552,1.0298,0.0000,0.0000,13.0000,4.0000,1ex8
5.1000,128.9747,1588.6033,3.5313,0.0000,7.2000,39.4994,257.6374,1.8679,0.0000,4.2607,14.0000,15.0000,1ez9
9.0500,163.9285,1644.9130,3.7863,100.7535,4.9585,11.7141,145.5437,0.1156,9.2089,0.0000,10.0000,2.0000,1ezq
7.6600,120.4146,1533.7830,2.0215,32.6746,2.7820,9.9873,111.4277,0.0626,1.9326,0.0000,5.0000,0.0000,1f0r
7.7400,117.3063,1354.2294,1.3427,34.0265,1.3703,11.0121,101.4515,0.1967,1.1408,0.0000,5.0000,0.0000,1f0s
6.0000,101.0472,1305.5055,2.6465,12.8057,5.3950,11.7885,110.3541,0.0298,0.9192,0.0000,6.0000,2.0000,1f0t
7.1600,125.5777,1455.4165,2.3845,51.8162,4.4736,15.3834,142.3655,0.0953,11.5563,0.0000,10.0000,2.0000,1f0u
